"current_head","language_gate","concept","target_or_term","term_alternatives","register_note","formula_neighboring_usage_note","ac6f4e_authority_overlay","output_label","boundary"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","matrix / matrix ring context",,,,"Use only as a matrix or matrix-ring neighbor; not enough by itself for invariant-theory term promotion.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","matrix / matrix ring context",,,,"Use only as a matrix or matrix-ring neighbor; not enough by itself for invariant-theory term promotion.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring",,,,"Use only with the exact source context row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring",,,,"Use only with the exact source context row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring",,,,"Use only with the exact source context row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring",,,,"Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","Noetherian ring",,,,"Use only next to ring/module/ideal-chain, finite-generation, theorem, or definition contexts in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ideal",,,,"Use only next to ideal notation, inclusion, quotient/localization, or ring-structure context in the cited source row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
"ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","ar","ring",,,,"Use only with the exact source context row.","Arabic authority support requires RTL/script/register/formula-neighboring recheck against ARABIC_SOURCE_BACKED_INTERLINEAR_SCAFFOLD_QUEUE_AC6F4E",,"source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
