"doc_id","path","language","branch","file_type","provenance_url_or_path","sha256","license_or_availability_note","witness_category"
"src-fable-recovery-mk-lexicon","source_bodies/fable_mirror_underrepresented_slavic/interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/shelves/underrepresented_slavic/macedonian/macedonian_ukim_math_lexicon.txt","mk","Slavic/South","txt","origin/codex/noether-pc-20260629 Fable full mirror under underrepresented_slavic shelf","61cf9eeb231ea68b8b6e35aa5b29f52b300f6528d253671d5f34e1a78c52a1c0","availability/license signal inherited from Fable mirror; no license-clearance claim","source-witness; source-acquisition-recovery; not row-verified relation/function attestation"
"src-fable-recovery-hsb-domowina","source_bodies/fable_mirror_underrepresented_slavic/interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/shelves/underrepresented_slavic/sorbian_upper/sorbian_domowina_math_terminology_2008.txt","hsb","Slavic/West","txt","origin/codex/noether-pc-20260629 Fable full mirror under underrepresented_slavic shelf","4ddab5c875b974f87e5288a597e181888f3957c76f9649aba6801363cc09c926","availability/license signal inherited from Fable mirror; no license-clearance claim","source-witness; source-acquisition-recovery; not row-verified relation/function attestation"
"src-fable-recovery-hsb-termmat","source_bodies/fable_mirror_underrepresented_slavic/interlanguage-sidecar/20260705/fable_chatgpt_interlingua_program_full/interlingua_program_20260704/shelves/underrepresented_slavic/sorbian_upper/sorbian_institute_text_corpus_termmat_1996.txt","hsb","Slavic/West","txt","origin/codex/noether-pc-20260629 Fable full mirror under underrepresented_slavic shelf","55c1a4a4b27c6104865ce5aa4e875ea41ea51811d0d393d363b5c44c5e70283b","availability/license signal inherited from Fable mirror; no license-clearance claim","source-witness; source-acquisition-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-injective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_roznicowartosciowa.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Funkcja_r%C3%B3%C5%BCnowarto%C5%9Bciowa","e02f5eefe8fc7d6382fba198e53906ddb2454950b700ab583d9e0a96d4c5723d","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-surjective","source_bodies/external_wikimedia_recovery/20260705/pl_surjekcja.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Surjekcja","7a81ba890bea8889cc1c16f5b4474a5006a6e1d2672138b24023e65b9879863f","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-bijective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_wzajemnie_jednoznaczna.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Funkcja_wzajemnie_jednoznaczna","518e60e233776d9af0648612bfcf45908f99391a84d7718963d4d367fc7a833e","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-domain","source_bodies/external_wikimedia_recovery/20260705/pl_dziedzina_matematyka.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Dziedzina_(matematyka)","8c1b1596162e1765649863e9d83a9d3547621eb72800bb3a44859a9ff8119944","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-codomain","source_bodies/external_wikimedia_recovery/20260705/pl_przeciwdziedzina.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Przeciwdziedzina","1bb5ce2f869e9c9f757e64e7f77c1abbc0c04ee614d34f31edd5ce75b4a6daf2","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-inverse","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_odwrotna.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Funkcja_odwrotna","19e422c9abe7e367efc96e6fe32f61e3a5b8b136feb8b63cc259a215d1833489","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-cardinality","source_bodies/external_wikimedia_recovery/20260705/pl_moc_zbioru.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Moc_zbioru","59ab83ba413b295750bec87eca921ce1d3f7e4eb37d10f025cbb14489dc11f90","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-linear-map","source_bodies/external_wikimedia_recovery/20260705/pl_przeksztalcenie_liniowe.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Przekszta%C5%82cenie_liniowe","3d04a107e33dce2ea2e88aced93f4b475fc191507ac37e5b63a5e163d3b35fc7","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-image","source_bodies/external_wikimedia_recovery/20260705/pl_obraz_matematyka.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Obraz_(matematyka)","b179def70366a6ed42714e5918349c9d6d4f064bc010a9694ae7b492139954b0","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-pl-function","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja.wiki.txt","pl","Slavic/West","wikitext","https://pl.wikipedia.org/wiki/Funkcja","860629b4c44a121a2e5c64277eab9949ac8f7e01702635bf2b3e8a84d04dea65","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-injective","source_bodies/external_wikimedia_recovery/20260705/uk_injection_math.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%86%D0%BD%27%D1%94%D0%BA%D1%86%D1%96%D1%8F_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0)","8086d9f8456df197ba3c21ea792c0c9b050f31c9f298936d892a4ef54e61beb7","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-surjective","source_bodies/external_wikimedia_recovery/20260705/uk_surjection.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%A1%D1%8E%D1%80%27%D1%94%D0%BA%D1%86%D1%96%D1%8F","b50181ea7b111355c208cb8e6e664cf3034466e32dedb1ebbd82bb73079603e8","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-bijective","source_bodies/external_wikimedia_recovery/20260705/uk_bijection.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%91%D1%96%D1%94%D0%BA%D1%86%D1%96%D1%8F","944558b71ea9ab3b4e1061d310c8b934ff15b5405d23333e6e2fce0271a1231c","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-domain","source_bodies/external_wikimedia_recovery/20260705/uk_domain.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C_%D0%B2%D0%B8%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%BD%D1%8F","3ceb2ecf58447cc2ff95168be40b1908e8e2ff714c2deff57f021a594ede411a","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-function","source_bodies/external_wikimedia_recovery/20260705/uk_function_math.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%A4%D1%83%D0%BD%D0%BA%D1%86%D1%96%D1%8F_(%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0)","003fc5b8ceb68e639746056647d6a029c48907951eab4c63b9114a3b7968e7fe","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-image-range","source_bodies/external_wikimedia_recovery/20260705/uk_image_range.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C_%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D1%8C","9506a35f6d55da1d953a78151335e513ac63f3c4998d040901137cb7f286f93d","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-inverse","source_bodies/external_wikimedia_recovery/20260705/uk_inverse_function.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B5%D1%80%D0%BD%D0%B5%D0%BD%D0%B0_%D1%84%D1%83%D0%BD%D0%BA%D1%86%D1%96%D1%8F","40f661f02dae27483d388fb6700b84798ee995d67238d96aca2e7b456109d00b","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-cardinality","source_bodies/external_wikimedia_recovery/20260705/uk_cardinality_set.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%82%D1%83%D0%B6%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%BC%D0%BD%D0%BE%D0%B6%D0%B8%D0%BD%D0%B8","e4ab3971f9f19b0637f408c2144f3e4cfeb2e9303f2284d5b56d972a75c208e1","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
"src-ext-wikimedia-uk-linear-map","source_bodies/external_wikimedia_recovery/20260705/uk_linear_map.wiki.txt","uk","Slavic/East","wikitext","https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D0%BD%D1%96%D0%B9%D0%BD%D0%B5_%D0%B2%D1%96%D0%B4%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F","7c691cbe198da8c85b8633f6601e826f374846028d92f4f14701a76aa64faba3","Wikimedia raw page source; see source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv; no license-clearance claim","source-witness; external-wikimedia-recovery; not row-verified relation/function attestation"
