"lexeme_id","language","branch","script","source_form","normalized_form","source_document","source_location","witness_category"
"rf_bijective","mk","Slavic/South","mixed source line","biektivno/bijective mapping probe","biektivno","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt line with bijective mapping","source-witness; term-probe; not native review"
"rf_cardinality","mk","Slavic/South","Latin transliteration in source text","kardinalen/kardinalno probe","kardinal","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt line with cardinal number","source-witness; term-probe; not native review"
"rf_codomain","mk","Slavic/South","Latin transliteration in source text","kodomen","kodomen","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt lines 49077, 49090, 66978; weak_row_probe_context_windows.jsonl","source-witness; weak-row term-probe; not native review"
"rf_composition","mk","Slavic/South","Latin transliteration in source text","sostav / kompozicija","sostav-kompozicija","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt lines 11513 and 18751; composition of mappings/functions context","source-witness; weak-row term-probe; not native review"
"rf_inverse","mk","Slavic/South","Latin transliteration in source text","inverzna funkcija / obratna","inverzna-obratna","src-fable-recovery-mk-lexicon","macedonian_ukim_math_lexicon.txt lines 3350, 3405, 3447; inverse-function contexts, not inverse-image approval","source-witness; weak-row term-probe; not native review"
"rf_composition","hsb","Slavic/West","Latin-script source text","kompozicije","kompozicije","src-fable-recovery-hsb-terminology","sorbian_domowina_math_terminology_2008.txt lines 4460, 4486, 6183; general composition witness with weak mathematical-topic fit","source-witness; weak-row general-terminology probe; weak topic fit; not native review"
"rf_function","pl","Slavic/West","Latin source title","Funkcja","funkcja","src-ext-wikimedia-pl-function","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_injective","pl","Slavic/West","Latin source title","Funkcja różnowartościowa","funkcja różnowartościowa","src-ext-wikimedia-pl-injective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_roznicowartosciowa.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_surjective","pl","Slavic/West","Latin source title","Surjekcja","surjekcja","src-ext-wikimedia-pl-surjective","source_bodies/external_wikimedia_recovery/20260705/pl_surjekcja.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_bijective","pl","Slavic/West","Latin source title","Funkcja wzajemnie jednoznaczna","funkcja wzajemnie jednoznaczna","src-ext-wikimedia-pl-bijective","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_wzajemnie_jednoznaczna.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_domain","pl","Slavic/West","Latin source title","Dziedzina (matematyka)","dziedzina (matematyka)","src-ext-wikimedia-pl-domain","source_bodies/external_wikimedia_recovery/20260705/pl_dziedzina_matematyka.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_codomain","pl","Slavic/West","Latin source title","Przeciwdziedzina","przeciwdziedzina","src-ext-wikimedia-pl-codomain","source_bodies/external_wikimedia_recovery/20260705/pl_przeciwdziedzina.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_inverse","pl","Slavic/West","Latin source title","Funkcja odwrotna","funkcja odwrotna","src-ext-wikimedia-pl-inverse","source_bodies/external_wikimedia_recovery/20260705/pl_funkcja_odwrotna.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_cardinality","pl","Slavic/West","Latin source title","Moc zbioru","moc zbioru","src-ext-wikimedia-pl-cardinality","source_bodies/external_wikimedia_recovery/20260705/pl_moc_zbioru.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_linear_map","pl","Slavic/West","Latin source title","Przekształcenie liniowe","przekształcenie liniowe","src-ext-wikimedia-pl-linear-map","source_bodies/external_wikimedia_recovery/20260705/pl_przeksztalcenie_liniowe.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_image_range","pl","Slavic/West","Latin source title","Obraz (matematyka)","obraz (matematyka)","src-ext-wikimedia-pl-image","source_bodies/external_wikimedia_recovery/20260705/pl_obraz_matematyka.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_function","uk","Slavic/East","Cyrillic source title","Функція (математика)","функція (математика)","src-ext-wikimedia-uk-function","source_bodies/external_wikimedia_recovery/20260705/uk_function_math.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_injective","uk","Slavic/East","Cyrillic source title","Ін'єкція (математика)","ін'єкція (математика)","src-ext-wikimedia-uk-injective","source_bodies/external_wikimedia_recovery/20260705/uk_injection_math.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_surjective","uk","Slavic/East","Cyrillic source title","Сюр'єкція","сюр'єкція","src-ext-wikimedia-uk-surjective","source_bodies/external_wikimedia_recovery/20260705/uk_surjection.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_bijective","uk","Slavic/East","Cyrillic source title","Бієкція","бієкція","src-ext-wikimedia-uk-bijective","source_bodies/external_wikimedia_recovery/20260705/uk_bijection.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_domain","uk","Slavic/East","Cyrillic source title","Область визначення","область визначення","src-ext-wikimedia-uk-domain","source_bodies/external_wikimedia_recovery/20260705/uk_domain.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_inverse","uk","Slavic/East","Cyrillic source title","Обернена функція","обернена функція","src-ext-wikimedia-uk-inverse","source_bodies/external_wikimedia_recovery/20260705/uk_inverse_function.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_cardinality","uk","Slavic/East","Cyrillic source title","Потужність множини","потужність множини","src-ext-wikimedia-uk-cardinality","source_bodies/external_wikimedia_recovery/20260705/uk_cardinality_set.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_linear_map","uk","Slavic/East","Cyrillic source title","Лінійне відображення","лінійне відображення","src-ext-wikimedia-uk-linear-map","source_bodies/external_wikimedia_recovery/20260705/uk_linear_map.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
"rf_image_range","uk","Slavic/East","Cyrillic source title","Область значень","область значень","src-ext-wikimedia-uk-image-range","source_bodies/external_wikimedia_recovery/20260705/uk_image_range.wiki.txt; exact Wikimedia raw page title; external_wikimedia_context_windows.jsonl","source-witness; external-wikimedia-title-source-probe; not native review; not accepted terminology"
