physical_page	printed_page	archive_path	finding	disposition
1	0	zenodo_public/21801004/extracted/D020_ID.md	Public D020 control/identity evidence confirms title, byline, span, and ZERO_ACCEPTED status; it contains no certified French or English edition for import.	ZERO_ACCEPTED; boundary/control evidence only
2	273	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=1	IAS comparator page 1 visually inspected against authority physical page 2. Text, formulas, page sequence, and running matter align; no comparator-only reading was promoted. Authority image is clearer/higher-priority and controls all decisions.	COMPARATOR_ONLY; no automatic acceptance
2	273	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=1	collected-split comparator page 1 visually inspected against authority physical page 2. Text, formulas, page sequence, and running matter align; no comparator-only reading was promoted. Authority image is clearer/higher-priority and controls all decisions.	COMPARATOR_ONLY; no automatic acceptance
2-6	273-277	misc_prior/31_page_retypeset_comparison.pdf	31-page English retypeset inspected. It adds translator/publication footnotes absent from the article, uses different pagination, and contains substantive deviations such as the Dwork citation page range 125-255 instead of authority 105-255, Z(X;t) at (1.5.4) instead of Z(X_0,t), and det(1−F*t,H^i) in theorem (1.6) instead of the authority characteristic polynomial det(t·1−F*,H^i). Useful only as an English comparator.	ZERO_ACCEPTED; translation independently rebuilt and checked against frozen French/authority
2-6	273-277	paper20_archive_members/01_Kimi_Agent_Convert_Papers_to_LaTeX/Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_archive_members/02_deligne_batch06_first29_cleanup_and_translation_package/Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_archive_members/03_deligne_kimi_papers_001_029_recombined_qc_package/Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/001_source_tex_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/002_source_tex_cleaned_001_029_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/003_A00032_kimi_agent_swarm_del_3__Kimi_Agent_Convert_Papers_to_LaTeX.zip--03e65b1fc4b7_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/004_T00131_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/005_T00132_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/006_T00133_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/007_T00134_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/008_T00135_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/009_T00136_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/010_T00137_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/011_T00138_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/012_T00139_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/013_T00140_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/014_T00141_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/015_T00142_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/016_T00143_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/017_T00144_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/018_T00145_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/019_T00146_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/020_T00147_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/021_T00148_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/022_T00149_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/023_T00150_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/024_T00151_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/025_T00344_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/026_T00345_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/027_T00346_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/028_T00347_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/029_T00348_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/030_T00349_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/031_T00350_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/032_T00351_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/033_T00352_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/034_T00353_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/035_T00354_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/036_T00355_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/037_T00356_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/038_T00357_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
2-6	273-277	paper20_direct_path_witnesses/039_T00358_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), inspected through the representative archive member after the French freeze. It tracks much of the wording but changes authority readings, including Z(X;t) to Z(X_0;t) in (1.1.2)-(1.1.3), H_c^i to H^i in the last sentence of (1.3), H^0(U_0,O) to H^0(U,O) in (1.4), and the characteristic polynomial det(t·1−F*,H^i) to det(1−F*t,H^i) in (1.6).	REJECT_AUTOMATIC_ACCEPTANCE; use only as post-freeze locator and divergence witness
