sequence,language,source_relative_path,source_sha256,package_tex,package_tex_sha256,package_pdf,package_pdf_sha256,pages,pdf_bytes,duration_seconds,resumed,latex_warning,package_warning,missing_character,overfull_box,underfull_box
11,latin,paper02/interslavic/v001/Noether_Paper02_Section10_Interslavic_v001.tex,51B28FB5B65A39CFCF440DB7E49CABEC24DC20C6C4CCA3C4D6A6287C5B03C5B3,02_tex/latin/011_Noether_Paper02_Section10_Interslavic_v001.tex,51B28FB5B65A39CFCF440DB7E49CABEC24DC20C6C4CCA3C4D6A6287C5B03C5B3,01_unit_pdfs/latin/011_Noether_Paper02_Section10_Interslavic_v001.pdf,2C159E64C71E1902625606BB4F1551575D860A2FE129B5C1C24573B24759636C,2,92454,0,True,0,0,0,0,0
12,latin,paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex,56904AA85D07276501FA386FCB008A58061F97ED725FC75322516CD3023ED04C,02_tex/latin/012_Noether_Paper02_Section11_Interslavic_v001.tex,56904AA85D07276501FA386FCB008A58061F97ED725FC75322516CD3023ED04C,01_unit_pdfs/latin/012_Noether_Paper02_Section11_Interslavic_v001.pdf,F7B4B539A7CA2119B06C9EE2BAB37B0A5DED92A256A5E21A348B5E27728010D4,5,117183,0,True,0,0,0,0,0
13,latin,paper02/interslavic/v001/Noether_Paper02_Section12_Interslavic_v001.tex,8D058FCB3818C2165F78D8AF3B2CCBDDD1294144C16E0B348E112E2FFAF7F7BA,02_tex/latin/013_Noether_Paper02_Section12_Interslavic_v001.tex,8D058FCB3818C2165F78D8AF3B2CCBDDD1294144C16E0B348E112E2FFAF7F7BA,01_unit_pdfs/latin/013_Noether_Paper02_Section12_Interslavic_v001.pdf,1B5C4F2E2B1C554F0F61B33A6988BB634DBCF543452A985CA2693FBCAD313C6C,3,90822,0,True,0,0,0,0,0
14,latin,paper02/interslavic/v001/Noether_Paper02_Section13_Interslavic_v001.tex,32ED4383A7FA382FEC725637E53E4E3929A6E1FFAFA67FA29B1606CFF6F3AAF1,02_tex/latin/014_Noether_Paper02_Section13_Interslavic_v001.tex,32ED4383A7FA382FEC725637E53E4E3929A6E1FFAFA67FA29B1606CFF6F3AAF1,01_unit_pdfs/latin/014_Noether_Paper02_Section13_Interslavic_v001.pdf,8BBB63B2420D12F4098B8C64C129AE6AA762E199427D585ACA624FC3AE1424A6,2,87565,0,True,0,0,0,0,0
15,latin,paper02/interslavic/v001/Noether_Paper02_Section14_Interslavic_v001.tex,DB85DFEDA10D9A28CFFDC99FB3BABC44F9BA334D1D0747E1BD7BC553CC20439D,02_tex/latin/015_Noether_Paper02_Section14_Interslavic_v001.tex,DB85DFEDA10D9A28CFFDC99FB3BABC44F9BA334D1D0747E1BD7BC553CC20439D,01_unit_pdfs/latin/015_Noether_Paper02_Section14_Interslavic_v001.pdf,242533D177EC44E31D072DF0798DDDC12D2437FB87C25D11CB033847AE781DF4,1,80853,0,True,0,0,0,0,0
16,latin,paper02/interslavic/v001/Noether_Paper02_Section15_Interslavic_v001.tex,29F8A57C8D1C67D74686B6EF7DB5CB3941BDC8BF54A903DCF2119B11572906AE,02_tex/latin/016_Noether_Paper02_Section15_Interslavic_v001.tex,29F8A57C8D1C67D74686B6EF7DB5CB3941BDC8BF54A903DCF2119B11572906AE,01_unit_pdfs/latin/016_Noether_Paper02_Section15_Interslavic_v001.pdf,1AF2391EF76A483AC77C7754D6E3809A32F6DF6AC4C7E721E599F0A9BE1AB355,1,72746,0,True,0,0,0,0,0
17,latin,paper02/interslavic/v001/Noether_Paper02_Section16_Interslavic_v001.tex,0BD50CA22EEFE3F04F895B34F90F9658E669E87C3E833F85974DE387ECDB1B06,02_tex/latin/017_Noether_Paper02_Section16_Interslavic_v001.tex,0BD50CA22EEFE3F04F895B34F90F9658E669E87C3E833F85974DE387ECDB1B06,01_unit_pdfs/latin/017_Noether_Paper02_Section16_Interslavic_v001.pdf,FE785F5EC13C08106162FB5E341F4E437C36E23AF20E9F9DEA8328F6E66346A2,1,81869,0,True,0,0,0,0,0
18,latin,paper02/interslavic/v001/Noether_Paper02_Section17_Interslavic_v001.tex,2FA292901E55458A8EB4C276FC3AD9C956B20ABC126A7552D689914FCA4EA195,02_tex/latin/018_Noether_Paper02_Section17_Interslavic_v001.tex,2FA292901E55458A8EB4C276FC3AD9C956B20ABC126A7552D689914FCA4EA195,01_unit_pdfs/latin/018_Noether_Paper02_Section17_Interslavic_v001.pdf,A9CF0B9FC252ED409B9D589CBF0277AF7D230FF6B839C145397FD088B8ACE9AE,3,98674,0,True,0,0,0,0,0
19,latin,paper02/interslavic/v001/Noether_Paper02_Section18_Interslavic_v001.tex,24CEA7BB35DDE3505AF3B9FD531780F6328BE491F17FC243605BC47C234617F3,02_tex/latin/019_Noether_Paper02_Section18_Interslavic_v001.tex,24CEA7BB35DDE3505AF3B9FD531780F6328BE491F17FC243605BC47C234617F3,01_unit_pdfs/latin/019_Noether_Paper02_Section18_Interslavic_v001.pdf,8D7FD544086A22F9FC928F3326631F956ECBD3B229DBF888B723C372FE991DE6,2,78778,0,True,0,0,0,0,0
20,latin,paper02/interslavic/v001/Noether_Paper02_Section19_Interslavic_v001.tex,1434A2C00CA0CFE0872F116370058DF432A97775CF3666E2DA746BACD69B368F,02_tex/latin/020_Noether_Paper02_Section19_Interslavic_v001.tex,1434A2C00CA0CFE0872F116370058DF432A97775CF3666E2DA746BACD69B368F,01_unit_pdfs/latin/020_Noether_Paper02_Section19_Interslavic_v001.pdf,3FD0C28E2A6D102E61562D9F4E59F6D3BD8CC331DF5D15A9670816262E1BCDD4,1,71229,0,True,0,0,0,0,0
21,latin,paper02/interslavic/v001/Noether_Paper02_Section20_Interslavic_v001.tex,C01F49EECEBD940199A11218F3B9992DCF5347AE61B0E03C8D44E40E8EDC6C05,02_tex/latin/021_Noether_Paper02_Section20_Interslavic_v001.tex,C01F49EECEBD940199A11218F3B9992DCF5347AE61B0E03C8D44E40E8EDC6C05,01_unit_pdfs/latin/021_Noether_Paper02_Section20_Interslavic_v001.pdf,398D772F3FBC59A12AFB2D4C7AAB3C45064AF350AE09F48BF25B4CD852D6776D,1,79296,0,True,0,0,0,0,0
22,latin,paper02/interslavic/v001/Noether_Paper02_Section21_Interslavic_v001.tex,FE96790C0A3DEE30B564E48A562A2DC9447AC7A668DBE382EAC859A6B0E2A86E,02_tex/latin/022_Noether_Paper02_Section21_Interslavic_v001.tex,FE96790C0A3DEE30B564E48A562A2DC9447AC7A668DBE382EAC859A6B0E2A86E,01_unit_pdfs/latin/022_Noether_Paper02_Section21_Interslavic_v001.pdf,E717FC89FCFAD1332B969D22AC1F7634EDE026E57081C279B35395987057BDAD,2,81712,0,True,0,0,0,0,0
23,latin,paper02/interslavic/v001/Noether_Paper02_Section22_Interslavic_v001.tex,7BD9A577597339273D5863A0F8768E39ABFED84C2595911E05DDB86B0704B4E8,02_tex/latin/023_Noether_Paper02_Section22_Interslavic_v001.tex,7BD9A577597339273D5863A0F8768E39ABFED84C2595911E05DDB86B0704B4E8,01_unit_pdfs/latin/023_Noether_Paper02_Section22_Interslavic_v001.pdf,47E3EA6E2B40284D2047AE21CD92E9CCB72B3C125CC4F4776565369334348AE6,2,84058,0,True,0,0,0,0,0
24,latin,paper02/interslavic/v001/Noether_Paper02_Section23_Interslavic_v001.tex,8876479B21BC62B9082155D1F830ED1ECBFDDB2EBBB5C42347E69BA699DFE71A,02_tex/latin/024_Noether_Paper02_Section23_Interslavic_v001.tex,8876479B21BC62B9082155D1F830ED1ECBFDDB2EBBB5C42347E69BA699DFE71A,01_unit_pdfs/latin/024_Noether_Paper02_Section23_Interslavic_v001.pdf,EF3F8BE80CA5E5EB32EF0C7C3C9A35CB6BBEE7CA9A0006A3B41B525C81B6ACE2,2,87035,0,True,0,0,0,0,0
25,latin,paper02/interslavic/v001/Noether_Paper02_Section24_Interslavic_v001.tex,BC6D62D2477A4440C17244E7B3B2A43C5646CAC3F6F7A28E933AF9DBE5C44DC5,02_tex/latin/025_Noether_Paper02_Section24_Interslavic_v001.tex,BC6D62D2477A4440C17244E7B3B2A43C5646CAC3F6F7A28E933AF9DBE5C44DC5,01_unit_pdfs/latin/025_Noether_Paper02_Section24_Interslavic_v001.pdf,927D053CFD4AD9FC8C6208090CC4BC30982FDCA7603D99EDD844E393A3096108,1,83541,0,True,0,0,0,0,0
26,latin,paper02/interslavic/v001/Noether_Paper02_Section25_Interslavic_v001.tex,9A756B16EE45821A73AE07FADFF77F06E86ABD1C5EB4227055F579A7B9D6B955,02_tex/latin/026_Noether_Paper02_Section25_Interslavic_v001.tex,9A756B16EE45821A73AE07FADFF77F06E86ABD1C5EB4227055F579A7B9D6B955,01_unit_pdfs/latin/026_Noether_Paper02_Section25_Interslavic_v001.pdf,072E4166F506654C26F70EBC4327AAE7CD7B1C19A6153492E8198D25CB050C01,1,81807,0,True,0,0,0,0,0
27,latin,paper02/interslavic/v001/Noether_Paper02_Section26_Interslavic_v001.tex,FEB4934F4352FDF06A4BBA73ABA495FE2E2D01A9D2B1D73B3C2D85B912C10B82,02_tex/latin/027_Noether_Paper02_Section26_Interslavic_v001.tex,FEB4934F4352FDF06A4BBA73ABA495FE2E2D01A9D2B1D73B3C2D85B912C10B82,01_unit_pdfs/latin/027_Noether_Paper02_Section26_Interslavic_v001.pdf,56BCDFDB99F8BB606BC853070E8AF15C31F04AB0BCE4319482756201A266E4D3,5,125602,0,True,0,0,0,0,0
28,latin,paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex,091AE488B496FE77A219E02A9AE6C2F3BE1E17DE29B2292818CFB8B3650A02A6,02_tex/latin/028_Noether_Paper03_Interslavic_v001.tex,091AE488B496FE77A219E02A9AE6C2F3BE1E17DE29B2292818CFB8B3650A02A6,01_unit_pdfs/latin/028_Noether_Paper03_Interslavic_v001.pdf,F74426F38A05C66AADA9929AFF655F0919EE05D4EC5B1F3465FDF2F335CE58A9,2,103953,0,True,0,0,0,0,0
29,latin,paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex,55C4ED9ABA0DDF910903595EED11007789B7555A4D29C482FDEA89AEC7CC34E9,02_tex/latin/029_Noether_Paper04_Introduction_Interslavic_v001.tex,55C4ED9ABA0DDF910903595EED11007789B7555A4D29C482FDEA89AEC7CC34E9,01_unit_pdfs/latin/029_Noether_Paper04_Introduction_Interslavic_v001.pdf,2AEC24DCEAB8360A418B1055F2F1800F856183AD05569BAA0E4573E5299EA2A2,2,106211,0,True,0,0,0,0,0
30,latin,paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex,C09CB951CEC2025E5BB8F5D17E98AE71F525B2BCDF60AD6588C54072D625E4A1,02_tex/latin/030_Noether_Paper04_Section01_Interslavic_v001.tex,C09CB951CEC2025E5BB8F5D17E98AE71F525B2BCDF60AD6588C54072D625E4A1,01_unit_pdfs/latin/030_Noether_Paper04_Section01_Interslavic_v001.pdf,C40A5AA6CADCC0209E3448A8DEA4E13BF1BAAFC4A0EF1BA5F3044A8188EBE05D,2,92620,0,True,0,0,0,0,0
31,latin,paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex,C609CFB21A902401AF5B99FD3B90C970AC3FC41B6B3E049F2D7A486E728488F8,02_tex/latin/031_Noether_Paper04_Section02_Interslavic_v001.tex,C609CFB21A902401AF5B99FD3B90C970AC3FC41B6B3E049F2D7A486E728488F8,01_unit_pdfs/latin/031_Noether_Paper04_Section02_Interslavic_v001.pdf,948B843105D4FC7A1850D5EE57DF5F66B19F5A86A8D9B8D62E08586F958F4821,2,96578,0,True,0,0,0,0,0
32,latin,paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex,D2C68BCB1124B3E78873F6CBBAC33E8C911D0D1D7BF7CD167460374D86A212C4,02_tex/latin/032_Noether_Paper04_Section03_Interslavic_v001.tex,D2C68BCB1124B3E78873F6CBBAC33E8C911D0D1D7BF7CD167460374D86A212C4,01_unit_pdfs/latin/032_Noether_Paper04_Section03_Interslavic_v001.pdf,401FBFE8012C1CA694CD371C61B12AD670781514A9A61ED04E56AA778C16BB5E,4,109599,0,True,0,0,0,0,0
33,latin,paper04/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex,5DA5B98E7A944D1FE4A6E8261B1CBA4D23E1ED2330210C43FA4754BB26CB1055,02_tex/latin/033_Noether_Paper04_Section04_Interslavic_v001.tex,5DA5B98E7A944D1FE4A6E8261B1CBA4D23E1ED2330210C43FA4754BB26CB1055,01_unit_pdfs/latin/033_Noether_Paper04_Section04_Interslavic_v001.pdf,AF0A12E24BD290060684B32706959AFB314FCDBB8B111763E4361497DBBA9619,3,77097,0,True,0,0,0,0,0
34,latin,paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex,C9F7DA0D4EA4B97A654C3705EF948A90D038FEC9B37D77D122843A607D9B4B6B,02_tex/latin/034_Noether_Paper04_Section05_Interslavic_v001.tex,C9F7DA0D4EA4B97A654C3705EF948A90D038FEC9B37D77D122843A607D9B4B6B,01_unit_pdfs/latin/034_Noether_Paper04_Section05_Interslavic_v001.pdf,FCAD4D7302F3019B2E51903E5488EF8B44A8BAF49823FD92BC39038181CE2843,2,95374,0,True,0,0,0,0,0
35,latin,paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex,0938003A743B6DBAE4BF1E7F9B329D0E90668EA13FA88C8D43A45463B0888644,02_tex/latin/035_Noether_Paper04_Section06_Interslavic_v001.tex,0938003A743B6DBAE4BF1E7F9B329D0E90668EA13FA88C8D43A45463B0888644,01_unit_pdfs/latin/035_Noether_Paper04_Section06_Interslavic_v001.pdf,E7B39CFC99429B16C66CF1728854673E1FEF6D02491A97A04E1496A7AACECD0F,3,99450,0,True,0,0,0,0,0
36,latin,paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex,BC7C738191199C342ACC49A815D7C9B23ED627C2C472178BD064B93F8722E04C,02_tex/latin/036_Noether_Paper04_Section07_Interslavic_v001.tex,BC7C738191199C342ACC49A815D7C9B23ED627C2C472178BD064B93F8722E04C,01_unit_pdfs/latin/036_Noether_Paper04_Section07_Interslavic_v001.pdf,57A87D7AEE55E7661ABE09FB59C0C7AE21E09E927A243A8906411B0703AAAB54,4,109593,0,True,0,0,0,0,0
37,latin,paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex,27A2B5C797D0A8058E60C9CA1CD378F7ACA2064BBE868F36EA2C418FCABE9A94,02_tex/latin/037_Noether_Paper04_Section08_Interslavic_v001.tex,27A2B5C797D0A8058E60C9CA1CD378F7ACA2064BBE868F36EA2C418FCABE9A94,01_unit_pdfs/latin/037_Noether_Paper04_Section08_Interslavic_v001.pdf,1801DF030E2DDAE26090CEDF1EDB1D2FB502E3886A3E2F0611E9C96901A561E9,5,101380,0,True,0,0,0,0,0
38,latin,paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex,62A51E3889DB1E5941496E4D47215ECB1695C2D64EC004A2180B2212ED3E359A,02_tex/latin/038_Noether_Paper04_Section09_Interslavic_v001.tex,62A51E3889DB1E5941496E4D47215ECB1695C2D64EC004A2180B2212ED3E359A,01_unit_pdfs/latin/038_Noether_Paper04_Section09_Interslavic_v001.pdf,AD2DA438B671BA7112723496CCEEA9F326F7195A7355259518F7A8D39AC69447,2,84489,0,True,0,0,0,0,0
39,latin,paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex,C2E15166E8FF60A61408D438DDCA8F7406E3DBABFA28A7F1A33003AEB79B2369,02_tex/latin/039_Noether_Paper05_Interslavic_v001.tex,C2E15166E8FF60A61408D438DDCA8F7406E3DBABFA28A7F1A33003AEB79B2369,01_unit_pdfs/latin/039_Noether_Paper05_Interslavic_v001.pdf,4B1DED841E0294994D914EE532B8484397B6DA5CC710AD2F158C9EB873713888,2,69872,0,True,0,0,0,0,0
40,latin,paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex,D8B6A6F951C02F67C23340325E2BEA962D3F52E2F8DCB3FDA462F3F62FDB2D90,02_tex/latin/040_Noether_Paper06_Introduction_Interslavic_v001.tex,D8B6A6F951C02F67C23340325E2BEA962D3F52E2F8DCB3FDA462F3F62FDB2D90,01_unit_pdfs/latin/040_Noether_Paper06_Introduction_Interslavic_v001.pdf,2BBCFC849B07CFC394DDF84E6FE85C381923B320DCD3A32471FB9569C17C4390,2,68194,0,True,0,0,0,0,0
41,latin,paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex,4FD84B801D57EFCFE087ECD1BC8B9D108ECF0C1F70AB51F878953677E0BE9699,02_tex/latin/041_Noether_Paper06_Section01_Interslavic_v001.tex,4FD84B801D57EFCFE087ECD1BC8B9D108ECF0C1F70AB51F878953677E0BE9699,01_unit_pdfs/latin/041_Noether_Paper06_Section01_Interslavic_v001.pdf,EDDC40F3A06000F909A20E7E6E25DA681116C6B5C6746F34C4B18C2A96CDE2E5,2,91095,0,True,0,0,0,0,0
42,latin,paper06/interslavic/v001/Noether_Paper06_Section02_Interslavic_v001.tex,A8F2FED43DA301526D27B8C2D70C60C8876DF8E03660EFB62DCA3F1E5DA26083,02_tex/latin/042_Noether_Paper06_Section02_Interslavic_v001.tex,A8F2FED43DA301526D27B8C2D70C60C8876DF8E03660EFB62DCA3F1E5DA26083,01_unit_pdfs/latin/042_Noether_Paper06_Section02_Interslavic_v001.pdf,FA850FCCC1AD6A004E704EF72C90D31BEB5D591F8F5873B4BC4CB72599B0466F,2,99791,0,True,0,1,0,0,0
43,latin,paper06/interslavic/v001/Noether_Paper06_Section03_Interslavic_v001.tex,6EA0CAEDBB759C0D8A7208AF3C9951AEFFAC3F118B708E480A85A0A68E453258,02_tex/latin/043_Noether_Paper06_Section03_Interslavic_v001.tex,6EA0CAEDBB759C0D8A7208AF3C9951AEFFAC3F118B708E480A85A0A68E453258,01_unit_pdfs/latin/043_Noether_Paper06_Section03_Interslavic_v001.pdf,FB68C625242753566525947D723D1796A9671380EC0242837B886D54062E67E3,3,95785,0,True,0,1,0,0,0
44,latin,paper06/interslavic/v001/Noether_Paper06_Section04_Interslavic_v001.tex,ADAA87DD127F2DBE0726CC520506BF4EA0711F522ED3E7364EF75BCFED6F45D7,02_tex/latin/044_Noether_Paper06_Section04_Interslavic_v001.tex,ADAA87DD127F2DBE0726CC520506BF4EA0711F522ED3E7364EF75BCFED6F45D7,01_unit_pdfs/latin/044_Noether_Paper06_Section04_Interslavic_v001.pdf,90F78C842BADA4D1E2ABBCCABE24CC79DD8BA2FF78DDCF2332790D8C2275D262,2,90181,0,True,0,0,0,0,0
45,latin,paper06/interslavic/v001/Noether_Paper06_Section05_Interslavic_v001.tex,20D582DB8211655FBA0EEA8B62606EE8526CA9C270E4A4823289AA5A4E8FD7DE,02_tex/latin/045_Noether_Paper06_Section05_Interslavic_v001.tex,20D582DB8211655FBA0EEA8B62606EE8526CA9C270E4A4823289AA5A4E8FD7DE,01_unit_pdfs/latin/045_Noether_Paper06_Section05_Interslavic_v001.pdf,E5A5F33F8CC2BE80B1EDADA781A2E9EE8754ED8D9E3458EA1021897E9AECBE8E,3,102005,0,True,0,0,0,0,0
46,latin,paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex,6D872C6FE450E99CCEB86C8DDC7E62366CECBD5DA1A1B75A6D1FC4E65F392EBA,02_tex/latin/046_Noether_Paper06_Section06_Interslavic_v001.tex,6D872C6FE450E99CCEB86C8DDC7E62366CECBD5DA1A1B75A6D1FC4E65F392EBA,01_unit_pdfs/latin/046_Noether_Paper06_Section06_Interslavic_v001.pdf,1E726E763AE730F0FB6F58E5CA7DD2675BFD2F65DE419F018A1AE3A8CECB97A2,1,87395,0,True,0,0,0,0,0
47,latin,paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex,C37DFB5813ED4947CC6E70ED231995DF68FBB4E790E0C30D941837B04D4CF582,02_tex/latin/047_Noether_Paper06_Section07_Interslavic_v001.tex,C37DFB5813ED4947CC6E70ED231995DF68FBB4E790E0C30D941837B04D4CF582,01_unit_pdfs/latin/047_Noether_Paper06_Section07_Interslavic_v001.pdf,123B2E0EEF1D53C523B33BD7E201558E1706AA171E5A42A41AE22868B78B780A,2,95151,0,True,0,0,0,0,0
48,latin,paper06/interslavic/v001/Noether_Paper06_Section08_Interslavic_v001.tex,E96D77B2D2B580424B482EE535F2455C04B4D24F8DC7C45DFE51F18E2D155CBE,02_tex/latin/048_Noether_Paper06_Section08_Interslavic_v001.tex,E96D77B2D2B580424B482EE535F2455C04B4D24F8DC7C45DFE51F18E2D155CBE,01_unit_pdfs/latin/048_Noether_Paper06_Section08_Interslavic_v001.pdf,5C881850B43576303665722AEB39EE1258A359A783507EC85A302692AA8DCC80,2,90935,0,True,0,0,0,0,0
49,latin,paper06/interslavic/v001/Noether_Paper06_Section09_Interslavic_v001.tex,BC25DFE4238C48277761B56707B2ADD2A35EE06D242DAB9A67F776FFA281666F,02_tex/latin/049_Noether_Paper06_Section09_Interslavic_v001.tex,BC25DFE4238C48277761B56707B2ADD2A35EE06D242DAB9A67F776FFA281666F,01_unit_pdfs/latin/049_Noether_Paper06_Section09_Interslavic_v001.pdf,D2F67FA0FD2389ED875D384C5925B088FB0DC8BB91294AD3DDCADD84A5CF024F,2,103987,0,True,0,0,0,0,0
50,latin,paper06/interslavic/v001/Noether_Paper06_Section10_Interslavic_v001.tex,0C0935BA31BF9745F79D47BC1E641C87B025927DFE8905ECEB8D0081AEEC083E,02_tex/latin/050_Noether_Paper06_Section10_Interslavic_v001.tex,0C0935BA31BF9745F79D47BC1E641C87B025927DFE8905ECEB8D0081AEEC083E,01_unit_pdfs/latin/050_Noether_Paper06_Section10_Interslavic_v001.pdf,CEF8839402A88307B07C1C0AAAA5580E4AC9BF097ABA914161A43FC3E8F7DAC9,2,94574,0,True,0,0,0,0,0
