"alias","branch_path","packet_copy","bytes","sha256","csv_rows","use_in_r3"
"branch_visible_r3_7b_fable_adverse","interlanguage-sidecar/r3-7b34ec91-branch-visible-1a-persianate-route-source-use-gap-20260707/R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707_20260707T035624Z/R3_7B34EC91_FABLE_ADVERSE_BOUNDARY_LEDGER.csv","branch-visible-inputs/branch_visible_r3_7b_fable_adverse__R3_7B34EC91_FABLE_ADVERSE_BOUNDARY_LEDGER.csv","1041","88869ef0a54432738807ee89fec31dce065f70723344b9b5fdc4f6ae85e2c699","4","R3 Fable/adverse carryforward"
"branch_visible_r3_7b_language_boundary","interlanguage-sidecar/r3-7b34ec91-branch-visible-1a-persianate-route-source-use-gap-20260707/R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707_20260707T035624Z/R3_7B34EC91_LANGUAGE_BOUNDARY_ROWS.csv","branch-visible-inputs/branch_visible_r3_7b_language_boundary__R3_7B34EC91_LANGUAGE_BOUNDARY_ROWS.csv","884","d9cb4bd4d4a2d61c21f6ce7fe2b762bea7ea201436d3c41b9a48c33d789061bf","6","R3 language boundary carryforward"
"branch_visible_r3_1a_same_frontier_validation","interlanguage-sidecar/r3-1a823d4a-same-frontier-idle-recovery-source-use-gap-20260707/R3_1A823D4A_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T034031Z/PACKAGE_VALIDATION.json","branch-visible-inputs/branch_visible_r3_1a_same_frontier_validation__PACKAGE_VALIDATION.json","1336","21829db111f8a037ac587e7446c953ac1eba1dc1f86f02dede5118cffa84aa9c","0","A55 branch-visible 1A same-frontier validation witness"
"branch_visible_r3_1a_source_use_gap","interlanguage-sidecar/r3-1a823d4a-same-frontier-idle-recovery-source-use-gap-20260707/R3_1A823D4A_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T034031Z/R3_1A823D4A_SOURCE_USE_GAP_LEDGER.csv","branch-visible-inputs/branch_visible_r3_1a_source_use_gap__R3_1A823D4A_SOURCE_USE_GAP_LEDGER.csv","2098","0254e4dc79e4efb45103eb17ea02f2b6cd316003bd5a19bd69384032d3182194","4","A55 R3 source-use/gap context"
"b3_18bbb_action_summary","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_A55A9D0F_7B_NONSLAVIC_R6_R3_A55_ROUTE_CONTEXT_BATCH_20260707/B3_ACTION_SUMMARY.csv","branch-visible-inputs/b3_18bbb_action_summary__B3_ACTION_SUMMARY.csv","223","fc5c057b00c77b90a4a0a85d48683188f75ed49d0afdacea8b66e35b595f4785","1","B3 package visibility context"
"b3_a55_action_summary","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7B34EC91_1A_R3_R6_ACCOUNTING_REFRESH_20260707/B3_ACTION_SUMMARY.csv","branch-visible-inputs/b3_a55_action_summary__B3_ACTION_SUMMARY.csv","265","7a0443b35eb62194c18e5705738d53019ced624461a9fa50b059558549a6ec5d","1","B3 A55 accounting refresh context"
"r6_7b_cross_lane_boundary","uploader-transfer/r6-7b34ec91-current-head-source-start-continuation-20260707/R6_7B34EC91_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707/source-use/R6_7B34EC91_CROSS_LANE_CONTEXT_BOUNDARY.csv","branch-visible-inputs/r6_7b_cross_lane_boundary__R6_7B34EC91_CROSS_LANE_CONTEXT_BOUNDARY.csv","1381","0aeea549fc34a2548c39f6da1775aacfcc4279ac0367b76fc54b67dcff15ab75","2","R6 adjacent context only; no R3 authority merge"
"r6_7b_fable_adverse","uploader-transfer/r6-7b34ec91-current-head-source-start-continuation-20260707/R6_7B34EC91_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707/fable/R6_7B34EC91_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","branch-visible-inputs/r6_7b_fable_adverse__R6_7B34EC91_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","2232","ea9f506019dd36f18b5ff56fccd7ec8155d08801f985e35418318cfe02ff32cf","5","R6 Fable/adverse adjacent context only"
"r6_1a_accounting_source_use","uploader-transfer/r6-1a823d4a-accounting-refresh-after-coordinator-scan-20260707/R6_1A823D4A_ACCOUNTING_REFRESH_AFTER_COORDINATOR_SCAN_20260707/source-use/SOURCE_USE_GAP_ROWS_20260707.csv","branch-visible-inputs/r6_1a_accounting_source_use__SOURCE_USE_GAP_ROWS_20260707.csv","1293","3ca7e9b3b13a48ae73d6af06ebd3818681965df87670945d484866c8a1376c0e","4","A55 R6 source-use adjacent context only"
"r6_1a_accounting_fable","uploader-transfer/r6-1a823d4a-accounting-refresh-after-coordinator-scan-20260707/R6_1A823D4A_ACCOUNTING_REFRESH_AFTER_COORDINATOR_SCAN_20260707/fable/FABLE_ADVERSE_EVIDENCE_LEDGER_20260707.csv","branch-visible-inputs/r6_1a_accounting_fable__FABLE_ADVERSE_EVIDENCE_LEDGER_20260707.csv","619","d0b3ff6e01d72fc8bcd5ae48be589c7c4afa6a5d00acd98668d9a61cd7b64a3c","2","A55 R6 Fable/adverse adjacent context only"
