priority,rel_path,grade,score,flags,bytes,title_guess,recommended_action
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch6.tex,A,77,GOOD_MATH,71053,"Carl Friedrich Gauß Werke --- Band 3, Teil 6",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch11.tex,A,78,GOOD_MATH,52166,"Carl Friedrich Gau Werke --- Band 2, Teil 11",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch4.tex,A,79,GOOD_MATH,43738,"Carl Friedrich Gauß Werke --- Band 2, Teil 4",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch1.tex,A,81,GOOD_MATH,51368,Carl Friedrich Gau Werke --- Einzelband,Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch10.tex,A,84,GOOD_MATH,12530,"Carl Friedrich Gauß Werke --- Band~2, Teil~10",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch5.tex,A,84,GOOD_MATH,48404,"Carl Friedrich Gau Werke --- Band 3, Teil 5",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch2.tex,A,86,GOOD_MATH,89837,"Carl Friedrich Gauß Werke --- Band 3, Teil 2",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch4.tex,A,86,GOOD_MATH,113147,nan,Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch5.tex,A,86,GOOD_MATH,113283,[0.5em] Disquisitiones Arithmeticae --- Sectio Quinta,Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch5.tex,A,87,GOOD_MATH,93553,"Carl Friedrich Gau  Werke --- Band 2, Teil 5",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch6.tex,A,87,GOOD_MATH,88962,"Carl Friedrich Gau Werke --- Band 2, Teil 6",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch8.tex,A,87,GOOD_MATH,49829,"Carl Friedrich Gauß Werke — Band 2, Teil 8",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch2.tex,A,87,GOOD_MATH,118963,"Carl Friedrich Gau Werke --- Einzelband, Teil 2",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch7.tex,A,88,GOOD_MATH,55697,"Carl Friedrich Gauß Werke --- Band~2, Teil~7",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch3.tex,A,88,GOOD_MATH,46652,"Carl Friedrich Gauß Werke — Band 3, Teil 3",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch11.tex,A,89,GOOD_MATH,44741,"Werke --- Band 3, Teil 11",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch4.tex,A,89,GOOD_MATH,105257,"Carl Friedrich Gau  Werke --- Band 3, Teil 4",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch8.tex,A,89,GOOD_MATH,93270,"Carl Friedrich Gauß Werke --- Band 3, Teil 8",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch9.tex,A,89,GOOD_MATH,87408,Carl Friedrich Gauß Werke --- Band 3 [0.5em],Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch9.tex,A,89,GOOD_MATH,81578,"Einzelband, Teil 9",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch10.tex,A,90,GOOD_MATH,74514,[.5em],Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch10.tex,A,90,GOOD_MATH,33612,"Einzelband, Teil 10",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch3.tex,A,90,GOOD_MATH,59874,"Carl Friedrich Gau Werke --- Einzelband, Teil 3",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch8.tex,A,90,GOOD_MATH,57964,"Einzelband, Teil 8",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch7.tex,A,93,GOOD_MATH|HAS_THEOREMS,49998,"Carl Friedrich Gauß Werke --- Band 3, Teil 7",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,17_Gauss_Werke_Band03/gauss_b03_ch1.tex,A,95,GOOD_MATH|MULTILINGUAL,70115,Carl Friedrich Gau Werke --- Band 3,Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch1.tex,A,102,GOOD_MATH|HAS_THEOREMS,61885,Carl Friedrich Gauß Werke --- Band II,Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,16_Gauss_Werke_Band02/gauss_b02_ch2.tex,A,111,GOOD_MATH|HAS_THEOREMS,37901,"Carl Friedrich Gau Werke --- Band 2, Teil 2",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch7.tex,A,125,GOOD_MATH|MULTILINGUAL,105770,"Einzelband, Teil 7",Good candidate for English translation if not already public and source pages can be checked.
P2_TRANSLATE_LESS_STANDARD_READY_TEX,23_Gauss_Werke_Einzel/gauss_einzel_ch6.tex,A,137,GOOD_MATH|HAS_THEOREMS,112573,"Einzelband, Teil 6",Good candidate for English translation if not already public and source pages can be checked.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch14.tex,A,41,CLEAN,24839,"Carl Friedrich Gau  Werke --- Band~7, Teil~14",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch1.tex,A,58,CLEAN,70426,"Carl Friedrich Gau Werke --- Band 11, Abteilung 1",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch14.tex,A,60,MULTILINGUAL,109369,"Carl Friedrich Gau Werke --- Band 6, Teil 14",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch12.tex,A,65,GOOD_MATH,69807,"Carl Friedrich Gau Werke --- Band 5, Teil 12",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch6.tex,A,69,GOOD_MATH,30118,"Carl Friedrich Gau Werke --- Band 6, Teil 6",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,18_Gauss_Werke_Band04/gauss_b04_ch8.tex,A,73,GOOD_MATH,49380,"Carl Friedrich Gauß Werke --- Band 4, Teil 8",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch7.tex,A,75,GOOD_MATH,51558,"Band 1, Teil 7",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch2.tex,A,78,GOOD_MATH,51916,"Carl Friedrich Gau Werke --- Band 7, Teil 2",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch14.tex,A,79,GOOD_MATH,14159,"Carl Friedrich Gauß Werke --- Band 5, Teil 14",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch5.tex,A,80,GOOD_MATH,68999,nan,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch9.tex,A,80,GOOD_MATH,117707,"Carl Friedrich Gauß Werke --- Band 6, Teil 9",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch10.tex,A,80,GOOD_MATH,113583,Teil 10,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch4.tex,A,81,GOOD_MATH,65005,nan,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch9.tex,A,81,GOOD_MATH,95234,Teil 9,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch8.tex,A,81,GOOD_MATH,113243,[0.5em],Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch2.tex,A,82,GOOD_MATH,99155,"Carl Friedrich Gau Werke --- Band 1, Teil 2",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,18_Gauss_Werke_Band04/gauss_b04_ch9.tex,A,83,GOOD_MATH,40387,"Carl Friedrich Gau Werke --- Band 4, Teil 9",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch9.tex,A,83,GOOD_MATH,37123,"Carl Friedrich Gauß Werke --- Band~5, Teil~9",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch3.tex,A,84,GOOD_MATH,92394,"Carl Friedrich Gauß Werke --- Band 5, Teil 3",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch5.tex,A,84,GOOD_MATH,84046,"Werke --- Band I, Teil V [0.5em]",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch6.tex,A,85,GOOD_MATH,48716,"Carl Friedrich Gauß Werke --- Band 7, Teil 6",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch10.tex,A,86,GOOD_MATH,54375,"Carl Friedrich Gauß Werke --- Band 5, Teil 10",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch6.tex,A,86,GOOD_MATH,83143,"Carl Friedrich Gauß Werke --- Band 5, Teil 6",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch11.tex,A,86,GOOD_MATH,68151,Teil 11,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch4.tex,A,86,GOOD_MATH,119639,Werke Band 1 --- Disquisitiones Arithmeticae [0.5em],Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch9.tex,A,86,GOOD_MATH,115578,"Band 1, Teil 9",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch4.tex,A,87,GOOD_MATH,109046,"Carl Friedrich Gauß Werke --- Band 6, Teil 4",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch3.tex,A,87,GOOD_MATH,71826,"Carl Friedrich Gauß Werke --- Band 7, Teil 3",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch6.tex,A,87,GOOD_MATH,65812,"Band 1 (Alternate), Teil 6",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch8.tex,A,87,GOOD_MATH,110352,"Band 1 (Alternate), Teil 8",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch1.tex,A,87,GOOD_MATH,62508,Carl Friedrich Gauß Werke --- Band 1,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,18_Gauss_Werke_Band04/gauss_b04_ch4.tex,A,88,GOOD_MATH,63959,"Carl Friedrich Gau Werke --- Band 4, Teil 4",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch5.tex,A,88,GOOD_MATH,52779,"Carl Friedrich Gauß Werke --- Band~6, Teil~5",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch1.tex,A,88,GOOD_MATH,75421,Carl Friedrich Gau Werke --- Band 7,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch5.tex,A,88,GOOD_MATH,71751,"Carl Friedrich Gau  Werke --- Band 7, Teil 5",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch6.tex,A,88,GOOD_MATH,66349,Teil 6,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch6.tex,A,88,GOOD_MATH,60429,"Werke Band 1, Teil 6 [0.5em] De formis secundi gradus",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,18_Gauss_Werke_Band04/gauss_b04_ch1.tex,A,89,GOOD_MATH,79519,[1em],Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,18_Gauss_Werke_Band04/gauss_b04_ch5.tex,A,89,GOOD_MATH,166525,nan,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch1.tex,A,89,GOOD_MATH,69934,Carl Friedrich Gau  Werke --- Band 6,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/section4.tex,A,89,GOOD_MATH,19643,Carl Friedrich Gau Werke --- Band 6,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch11.tex,A,89,GOOD_MATH,69372,"Carl Friedrich Gauß Werke --- Band 7, Teil 11",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch12.tex,A,89,GOOD_MATH,55260,"Carl Friedrich Gauß Werke --- Band 7, Teil 12",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch2.tex,A,89,GOOD_MATH,81572,"Carl Friedrich Gau Werke --- Band 11, Abt. 1, Teil 2",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch5.tex,A,89,GOOD_MATH,46479,"Band 1 (Alternate), Teil 5",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,25_Gauss_Werke_Band01/gauss_b01_ch10.tex,A,89,GOOD_MATH,74777,[0.5em],Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch1.tex,A,90,GOOD_MATH,76571,Carl Friedrich Gau Werke --- Band~5,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch11.tex,A,90,GOOD_MATH,91137,"Carl Friedrich Gau Werke --- Band 5, Teil 11",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch3.tex,A,90,GOOD_MATH,76852,"Carl Friedrich Gauß Werke --- Band 6, Teil 3",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/gauss_b06_ch7.tex,A,90,GOOD_MATH,127644,"Carl Friedrich Gau  Werke --- Band~6, Teil~7",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/section2.tex,A,90,GOOD_MATH,8121,Carl Friedrich Gau Werke --- Band 6,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,20_Gauss_Werke_Band06/section3.tex,A,90,GOOD_MATH,30269,Carl Friedrich Gau Werke --- Band 6,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch10.tex,A,90,GOOD_MATH,35648,"Carl Friedrich Gau Werke --- Band 7, Teil 10",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch13.tex,A,90,GOOD_MATH,28407,"Carl Friedrich Gauß Werke --- Band 7, Teil 13",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch7.tex,A,90,GOOD_MATH,75489,"Carl Friedrich Gau Werke --- Band 7, Teil 7",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch3.tex,A,90,GOOD_MATH,63384,"Carl Friedrich Gau  Werke --- Band 11, Abt.~1, Teil 3",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch7.tex,A,90,GOOD_MATH,85385,Teil 7,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch8.tex,A,90,GOOD_MATH,105139,Teil 8,Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch1.tex,A,90,GOOD_MATH,34869,Carl Friedrich Gau Werke --- Band 1 (Alternate),Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch10.tex,A,90,GOOD_MATH,95578,"Band 1 (Alternate), Teil 10",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch11.tex,A,90,GOOD_MATH,38426,"Band 1 (Alternate), Teil 11",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch2.tex,A,90,GOOD_MATH,22758,"Carl Friedrich Gau Werke --- Band 1 (Alternate), Teil 2",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch3.tex,A,90,GOOD_MATH,29501,"Carl Friedrich Gau Werke --- Band 1 (Alternate), Teil 3",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch4.tex,A,90,GOOD_MATH,26032,"Band 1 (Alternate), Teil 4",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,24_Gauss_Werke_Band01_alt/gauss_b01a_ch7.tex,A,90,GOOD_MATH,100228,"Band 1 (Alternate), Teil 7",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,21_Gauss_Werke_Band07/gauss_b07_ch9.tex,A,93,GOOD_MATH|MULTILINGUAL,106978,"Carl Friedrich Gauß Werke --- Band 7, Teil 9",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,22_Gauss_Werke_Band11_Abt1/gauss_b11_ch5.tex,A,113,GOOD_MATH|MULTILINGUAL,63220,"Carl Friedrich Gau Werke --- Band 11, Abt. 1, Teil 5",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
P3_READY_SOURCE_HOLD,19_Gauss_Werke_Band05/gauss_b05_ch13.tex,A,122,GOOD_MATH|MULTILINGUAL,93485,"Carl Friedrich Gauß Werke --- Band 5, Teil 13",Keep in cumulative source shelf; use after higher-priority repair/translation pass.
