"record_id","revision","status","locator","source_structure","inherited_witness","target_structure","check","disposition","notes"
"P04S07-FORM-013","1","active","property 2 vanishing prose R823 4189","R823 omits dot; print has dotted p","omits dot","dotted p vanishes identically","PASS","print-adjudicated restoration","source defect P04S07-SRCDEF-004"
"P04S07-FORM-014","1","active","formula 53 R823 4192-4196","polar operation; i not k; both ranges 1 through rho","matching","same operation and ranges","PASS","retain","Pi and Pi^sigma roles kept distinct"
"P04S07-FORM-015","1","active","formula 54 R823 4198-4202","F sum alpha zero through k_rho; rho at most n","matching","same sum and bound","PASS","retain","degree statement checked"
"P04S07-FORM-016","1","active","Mertens determinant footnote R823 4197","article title; Vienna proceedings volume 91 second section 1885 formula 20","matching","same bibliographic and formula locator","PASS","retain","third original section-7 footnote"
"P04S07-FORM-017","1","active","formula 55 R823 4204-4207","rho derivative factors paired with xi^(1) through xi^(rho); power alpha","matching","same differential operation","PASS","retain","all rho superscripts checked"
"P04S07-FORM-018","1","active","formula 56 R823 4209-4212","rho derivative factors paired with p_rho; power alpha","matching","same replacement process","PASS","retain","all indices checked"
"P04S07-FORM-019","1","active","post-56 replacement R823 4213","R823 uses dummy p_rho and xi^(rho); print uses p_sigma and xi^(sigma)","follows R823","R823 dummy index","PASS","follow coherent R823 normalization","nonsemantic dummy-index editorial delta"
"P04S07-FORM-020","1","active","formula 57 R823 4214-4219","determinant product equals Delta; derivative product equals nabla","changes first equality to similarity","both defining equalities","PASS","repair inherited","defining equality restored"
"P04S07-FORM-021","1","active","formula 58 R823 4221-4224","F equals sum c Delta^alpha (G)","matching","same expansion","PASS","retain","rho equals n case"
"P04S07-FORM-022","1","active","G calculation R823 4228-4234","unnumbered derivative product; nabla^beta_n Pi(f) equals sum c phi","matching","same exponents and equality chain","PASS","retain","fifth of nine unnumbered displays"
"P04S07-FORM-023","1","active","formula 59 R823 4236-4239","(f) equals sum c Delta^alpha(phi); Mertens formula 23","matching","same formula and locator","PASS","retain","parenthetical locator preserved"
"P04S07-FORM-024","1","active","ground-form relation R823 4241-4243","f times Delta^m equals two sums","matching","same equality chain","PASS","retain","sixth of nine unnumbered displays"
"P04S07-FORM-025","1","active","formula 60 R823 4245-4248","f equals sum c Phi","matching","same expansion","PASS","retain","Phi definition follows in prose"
"P04S07-FORM-026","1","active","Mertens section-7 footnote R823 4249","comparison of direct conclusion with extra Mertens processes","matching","complete comparison note","PASS","retain","fourth original section-7 footnote"
"P04S07-FORM-027","1","active","formula 61 R823 4250-4253","theta transformed equals sum c Delta^beta(Gamma)","matching","same expansion","PASS","retain","all Greek symbols checked"
"P04S07-FORM-028","1","active","theta characterization R823 4255-4257","(theta) Delta^sigma equals sum c(f); Mertens formula 9","matching","same relation and locator","PASS","retain","seventh of nine unnumbered displays"
"P04S07-FORM-029","1","active","theta reduction R823 4259-4261","(theta) equals sum c nabla^sigma(f); Gamma equals sum c phi","matching","same two relations","PASS","retain","eighth of nine unnumbered displays"
"P04S07-FORM-030","1","active","final theta relation R823 4263-4265","(theta) equals sum c Delta^beta(phi)","matching","same relation","PASS","retain","ninth of nine unnumbered displays"
"P04S07-FORM-031","1","active","Theorem VII R823 4268","every form row replaceable by equivalent system of normal forms","matching","same theorem statement","PASS","retain","named result preserved"
"P04S07-FORM-032","1","active","opening Mertens footnote R823 4113","Mertens quaternary-forms article; cited as Mertens","matching","same title and citation convention","PASS","retain","first original section-7 footnote"
"P04S07-FORM-033","1","active","opening Study footnote R823 4113","Study loc cit page 54","matching","Study loc cit page 54","PASS","retain","second original section-7 footnote"
"P04S07-FORM-034","1","active","series-expansion endpoint R823 4121","R823 says rho less than n; print says rho at most n; formula 54 and later rho equals n case confirm inclusion","inherits strict rho less than n","rho at most n with immediate disclosure","PASS","print-adjudicated restoration","source defect P04S07-SRCDEF-005"
