form_id,lexeme_id,gloss,language_code,language_lane,form,supporting_source_document_ids,supporting_witness_ids,source_use_labels,support_status,form_note,non_claim_boundary
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-6e88c57e7d,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,片側アルティン環,CJK-WAVE4-JA-PDF-MATHSOC-BABA,CJK-WAVE4-WITNESS-20260705-0012,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-8aacc34a2e,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,アルティン環,CJK-WAVE4-JA-PDF-MATHSOC-BABA;CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0013;CJK-WAVE4-WITNESS-20260705-0019,candidate-source-body;community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-99f02c847d,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,片側アルティン環,CJK-WAVE4-JA-PDF-MATHSOC-BABA,CJK-WAVE4-WITNESS-20260705-0014,candidate-source-body,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-ff9baa3ae3,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,アルティン加群,CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0015,community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-90b6479223,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,Artinian module,CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0017,community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-ea052526d6,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,アルティン加群,CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0018,community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artinian-artin-finiteness-5a1f243ed6-japane-53f2c6672b,CJK-W4-LEX-artinian-artin-finiteness-5a1f243ed6,Artinian/Artin,ja,japanese,Artinian module,CJK-WAVE4-JA-WIKI-ARTIN-MODULE-RAW,CJK-WAVE4-WITNESS-20260705-0020,community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-completely-reducible-representation-theory--e875d598ce,CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,completely reducible,ko,korean_addendum,완전 가약 표현,CJK-WAVE4-KO-WIKI-REDUCTIVE-LIE-ALGEBRA-RAW,CJK-WAVE4-WITNESS-20260705-0021;CJK-WAVE4-DRAFT-KO-COMPLETE-REDUCIBLE-001,korean-addendum-community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-completely-reducible-representation-theory--f21710bdb7,CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,completely reducible,ko,korean_addendum,완전 가약,CJK-WAVE4-KO-WIKI-LIE-GROUP-REPRESENTATION-RAW;CJK-WAVE4-KO-WIKI-REDUCTIVE-LIE-ALGEBRA-RAW,CJK-WAVE4-WITNESS-20260705-0022;CJK-WAVE4-WITNESS-20260705-0024,korean-addendum-community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-completely-reducible-representation-theory--f742d56f0d,CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,completely reducible,ko,korean_addendum,완전 가약성,CJK-WAVE4-KO-WIKI-LIE-GROUP-REPRESENTATION-RAW,CJK-WAVE4-WITNESS-20260705-0023,korean-addendum-community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-completely-reducible-representation-theory--f38da90a9b,CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,completely reducible,ko,korean_addendum,기약표현들의 직합,CJK-WAVE4-KO-WIKI-LIE-GROUP-REPRESENTATION-RAW,CJK-WAVE4-WITNESS-20260705-0025,korean-addendum-community-provenance-not-canonical,generated-draft/non-canonical/review-material-only,Candidate form derived from exact source-context witness; not accepted terminology.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
CJK-W4-FORM-cjk-w4-lex-artin-artinian-finiteness-d5fab98be6-japane-33427aa342,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,Artin/Artinian,ja,japanese,アルティン加群 / アルティン環,,CJK-WAVE4-DRAFT-JA-ARTIN-001,,generated-draft/non-canonical/review-material-only,アルティン | 加群 = Artinian | module; アルティン | 環 = Artinian | ring; generated-draft/non-canonical.,"wave-4 Fable integration delta only; generated-draft/non-canonical; no native review, accepted terminology, canonical approval, blanket license clearance, source certification, gate promotion, final status, translation completion, public/native signoff, pan-CJK authority, or Korean-school authority claim"
