concept_id,concept,domain,language,fill_status,form,source_document,source_locator,source_category,source_use_label,confidence,note
C2-equation,equation,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,муодила,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,"lines 27, 57, 100 and related linear-system headings",OCR-located-in-native-PDF,source-discovery-not-promoted,0.50,Tajik source-discovery only.
C2-equation,equation,proof_grammar,ur,ocr_only,مساوات,ur/ur_glossary_technical_terms_english_urdu_mathematics_djvu.txt,line 2545,OCR-witness-only,OCR-witness-not-source-truth,0.20,Requires visual/PDF check before any use.
C2-exercise,exercise,proof_grammar,fa_IR,witnessed,تمرین,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,line 853,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Persian source has exercise reference.
C2-exercise,exercise,proof_grammar,prs_AF,witnessed,تمرينات,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 62-63 in exercise/table-of-contents context,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.60,Dari/Afghan Persian evidence is independently witnessed; spelling/register remains reviewer-visible.
C2-exercise,exercise,proof_grammar,tg_Cyrl_TJ,gap,[gap],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No exact Tajik exercise term pinned in current math body; do not infer from independent-work phrases.
C2-exercise,exercise,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu exercise witness in current package.
C2-exists,exists,proof_grammar,fa_IR,witnessed,وجود دارد,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 719 and 745,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Existential proof prose.
C2-exists,exists,proof_grammar,prs_AF,witnessed,وجود دارد,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 622, 1053, 1107-1114",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari graph/discrete-math context.
C2-exists,exists,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,мавҷуд / мавчуд,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,searched; OCR variants appear in broader text,OCR-located-in-native-PDF,source-discovery-not-promoted,0.25,Needs cleaner Tajik exact-page proof anchor.
C2-exists,exists,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu exists witness in current package.
C2-for_all,for all,proof_grammar,fa_IR,witnessed,برای هر,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 745-746 and 780,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Quantifier-like proof prose.
C2-for_all,for all,proof_grammar,prs_AF,witnessed,برای هر,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 4334, 4696, 5209 and other formula-neighboring contexts",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari/Persian Afghanistan source; not inherited from fa_IR or Pashto.
C2-for_all,for all,proof_grammar,tg_Cyrl_TJ,gap,[gap],tg_Cyrl_TJ source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No clean Tajik барои ҳар proof-grammar anchor found in current shelf.
C2-for_all,for all,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu universal-quantifier prose witness in current package.
C2-formula,formula,proof_grammar,fa_IR,witnessed,فرمول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 907 and 1079,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Formula-neighboring Persian math prose.
C2-formula,formula,proof_grammar,prs_AF,witnessed,فرمول,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 42, 158, 512, 557 and related graph/Boolean contexts",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Dari/Persian Afghanistan anchor; Pashto فورمول evidence is retained separately as ps_AF adjacent evidence.
C2-formula,formula,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,формула,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,lines 100 and 139,OCR-located-in-native-PDF,source-discovery-not-promoted,0.50,Tajik source-discovery only.
C2-formula,formula,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu formula witness in current package; OCR is too noisy.
C2-identity,identity,proof_grammar,fa_IR,witnessed,همانی,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 745-746 plus index hits 3059, 3777, 3920",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Identity morphism context.
C2-identity,identity,proof_grammar,prs_AF,witnessed,عينيت / هماني,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 4696 and 4709 in Boolean-algebra identity contexts,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari/Persian Afghanistan form is independently witnessed; Pashto identity contexts do not authorize this row.
C2-identity,identity,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,айният,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,line 1765,OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Tajik non-row only.
C2-identity,identity,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,Urdu OCR has noisy شناخت-like hits; no reliable source body fill.
C2-if_and_only_if,if and only if,proof_grammar,fa_IR,witnessed,اگر و تنها اگر,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 779, 884, 1412, 2853, 2906",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Persian proof biconditional.
C2-if_and_only_if,if and only if,proof_grammar,prs_AF,witnessed,اگر وفقط اگر,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 1026 and 2670,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari proof/discrete-math biconditional; spacing needs review.
C2-if_and_only_if,if and only if,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,шартҳои зарурӣ ва кифоягӣ,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,line 278,OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Condition-language scaffold only; not a promoted iff row.
C2-if_and_only_if,if and only if,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu biconditional witness in current package.
C2-notation,notation,proof_grammar,fa_IR,witnessed_indirect,نشانیدن / نمایش می‌دهیم,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 1211; compare fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt line 425,OCR-located-in-native-PDF,source-witness-indirect,0.45,Exact noun نمادگذاری not pinned; fill as indirect notation/denotation evidence only.
C2-notation,notation,proof_grammar,prs_AF,gap,[gap],prs_AF source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No exact Dari notation term pinned in current shelf.
C2-notation,notation,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,ишора менамоем,tg_Cyrl_TJ/tg_cyrl_zarowadk_davlatov_choriev_algebra_number_theory_part1.pdftotext.txt,"lines 199, 335, 2842 and related notation prose",OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Tajik source-discovery only.
C2-notation,notation,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu notation witness in current package.
C2-proposition,proposition,proof_grammar,fa_IR,witnessed,گزاره,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 427, 643, 647, 776, 804, 843 and many others",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Persian mathematical proposition label.
C2-proposition,proposition,proof_grammar,prs_AF,gap,[gap],prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"searched; قضیه candidate is theorem-like, not proposition fill",gap-searched,source-acquisition-target,0.00,Need exact Dari proposition/گزاره source or reviewer decision.
C2-proposition,proposition,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,тасдиқот / теорема candidate,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,lines 587 and theorem headings around 1458,OCR-located-in-native-PDF,source-discovery-not-promoted,0.25,Candidate only; not promoted.
C2-proposition,proposition,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu proposition witness in current package.
C2-relation,relation,proof_grammar,fa_IR,witnessed,رابطه,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 863 and 866; compare fa_shahrood line 1106,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Persian relation/proof grammar.
C2-relation,relation,proof_grammar,prs_AF,witnessed,رابطه,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 65-75 and 3650-3656,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Dari discrete-math relation context.
C2-relation,relation,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,муносибат / робита candidate,tg_Cyrl_TJ/tg_cyrl_oer_cict_algebra_number_theory_resource_id94.pdftotext.txt,line 33; compare tnu_2017_conference_mater2017 line 65 general робита,OCR-located-in-native-PDF,source-discovery-not-promoted,0.35,Tajik source-discovery only; relation term not promoted.
C2-relation,relation,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu relation witness in current package.
C2-respectively,respectively,proof_grammar,fa_IR,witnessed,به ترتیب,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 1434 and 1707,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Proof/list connector.
C2-respectively,respectively,proof_grammar,prs_AF,witnessed,به ترتیب,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 4137,OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.65,Dari discrete-math connector; not inherited from fa_IR.
C2-respectively,respectively,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,мувофикан / мувофиқан,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,"lines 649, 1348, 1565, 1977 and others",OCR-located-in-native-PDF,source-discovery-not-promoted,0.45,Tajik source-discovery only; OCR has nonstandard/diacritic variation.
C2-respectively,respectively,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu respectively witness in current package.
C2-statement,statement,proof_grammar,fa_IR,gap,[gap: گزاره/عبارت candidates],fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,searched; گزاره and عبارت candidates overlap proposition/expression,gap-searched,source-acquisition-target,0.00,Need reviewer/source decision for statement vs proposition/expression.
C2-statement,statement,proof_grammar,prs_AF,gap,[gap: عبارت candidate],prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 156, 188, 260 show عبارت but not a settled statement label",gap-searched,source-acquisition-target,0.00,Candidate not enough for C2 witnessed fill.
C2-statement,statement,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,тасдиқот candidate,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,line 587,OCR-located-in-native-PDF,source-discovery-not-promoted,0.20,Candidate only; not promoted.
C2-statement,statement,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu statement witness in current package.
C2-therefore,therefore,proof_grammar,fa_IR,witnessed,بنابراین / پس,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 641, 667, 873 and many proof steps",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.75,Persian proof connector; keep alternatives visible.
C2-therefore,therefore,proof_grammar,prs_AF,witnessed,لذا / پس / بنابراین,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 181, 187, 620, 666, 674",OCR-located-in-native-PDF,source-witness-pdf-with-ocr-locator,0.70,Dari proof/discrete-math connectors; reviewer chooses register.
C2-therefore,therefore,proof_grammar,tg_Cyrl_TJ,source_discovery_non_promoted,бинобар ин / пас,tg_Cyrl_TJ/tg_cyrl_zarowadk_shukurov_tabarov_higher_mathematics_vol2_linear_algebra_2010.pdftotext.txt,"lines 513, 523, 618, 1345, 1439, 1546",OCR-located-in-native-PDF,source-discovery-not-promoted,0.45,Tajik source-discovery only.
C2-therefore,therefore,proof_grammar,ur,gap,[gap],ur source package,searched current package / no responsible C2 fill witness found,gap-searched,source-acquisition-target,0.00,No reliable Urdu therefore witness in current package.
