packet_id,language,concept_id,concept,draft_form,source_document,source_locator,source_use_label,confidence,register_alternatives,formula_neighboring_note,interlinear_scaffold,source_boundary,status
PTR-PRE-fa_IR-C2-relation,fa_IR,C2-relation,relation,رابطه,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 863 and 866; compare fa_shahrood line 1106,source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",رابطه: [A] رابطه [B]؛ جهت و عملگرهای ریاضی تغییر نکنند.,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-respectively,fa_IR,C2-respectively,respectively,به ترتیب,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,lines 1434 and 1707,source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,مطابق‌سازی: [A] و [B] به ترتیب با [X] و [Y].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-fa_IR-C2-therefore,fa_IR,C2-therefore,therefore,بنابراین / پس,fa_IR/fa_shahrood_noncomm_prime_ideals_sf_QA37.pdftotext.txt,"lines 641, 667, 873 and many proof steps",source-witness-pdf-with-ocr-locator,0.75,بنابراین / پس,Use as proof-prose connector only where source context supports it.,نتیجه: بنابراین / پس [B].,"Persian/Farsi Iran only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic.",generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-assumption,prs_AF,C2-assumption,assumption,فرض,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 666 and graph-proof context,source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,فرض-بند: فرض [A]؛ سپس [B].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-conversely,prs_AF,C2-conversely,conversely,برعکس,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 2234,source-witness-pdf-with-ocr-locator,0.55,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,برگشت: برعکس، اگر [B] آنگاه [A].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-equation,prs_AF,C2-equation,equation,معادله,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 681 and 6802 in mathematical equation/expression contexts,source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",فرمول-همسایه: معادله (1) را با نماد لاتین/LTR جدا نگه دار.,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-exercise,prs_AF,C2-exercise,exercise,تمرينات,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 62-63 in exercise/table-of-contents context,source-witness-pdf-with-ocr-locator,0.60,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,[exercise] تمرينات,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-exists,prs_AF,C2-exists,exists,وجود دارد,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 622, 1053, 1107-1114",source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",سور وجودی: x وجود دارد چنان‌که [P(x)].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-for_all,prs_AF,C2-for_all,for all,برای هر,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 4334, 4696, 5209 and other formula-neighboring contexts",source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",سور کلی: برای هر x ∈ X، [P(x)].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-formula,prs_AF,C2-formula,formula,فرمول,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 42, 158, 512, 557 and related graph/Boolean contexts",source-witness-pdf-with-ocr-locator,0.70,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",فرمول-همسایه: فرمول \( f(x)=0 \)؛ نشانه‌گذاری LTR در math mode بماند.,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-identity,prs_AF,C2-identity,identity,عينيت / هماني,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 4696 and 4709 in Boolean-algebra identity contexts,source-witness-pdf-with-ocr-locator,0.65,عينيت / هماني,Use as proof-prose connector only where source context supports it.,[identity] عينيت / هماني,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-if_and_only_if,prs_AF,C2-if_and_only_if,if and only if,اگر وفقط اگر,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 1026 and 2670,source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",دوطرفه: [A] اگر وفقط اگر [B].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-relation,prs_AF,C2-relation,relation,رابطه,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 65-75 and 3650-3656,source-witness-pdf-with-ocr-locator,0.75,[single witnessed surface; reviewer may choose register],"Keep Arabic-script prose RTL; isolate Latin variables, operators, and displayed formulas in TeX math mode/LTR islands.",رابطه: [A] رابطه [B]؛ جهت و عملگرهای ریاضی تغییر نکنند.,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-respectively,prs_AF,C2-respectively,respectively,به ترتیب,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,line 4137,source-witness-pdf-with-ocr-locator,0.65,[single witnessed surface; reviewer may choose register],Use as proof-prose connector only where source context supports it.,مطابق‌سازی: [A] و [B] به ترتیب با [X] و [Y].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
PTR-PRE-prs_AF-C2-therefore,prs_AF,C2-therefore,therefore,لذا / پس / بنابراین,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 181, 187, 620, 666, 674",source-witness-pdf-with-ocr-locator,0.70,لذا / پس / بنابراین,Use as proof-prose connector only where source context supports it.,نتیجه: لذا / پس / بنابراین [B].,Dari/Persian Afghanistan only; Iranian Persian and Pashto evidence do not authorize this row.,generated-draft / non-canonical pretranslation support
