row_id,language,concept,classification,generated_draft_rendering,source_context_citation,source_use_label,term_register_alternatives,formula_neighboring_note,branch_gap_note,boundary
term-fa-ir-0011,fa_IR,homomorphism,source-gated-draft-ready,همریختی,FA-KNTU-ALG; FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Morphism register depends on algebra/module/category context.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0012,fa_IR,isomorphism,source-gated-draft-ready,یکریختی,FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Keep distinct from homomorphism and automorphism.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0013,fa_IR,Noetherian,source-gated-draft-ready,نوتری,FA-UI-NOETH; FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Alternatives نوتر/نوتریان are not approved.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0014,fa_IR,simple,source-gated-draft-ready,ساده,FA-IUT-ALG; FA-PNU-RM; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Broad common word; object sense must be explicit; current Dari row not authorized by fa_IR.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0015,fa_IR,representation,source-gated-draft-ready,نمایش,FA-UI-NOETH; FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,Representation-theory sense needs source context.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0016,fa_IR,semisimple,source-gated-draft-ready,نیم‌ساده,FA-IUT-ALG; FA-SHAHROOD-NC,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Ordinary RTL/LTR isolation; no row-specific formula note.,ZWNJ/hyphen style needs review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0017,fa_IR,ideal,source-gated-draft-ready,ایده‌آل,FA-SHAHROOD-NC; FA-PNU-RM; FA-KNTU-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Spelling ایدئال possible; normalize only after review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0018,fa_IR,prime ideal,source-gated-draft-ready,ایده‌آل اول,FA-SHAHROOD-NC; FA-KNTU-ALG; FA-IUT-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Avoid literal first ambiguity; prime-ideal sense requires review.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0019,fa_IR,maximal ideal,source-gated-draft-ready,ایده‌آل ماکسیمال,FA-SHAHROOD-NC; FA-KNTU-ALG; FA-IUT-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Alternative ایده‌آل بیشینه should be checked.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0020,fa_IR,ring,source-gated-draft-ready,حلقه,FA-PNU-RM; FA-SHAHROOD-NC; FA-KNTU-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Current Dari row is not authorized by fa_IR; add واحددار only when source requires unit.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0021,fa_IR,commutative ring,source-gated-draft-ready,حلقه جابجایی,FA-PNU-RM; FA-SHAHROOD-NC; FA-KNTU-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Check جابجایی/جابه‌جایی spelling and ZWNJ.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-fa-ir-0022,fa_IR,noncommutative ring,source-gated-draft-ready,حلقه ناجابجایی,FA-SHAHROOD-NC; FA-KNTU-ALG; FA-IUT-ALG,source-witness-pdf-with-ocr-locator,[review required; generated draft only],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Check ناجابجایی/ناجابه‌جایی spelling; important near left/right modules.,"fa_IR only; does not authorize Dari, Pashto, Tajik, Urdu, or Arabic"
term-prs-af-0001,prs_AF,algebra,source-canon-insufficient,[none],PS-MOMAND-ALG retired to ps_AF; PRS-MOHE-CURR routing/curriculum only,source-acquisition-target,[none: source acquisition required],Ordinary RTL/LTR isolation; no row-specific formula note.,Find independent Dari/Persian Afghanistan algebra body; do not use Pashto or fa_IR evidence.,prs_AF requires independent Dari evidence; Pashto and fa_IR do not authorize it
term-prs-af-0002,prs_AF,field,source-canon-insufficient,[none],PS-MOMAND-ALG retired to ps_AF,source-acquisition-target,[none: source acquisition required],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Find independent Dari field/Galois/body evidence; do not borrow fa_IR میدان.,prs_AF requires independent Dari evidence; Pashto and fa_IR do not authorize it
term-prs-af-0003,prs_AF,simple,source-canon-insufficient,[none],PS-MOMAND-ALG retired to ps_AF,source-acquisition-target,[none: source acquisition required],Ordinary RTL/LTR isolation; no row-specific formula note.,Find independent Dari simple-module/group/ring context.,prs_AF requires independent Dari evidence; Pashto and fa_IR do not authorize it
term-prs-af-0004,prs_AF,ring,source-canon-insufficient,[none],PS-MOMAND-ALG retired to ps_AF; PRS-KNU-LA catalog-routing only,source-acquisition-target,[none: source acquisition required],Keep Latin variables and displayed formulas isolated in TeX math mode/LTR islands near RTL term use.,Find independent Dari ring-definition source body before choosing حلقه/رینگ.,prs_AF requires independent Dari evidence; Pashto and fa_IR do not authorize it
tg-cyrl-tj-zero-row-boundary,tg_Cyrl_TJ,all promoted term rows,source-discovery-non-promoted,[none],Tajik source-discovery shelf only,source-discovery-witness-not-promoted,[none: source acquisition required],Ordinary RTL/LTR isolation; no row-specific formula note.,Zero active promoted Tajik term rows; route source-language review before row promotion.,tg_Cyrl_TJ source-discovery/non-promoted only
