language	work	first	last	pages	source_path	source_sha256
EN	D016	228	284	57	works/D016_PUBLIC_SAFE/D016_EN.pdf	3AA8B775DC82B01385DF47427D55AFC620DBD2F89DB00B3ADD8D759E37B53E7D
EN	D018	285	435	151	works/D018_PUBLIC_SAFE/D018_EN.pdf	92EDDAD3C83107E79F6AF3FC48FAE8FD146B313390AF788FDCCD3A60A016F26A
EN	D021	436	459	24	works/D021_EN.pdf	76E6E094B8F322368F5B4C9E3109C052C39C09DD488ADBE15A5B8FD9E1957328
EN	D022	460	466	7	works/D022_PUBLIC_SAFE/outputs/D022_EN.pdf	2DD8AD09E9672F004AE600D53A995E08C6A5CD849BD73A19337ED4F37E6323AA
EN	D023	467	496	30	works/D023_PUBLIC_SAFE/outputs/D023_EN.pdf	86CD1B63919B1B9DDA3E469BAF0610102AA703AC8FF1860D1E62012CF61D0255
EN	D025	497	499	3	works/D025_EN.pdf	1ABB2AA98E4CE57804BCBC674A582A9A0A1A000A2415AA81BB99595765E1702E
EN	D026	500	517	18	works/D026_EN.pdf	1F6CD359EA1482F8254AD57B65321D38777E8EB35EFCCFB49227A90271997978
EN	D027	518	576	59	works/D027_EN.pdf	C445D38899816E0A99FA52C9DAE333EEAB4F04AB8DE0E034773A017B065E3CDF
EN	D028	577	599	23	works/D028_PUBLIC_SAFE/Deligne_D028_EN.pdf	4FC7463C8C56601A30B12E46695D04D7D7B0FFE912AB9B3CED225195749AD3F3
EN	D029	600	605	6	works/D029_PUBLIC_SAFE/D029_EN.pdf	5C1478E2B42AFBC915AAFF7FE30F623BAD1D2D239D44C6A0F776176B5B7F9D0A
EN	D030	606	641	36	works/D030_PUBLIC_SAFE/D030_EN.pdf	0EF16571F2E0D14DF226E0D00CD52EB616E3E99E825E9C8F6408F65CEC50DC6A
EN	D034	642	652	11	works/D034_PUBLIC_SAFE/pdf/D034_english_translation.pdf	0B48A39C60DF940FF1F20255B52862259B3D84B805D4264A121DB27D84BE751B
EN	D035	653	686	34	works/D035_PUBLIC_SAFE/D035_EN.pdf	E202510EC8C5A8AFD8DFC0E36DD5793826ECB0AC5C041ED1C237C17878AC474E
EN	D036	687	696	10	works/D036_PUBLIC_SAFE/D036_EN.pdf	3D678FF9F6259F0147135A581ECD33DC16B60323747EC6FBD8828025D248A8CF
EN	D038	697	754	58	works/D038_PUBLIC_SAFE/candidate/D038_ENGLISH_CANONICAL.pdf	E8796011E3D59B5A6AB5A30C08C0054296AAEB62032E98CA88272AE382CA596C
EN	D039	755	776	22	works/D039_PUBLIC_SAFE/output/pdf/D039_english_standalone.pdf	229FF188A363F59DFE02C7A29BAEC791A46F30FCF2B81F855C8BA98693F18743
EN	D040	777	784	8	works/D040_PUBLIC_SAFE/D040_EN.pdf	5E92B88D3D1642F49D628DCCBB279FBF7FAD2944FC724F3254C58ECAB7A2BEDD
EN	D043	785	790	6	works/D043_PUBLIC_SAFE/D043_EN.pdf	FE146969A7D425A81330EED83E8B4428E0FD1B3FD9AFE9D31DE4D8501A44F89B
FR	D001	3	6	4	works/D001_FR.pdf	35DC54F17E28236C56D8A48A4F23BEAB85D327786553B0C962694561D09110B4
FR	D002	7	18	12	works/D002_FR.pdf	6DE66CDAD91E61756EA228D48AAD413C8287A8AC2A6B825D7E3B33B90325F345
FR	D003	19	34	16	works/D003_FR.pdf	0B367245786AECF831B99532E9813834F12DA763081AC183983815F0199FE427
FR	D004	35	39	5	works/D004_FR.pdf	4F6F1D2F75C72B1A372ABEFF28F47EEB1D6886C8F8D4DCE6667E05AA86B9F9A2
FR	D005	40	66	27	works/D005_FR.pdf	01AEE993D3E09828F1F9BD1B5292BBC5EE95C0902D1E99F0B84E7D8C5EE7E97C
FR	D006	67	85	19	works/D006_FR.pdf	72D85934EE8DF38243067EA04C3FE32ED84DE07EBDE4781FA99F0F989E8A58F0
FR	D007	86	98	13	works/D007_FR.pdf	E2DB2A229178FBAAAC7018EF1F24096297FE7328F0AE2141FE0C6873FC5AB978
FR	D008	99	116	18	works/D008_FR.pdf	C4AD4E6291C32C5C707E8B3B2F3CD203333479270943CBA60901AE75A9EC73C7
FR	D009	117	121	5	works/D009_FR.pdf	FC64DF272F381B1E01A6742FC2895AFA754BFCF0B2A035EB43B3EBCA165C29AB
FR	D010	122	163	42	works/D010_FR.pdf	EFBD7BD8E449B178BAE625985D50869151166B536A04ED4F5F6A1D5178A74E20
FR	D011	164	166	3	works/D011_FR.pdf	77BCDA2C9168168716754858FE54AC8CAB5FE3EDCC86403C760440CCCFF35A38
FR	D012	167	187	21	works/D012_FR.pdf	7CA5936914195E0736E33C66DD04E90863F589E74CC3AEA4CE93A2AD4B97B010
FR	D013	188	201	14	works/D013_PUBLIC_SAFE/D013_FR.pdf	C630E476588D36D998DF858B568A0E2C3A751068710A6B45031F62772ED8C504
FR	D014	202	224	23	works/D014_FR.pdf	AA3BC80C9348D18D4C2047B139E27FEA9CB4E85B0E2DF8A7856575DBFEA88D42
FR	D015	225	237	13	works/D015_FR.pdf	C885BD1693CEC81EB949B33E7049A28F352D1797D76AA70F565BB259508CEAD2
FR	D016	238	294	57	works/D016_PUBLIC_SAFE/D016_FR.pdf	87C7D0E8901621DAEA872D9A2590681864ED955014F642BCBEFA814C4EEBEB52
FR	D018	295	449	155	works/D018_PUBLIC_SAFE/D018_FR.pdf	6AE9DD4B49685F6C2CB56A7D9F416A0AF7D146006F6FE6EF13143CEB93488159
FR	D021	450	473	24	works/D021_FR.pdf	4B4FC661A45C8E220834FA4977CFA17198A5767870A4EB657EAF845CF9B8A30F
FR	D022	474	480	7	works/D022_PUBLIC_SAFE/outputs/D022_FR.pdf	ACBB7BF1D6B67EB7EA5781C560EA4815DF8901C880AA6309FF2589B3560D47DE
FR	D023	481	510	30	works/D023_PUBLIC_SAFE/outputs/D023_FR.pdf	03FFBC90B3D4DDCE6EFFAC3B5C24CBF9AB3E9B5B8D1DE3A80FBD41538D86C610
FR	D025	511	513	3	works/D025_FR.pdf	949DAC10C6EBA6953FC3EBD42E0FDF7E2F9D4A151FBEDA9A812E3CB0140638A0
FR	D026	514	531	18	works/D026_FR.pdf	1881B512AC231BA07D5D8BACC9DED8BD036706D5B611A180D51E9E7762BD5511
FR	D027	532	590	59	works/D027_FR.pdf	C23577760AC20486798B3D406D45550CDB028F32F729ED65EBE83FBFCC794A10
FR	D028	591	613	23	works/D028_PUBLIC_SAFE/Deligne_D028_FR.pdf	A551041E8FA4622C8DF33E9F4931B8E240A09377CAAAF01148960A65AEB319C5
FR	D029	614	619	6	works/D029_PUBLIC_SAFE/D029_FR.pdf	09C734F97F89EB2611F287DDC7612EE2B2B8BB844B08DA3F090E8971C1DF7D59
FR	D030	620	655	36	works/D030_PUBLIC_SAFE/D030_SOURCE_FR.pdf	5D45B414D00AA582D6422B84C320DA96C2BC4066AFBD9A55EFF63241CAD9DCB5
FR	D034	656	666	11	works/D034_PUBLIC_SAFE/pdf/D034_french_diplomatic.pdf	6377C1608282DB1BA6253E00F40BAF58B61CA0C33A0468A0EA6D832CED479FA5
FR	D035	667	700	34	works/D035_PUBLIC_SAFE/D035_FR.pdf	78B429E53939903E7E43AAD9D33F8EC005B96B3A34DA74A3D0AE33704C121510
FR	D036	701	710	10	works/D036_PUBLIC_SAFE/D036_FR.pdf	AF8BAE906185B24BFCE455336F34317AA625B0D2E5696B3F2B44132092AB9BC4
FR	D038	711	768	58	works/D038_PUBLIC_SAFE/candidate/D038_SOURCE_LANGUAGE_CANONICAL.pdf	95CC5FBD7B97911BF1FE8707C02D9E5AB3AFC58563801A1C03BAEDD309D096E9
FR	D039	769	790	22	works/D039_PUBLIC_SAFE/output/pdf/D039_source_language_normalized.pdf	8956B4C58AF9BEE6883C16CEAB7CA50217194A68F90C6EDBECD8007A5EBD64AE
FR	D040	791	798	8	works/D040_PUBLIC_SAFE/D040_FR.pdf	6ECAE1A48FC6A6D74CCCEDCE3A21551D12D60A39CF23018E7062DACBC5D66042
FR	D043	799	804	6	works/D043_PUBLIC_SAFE/D043_FR.pdf	F9E694CBB2357E50041929ABF321C8D490CD2D90B9B7271B64BB5F3823926169
