token,lemma,count,files,insert_class,proposed_english_gloss,priority_score,source_use,permitted_use_weight,status,top_files
sootvětuje,sootvětuje,50,25,function_or_proof_register,corresponds,1.8062,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section12_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section02_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex
proběgaje,proběgaje,50,19,function_or_proof_register,ranges over/runs through,1.703,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
još,još,49,23,function_or_proof_register,pending; internal corpus token,1.7629,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
opreděljene,opredělj-*,48,33,function_or_proof_register,defined,1.924,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section07_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section10_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex
jej,jej,47,33,function_or_proof_register,her/it,1.9138,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex
strany,strany,45,26,function_or_proof_register,side/page/aspect,1.7755,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
naležet,nalež-*,45,25,function_or_proof_register,belong,1.7588,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
vsi,vsi,43,31,function_or_proof_register,all,1.8377,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section07_Interslavic_v001.tex; translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper34/section01/interslavic/v001/Noether_Paper34_Section01_Interslavic_v001.tex
tih,tih,38,19,function_or_proof_register,those,1.5868,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
smatrjati,smatrjati,37,22,function_or_proof_register,consider,1.6233,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper34/source_fidelity_section18_19/interslavic/v001/Noether_Paper34_Section18_19_SourceFidelity_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section12_Interslavic_v001.tex
oni,oni,36,25,function_or_proof_register,they,1.6588,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
zajedno,zajedno,32,20,proof_register_candidate,pending; internal corpus token,1.5297,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section01_Interslavic_v001.tex
stvari,stvari,32,20,proof_register_candidate,pending; internal corpus token,1.5297,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
ostaje,ostaje,32,17,function_or_proof_register,remains,1.4838,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper29/interslavic/v001/Noether_Paper29_Interslavic_v001.tex; translations/paper42/source_fidelity/interslavic/v001/Noether_Paper42_SourceFidelity_Interslavic_v001.tex
zove,zove,31,11,function_or_proof_register,is called,1.3798,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section09_Interslavic_v001.tex
izvodne,izvod-*,31,2,math_or_inflection_candidate,pending; internal corpus token,1.2433,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex
eksistencija,eksist-*,30,19,function_or_proof_register,existence,1.4873,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section10/interslavic/v001/Noether_Paper30_Section10_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex
čim,čim,30,16,function_or_proof_register,by what/than,1.4423,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
eksistuje,eksist-*,30,16,function_or_proof_register,exists,1.4423,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex
aksiomy,aksiomy,30,6,function_or_proof_register,axioms,1.292,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section03/interslavic/v001/Noether_Paper30_Section03_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex; translations/paper30/section09/interslavic/v001/Noether_Paper30_Section09_Interslavic_v001.tex
prodolženje,prodolženje,29,25,function_or_proof_register,extension/continuation,1.5624,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
izbrati,izbrati,29,21,function_or_proof_register,choose,1.5029,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section08_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex
pokažemo,pokažemo,29,20,function_or_proof_register,we show,1.488,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/section13/interslavic/v001/Noether_Paper34_Section13_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex
zadovoljajut,zadovol-*,29,15,function_or_proof_register,satisfy,1.4136,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex
pored,pored,29,13,function_or_proof_register,beside/alongside,1.3839,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section03/interslavic/v001/Noether_Paper30_Section03_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section09_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex
vsebuje,vsebuje,29,12,function_or_proof_register,contains,1.369,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section09_Interslavic_v001.tex; translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section01_Interslavic_v001.tex
tada,tada,29,8,function_or_proof_register,then,1.3095,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section12_Interslavic_v001.tex; translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
iměti,iměti,28,20,function_or_proof_register,to have,1.4732,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section12_Interslavic_v001.tex
dobivamo,dobiv-*,28,17,function_or_proof_register,we obtain,1.429,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section06_Interslavic_v001.tex; translations/paper42/source_fidelity/interslavic/v001/Noether_Paper42_SourceFidelity_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
opredělja,opredělj-*,28,16,function_or_proof_register,defines,1.4143,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
stvarno,stvarno,28,14,function_or_proof_register,actually/really,1.3848,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section03_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
redy,redy,28,12,function_or_proof_register,rows/series,1.3553,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex
tělu,tělu,28,11,math_or_inflection_candidate,pending; internal corpus token,1.3406,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper34/source_fidelity_section20/interslavic/v001/Noether_Paper34_Section20_SourceFidelity_Interslavic_v001.tex; translations/paper34/source_fidelity_section18_19/interslavic/v001/Noether_Paper34_Section18_19_SourceFidelity_Interslavic_v001.tex
čerez,čerez,28,9,function_or_proof_register,through/by,1.3111,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section03_Interslavic_v001.tex
jasno,jasno,27,20,function_or_proof_register,clearly,1.4578,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex
nastaje,nastaje,27,16,function_or_proof_register,arises,1.3995,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex
prva,prva,26,22,function_or_proof_register,first,1.4708,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex
čiji,čiji,26,15,function_or_proof_register,whose,1.3698,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section03_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex
opreděljen,opredělj-*,25,22,function_or_proof_register,defined,1.4539,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section12_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
analogično,analogično,25,22,function_or_proof_register,analogously,1.4539,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex
opreděljena,opredělj-*,25,17,function_or_proof_register,defined,1.3827,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section05_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
bazoju,bazoju,25,14,math_or_inflection_candidate,pending; internal corpus token,1.3399,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper37/source_fidelity/interslavic/v001/Noether_Paper37_SourceFidelity_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
sostojit,sostoj-*,25,11,function_or_proof_register,consists,1.2971,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section14_Interslavic_v001.tex
tipa,tipa,25,11,function_or_proof_register,of type,1.2971,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section10_Interslavic_v001.tex
stane,stane,25,10,function_or_proof_register,becomes,1.2829,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex
lemi,lemi,25,10,math_or_inflection_candidate,pending; internal corpus token,1.2829,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section03_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
obsahuje,obsahuje,25,9,function_or_proof_register,contains,1.2686,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section03_Interslavic_v001.tex
koncu,koncu,24,20,function_or_proof_register,end,1.4083,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex
dokolě,dokolě,24,19,function_or_proof_register,insofar/as long as,1.3942,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Introduction_Interslavic_v001.tex
cělu,cělu,24,18,proof_register_candidate,pending; internal corpus token,1.3801,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section09_Interslavic_v001.tex
opreděliti,opreděliti,24,16,function_or_proof_register,define,1.3519,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex
dostava,dostava,24,16,function_or_proof_register,obtains/gets,1.3519,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper41/source_fidelity/interslavic/v001/Noether_Paper41_SourceFidelity_Interslavic_v001.tex; translations/paper31/section02_entry02/interslavic/v001/Noether_Paper31_Section02_Entry02_Interslavic_v001.tex
srav,srav,24,16,proof_register_candidate,pending; internal corpus token,1.3519,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section12_Interslavic_v001.tex
ještě,ještě,24,15,proof_register_candidate,pending; internal corpus token,1.3378,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
postavimo,postavimo,24,10,function_or_proof_register,let us put,1.2674,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex
vyvedeny,vyvedeny,24,4,proof_register_candidate,pending; internal corpus token,1.1829,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper30/section09/interslavic/v001/Noether_Paper30_Section09_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
