token,count,files,old_classification,new_classification,recommended_action,note,existing_group_id,existing_lemma,dictionary_isv,dictionary_en,dictionary_pos,top_files
riemannovoj,10,1,low_frequency_backlog,name_or_eponym,covered_by_eponym_or_bibliography_rule,Name/eponym; not ordinary lexicon item unless used as term modifier,,,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
sovsěm,9,9,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group entirely (sovsěm); match=exact_variant,entirely,sovsěm,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex; translations/paper07/interslavic/v001/Noether_Paper07_Interslavic_v001.tex
mathematische,9,9,low_frequency_backlog,source_or_bibliographic_residue,exclude_source_residue,German/English/bibliographic residue; do not promote into ISV lexicon,,,,,,translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Introduction_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex
doslovno,9,9,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group literally (doslovno); match=exact_variant,literally,doslovno,,,,translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section07_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
nastupiti,9,9,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-nastupati (nastupati); match=head_match_nastu,reg-nastupati,nastupati,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
javno,9,9,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group evidently-javno (javno); match=exact_variant,evidently-javno,javno,,,,translations/paper06/interslavic/v001/Noether_Paper06_Section11_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
beremo,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group we-take (brati); match=exact_variant,we-take,brati,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section11_Interslavic_v001.tex
prihodimo,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group arrives-prihoditi (prihoditi); match=head_match_priho,arrives-prihoditi,prihoditi,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section02_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex
ničto,9,8,low_frequency_backlog,dictionary_function_or_register,stop_or_register_review,Community dictionary match (exact); POS=pron.indef.; decide stoplist vs register,,,ničto,nothing,pron.indef.,translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex
novih,9,8,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section02_Interslavic_v001.tex
sumi,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-suma (suma); match=exact_variant,reg-suma,suma,,,,translations/paper10/interslavic/v001/Noether_Paper10_Intro_Section01_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section08_Interslavic_v001.tex
znanyh,9,8,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (head_znany); needs corpus-context class,,,znany,known,adj.,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex
mimo,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group besides-mimo (mimo); match=exact_variant,besides-mimo,mimo,,,,translations/paper17/interslavic/v001/Noether_Paper17_Section04_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section06_Interslavic_v001.tex
faktično,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-fakt (fakt); match=head_match_fakt,reg-fakt,fakt,,,,translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section07_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
glasi,9,8,low_frequency_backlog,proof_register_candidate,insert_internal_register,Corpus proof/register word; internal insertion only pending linguistic review,,,,,,translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section02_Interslavic_v001.tex
opreděljenogo,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group well-defined (jednoznačno oprěděljeny); match=head_match_opred,well-defined,jednoznačno oprěděljeny,,,,translations/paper25/interslavic/v001/Noether_Paper25_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
oběh,9,8,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex
nastupajuče,9,8,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-nastupati (nastupati); match=head_match_nastu,reg-nastupati,nastupati,,,,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
naležeči,9,7,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-naležati (naležati); match=head_match_nalež,reg-naležati,naležati,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper30/section07/interslavic/v001/Noether_Paper30_Section07_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
někojim,9,7,low_frequency_backlog,dictionary_function_or_register,stop_or_register_review,Community dictionary match (head_někoj); POS=pron.indef.; decide stoplist vs register,,,někoj,"some, a certain",pron.indef.,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex
več,9,7,short_function_or_artifact,tex_or_short_artifact,exclude_or_stop,TeX/math residue or too short to classify as lexicon without context,,,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section05_Interslavic_v001.tex
čime,9,7,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section02_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section05_Interslavic_v001.tex
pregled,9,7,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Introduction_Interslavic_v001.tex
sostaji,9,7,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-sostojati (sostojati); match=exact_variant,reg-sostojati,sostojati,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex
nekoliko,9,7,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section04_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex
dostignuti,9,7,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group attains (dostigati); match=head_match_dosti,attains,dostigati,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex
mogu,9,7,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section11_Interslavic_v001.tex
vzęti,9,6,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (exact); needs corpus-context class,,,vzęti,take,v.tr. pf.,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper31/section06_entry03/interslavic/v001/Noether_Paper31_Section06_Entry03_Interslavic_v001.tex; translations/paper31/section06_entry02/interslavic/v001/Noether_Paper31_Section06_Entry02_Interslavic_v001.tex
transformujut,9,6,math_insert_candidate,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (head_trans); needs corpus-context class,,,transkribovati,transcribe,v.tr. ipf./pf.,translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex; translations/paper21/interslavic/v001/Noether_Paper21_Interslavic_v001.tex; translations/paper42/source_fidelity/interslavic/v001/Noether_Paper42_SourceFidelity_Interslavic_v001.tex
něčto,9,6,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (exact); needs corpus-context class,,,iměti njuh za něčto,have a nose for sth.,phrase,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex; translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex
vsude,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group everywhere (vsude); match=exact_variant,everywhere,vsude,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex
protivnosti,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group contrary (protivno); match=head_match_proti,contrary,protivno,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section09_Interslavic_v001.tex
bukvami,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group letter-symbol (bukva); match=exact_variant,letter-symbol,bukva,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex
stati,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group becomes (stati); match=exact_variant,becomes,stati,,,,translations/paper06/interslavic/v001/Noether_Paper06_Section02_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section03_Interslavic_v001.tex
eksistenciju,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group exists-eksist (eksistovati); match=head_match_eksis,exists-eksist,eksistovati,,,,translations/paper29/interslavic/v001/Noether_Paper29_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section04_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex
izslědovanje,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group investigation (izslědovanje); match=exact_variant,investigation,izslědovanje,,,,translations/paper11/interslavic/v001/Noether_Paper11_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section01_Interslavic_v001.tex
někojih,9,6,low_frequency_backlog,dictionary_function_or_register,stop_or_register_review,Community dictionary match (head_někoj); POS=pron.indef.; decide stoplist vs register,,,někoj,"some, a certain",pron.indef.,translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section02_Interslavic_v001.tex
skupaj,9,6,low_frequency_backlog,proof_register_candidate,insert_internal_register,Corpus proof/register word; internal insertion only pending linguistic review,,,,,,translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex; translations/paper30/section06/interslavic/v001/Noether_Paper30_Section06_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
sovpadati,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group coincides (sovpada); match=head_match_sovpa,coincides,sovpada,,,,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section03_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
suščestvuje,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group exists-eksist (eksistovati); match=head_match_sušče,exists-eksist,eksistovati,,,,translations/paper34/section12/interslavic/v001/Noether_Paper34_Section12_Interslavic_v001.tex; translations/paper34/source_fidelity_section20/interslavic/v001/Noether_Paper34_Section20_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section09_Interslavic_v001.tex
nastajut,9,6,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-nastavati (nastavati); match=head_match_nasta,reg-nastavati,nastavati,,,,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
realnyh,9,5,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group real (realny); match=head_match_realn,real,realny,,,,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section02_Interslavic_v001.tex
nastal,9,5,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-nastavati (nastavati); match=exact_variant,reg-nastavati,nastavati,,,,translations/paper02/interslavic/v001/Noether_Paper02_Section17_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex
obstajanje,9,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-obstajati (obstajati); match=head_match_obsta,reg-obstajati,obstajati,,,,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
podmodul,9,4,low_frequency_backlog,math_or_noether_candidate,insert_math_or_link_to_concept,Mathematical/Noether/root-term candidate; source-side concept link needed before certification,,,podmoŕsky,"submarine, underwater",adj.,translations/paper34/section06/interslavic/v001/Noether_Paper34_Section06_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper34/section16/interslavic/v001/Noether_Paper34_Section16_Interslavic_v001.tex
zaměnjeno,9,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group substitution (zaměna); match=head_match_zaměn,substitution,zaměna,,,,translations/paper19/interslavic/v001/Noether_Paper19_Section02_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section03_Interslavic_v001.tex
znak,9,4,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (exact); needs corpus-context class,,,diakritičny znak,diacritic,m.,translations/paper04/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper34/section02/interslavic/v001/Noether_Paper34_Section02_Interslavic_v001.tex
prědpostavce,9,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group assumption-noun (prědpoloženje); match=head_match_prědp,assumption-noun,prědpoloženje,,,,translations/paper19/interslavic/v001/Noether_Paper19_Section02_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section03_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section10_Interslavic_v001.tex
neizvěstne,9,4,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group unknown-quantity (neizvěstna); match=head_match_neizv,unknown-quantity,neizvěstna,,,,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex; translations/paper37/source_fidelity/interslavic/v001/Noether_Paper37_SourceFidelity_Interslavic_v001.tex
odgovorno,9,3,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group corresponds (sootvětstvovati); match=head_match_odgov,corresponds,sootvětstvovati,,,,translations/paper37/source_fidelity/interslavic/v001/Noether_Paper37_SourceFidelity_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Introduction_Interslavic_v001.tex
sostojí,9,3,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-sostojati (sostojati); match=head_match_sosto,reg-sostojati,sostojati,,,,translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper34/section03/interslavic/v001/Noether_Paper34_Section03_Interslavic_v001.tex
umenšenje,9,2,low_frequency_backlog,unresolved_inflection_like,context_review,Looks inflected but no current lemma match; context review needed,,,,,,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex
opět,9,2,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
diskontinuirne,9,2,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (head_disko); needs corpus-context class,,,diskografija,discography,f.,translations/paper10/interslavic/v001/Noether_Paper10_Section04_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Intro_Section01_Interslavic_v001.tex
obščejše,9,2,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group generality (obščnost); match=head_match_obšče,generality,obščnost,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
obstava,9,2,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group remain-ostati (ostati); match=exact_variant,remain-ostati,ostati,,,,translations/paper17/interslavic/v001/Noether_Paper17_Section11_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
nerazlozime,9,2,low_frequency_backlog,unresolved_inflection_like,context_review,Looks inflected but no current lemma match; context review needed,,,,,,translations/paper19/interslavic/v001/Noether_Paper19_Section07_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section09_Interslavic_v001.tex
varijablov,9,1,low_frequency_backlog,needs_context_review,context_review,No high-confidence classification from ledger/dictionary/root rules,,,,,,translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex
integriranje,9,1,low_frequency_backlog,dictionary_known_uninserted,insert_candidate_or_inflection,Community dictionary match (head_integ); needs corpus-context class,,,integracija,integration,f.,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
osoblive,9,1,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group reg-osoblivo (osoblivo); match=head_match_osobl,reg-osoblivo,osoblivo,,,,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
slućaju,9,1,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group case-instance (slučaj); match=head_match_sluća,case-instance,slučaj,,,,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex
dohodi,9,1,low_frequency_backlog,inflection_or_variant_of_existing,attach_variant,Attach to existing lexicon group arrives-dohoditi (dohoditi); match=exact_variant,arrives-dohoditi,dohoditi,,,,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex
