source_id,rel_path,language,branch,bytes,sha256,text_chars,source_type,evidence_scope,lane_decision,use_category,use_boundary
sorbian_domowina_tools,02_underrepresented_slavic_belarusian_macedonian_sorbian_anchors/sorbian_upper_lower/sorbian_domowina_tools.html,hsb/dsb,W_S,79954,c2850a85ed800576afd294d44cd028163167cf64a23db1665cd6682598699410,32402,institutional language-resource directory,Domowina lists Sotra App Soblexx Upper Sorbian dictionary dolnoserbski.de Lower Sorbian dictionary and qualified translators,review-routing and specialist-finding infrastructure; not mathematical terminology authority,anchor_control_candidate,row-context review required; no automatic term promotion
bulgarian_sofia_noncommutative_body_problem,01_non_ru_uk_slavic_baseline_pdf_sources/bulgarian/bulgarian_sofia_noncommutative_body_problem.pdf,bg,S,233234,9377ac5f2f3594ad2f0a7b014c72562d8e0e40007ba06e72b18d3e2b7c941e43,12851,,,,language_family_witness,row-context review required; no automatic term promotion
bulgarian_sofia_rings_lecture7,01_non_ru_uk_slavic_baseline_pdf_sources/bulgarian/bulgarian_sofia_rings_lecture7.pdf,bg,S,163318,d5f91dcc5eaf4dfd1fe0949891a93117510c0d82e894e1ff254c4a78853ab503,5700,,,,language_family_witness,row-context review required; no automatic term promotion
croatian_mathhr_algebra_structures_2024,01_non_ru_uk_slavic_baseline_pdf_sources/croatian/croatian_mathhr_algebra_structures_2024.pdf,hr,S,793933,50a255d413c5411f02a4ab6da487cf1a5ccf2af0b933e89307fd036e34281124,298953,,,,language_family_witness,row-context review required; no automatic term promotion
croatian_pmf_split_prsteni,01_non_ru_uk_slavic_baseline_pdf_sources/croatian/croatian_pmf_split_prsteni.pdf,hr,S,391214,6f0b9c2563c86d99a16601adb01b4280fdc30707cf2ec407a18e1383d6370e43,67719,,,,language_family_witness,row-context review required; no automatic term promotion
czech_cuni_algebra_2021,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_algebra_2021.pdf,cs,W_S,2641741,0737a40ad7c560ca8988bbd5d85762dffb4791e67cca0ba4f3ca8a2f4ebe65ce,412566,,,,language_family_witness,row-context review required; no automatic term promotion
czech_cuni_noncommutative_body_thesis,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_noncommutative_body_thesis.pdf,cs,W_S,391722,ddc68fa8bcfe15c190ef8d5a78b4b56920ffeff8d8486a8e54a02a5e864f504f,55168,,,,language_family_witness,row-context review required; no automatic term promotion
czech_cuni_representation_idempotents,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_representation_idempotents.pdf,cs,W_S,911997,e5a089e19940503c1b3cb418a3045f0aa1b649e3d1810f3e798bd7982324c0eb,147306,,,,language_family_witness,row-context review required; no automatic term promotion
czech_cuni_telesa_pole_note,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_cuni_telesa_pole_note.pdf,cs,W_S,54193,d4f68d359c2b50dadf954caba682c4b66ce49e7e3d24294f3f3b2951675d6e8b,6941,,,,language_family_witness,row-context review required; no automatic term promotion
czech_karlin_commutative_rings_fields,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_karlin_commutative_rings_fields.pdf,cs,W_S,481280,0f139be9d0fd542f9a72adfdcf698c7643036cda19377c14b0c01f5f50799df9,79227,,,,language_family_witness,row-context review required; no automatic term promotion
czech_karlin_galois_splitting_field,01_non_ru_uk_slavic_baseline_pdf_sources/czech/czech_karlin_galois_splitting_field.pdf,cs,W_S,146172,44e8dcb249cdb5d6b084bad33f1141367c0fd92a14745092594da6228be4577c,10052,,,,language_family_witness,row-context review required; no automatic term promotion
polish_impan_algebra_lecture3,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_impan_algebra_lecture3.pdf,pl,W_S,131333,36859cbc3eedc4003a84cf21174fd2f339aa53157ab4708a262cb799b2b34da2,8458,,,,language_family_witness,row-context review required; no automatic term promotion
polish_mimuw_algebra2_galois,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_mimuw_algebra2_galois.pdf,pl,W_S,218544,d4e871500b4a874e0485ebe8cf29a7daa2abb12777c3dc4b55c129cd093d95f6,85886,,,,language_family_witness,row-context review required; no automatic term promotion
polish_mimuw_left_ideals_idempotents,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_mimuw_left_ideals_idempotents.pdf,pl,W_S,602833,392464b73274b97c2b0c751608ab256ebac7bca2bf9c6f86772be2cd08e1ce9f,12366,,,,language_family_witness,row-context review required; no automatic term promotion
polish_mimuw_noncommutative_body,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_mimuw_noncommutative_body.pdf,pl,W_S,611659,97bc4806785e5a0efcd0139abfa9fa1a895cd8bb0447675882034b64a1853989,172371,,,,language_family_witness,row-context review required; no automatic term promotion
polish_uj_algebra1_noetherian,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_uj_algebra1_noetherian.pdf,pl,W_S,446897,557f3561ff48f81dd9bbef9c7d8876efe4d7af216dd4161582f6eea0d8e3df33,315017,,,,language_family_witness,row-context review required; no automatic term promotion
polish_uwr_algebra2_rings,01_non_ru_uk_slavic_baseline_pdf_sources/polish/polish_uwr_algebra2_rings.pdf,pl,W_S,226473,c6d562f5511d46e7cb0a4a9e0c8e6684b4295cbedb7c17a9694112b214bc98b9,161610,,,,language_family_witness,row-context review required; no automatic term promotion
serbian_belgrade_algebra_i_lecture9,01_non_ru_uk_slavic_baseline_pdf_sources/serbian/serbian_belgrade_algebra_i_lecture9.pdf,sr,S,153129,d9387411df94c801d4452d15e7fcf17293b692ba29338449d138d6ca304aade1,35404,,,,language_family_witness,row-context review required; no automatic term promotion
slovak_abstraktna_algebra,01_non_ru_uk_slavic_baseline_pdf_sources/slovak/slovak_abstraktna_algebra.pdf,sk,W_S,858508,28f59c88c8da82bb67b66b326767ff845a36999e72c5b92a19fdbd240ff7c6c4,176995,,,,language_family_witness,row-context review required; no automatic term promotion
slovenian_komutativna_algebra_noetherian,01_non_ru_uk_slavic_baseline_pdf_sources/slovenian/slovenian_komutativna_algebra_noetherian.pdf,sl,S,99227,e954b49c9dd9bc572094b865178f8ad95c117e787c7020d3a2b00ad87772de53,7110,,,,language_family_witness,row-context review required; no automatic term promotion
slovenian_uvod_v_algebro,01_non_ru_uk_slavic_baseline_pdf_sources/slovenian/slovenian_uvod_v_algebro.pdf,sl,S,1267170,7aa2535df2cd7e8f30e78d01715974d37c25d39d5caa0456151de813c13d6821,615045,,,,language_family_witness,row-context review required; no automatic term promotion
