entry_id,lemma,en,class,variant_count,variants,root_signatures,policy_class,recommendation,status
reg-prvy,prvy,first,ordinal,7,prva; prve; prvi; prvoj; prvom; prvu; prvy,prva:1; prve:1; prvi:1; prvoj:1; prvom:1; prvu:1; prvy:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
forms-constitutes,tvori,forms / constitutes,proof_grammar,7,tvore; tvoret; tvori; tvoriti; tvorjen; utvoriti; utvorjen,tvor:2; utvor:2; tvore:1; tvori:1; tvorj:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
remain-ostati,ostati,remain; stay,proof_predicate,7,nastal; nastalo; obstava; ostaje; ostaju; ostalo; ostane,nasta:2; ostaj:2; obsta:1; ostal:1; ostan:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
body-telo-infl,tělo (algebra: body/division ring),body (division ring) — inflections,curriculum_algebra,7,telesa; telom; telu; tělesa; tělese; tělom; tělu,teles:3; telom:2; telu:2,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
reg-davati,davati,giving,proof_operation,6,dade; dati; dava; davaje; davajut; davati,davaj:2; dade:1; dati:1; dava:1; davat:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
power-exponent,potęga,power (exponentiation),curriculum_algebra,6,poteg; potęg; stepen; stepenj; stupnja; stupnje,poteg:2; stepe:2; stupn:2,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
integral-whole,cěly,integral / whole (entire),curriculum_algebra,5,cel; cěl; cěla; cělo; cělu,cel:2; cela:1; celo:1; celu:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
reg-morati,morati,must,modal,5,mora; morajut; morati; muset; musi,mora:1; moraj:1; morat:1; muset:1; musi:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
foundation-basis,osnova,foundation / basis (osnova),proof_grammar,5,baze; bazoj; bazoju; bazě; osnov,baze:2; bazoj:2; osnov:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
follows-from,slěduje,follows (from),proof_grammar,5,sledi; sleduj; slijedi; slěduj; vyplyva,sledu:2; sled:1; slije:1; vyply:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
reg-suma,suma,sums,math_general,5,suma; sumi; sumoju; sumu; sumy,suma:1; sumi:1; sumoj:1; sumu:1; sumy:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
exists-eksist,eksistovati,exists (internationalism doublet of obstajati),existence_predicate,5,eksistenc; eksistuj; suscestvuj; suščestvuj; suščstvuj,eksis:2; susce:2; suscs:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
zero-noun,nula,zero (noun),math_general,5,nula; nuli; nulou; nulu; nuly,nula:1; nuli:1; nulo:1; nulu:1; nuly:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
length,dlugost,length,math_general,5,dlugost; dlugosti; dolzin; dolžin; duljin,dolzi:2; dlug:1; dlugo:1; dulji:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
generates,porođati,generates; gives rise to,construction_predicate,5,porada; porađa; porodza; porođaje; poroža,porad:2; porod:2; poroz:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
work-paper,dělo,work; paper (corpus header term: Dělo 44),proof_reference,5,dělo; děla; dělu; delo; dela,delo:2; dela:2; delu:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
take-vzeti,vzęti,take (perfective),proof_operation,5,vzęti; vzeti; vzęto; vzeto; vzęv,vzet:2; vzeto:2; vzev:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
becomes,stati,becomes; comes to be,proof_predicate,4,staje; stane; stati; stava,staj:1; stan:1; stat:1; stav:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
type,tip,type,math_general,4,tipa; tipov; tipu; tipy,tipa:1; tipov:1; tipu:1; tipy:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
however,však,however; though,proof_connective,4,ipak; odnako; vsak_however; však,ipak:1; odnak:1; vsakh:1; vsak:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
reduce-to,svesti,reduce to; bring back to,proof_operation,4,svede; svedeno; svesti; svodi,sved:1; svede:1; svest:1; svod:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
inner,vnutrny,inner; internal,math_general,4,unutar; vnitrn; vnitřn; vnutrn,unuta:1; vnitr:1; vnitn:1; vnutr:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
weight-of-form,vaga,weight (of a form — classical invariant theory),noether_corpus,4,vaga; vagi; vagoju; vag,vaga:1; vagi:1; vagoj:1; vag:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
pair,par,pair,math_general,4,pary; paru; parov; parami,pary:1; paru:1; parov:1; param:1,lexical_doublet_or_register_scatter,review preferred surface and doublet policy; do not silently normalize,proposal_only_needs_linguistic_review
reg-dopuščati,dopuščati,allows; admits,modal/proof_predicate,7,dopusca; dopuska; dopuskaje; dopusča; dopušća; dopušča; dopuščati,dopus:7,variant_scatter_review,F13 row: decide preferred register form and allowed variants; record branch/dialect source if externally reviewed,proposal_only_needs_linguistic_review
reg-odnovrěmenno,odnovrěmenno,simultaneously,discourse_adverb,5,istocasno; istočasno; odnovocasno; odnovočasno; odnovrěmenno,odnov:3; istoc:2,variant_scatter_review,F13 row: decide preferred register form and allowed variants; record branch/dialect source if externally reviewed,proposal_only_needs_linguistic_review
case-instance,slučaj,case (in the case of),proof_grammar,5,padě; pripad; slucaj; slućaj; slučaj,sluca:3; pade:1; pripa:1,variant_scatter_review,F13 row: decide preferred register form and allowed variants; record branch/dialect source if externally reviewed,proposal_only_needs_linguistic_review
reg-imenno,imenno,namely; exactly,discourse_adverb,4,imenno; imeno; namrec; namreč,namre:2; imenn:1; imeno:1,variant_scatter_review,F13 row: decide preferred register form and allowed variants; record branch/dialect source if externally reviewed,proposal_only_needs_linguistic_review
