"lane","register_id","row_kind","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","text_or_ocr_path","license_or_access_signal","sha256_or_other_hash","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","is_html_or_web_fallback","gap_or_blocker_note","evidence_status","upload_policy","non_claim_boundary"
"R2 Pan-Turkic hard-blockers","SCW-UG-001","source_witness","Uyghur","كۆپ ئەزالىق ھالقا - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; polynomial ring; dictionary","html_or_web_fallback","local HTML capture","https://wiki.uygur.com/kop_ezaliq_halqa/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_polynomial_ring_kop_ezaliq_halqa.html","","copyright signal","8A970E759C0FC58373D0A682E45577E2D251E4EC590A46BC4636DF6BBFC993FF","Uyghur","true","false","false","true","Direct dictionary witness for the polynomial-ring hard row, source-corpus candidate only; no TeX/source package; authority/license/native-review gaps remain. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","SCW-UG-002","source_witness","Uyghur","نوئېتېر ھالقىسى - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; Noetherian ring; dictionary","html_or_web_fallback","local HTML capture","https://wiki.uygur.com/noeter_halqisi/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ug_uygur_com_noetherian_ring_noeter_halqisi.html","","copyright signal","3CCE0C4BA0163ED2D9E9495623E8B698BE92D4A33A1743DCF028670252583EE7","Uyghur","true","false","false","true","Direct dictionary witness for the Noetherian-ring hard row, source-corpus candidate only; no TeX/source package; authority/license/native-review gaps remain. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","SCW-UG-003","source_witness","Uyghur","ئالگېبرا 代数学 - تارىم بلوگى - 博客大巴","tarim68.blogbus.com","Uyghur; algebra; group/ring/field context in text","html_or_web_fallback","local HTML capture","http://tarim68.blogbus.com/logs/24944853.html","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_uyghur\uyghur_tarim_algebra_math_dictionary.html","","copyright / attribution-request signal","D0B5FF3114C7D059C33202C69449FD1A1427A7CFAEAE151B2D85619E00E78BB8","Uyghur","true","false","false","true","Uyghur algebra-text witness from a blog copy of a cited dictionary source; no TeX/source package; source URL inferred from local HTML share/trackback fields; no hard-row approval. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","SCW-UG-004","source_witness","Uyghur","ئەۋلاد كۆپ تىللىق لۇغىتى","www.ewlat.biz","Uyghur; multilingual dictionary/category surface","html_or_web_fallback","local HTML capture","https://www.ewlat.biz/turkum-4879","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_uyghur\uyghur_ewlat_math_terms_category.html","","no reusable license signal found","0C6831088BA4835FDE9F67949461BA7BED7131D7EF15A27E3856BB91BBB2F53F","Uyghur","true","false","false","true","Dictionary/category source surface only; no TeX/source package; license unclear; no hard-row approval. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-KY-001","source_witness","Kyrgyz","МАТЕМАТИКА ... V-IX класстар","edu.gov.kg","Kyrgyz; mathematics curriculum; algebra; polynomial base","pdf_or_text_fallback","current PDF capture","https://edu.gov.kg/media/files/c832083a-4db8-4b7f-89cc-315d5535f520.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf","","ministry/government PDF; no explicit reusable license found in capture","34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C","Kyrgyz","true","false","true","true","Official curriculum-level mathematics/algebra provenance; no TeX/source package; no Noetherian-ring or polynomial-ring hard-row source. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-KY-002","source_witness","Kyrgyz","Kaldybaev S.K. Algebra 8 klass","daramet.tm.kg","Kyrgyz; algebra textbook; polynomial base","pdf_or_text_fallback","current PDF capture; TLS relaxed for capture after normal TLS failed","https://daramet.tm.kg/wp-content/uploads/2017/11/Kaldybaev-S.K.Algebra-8-klass.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-002_daramet_algebra_8_klass.pdf","","no explicit reusable license found in capture","3ADF45747524AC0691C659B5AB1568F9AE4DACF3886ECDE92A57AD31E601FBE4","Kyrgyz","true","false","true","true","Kyrgyz algebra/PDF provenance; text extraction is thin, likely scan/image-heavy; no TeX/source package; no Noetherian-ring or polynomial-ring hard-row source. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-TK-001","source_witness","Turkmen","Gutlyýew G - Ýokary matematika (köplükler nazaryýeti, çyzykly algebra, wektor algebrasy, analitik geometriýa)","www.kitaphana.net","Turkmen; higher mathematics; set theory; linear algebra; vector algebra; analytic geometry","html_or_web_fallback","current HTML page capture","https://www.kitaphana.net/book/10","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-001_kitaphana_book_10_yokary_matematika.html","","copyright symbol in capture","C576894C31C8E14CF38BCF8B41FE2536BE2BBA06EE107822501358B4080C8BE2","Turkmen","true","false","false","true","Turkmen publication-page provenance with format/size metadata on page; no local PDF hash/source package; no exact Noetherian-ring or polynomial-ring row. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-TK-002","source_witness","Turkmen","Kömekow B - Çyzykly algebra we geometriýa","www.kitaphana.net","Turkmen; linear algebra; geometry; TDU","html_or_web_fallback","current HTML page capture","https://www.kitaphana.net/book/13","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TK-002_kitaphana_book_13_cyzykly_algebra.html","","copyright symbol in capture","9164600E072C33FB4EC970918A0FA9DDAD5819EF54E94FDEAF5B3E9F9ACE72D0","Turkmen","true","false","false","true","Turkmen publication-page provenance; no local PDF hash/source package; no exact hard-row support. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-TT-001","source_witness","Tatar","Перечень учебников и учебных пособий 2015-2016 гг.","edu.tatar.ru","Tatar; textbook list; mathematics; algebra source shelf","pdf_or_text_fallback","current PDF capture","https://edu.tatar.ru/upload/storage/org1270/files/%D0%9F%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%B8%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%B8%D0%B9%202015-2016%20%D0%B3%D0%B3.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf","","no explicit reusable license found in capture","3D85EFBC03216384A72DD0AA5773FF3EA1925E3CC97DF3FB8F5B6FD166E3AF5E","Tatar","true","false","true","true","Tatar-language mathematics/algebra textbook-list provenance, not source text itself; no TeX/source package; no exact hard-row support. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-TT-002","source_witness","Tatar","Татар телендә математикадан уку материаллары булдырырга йогынты ясаучы факторлар турында","ft.antat.ru","Tatar; mathematics materials; bilingual education; terminology","pdf_or_text_fallback","current PDF capture","https://ft.antat.ru/uploads/75473680a2299b1cbd-%D0%A4%D0%A2_2025-1-1-106-112.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf","","journal PDF; no explicit reusable license found in capture","CBDCE778574D1ACD582BDADDDFCA15FDEE01138C50444044B200FE3CFF158408","Tatar","true","false","true","true","Direct PDF provenance for a Tatar-language mathematics-materials article; no TeX/source package; not Noetherian-ring or polynomial-ring support. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-UG-001","source_witness","Uyghur","بىر نامەلۇملۇق كۆپ ئەزالىق - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; polynomial of one indeterminate; dictionary","html_or_web_fallback","current HTML page capture","https://wiki.uygur.com/bir_namelumluq_kop_ezaliq/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-001_uygur_com_one_indeterminate_polynomial.html","","copyright signal in capture","DBC25492313F500AA04476DD72AA22B0D6062A14CA0906F916A93C38BA2F039E","Uyghur","true","false","false","true","Exact polynomial-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-UG-002","source_witness","Uyghur","نوئېتېر سخېمىسى - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; Noetherian scheme; dictionary","html_or_web_fallback","current HTML page capture","https://wiki.uygur.com/noeter_sxemisi/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-002_uygur_com_noetherian_scheme.html","","copyright signal in capture","08B78DCE564E70A2A21CCADD44A1D8907951132DB0AE7B598FEBEA9C3833F3C7","Uyghur","true","false","false","true","Noetherian-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-UG-003","source_witness","Uyghur","سول نوئېتېر ھالقىسى - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; left Noetherian ring; dictionary","html_or_web_fallback","current HTML page capture","https://wiki.uygur.com/sol_noeter_halqisi/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-003_uygur_com_left_noetherian_ring.html","","copyright signal in capture","24921876E3E138BF32B9C9E13C895FF7126A52C9B53ECA094221000711C09D3D","Uyghur","true","false","false","true","Noetherian-ring-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-UG-004","source_witness","Uyghur","دائىرىلىك نوئېتېر سخېمىسى - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; locally Noetherian scheme; dictionary","html_or_web_fallback","current HTML page capture","https://wiki.uygur.com/dairilik_noeter_sxemisi/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-004_uygur_com_locally_noetherian_scheme.html","","copyright signal in capture","44FAD5BFB58C0A03B65EA3627CA64AE68287549414380A136E18E4FB8077F1C3","Uyghur","true","false","false","true","Noetherian-adjacent dictionary witness; no TeX/source package; no authority/license/native-review closure. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","CWS-UG-005","source_witness","Uyghur","ئاتالغۇلار لۇغىتى - Page 3967 - ئۇيغۇر قامۇسى","wiki.uygur.com","Uyghur; terms category; semisimple ring; semisimple algebra; algebraic group","html_or_web_fallback","current HTML page capture","https://wiki.uygur.com/author/uekal/page/3967/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-UG-005_uygur_com_terms_category_page.html","","copyright signal in capture","BB458084A93269A5307ABC815D1A4987ECAA0E8EB4A9B17308D0501F5E9F2FE0","Uyghur","true","false","false","true","Uyghur mathematics-term category/source-shelf witness; no TeX/source package; no hard-row approval. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"R2 Pan-Turkic hard-blockers","GCS-TK-001","source_witness","Turkmen","Gutlyýew G., Atdaýew S. - Ýokary matematika","www.kitaphana.net","Turkmen; higher mathematics; set theory; linear algebra; vector algebra; analytic geometry","pdf_or_text_fallback","current PDF capture from Kitaphana download endpoint","https://www.kitaphana.net/electronic-book/10","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TK-001_kitaphana_book_10_download.pdf","","copyright/page-host signal; no reusable license found","9E3887FE0DB913A8DD0063FD23D3C95F1F14F23993E83BEFC9961FB4AB72630B","Turkmen","true","false","true","true","Closes original-PDF gap for prior Kitaphana book-10 page; strong Turkmen publication provenance, but no exact Noetherian-ring or polynomial-ring row. Next gate:","","local lane provenance/gap row; B3/package steward owns any publication; no R2 Git push","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
