unit_id,order,unit_type,source_locator,target_locator,title_or_function,dependencies,source_status,target_status,review_state,confidence,ambiguity
NOE-P37-U021,21,definition,P31 lines 18665-18666; source lines 53-54,Hans lines 82-83,definition of rational and integral Galois modules,NOE-P37-U020,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U022,22,theorem,P31 lines 18668-18679; source lines 56-67,Hans lines 85-96,Theorem 3 rational operator isomorphism,NOE-P37-U021,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N007,22.1,footnote,P31 line 18671; source line 59,Hans line 88,normal-basis specialization argument,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-E003,22.2,display,P31 lines 18672-18678; source lines 60-66,Hans lines 89-95,operator-isomorphism correspondence,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-U023,23,theorem,P31 lines 18681-18684; source lines 69-72,Hans lines 98-101,Theorem 4 integral Galois modules of rank n,NOE-P37-U022,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U024,24,theorem,P31 lines 18686-18691; source lines 74-79,Hans lines 103-108,Theorem 5 local normal-basis criterion,NOE-P37-U023,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N008,24.1,footnote,P31 line 18687; source line 75,Hans line 104,Abelian quotient-ring qualification,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-U025,25,supplement,P31 lines 18693-18707; source lines 81-95,Hans lines 110-124,supplement to Theorem 3 and representation consequence,NOE-P37-U022,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N009,25.1,footnote,P31 line 18694; source line 82,Hans line 111,Deuring finite-field proof observation,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-N010,25.2,footnote,P31 line 18694; source line 82,Hans line 111,Speiser Galois-module attribution,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-E004,25.3,display,P31 lines 18703-18706; source lines 91-94,Hans lines 120-123,representation matrix on Galois-module basis,,sealed_p31_exact,complete,display_semantic_signature_checked,high,source terminal index t retained; inherited l drift rejected
NOE-P37-S003,30,subsection,P31 lines 18709-18797; source lines 97-185,Hans lines 126-214,§3 discriminant as group determinant,NOE-P37-S002,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U030,30.1,subsection_opening,P31 line 18711; source line 99,Hans line 128,§3 reduction to ramified places with normal bases,,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-U031,31,theorem,P31 lines 18713-18768; source lines 101-156,Hans lines 130-185,Theorem 6 discriminant factorization by characters,NOE-P37-U030,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-E005,31.1,display,P31 lines 18717-18719; source lines 105-107,Hans lines 134-136,group determinant from a normal basis,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E006,31.2,display,P31 lines 18723-18727; source lines 111-115,Hans lines 140-144,determinant and group-matrix decomposition,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E007,31.3,display,P31 lines 18729-18734; source lines 117-122,Hans lines 146-151,lambda matrix transformation,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E008,31.4,display,P31 lines 18736-18738; source lines 124-126,Hans lines 153-155,lambda determinant transformation,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E009,31.5,display,P31 lines 18744-18748; source lines 132-136,Hans lines 161-165,adjoint determinant pair,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E010,31.6,display,P31 lines 18752-18755; source lines 140-143,Hans lines 169-172,Delta-lambda invariance,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-N011,31.7,footnote,P31 lines 18756-18760; source lines 144-148,Hans lines 173-177,coefficient-extension direct-sum argument,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,roman P is source-exact coefficient field; fraktur-P drift rejected
NOE-P37-E011,31.7.1,display,P31 lines 18757-18759; source lines 145-147,Hans lines 174-176,coefficient direct-sum decomposition inside footnote 11,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E012,31.8,display,P31 lines 18763-18765; source lines 151-153,Hans lines 180-182,discriminant-factor decomposition,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-X001,31.9,cross_reference,P31 line 18766; source line 154,Hans line 183,source cross-reference [vgl. 2a)] restored as 参见 2a,,sealed_p31_exact,complete,cross_reference_restoration_checked,high,
NOE-P37-U032,32,theorem,P31 lines 18770-18793; source lines 158-181,Hans lines 187-210,Theorem 7 cyclic prime-degree conductor identification,NOE-P37-U031,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
NOE-P37-N012,32.1,footnote,P31 line 18773; source line 161,Hans line 190,Hilbert Zahlbericht citation and localization qualification,,sealed_p31_exact,complete,footnote_locus_and_text_checked,high,
NOE-P37-E013,32.2,display,P31 lines 18774-18778; source lines 162-166,Hans lines 191-195,ramified-prime factorization,,sealed_p31_exact,complete,display_semantic_signature_checked,high,generic prime notation in following prose is unindexed; display family remains indexed
NOE-P37-E014,32.3,display,P31 lines 18780-18785; source lines 168-173,Hans lines 197-202,root-number ideal factorizations,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-E015,32.4,display,P31 lines 18787-18792; source lines 175-180,Hans lines 204-209,Delta-lambda ideal chain and conductor,,sealed_p31_exact,complete,display_semantic_signature_checked,high,
NOE-P37-U099,99,receipt,P31 lines 18795-18797; source lines 183-185,Hans lines 212-214,received 24 August 1931,NOE-P37-U032,sealed_p31_exact,complete,mapped_and_automated_parity_checked,high,
