"adverse_id","unit","candidate_or_pressure","observed_form_or_claim","risk","selected_response","evidence","status"
"A-053","I.6 editorial opening","jcreinhold target-language control","multiplodocus","Latinizes and changes Grothendieck's coined source form","retain italic multiplodoque","French lines 1171-1177; SGA1 source register; independent review","rejected_independent_pass"
"A-054","I.6 first internal draft","initial TeX drafting error","ordinary parenthesized A B k R and related algebra symbols","renders mathematical variables as prose punctuation and silently corrupts notation despite compilation","restore TeX math delimiters around every algebra ring field functor and quotient symbol before integration","French lines 1179-1215; direct TeX review; clean rebuilt PDF","closed_failed_draft_corrected_independent_pass"
"A-055","I.6 Corollary I.6.2 justification","Thosgood structural control","wrap the A/m^n reduction in a proof environment","adds a heading and implied closure not present in the French hierarchy","retain the reduction as an unheaded paragraph with no QED","French lines 1204-1206; original physical 26; independent hierarchy review","rejected_independent_pass"
"A-056","I.6 final construction","stale jcreinhold-derived conversion","render A[t] as Markdown code and flatten the quotient sequence","carries conversion markup into mathematical body and weakens formula control","use mathematical TeX for F in k[t] F_1 in A[t] and B=A[t]/F_1A[t]","French lines 1208-1215; formula comparison; original print","rejected_independent_pass"
"A-057","I.6 theorem and justification","capitalization pressure from one target control","Noetherian and Artinian as capitalized adjectives","regresses the SGA-wide lowercase English convention without source need","use lowercase noetherian and artinian","French lines 1181 and 1204; shared normalization baseline; independent review","rejected_independent_pass"
"A-058","I.6 resumed theorem proof","explanatory expansion pressure","insert body notes proving finite-product decomposition and invertibility of the lifted derivative","adds source-external proof content and may falsely suggest a source defect","record both as standard valid source compression in the ledger without expanding the translated body","French lines 1208-1215; independent mathematical source review","working_selected_noncorrective_independent_pass"
"A-059","I.7 coverage","jmoellermath translate-SGAI candidate","infer I.7 coverage from the Exposé I chapter filename or compiling repository","the 12973-byte chapter stops before I.7 and would create fabricated candidate agreement","record the I.7 body as absent and use the chapter only as negative coverage evidence","candidate chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3; structural search","rejected_independent_pass"
"A-060","I.7 proposition and theorem prose","thosgood target control","capitalize Noetherian in ordinary prose","regresses the manager-controlled lowercase SGA-wide convention without source need","use lowercase noetherian outside titles and quotations","French lines 1223-1236 and 1330-1343; normalization baseline; independent audit","rejected_independent_pass"
"A-061","I.7 hierarchy","thosgood and current Markdown controls","add proof wrappers or QED symbols to unheaded source continuations","changes the source hierarchy and creates false editorial structure","preserve every headed and unheaded transition exactly and add no QED","French lines 1238-1477; source hierarchy audit","rejected_independent_pass"
"A-062","I.7 running terminology","current jcreinhold Markdown control","use net without explanation as the running rendering of non ramifié","obscures the established SGA-wide technical term and imports one candidate's idiolect","use unramified as the running form and preserve historical wording only in an explicit note when needed","French lines 1217-1491; SGA1 normalization baseline; external controls compared","rejected_independent_pass"
"A-063","I.7 derivative notation","current jcreinhold Markdown control","render dérivé as derived polynomial","is nonstandard in this algebraic context and can be mistaken for a different construction","use formal derivative and retain every prime exactly","French lines 1223-1231 and 1408-1426; formula audit","rejected_independent_pass"
"A-064","I.7 prime-ideal relation","current jcreinhold Markdown control","translate trace as trace rather than contraction","is an avoidable Gallicism and can suggest field trace","use contraction for the prime ideal lying below","French lines 1223-1231; established English commutative-algebra terminology","rejected_independent_pass"
"A-065","I.7 localization proof","current jcreinhold Markdown control","omit the five-column diagram or replace formulas with plaintext code blocks","loses source structure and makes primes and localizations difficult to audit","retain the full TeX diagram and mathematical notation","French lines 1428-1477; original print p.13; render audit","rejected_independent_pass"
"A-066","I.7 Theorem I.7.6 bridge","French TeX original print and target controls","retain unprimed O as having the desired stronger presentation or assert unconditionally that both algebras are etale","the unprimed reading makes the transfer argument circular while the etale inference applies only to the theorem's final conditional case","use O-prime as having the desired form; make If O is etale explicit; disclose both shared source defects","French lines 1375-1380; original print p.12; Theorem I.7.6 final clause; Corollaries I.7.7 and I.4.8; two-stage adversarial re-audit","corrected_disclosed_independent_pass"
"A-067","I.7 Lemma I.7.9","French TeX original print and target controls","silently retain B and n in the unique-maximal-ideal branch after defining B-prime and n-prime","makes the branch refer to the wrong algebra and ideal","use B-prime and n-prime and disclose the shared source defect","French lines 1402-1405; original print p.12; local definitions; independent audit","corrected_disclosed_independent_pass"
"A-068","I.7 final localization","French TeX original print and target controls","silently retain n-prime B sub n-prime with the prime missing from B","breaks agreement with the finite subalgebra used throughout the proof","use n-prime B-prime sub n-prime and disclose the shared source defect","French lines 1460-1462; original print p.13; diagram and proof context","corrected_disclosed_independent_pass"
"A-069","I.7 source register","editorial smoothing pressure","erase the source word jargon or use it as the unmarked mathematical term in the body","either hides source register or makes the technical prose needlessly colloquial","retain jargon in the editorial disclosure and use surjective homomorphism in the mathematical body","French lines 1375-1380; independent terminology review","working_selected_disclosed_independent_pass"
"A-070","I.7 proof equivalence","initial English wording and candidate pressure","write or must induce where the source says c'est-à-dire","turns an equivalence into a false alternative","use that is must induce and re-audit the full sentence","French lines 1460-1466; independent source audit correction","corrected_independent_pass"
"A-071","I.7 starred remark","external target controls","drop the source star or use semi-local and monogenous variants","loses authorial emphasis and regresses established English forms","retain the star and use semilocal and monogenic","French lines 1479-1491; original print p.13; normalization baseline","rejected_independent_pass"
"A-072","I.8 candidate coverage","jmoellermath repository and filename pressure","infer an I.8 translation from repository-level SGA1 naming","fabricates target-language corroboration where the checked chapter stops earlier","record the chapter as absent for I.8 and use it only as a negative-coverage control","12973-byte chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3; direct content inspection","rejected_independent_pass"
"A-073","I.8 title","Thosgood target control","Applications to formal schemes","changes the singular source title","use Application to formal schemes in the exact source heading hierarchy","French lines 1493-1495; original print p.13","rejected_independent_pass"
"A-074","I.8.1 terminology and arrow","Thosgood and conversion pressure","sub-prescheme; neighbourhood; flattened isomorphism","regresses SGA-wide spelling and loses map direction","use subprescheme; neighborhood; U_0 directed isomorphically to X times_Y Y_0","French lines 1499-1502; source formula; normalization baseline","rejected_independent_pass"
"A-075","I.8.1 base-change source defect","French TeX original print and complete English controls","B tensor_A A_0 equals A_0","has the wrong target type and contradicts the constructed localization B_0","use an isomorphism to B_0 and disclose the shared source defect immediately","French lines 1534-1536; original print p.14; C_0 localization construction; independent source audit","corrected_disclosed_independent_pass"
"A-076","I.8.1 local-ring source defect","French TeX original print and complete English controls","O_z is A-isomorphic to C","uses the unlocalized algebra although z corresponds to n and the next line requires an etale localization","use O_z isomorphic to B equals C_n and disclose the shared source defect","French lines 1539-1545; original print p.14; following base-change chain; independent source audit","corrected_disclosed_independent_pass"
"A-077","I.8.1 citation and neighborhood","Thosgood omission and candidate substantive change","omit EGA Chapter I and replace U_0 in X_0 by a neighborhood in X","loses provenance and changes the object being identified","retain EGA Chapter I and the neighborhood U_0 inside X_0","French lines 1536-1548; source comment; original print p.14","rejected_independent_pass"
"A-078","I.8.2 proof dependency","Thosgood target control","Theorem I.7.6 in place of Corollary I.7.5","reverses the explicit source replacement and changes the covering argument","use Corollary I.7.5 in place of Theorem I.7.6","French line 1557; direct source and candidate comparison","rejected_independent_pass"
"A-079","I.8.3 scalar-sheaf formula","target-control rendering pressure","stray tensor star Unicode or code-block formula","can change the tensor denominator or make the formula non-editable","reconstruct exact O_X tensor over f_0^*O_S with f_0^*O_S0 and directed isomorphism to O_X0","French lines 1573-1581; formula-by-formula audit","rejected_independent_pass"
"A-080","I.8.3 reduction and gluing register","target controls","is reduced along X_0; locally ringed space; reversed product arrow","adds or changes categorical structure and obscures the source direction","use whose reduction is X_0; ringed space; X_0 directed isomorphically to X times_S S_0","French lines 1581-1596; original print pp.14-15","rejected_independent_pass"
"A-081","I.8.4 SGA-wide English","Thosgood and informal control pressure","capitalized Noetherian; British fibre; informal cover","breaks the manager-controlled normalization baseline","use lowercase noetherian; residual fibers; etale covering","French lines 1600-1615; SGA-wide normalization baseline","rejected_independent_pass"
"A-082","I.8.4 ideal notation","French TeX and original print alternate J and mathcal J","silently normalize or treat the glyphs as different ideals","either hides a source inconsistency or introduces false mathematical distinction","use mathcal J consistently for the one ideal sheaf and disclose the source alternation","French lines 1601-1602 and 1617-1618; original print p.15; independent notation audit","corrected_disclosed_independent_pass"
"A-083","I.8.4 corrected inverse system","original-print and stale-control pressure","B_n or X_n; lost calligraphic sheaf; damaged transition tensor","changes the objects and bases of the inverse system","use corrected mathcal B_n on S_n with exact maps and tensor isomorphisms from the current French branch","French lines 1620-1646; orig-false corrections; formula audit","corrected_independent_pass"
"A-084","I.8 page evidence","complete target controls","drop page 14 or page 15 source markers","breaks original-print locator continuity and page-audit reproducibility","retain exact p.14 and p.15 margin markers; inherit p.13 marker from the preceding cumulative page","French lines 1509-1510 and 1583-1584; original scan physical pages 24-26","rejected_independent_pass"
"A-085","I.8 hierarchy and cursor","target-control continuation and modern proof style","add proof wrappers or QED; flatten the starred remark; continue into I.9","alters source hierarchy and overstates the audited boundary","retain prose proofs and starred remark; stop at line 1653 with excluded cursor line 1654","French lines 1493-1654; exact source-slice and excluded-heading hashes","rejected_cursor_fixed_independent_pass"
"A-086","I.9 heading","Thosgood target-language control","Invariance properties","narrows or changes the source's permanence register","use Permanence properties","French line 1654; current French and target comparison","rejected_independent_pass"
"A-087","I.9 historical register","Thosgood target-language control","in the more modern language","reverses the source statement that the terminology is still current","use in the terminology still in use","French lines 1667-1669; original print physical PDF p.26","rejected_independent_pass"
"A-088","I.9 prime-ideal dimension terminology","Thosgood and jcreinhold controls","same rank","is nonstandard or misleading for the height of a prime ideal in current English","use same height","French lines 1678-1679; context p subset A and q subset B; mathematical terminology review","rejected_independent_pass"
"A-089","I.9.1 graded formula","Thosgood target-language control","gr bullet on both sides and uppercase K in the final clause","changes the source grading notation and names a nonexistent field","retain gr star and lowercase k exactly","French lines 1697-1701; original print physical PDF p.26; formula audit","rejected_independent_pass"
"A-090","I.9.1 formula rendering","current and inherited jcreinhold lineage","plain-text gr* fenced code and malformed Pandoc Highlighting constructs","loses reusable TeX semantics and introduces conversion debris","use native TeX operatorname gr with superscript star and tensor base k","French lines 1697-1701; current Markdown and inherited conversion comparison","rejected_independent_pass"
"A-091","I.9 source structure and emphasis","initial working draft and reduced-emphasis candidates","paragraph breaks at the page marker and around the display; partial or absent emphasis","alters the source's rhetorical and logical grouping","retain one paragraph through lines 1656-1680 one proof paragraph through lines 1690-1702 and every source emphasis","French TeX paragraph boundaries and em commands; two independent source audits","corrected_independent_pass"
"A-092","I.9.1 proof and cursor","target proof wrappers and continuation pressure","add proof environment or QED glyph; continue into the corollary","adds hierarchy not present in the source or overstates the bounded unit","retain unheaded proof prose and proposition-closing sentence; stop at excluded line 1704","French lines 1685-1704; exact source envelope and cursor hashes","rejected_cursor_fixed_independent_pass"
"A-093","I.9 page coordinates","single-number page references","identify the unit only as page 16 or only as bound-volume page 13","makes the source locator non-reproducible across TeX print and PDF witnesses","record physical PDF page 26 marginal source page 15 before line 1660 marginal source page 16 from line 1660 and bound-volume footer 13","French TeX marker line 1660; original scan physical PDF p.26; rendered scan witness","corrected_independent_pass"
"A-094","I.9.1 corrected-source branch","original-print branch pressure","omit the comma after L equals B tensor_A k","ignores the current orig=false French authority branch","retain the source-checked comma before that is","French lines 1692-1695 and sga1-smf driver orig=false","corrected_source_branch_independent_pass"
"A-095","I.9.2 corrected French branch","original-print and target-control pressure","treat original surjective and corrected surjectif as different English mathematical claims","invents a semantic distinction from a French gender correction","use surjective in English and record the orig=false French repair in the source ledger","French lines 1708-1709; driver orig=false; original and corrected PDFs","corrected_source_branch_independent_pass"
"A-096","I.9.2 duplicate numbering","modern renumbering pressure and silent target controls","renumber the proposition I.9.3 or hide the duplicate only in source comments","changes original labels and shifts downstream citations or leaves readers unable to understand the duplicate","retain both visible I.9.2 headings with an explicit editorial numbering note","French lines 1712-1713; original print physical PDF p.33; corrected PDF physical p.30","rejected_disclosed_independent_pass"
"A-097","I.9.2 converse register","literal calque and informal English pressure","the reciprocal is true; onto; or a compressed iff statement","uses nonstandard theorem prose or obscures the unconditional Y-to-X implication","the converse holds if f is surjective","French lines 1706-1708 and 1717-1719; SGA-wide English normalization controls","rejected_independent_pass"
"A-098","I.9.2 theorem hierarchy","Reinhold Markdown and inherited Pandoc conversion","generic unnumbered Corollary and Proposition headings or a merged regular-reduced assertion","loses two source labels the duplicate-number fact and separate logical claims","retain separate numbered corollary and proposition environments with unique TeX labels","French lines 1704-1720; target hierarchy comparison","rejected_independent_pass"
"A-099","I.9.2 source coverage","agreement between Hosgood and Reinhold wording","treat two English lineages or their derivative conversions as source corroboration","external English is target-language evidence only and the inherited TeX is not an independent lineage","use French TeX as sole text authority and record English witnesses only as comparison controls","candidate provenance manifests and exact file hashes; French source slice audit","rejected_independent_pass"
"A-100","I.9.2 cursor and proof state","candidate continuation and checkpoint pressure","start the successor at line 1723 or call the two statements proof-complete","orphans Cela equivaut au at line 1722 and overstates what the bounded source contains","close through blank line 1721 and resume exactly at substantive line 1722; describe the unit as proof-deferred","French lines 1704-1722; exact slice and cursor hashes","rejected_cursor_fixed_independent_pass"
"A-101","I.9.3 local-map terminology","Thosgood target-language control","étale local homomorphism","departs from the established SGA English modifier order","use local étale homomorphism","French line 1725; Thosgood lines 73-80; SGA-wide normalization baseline","rejected_source_checked_independent_pass"
"A-102","I.9.3 localization syntax","jcreinhold current Markdown control","B isomorphic to a localized A-algebra of an A-algebra of finite type","introduces a malformed nested algebra relation not present in the French","use B isomorphic to a localization of an A-algebra of finite type","French lines 1725-1730; jcreinhold lines 824-825","rejected_source_checked_independent_pass"
"A-103","I.9.3 proof directions","literal source-label and candidate pressure","retain necessity and sufficiency labels without naming which reducedness assertion is antecedent","can invert or obscure the two implications even though the proof formulas determine them","state first B reduced implies A reduced by injectivity and then A reduced implies B reduced by the minimal-prime argument","French lines 1731-1759; directed mathematical proof audit","corrected_source_register_independent_pass"
"A-104","I.9.3 ideal-product notation","jcreinhold current Markdown control","mathfrak p subscript iB in quotients B over mathfrak p subscript iB","moves B into the prime-ideal subscript and corrupts the ideal product mathfrak p_i B","retain B over mathfrak p_i B and A over mathfrak p_i","French corrected branch lines 1743-1748; jcreinhold lines 828-831","rejected_formula_regression_independent_pass"
"A-105","I.9.3 domain terminology","Thosgood and jcreinhold target-language controls","A is integral","can be read as an incomplete adjective rather than the ring property integral domain","use A is an integral domain","French line 1750; English ring-theory terminology review","rejected_source_checked_independent_pass"
"A-106","I.9.3 multiplicative set","Thosgood and jcreinhold target-language controls","multiplicatively stable set","is a literal but nonstandard English rendering of the localization datum","use multiplicatively closed set","French lines 1754-1756; both external controls and SGA-wide terminology review","rejected_source_checked_independent_pass"
"A-107","I.9.3 French grammar","silent verbatim-source pressure","reproduce on est ramener as though it were grammatical source prose","would carry a French infinitive error into ungrammatical English or obscure the reduction","translate idiomatically as It therefore remains to prove that the latter ring is reduced","French line 1752 and surrounding injectivity reduction","corrected_source_grammar_independent_pass"
"A-108","I.9.3 separable field factors","Thosgood and jcreinhold target-language controls","separable extensions of K without recording finiteness","drops the finiteness supplied by finite type and étale over the field K","state finite separable extensions of K","French lines 1753-1758; finite-type étale K-algebra structure","rejected_mathematical_underspecification_independent_pass"
