ordinal,relative_path,bytes,sha256,artifact_class,release_state,notes
28,MACHINE_LEDGER_VALIDATION.json,808,B020301CCF05C51EA75D10D8D208385578C56813785EB0DBD3D6B25FA44D7541,machine_control,internal_not_for_release,fresh independent review required
29,PREDECESSOR_ARTIFACT_BINDING.csv,11284,7E0F75281E5FFB50135441E335E81EB78044D2B228FE8B0342579C3AF22CF1BA,machine_control,internal_not_for_release,fresh independent review required
30,PREDECESSOR_VALIDATION.json,602,C468314FF9D1269F8C6066C02A7DDA4620728BFA092B94BDABF9C69124154E1E,machine_control,internal_not_for_release,fresh independent review required
31,PRIVACY_REGRESSION_VALIDATION.json,1493,506C301FC4FB9C8D8189E3290E0AA9BA12F29FAA1366CB94B39D7268A9D06379,machine_control,internal_not_for_release,fresh independent review required
32,PRODUCER_PASS_RETURN.md,2076,36F703B77DA1D4407C63D6A9A225988223DCC3B7717279BF792E5C4C1FC390F7,human_or_process_evidence,internal_not_for_release,producer PASS pending fresh independent review
33,R2_PRIVACY_SUCCESSOR_AUDIT.md,2853,8F92CC20EC0F957B853780BBC10A22C0C81FB19B8EAA315C906EA9E8B7B56F87,human_or_process_evidence,internal_not_for_release,fresh independent review required
34,RENDERED_VISUAL_QA.md,1919,65EAED4AAA379E46E1A9A9B59C10FC28174F8CA7742C41531B272B039FB9DAD2,human_or_process_evidence,internal_not_for_release,fresh independent review required
35,RIGHTS_AND_PRIVACY_FINAL_RECEIPT.json,2006,3B75C26B9644C2768544179D3C49D7AD08DBAB8ED9AACC33EAA70E9ACA7F7584,machine_control,internal_not_for_release,rights/privacy PASS; internal hold
36,SGA2_Expose_X_Purity_Theorem_Part_I_Proof_English_SourceAligned.pdf,238640,70FE943717063093C9D0A8F7CB56838694268CA64487AA4257011FAD3F2D802B,preserved_target,internal_not_for_release,fresh independent review required
37,SGA2_Expose_X_Purity_Theorem_Part_I_Proof_English_SourceAligned.tex,4263,BC57F45DB805F1E82371F1AE856455930549656C178935A946AF111C753E911B,preserved_target,internal_not_for_release,fresh independent review required
38,SOURCE_ALIGNMENT_LEDGER.csv,1539,4C516DAAAB39B34A95DBAF2A1DA51F7D8878B8AEAD0377402B72E5B96D1E002C,machine_control,internal_not_for_release,rights-gated source/comparison evidence
39,SOURCE_BOUNDARY_LINES_3566_3573_LATIN1_LF.tex,3557,12BE4289BEBBE9713AC5B67A75A62421E3E01E816A457B367D7C66E933C47081,supporting_evidence,internal_not_for_release,rights-gated source/comparison evidence
40,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,4271,6010E6CA72069CF9410D7C2AE715A31F4C728ACF4527206D6BBCEECD29E9F737,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
41,SOURCE_DEFECT_LEDGER.csv,1188,FC7C53735D1F6372240BC615392E5CCA5B8B402B843C76439ADF7E484A8C5FFC,machine_control,internal_not_for_release,rights-gated source/comparison evidence
42,SOURCE_EVIDENCE_PREPARATION_RECEIPT.json,3082,2BA2D6AE7989224656AB4CACF0EFF03750DD683CEE484484060E48EDAEC76AEB,machine_control,internal_not_for_release,rights-gated source/comparison evidence
43,SOURCE_LINES_3568_3571_LATIN1_LF.tex,1951,9F1568E7EF1A39A857E5DD119673EAC07F291F3D8E0B60B13DD8107DADB462BE,supporting_evidence,internal_not_for_release,rights-gated source/comparison evidence
44,SOURCE_NEXT_BLANK_3572_LF.tex,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,supporting_evidence,internal_not_for_release,rights-gated source/comparison evidence
45,SOURCE_NEXT_SUBSTANTIVE_3573_LATIN1_NO_EOL.tex,965,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,supporting_evidence,internal_not_for_release,rights-gated source/comparison evidence
46,SOURCE_PAGE_105_RENDER_STDERR.log,900,95BD77F55426D14675E53EB7AB498AB0F831BF8C4EDE4FD1F95D45D540940A59,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
47,SOURCE_PAGE_105_RENDER_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
48,SOURCE_PAGE_105_TEXT_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
49,SOURCE_PAGE_105_TEXT_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
50,SOURCE_PHYSICAL_PAGE_105_200DPI.png,493953,F02CECCC0744EF15A848483CB9F64333536ED81F1B31190A777CB51372B42D51,rendered_evidence,internal_not_for_release,rights-gated source/comparison evidence
51,SOURCE_PHYSICAL_PAGE_105_EXTRACTED_TEXT.txt,3576,79C45ED5FEF3F692B3434CCA0AB8D36E03B6C66800C26CB27ADF66AFC547AFE3,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
52,SOURCE_PRECEDING_BLANK_3567_LF.tex,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,supporting_evidence,internal_not_for_release,rights-gated source/comparison evidence
53,SOURCE_READER_PDFINFO_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
54,SOURCE_READER_PDFINFO.txt,648,0258F8CB747A9345EBB873AFA5868D9E901EC7C7D5A575D19C533949D90D4CF7,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
55,TARGET_EXTRACTED_TEXT.txt,3250,BE27C4D218BB5D8E97115B09656C9BB630917682340AEA14999ACDE8CC32060B,human_or_process_evidence,internal_not_for_release,fresh independent review required
56,TARGET_PAGE_001_200DPI.png,415920,768DE68E40F4A34141836841EBF93E3ED18803D1476B44AD279680CCF6774BA5,rendered_evidence,internal_not_for_release,fresh independent review required
57,TARGET_PDFFONTS_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
58,TARGET_PDFFONTS.txt,1615,A3D0360FFAC1921C87213232BCADD1F3B319BE95B93F109096AE9C39B76502E2,human_or_process_evidence,internal_not_for_release,fresh independent review required
59,TARGET_PDFINFO_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
60,TARGET_PDFINFO.txt,680,9B7181AB75297037082C61C5BC1FC7A92452D6D304732BF807D7E26B80C72CC7,human_or_process_evidence,internal_not_for_release,fresh independent review required
61,TARGET_RENDER_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
62,TARGET_RENDER_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
63,TARGET_TEXT_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
64,TARGET_TEXT_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,fresh independent review required
65,TERMINOLOGY_REJECTED_CHOICES_LEDGER.csv,1818,5D3448CF2E484054372DF51D3E258A58C234E80E9CF2AECF7CB2D8D4521E7F53,machine_control,internal_not_for_release,fresh independent review required
