edge_id,subject_id,predicate,object_id,object_type,provenance,status
JA-P24-E023,NOE-P24-STALE-POINTER,is_rejected_for,NOETHER-P24-JA-WORKING,translation_unit,"CJK control update and pointer debt",rejected
JA-P24-E024,NOE-P24-BLANK-CONTACT,is_rejected_for,NOETHER-P24-JA-WORKING,translation_unit,"visual QA finding",rejected
JA-P24-E025,NOETHER-P24-JA-INHERITED,is_witness_for,NOE-P24-BASIC-IDEAL,concept,"inherited terminology continuity only",held
JA-P24-E026,NOETHER-P24-JA-INHERITED,is_witness_for,NOE-P24-INDIVIDUAL-NORM,concept,"inherited terminology continuity only",held
JA-P24-E027,NOETHER-P24-DE-SEALEDP31,defines,NOE-P24-PRIMARY-FUNCTION,concept,"P24 definition 7",verified
JA-P24-E028,NOETHER-P24-DE-SEALEDP31,defines,NOE-P24-ABSOLUTE-PRIME-IDEAL,concept,"P24 section 7",verified
JA-P24-E029,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-RESIDUE-FIELD,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass",internal-final
JA-P24-E030,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-ASSOCIATED-PRIME,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass",internal-final
JA-P24-E031,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-GALOIS-EXTENSION,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass",internal-final
JA-P24-E032,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-ELEMENTARY-DIVISOR,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass",internal-final
JA-P24-E033,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-BASIC-IDEAL,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E034,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-INDIVIDUAL-NORM,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E035,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-PRIME-FUNCTION,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E036,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-ZERO-FIELD,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E037,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-ABSOLUTE-PRIME-IDEAL,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass",internal-final
JA-P24-E038,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-PRIMARY-FUNCTION,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; explicit sense window ここでは素関数の冪 checked against the sealed source; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E039,NOETHER-P24-DE-SEALEDP31,defines,NOE-P24-CORRESPONDING-ZERO-SYSTEM,concept,"sealed P31 P24 Theorems IV and XI; target occurrence checked in frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E and PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internal-final
JA-P24-E040,NOETHER-P24-JA-WORKING,uses_concept,NOE-P24-CORRESPONDING-ZERO-SYSTEM,concept,"frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; source-keyed term occurrence and sense checked; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16-page original-detail visual pass; lexical decision remains held",internal-final
JA-P24-E041,NOE-P24-ABSOLUTE-PRIME-IDEAL,is_governed_by,NOE-P24-ABSOLUTE-PRIME-IDEAL-DECISION,decision_record,"selected form, explicit sense window, and frozen exact-hash internal QA",internally-accepted
JA-P24-E042,NOE-P24-ASSOCIATED-PRIME,is_governed_by,NOE-P24-ASSOCIATED-PRIME-DECISION,decision_record,"selected form, explicit sense window, and frozen exact-hash internal QA",internally-accepted
JA-P24-E043,NOE-P24-BASIC-IDEAL,is_governed_by,NOE-P24-BASIC-IDEAL-DECISION,decision_record,"held form, explicit sense window, and frozen exact-hash internal QA",held
JA-P24-E044,NOE-P24-CORRESPONDING-ZERO-SYSTEM,is_governed_by,NOE-P24-CORRESPONDING-ZERO-SYSTEM-DECISION,decision_record,"held form, explicit sense window, and frozen exact-hash internal QA",held
JA-P24-E045,NOE-P24-ELEMENTARY-DIVISOR,is_governed_by,NOE-P24-ELEMENTARY-DIVISOR-DECISION,decision_record,"selected form, explicit sense window, and frozen exact-hash internal QA",internally-accepted
JA-P24-E046,NOE-P24-GALOIS-EXTENSION,is_governed_by,NOE-P24-GALOIS-EXTENSION-DECISION,decision_record,"selected form, explicit sense window, and frozen exact-hash internal QA",internally-accepted
JA-P24-E047,NOE-P24-INDIVIDUAL-NORM,is_governed_by,NOE-P24-INDIVIDUAL-NORM-DECISION,decision_record,"held form, explicit sense window, and frozen exact-hash internal QA",held
JA-P24-E048,NOE-P24-PRIMARY-FUNCTION,is_governed_by,NOE-P24-PRIMARY-FUNCTION-DECISION,decision_record,"held form, explicit sense window ここでは素関数の冪, and frozen exact-hash internal QA",held
JA-P24-E049,NOE-P24-PRIME-FUNCTION,is_governed_by,NOE-P24-PRIME-FUNCTION-DECISION,decision_record,"held form, explicit sense window, and frozen exact-hash internal QA",held
JA-P24-E050,NOE-P24-RESIDUE-FIELD,is_governed_by,NOE-P24-RESIDUE-FIELD-DECISION,decision_record,"selected form, explicit sense window, and frozen exact-hash internal QA",internally-accepted
JA-P24-E051,NOE-P24-ZERO-FIELD,is_governed_by,NOE-P24-ZERO-FIELD-DECISION,decision_record,"held form, explicit sense window, and frozen exact-hash internal QA",held
