mapping_id,source_object,source_locator,source_representation,target_object,target_locator,target_representation,relation,review_state,note
NOE-P24-JA-D016,DE-D015,DE 13773,bracket,JA-D016,JA TeX 410,bracket,reconciled_divergence,content_checked,Theorem I primary case corrected to sealed product and z
NOE-P24-JA-D017,DE-D016,DE 13788,bracket,JA-D017,JA TeX 425,bracket,reconciled_divergence,content_checked,nonzero relation restored
NOE-P24-JA-D018,DE-D017,DE 13796,bracket,JA-D018,JA TeX 433,bracket,reconciled_divergence,content_checked,G and H witnesses restored
NOE-P24-JA-D019,DE-D018,DE 13803,bracket,JA-D019,JA TeX 439,bracket,reconciled_divergence,content_checked,GH witness restored
NOE-P24-JA-D020,DE-D019,DE 13842,bracket,JA-D020,JA TeX 478,bracket,reconciled_divergence,content_checked,Lemma V coefficient decomposition restored
NOE-P24-JA-D021,DE-D020,DE 13852,bracket,JA-D021,JA TeX 488,bracket,reconciled_divergence,content_checked,Theorem IV first factorization restored
NOE-P24-JA-D022,DE-D021,DE 13857,bracket,JA-D022,JA TeX 493,bracket,reconciled_divergence,content_checked,Theorem IV second factorization restored
NOE-P24-JA-D023,DE-D022,DE 13885,bracket,JA-D023,JA TeX 521,bracket,one_to_one,content_checked,prime-ideal chain construction
NOE-P24-JA-D024,DE-D023,DE 13889,bracket,JA-D024,JA TeX 525,bracket,notation_variant,content_checked,nonvanishing multiplier
NOE-P24-JA-D025,DE-D024,DE 13893,bracket,JA-D025,JA TeX 529,bracket,one_to_one,content_checked,barred ideal construction
NOE-P24-JA-D026,DE-D025,DE 13901,bracket,JA-D026,JA TeX 537,bracket,punctuation_variant,content_checked,prime chain
NOE-P24-JA-D027,DE-D026,DE 13919,bracket,JA-D027,JA TeX 555,bracket,notation_variant,content_checked,Lemma VI premise
NOE-P24-JA-D028,DE-D027,DE 13923,bracket,JA-D028,JA TeX 559,bracket,notation_variant,content_checked,Lemma VI component consequence
NOE-P24-JA-D029,DE-D028,DE 13927,bracket,JA-D029,JA TeX 563,bracket,notation_variant,content_checked,Lemma VI converse premise
NOE-P24-JA-D030,DE-D029,DE 13931,bracket,JA-D030,JA TeX 567,bracket,one_to_one,content_checked,alpha index restored and matches source
NOE-P24-JA-D031,DE-D030,DE 13938,bracket,JA-D031,JA TeX 574,bracket,one_to_one,content_checked,associated-prime ordering
NOE-P24-JA-D032,DE-D031,DE 13944,bracket,JA-D032,JA TeX 580,bracket,one_to_one,content_checked,equation 5
NOE-P24-JA-D033,DE-D032,DE 13951,bracket,JA-D033,JA TeX 587,bracket,spacing_variant,content_checked,distinct basic ideals
NOE-P24-JA-D034,DE-D033,DE 13955,bracket,JA-D034,JA TeX 591,bracket,one_to_one,content_checked,equal basic-ideal ranges
NOE-P24-JA-D035,DE-D034,DE 13967,bracket,JA-D035,JA TeX 603,bracket,notation_variant,content_checked,Theorem IX exponent consequence
NOE-P24-JA-D036,DE-D035,DE 13977,bracket,JA-D036,JA TeX 614,bracket,one_to_one,content_checked,component representation
NOE-P24-JA-D037,DE-D036,DE 13981,bracket,JA-D037,JA TeX 618,bracket,notation_variant,content_checked,Q times basic ideal
NOE-P24-JA-D038,DE-D037,DE 13986,bracket,JA-D038,JA TeX 623,bracket,reconciled_divergence,content_checked,sigma and rho-sigma exponent chain restored
NOE-P24-JA-D039,DE-D038,DE 13995,bracket,JA-D039,JA TeX 634,bracket,one_to_one,content_checked,alpha index restored
NOE-P24-JA-D040,DE-D039,DE 14003,bracket,JA-D040,JA TeX 642,bracket,typographic_variant,content_checked,Theorem XI first product
NOE-P24-JA-D041,DE-D040,DE 14008,bracket,JA-D041,JA TeX 647,bracket,one_to_one,content_checked,Theorem XI second product
NOE-P24-JA-D042,DE-D041,DE 14051,bracket,JA-D042,JA TeX 690,bracket,one_to_one,content_checked,characteristic-two prime ideal
NOE-P24-JA-D043,DE-D042,DE 14055,bracket,JA-D043,JA TeX 694,bracket,punctuation_variant,content_checked,elementary-divisor form example
NOE-P24-JA-D044,DE-D043,DE 14059,bracket,JA-D044,JA TeX 698,bracket,punctuation_variant,content_checked,multiplied form
NOE-P24-JA-D045,DE-D044,DE 14064,bracket,JA-D045,JA TeX 703,bracket,punctuation_variant,content_checked,characteristic-two primary ideal
NOE-P24-JA-D046,DE-D045,DE 14068,bracket,JA-D046,JA TeX 707,bracket,punctuation_variant,content_checked,specialized elementary-divisor form
NOE-P24-JA-D047,DE-D046,DE 14074,bracket,JA-D047,JA TeX 713,bracket,reconciled_divergence,content_checked,bar on primary ideal restored
NOE-P24-JA-D048,DE-D047,DE 14078,bracket,JA-D048,JA TeX 717,bracket,punctuation_variant,content_checked,characteristic-three form
NOE-P24-JA-D049,DE-INLINE-14099A,DE 14099,inline,JA-D049,JA TeX 739,bracket,source_inline_promoted,content_checked,C polynomial isolated for readability
NOE-P24-JA-D050,DE-INLINE-14099B,DE 14099,inline,JA-D050,JA TeX 743,bracket,source_inline_promoted,content_checked,U denominator product isolated
NOE-P24-JA-D051,DE-INLINE-14101,DE 14101,inline,JA-D051,JA TeX 749,bracket,source_inline_promoted,content_checked,R polynomial isolated
NOE-P24-JA-D052,DE-INLINE-14103A,DE 14103,inline,JA-D052,JA TeX 755,bracket,source_inline_promoted,content_checked,determinant divisibility relation isolated
NOE-P24-JA-D053,DE-INLINE-14103B,DE 14103,inline,JA-D053,JA TeX 759,bracket,source_inline_promoted,content_checked,G polynomial isolated
NOE-P24-JA-D054,DE-INLINE-14110,DE 14110,inline,JA-D054,JA TeX 769,bracket,source_inline_promoted,content_checked,final norm factorization isolated
