node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
NOE-P24-BAR-PRIME,mathematical_object,Original barred prime ideal,und,"sealed P31 P24",source-defined,"Barred prime ideal before generic transformation","unbarred transformed prime"
NOE-P24-RESIDUE-R,mathematical_object,Transformed residue field R,und,"sealed P31 P24",source-defined,"Residue field of the transformed prime ideal","barred original residue field"
NOE-P24-BAR-RESIDUE-R,mathematical_object,Original barred residue field,und,"sealed P31 P24",source-defined,"Residue field of the barred original prime","unbarred transformed residue field"
NOE-P24-ELEMENTARY-FORM,mathematical_object,Elementary-divisor form P^(i),und,"sealed P31 P24",source-defined,"Highest elementary divisor of the relevant prime ideal","individual norm unless proved equal"
NOE-P24-NORM,mathematical_object,Ideal norm R_m,und,"sealed P31 P24",source-defined,"Product of individual norms; resultant form","single individual norm; field norm without context"
NOE-P24-STALE-POINTER,adverse_record,Stale current-German pointer,en,"00_current_german_authority at R821",rejected,"Pointer-update debt only","current authority"
NOE-P24-BLANK-CONTACT,adverse_record,Blank contact sheet,en,"intermediate P24 render QA",rejected,"Unusable composite artifact","individual original-detail page PNGs"
NOE-P24-CORRESPONDING-ZERO-SYSTEM,concept,Mutually corresponding zero systems,ja,"sealed P31 P24 Theorems IV and XI",held,"Indexed mutually corresponding zero systems yielding distinct linear factors","generic attached zero set; associated prime ideal; isolated point"
NOE-P24-ABSOLUTE-PRIME-IDEAL-DECISION,decision_record,NOE-P24-ABSOLUTE-PRIME-IDEAL Japanese decision,ja,"decisions/NOE-P24-ABSOLUTE-PRIME-IDEAL.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internally-accepted,"絶対素イデアル remaining prime after algebraic-closure coefficient extension","absolute prime number; absolute value ideal"
NOE-P24-ASSOCIATED-PRIME-DECISION,decision_record,NOE-P24-ASSOCIATED-PRIME Japanese decision,ja,"decisions/NOE-P24-ASSOCIATED-PRIME.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internally-accepted,"随伴素イデアル attached to a primary component or decomposition","adjoint ideal; arbitrary related prime"
NOE-P24-BASIC-IDEAL-DECISION,decision_record,NOE-P24-BASIC-IDEAL Japanese decision,ja,"decisions/NOE-P24-BASIC-IDEAL.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"基本イデアル g_i in Noether-Hentzelt stage construction","arbitrary foundational ideal; base ideal of a linear system"
NOE-P24-CORRESPONDING-ZERO-SYSTEM-DECISION,decision_record,NOE-P24-CORRESPONDING-ZERO-SYSTEM Japanese decision,ja,"decisions/NOE-P24-CORRESPONDING-ZERO-SYSTEM.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"Indexed mutually corresponding zero systems yielding distinct linear factors","generic attached zero set; associated prime ideal; isolated point"
NOE-P24-ELEMENTARY-DIVISOR-DECISION,decision_record,NOE-P24-ELEMENTARY-DIVISOR Japanese decision,ja,"decisions/NOE-P24-ELEMENTARY-DIVISOR.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internally-accepted,"単因子 in the divisibility-ordered module representation","irreducible factor; Chinese-local 初等因子 authority"
NOE-P24-GALOIS-EXTENSION-DECISION,decision_record,NOE-P24-GALOIS-EXTENSION Japanese decision,ja,"decisions/NOE-P24-GALOIS-EXTENSION.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internally-accepted,"ガロア拡大体 used for linear-factor decomposition","finite field; Galois representation"
NOE-P24-INDIVIDUAL-NORM-DECISION,decision_record,NOE-P24-INDIVIDUAL-NORM Japanese decision,ja,"decisions/NOE-P24-INDIVIDUAL-NORM.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"個別ノルム R^(i) as product of stage-i nonunit elementary divisors","full ideal norm; field norm of an element"
NOE-P24-PRIMARY-FUNCTION-DECISION,decision_record,NOE-P24-PRIMARY-FUNCTION Japanese decision,ja,"decisions/NOE-P24-PRIMARY-FUNCTION.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"準素関数 means here a power of a prime function","primary ideal component; arbitrary primary polynomial"
NOE-P24-PRIME-FUNCTION-DECISION,decision_record,NOE-P24-PRIME-FUNCTION Japanese decision,ja,"decisions/NOE-P24-PRIME-FUNCTION.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"素関数 as Noether's historical label for an irreducible polynomial","prime field; prime-counting function"
NOE-P24-RESIDUE-FIELD-DECISION,decision_record,NOE-P24-RESIDUE-FIELD Japanese decision,ja,"decisions/NOE-P24-RESIDUE-FIELD.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",internally-accepted,"剰余体 formed after quotient formation from residue-domain classes","residue ring before field formation; ambient fraction field"
NOE-P24-ZERO-FIELD-DECISION,decision_record,NOE-P24-ZERO-FIELD Japanese decision,ja,"decisions/NOE-P24-ZERO-FIELD.ja.json; frozen target E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB",held,"零点体 generated by a compatible ideal-zero system","splitting field; residue field itself; physical zero field"
