structural_id,parent_id,order,unit_type,source_locator,target_locator,label,dependency_ids,source_state,target_state,review_state,publication_state,confidence,ambiguity_note
NOE-P24-JA-TV,NOE-P24-JA-S04,10,theorem,DE 13876,JA TeX 511,Theorem V,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TVI,NOE-P24-JA-S04,20,theorem,DE 13882,JA TeX 517,Theorem VI,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TVII,NOE-P24-JA-S04,30,theorem,DE 13900,JA TeX 535,Theorem VII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S05,NOE-P24-JA-U000,500,section,DE 13908-14013,JA TeX 543-650,§ 5,NOE-P24-JA-S04,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TVIII,NOE-P24-JA-S05,10,theorem,DE 13912,JA TeX 547,Theorem VIII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LVI,NOE-P24-JA-S05,20,lemma,DE 13916,JA TeX 551,Lemma VI,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TIX,NOE-P24-JA-S05,30,theorem,DE 13964,JA TeX 599,Theorem IX,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TX,NOE-P24-JA-S05,40,theorem,DE 13974,JA TeX 610,Theorem X,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXI,NOE-P24-JA-S05,50,theorem,DE 14002,JA TeX 640,Theorem XI,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S06,NOE-P24-JA-U000,600,section,DE 14014-14084,JA TeX 652-721,§ 6,NOE-P24-JA-S05,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXII,NOE-P24-JA-S06,10,theorem,DE 14018,JA TeX 656,Theorem XII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LVII,NOE-P24-JA-S06,20,lemma,DE 14024,JA TeX 662,Lemma VII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXIII,NOE-P24-JA-S06,30,theorem,DE 14032,JA TeX 670,Theorem XIII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXIV,NOE-P24-JA-S06,40,theorem,DE 14038,JA TeX 676,Theorem XIV,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LVIII,NOE-P24-JA-S06,50,lemma,DE 14042,JA TeX 680,Lemma VIII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S07,NOE-P24-JA-U000,700,section,DE 14085-14111,JA TeX 723-771,§ 7,NOE-P24-JA-S06,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXV,NOE-P24-JA-S07,10,theorem,DE 14089,JA TeX 727,Theorem XV,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXVI,NOE-P24-JA-S07,20,theorem,DE 14095,JA TeX 733,Theorem XVI,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TXVII,NOE-P24-JA-S07,30,theorem,DE 14107,JA TeX 765,Theorem XVII,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-U999,NOE-P24-JA-U000,999,apparatus,DE 14112-14119,JA TeX 773-780,Goettingen date receipt clearpage,NOE-P24-JA-S07,verified,complete,visually_reviewed,internal-final,high,
