"probe_id","source_surface","source_language_or_scope","topic_tags","query_or_scope","outcome_status","candidate_url","repository","source_path_or_archive_path","source_hash_or_sha","license_or_access_signal","access_status","local_path_or_manifest_path","evidence_tier","upload_policy","blocker_or_next_gate","non_claim_boundary"
"SLT-RERUN-GH-EXACT-KY-ALGEBRA","GitHub code search via gh search code","Kyrgyz","target-language marker plus algebra plus TeX","""кыргызча"" ""алгебра"" extension:tex","zero_results","","","","","GitHub public code search metadata","returned [] before later rate limit","","current_source_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No target-language mathematical source-level witness found for this exact query.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXACT-TT-ALGEBRA","GitHub code search via gh search code","Tatar","target-language marker plus algebra plus TeX","""татарча"" ""алгебра"" extension:tex","zero_results","","","","","GitHub public code search metadata","returned [] before later rate limit","","current_source_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No target-language mathematical source-level witness found for this exact query.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXACT-TK-ALGEBRA","GitHub code search via gh search code","Turkmen","target-language marker plus algebra plus TeX","""Türkmençe"" ""algebra"" extension:tex","zero_results","","","","","GitHub public code search metadata","returned [] before later rate limit","","current_source_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No target-language mathematical source-level witness found for this exact query.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXACT-UG-ALGEBRA","GitHub code search via gh search code","Uyghur","target-language marker plus algebra plus TeX","""ئۇيغۇرچە"" ""algebra"" extension:tex","zero_results","","","","","GitHub public code search metadata","returned [] before later rate limit","","current_source_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No target-language mathematical source-level witness found for this exact query.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-BROAD-KY-LANGMARKER","GitHub code search via gh search code","Kyrgyz","target-language marker plus TeX","""кыргызча"" extension:tex","false_positive_non_math_language_list_or_generated_doc","https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex; https://github.com/valentin2310/Proyecto1evDWES/blob/7a549cb376cc71c95865da5eb24f1dbfea5bced7/documentation/latex/languages_8php_source.tex","yannisl/phd; valentin2310/Proyecto1evDWES","languages/bassah-vah.tex; documentation/latex/languages_8php_source.tex","545e24cf15cf10a214ff6c267b4d0c9419d2a923; 1ba489c90c8f9b3d3dbd4dd880e585a959ecb5f5","GitHub public code search metadata; license not cleared; no raw body fetched","2 results; classified as language-list/generated documentation false positives, not math source witnesses","","false_positive_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not promote as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-BROAD-TT-LANGMARKER","GitHub code search via gh search code","Tatar","target-language marker plus TeX","""татарча"" extension:tex","false_positive_non_math_language_list","https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex","yannisl/phd","languages/bassah-vah.tex","545e24cf15cf10a214ff6c267b4d0c9419d2a923","GitHub public code search metadata; license not cleared; no raw body fetched","1 result; language-list false positive, not math source witness","","false_positive_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not promote as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-BROAD-TK-LANGMARKER","GitHub code search via gh search code","Turkmen","target-language marker plus TeX","""Türkmençe"" extension:tex","false_positive_non_math_language_list","https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex","yannisl/phd","languages/bassah-vah.tex","545e24cf15cf10a214ff6c267b4d0c9419d2a923","GitHub public code search metadata; license not cleared; no raw body fetched","1 result; language-list false positive, not math source witness","","false_positive_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not promote as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-BROAD-UG-LANGMARKER","GitHub code search via gh search code","Uyghur","target-language marker plus TeX","""ئۇيغۇر"" extension:tex","false_positive_font_or_language_list_or_generated_doc","https://github.com/Tarobish/Jomhuria/blob/d4b8f42eaf712178802609bfbe48127bd45be9c8/Sources/Documents/persian-arabic-2.tex; https://github.com/yannisl/phd/blob/7f27c209b75ca98c6e6b7a21297dce202aaa0b3c/languages/bassah-vah.tex; https://github.com/valentin2310/Proyecto1evDWES/blob/7a549cb376cc71c95865da5eb24f1dbfea5bced7/documentation/latex/languages_8php_source.tex","Tarobish/Jomhuria; yannisl/phd; valentin2310/Proyecto1evDWES","Sources/Documents/persian-arabic-2.tex; languages/bassah-vah.tex; documentation/latex/languages_8php_source.tex","d0928f9d7cb65ca93db13e526c9c6027a50c7736; 545e24cf15cf10a214ff6c267b4d0c9419d2a923; 1ba489c90c8f9b3d3dbd4dd880e585a959ecb5f5","GitHub public code search metadata; license not cleared; no raw body fetched","3 results; font/sample, language-list, or generated documentation false positives, not math source witnesses","","false_positive_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not promote as R2 source witness.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXPANSION-TR-NOETHER-RATE","GitHub code search via gh search code","Turkish expansion route","Pan-Turkic expansion; Noether plus TeX","""Türkçe"" ""Noether"" extension:tex","rate_limited_no_result","","","","","GitHub API rate-limit response; no source body fetched","HTTP 403 API rate limit exceeded for user ID 208192274 at 2026-07-05 01:52:58-01:52:59 UTC","","rate_limited_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry later only if expansion route remains in scope; no R2 hard-blocker support inferred.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXPANSION-TR-CEBIR-RATE","GitHub code search via gh search code","Turkish expansion route","Pan-Turkic expansion; algebra plus TeX","""Türkçe"" ""cebir"" extension:tex","rate_limited_no_result","","","","","GitHub API rate-limit response; no source body fetched","HTTP 403 API rate limit exceeded for user ID 208192274 at 2026-07-05 01:52:58-01:52:59 UTC","","rate_limited_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry later only if expansion route remains in scope; no R2 hard-blocker support inferred.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXPANSION-KK-ALGEBRA-RATE","GitHub code search via gh search code","Kazakh expansion route","Pan-Turkic expansion; algebra plus TeX","""қазақша"" ""алгебра"" extension:tex","rate_limited_no_result","","","","","GitHub API rate-limit response; no source body fetched","HTTP 403 API rate limit exceeded for user ID 208192274 at 2026-07-05 01:52:58-01:52:59 UTC","","rate_limited_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry later only if expansion route remains in scope; no R2 hard-blocker support inferred.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-GH-EXPANSION-UZ-ALGEBRA-RATE","GitHub code search via gh search code","Uzbek expansion route","Pan-Turkic expansion; algebra plus TeX","""Oʻzbek"" ""algebra"" extension:tex","rate_limited_no_result","","","","","GitHub API rate-limit response; no source body fetched","HTTP 403 API rate limit exceeded for user ID 208192274 at 2026-07-05 01:52:58-01:52:59 UTC","","rate_limited_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry later only if expansion route remains in scope; no R2 hard-blocker support inferred.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-WEB-SEARCH-TR-CEBIR-FP","current web search","Turkish expansion route","web search for source-level math TeX","site:github.com ""Türkçe"" ""cebir"" ""tex""","false_positive_profile_not_source_archive","https://github.com/umutcalikkasap","umutcalikkasap profile","profile/README result, not a source archive path","","GitHub profile page; no license/source clearance; no raw body fetched","Search surfaced a GitHub user profile with Turkish profile text and pinned TeX repository context, not a target-language mathematical source archive witness.","","web_false_positive_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Do not promote as R2 source witness; next gate is exact repository/source-file evidence, not profile text.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
