ordinal,relative_path,bytes,sha256,role,scope,public_caveat,supersedes
1,01_proposition2_3_statement/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,5961,0720E6ED70DE00B28AE0632E941CFC1005EDF0D8E4DB45519908F8917AA85F80,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
12,01_proposition2_3_statement/producer/SGA2_Expose_X_Proposition_2_3_Statement_English_SourceAligned.tex,2357,1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
13,01_proposition2_3_statement/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,5813,62713CF86C335AA07D4F72CE5F0A3C8F67964731101BFABE33C4518DA1ADAF96,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
14,01_proposition2_3_statement/producer/SOURCE_LINES_3414_3423.tex,924,0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
15,02_proposition2_3_proof/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,7700,569B97A7E19A28418E0E376DF01FC44D67291959C7A9EC53BC1F03DAA6142874,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
16,02_proposition2_3_proof/independent_review/INDEPENDENT_REBUILD.pdf,184261,25B5459673581A8A2743F6CA7C75289E18765E89BC2CED49787915DA9BB4F135,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
17,02_proposition2_3_proof/independent_review/INDEPENDENT_RENDER_001_150DPI.png,110804,8ED65FBBD171532289F552F6B9CFC0F1CFA3DC733D6A4B885C4EBAAA5CCB562B,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
18,02_proposition2_3_proof/independent_review/INDEPENDENT_REVIEW_EVIDENCE.csv,7215,1D879DB3E2C2C979869D595957A7A7445C556F323ED3DA5A751EE61F73AE4B17,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
19,02_proposition2_3_proof/independent_review/INDEPENDENT_REVIEW_EVIDENCE.jsonl,4749,8086C56AB67633EBCA5F4E61E6A7F2919ACE612C869FD0CC90EF4AF3487BBD57,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
20,02_proposition2_3_proof/independent_review/INDEPENDENT_REVIEW_VALIDATION.json,4567,4CB045900E2292B5FF242B05D6212FB0A74CCD225DE260CC08B4CF0BE5153031,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
21,02_proposition2_3_proof/producer/MACHINE_EVIDENCE.csv,5212,814ECF4AC513A61565A0331A5283D6D49F84C4D576C49C622A7D06C5FBBD92D1,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
22,02_proposition2_3_proof/producer/MACHINE_EVIDENCE.jsonl,3311,BAE2151D3326FF06E80133CBBCC675CB687BE346966BE64A18DAE0A82A57ED3B,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
23,02_proposition2_3_proof/producer/MACHINE_VALIDATION.json,5554,9CEFC6A15EC09537012C9539990070AC559B27EE24F765B7A5EB48F1C9B52D8D,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
24,02_proposition2_3_proof/producer/RENDER_PAGE_001_150DPI.png,110804,8ED65FBBD171532289F552F6B9CFC0F1CFA3DC733D6A4B885C4EBAAA5CCB562B,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
25,02_proposition2_3_proof/producer/SGA2_Expose_X_Proposition_2_3_Proof_English_SourceAligned.pdf,184261,F31CC1743790BA1115F9E964149EDE9D555E0BE1A233ADDEB4FC250B39F416A7,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
26,02_proposition2_3_proof/producer/SGA2_Expose_X_Proposition_2_3_Proof_English_SourceAligned.tex,1680,96BFF50B8D9C982805A19F68766C1B23D0FCFB52AC7B0AD4D33C5770091BA004,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
27,02_proposition2_3_proof/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,4876,2295116A5A9DBD3A24CC28020BF30B649304554804E8FFBA9CCB67EAAEDA509C,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
28,02_proposition2_3_proof/producer/SOURCE_LINES_3425_3427.tex,425,B12225CCCA08AD2432F5AF9C6330ABC31EDA8E1378FA96F3CECD8E2F91DE4231,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
29,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_EVIDENCE.csv,13527,8556BCAE118035B9EF9C7941CEE29A3726383968FE749A9804EEDEB0D85A570B,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
30,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_EVIDENCE.jsonl,19131,0D3A1AADB7AE0EA9E37000BFE306384B14753BB029FB5A525C5E4750207E90EC,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
31,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,7657,7113F41D6737B3702F896A72864D2AE26643C130525E0D513725336FDB3E9D59,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
32,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_REBUILD_RENDER_PAGE_001_150DPI.png,97293,49C9867865134729AD59C93E463F2A8F3250576F69C58986F516400EC0FDD65A,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
33,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_VALIDATION.json,8660,B312EA63BFABFE70C51B06C34E3313C5F1127DF0BCAA82038A9B64BD9F07D2B0,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
34,03_corollary2_4_statement_r3/independent_review/INDEPENDENT_VISUAL_QA.md,4493,200CDF0D419DF1EFEE47FEF6359E84C135BD846ECC5B707B4C254B2ED33FF35B,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
35,03_corollary2_4_statement_r3/independent_review/SGA2_Expose_X_Corollary_2_4_Statement_English_SourceAligned.pdf,172038,C589DFE9BE317F0BE29D469B0C03EBF5728D54543E65209B5DAB86F3905E413F,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
36,03_corollary2_4_statement_r3/producer/MACHINE_EVIDENCE.csv,14325,4EA221C92A13D94089950AB8A7ABD66733CC45CB2BFBB28C04E0DEAE79A02617,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
37,03_corollary2_4_statement_r3/producer/MACHINE_EVIDENCE.jsonl,12319,7FC6E826EAE31579C3D25984F73FD588222ADD36AFFF8CE8415C194FFB0120A7,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
38,03_corollary2_4_statement_r3/producer/MACHINE_VALIDATION.json,6205,23C261FF968CDF7A08ABED6AF7FB1C7B4A2189C5C18BE25B03AB8300AFD8BED7,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
39,03_corollary2_4_statement_r3/producer/PREDECESSOR_R2_PRODUCER_AND_REVIEW_IDENTITY_MANIFEST.csv,15294,CA0768A465E6C09D51BA98DFE23FA1FDD0F0571D023C907917DB98FE1B6ED0FC,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
40,03_corollary2_4_statement_r3/producer/PREDECESSOR_R2_PRODUCER_AND_REVIEW_IDENTITY_VALIDATION.json,854,4F822A3561ABF3B78D63931C91881728F8A804249EB3B977D8A443BB4DFA94C9,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
41,03_corollary2_4_statement_r3/producer/R3_UNCHANGED_ARTIFACT_IDENTITY.csv,3110,E1489E363D580606915BB9B7C02CDEB7076F226CB74A040955C33801046A953D,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
42,03_corollary2_4_statement_r3/producer/R3_UNCHANGED_ARTIFACT_IDENTITY_VALIDATION.json,650,DB2941F2E44F27398479D9BD8C5A3F810A87A1B52C92A29D6300F9DC2D9FD9B0,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
43,03_corollary2_4_statement_r3/producer/RENDER_PAGE_001_150DPI.png,97293,49C9867865134729AD59C93E463F2A8F3250576F69C58986F516400EC0FDD65A,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
44,03_corollary2_4_statement_r3/producer/SGA2_Expose_X_Corollary_2_4_Statement_English_SourceAligned.pdf,172038,3B179631D2658B6CF593F95BAC76F9CE1CF3C990909DB11B606FACC17FBF5677,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
45,03_corollary2_4_statement_r3/producer/SGA2_Expose_X_Corollary_2_4_Statement_English_SourceAligned.tex,1525,DC1CA697B77344CFF33C631A253A52C5132C346E7B77E0965E6891A9DA09E02F,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
46,03_corollary2_4_statement_r3/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,6659,73AF489BD788DC9974FC9707B7A664F3FC6C2D8E9475DEEA753B763CA72FEA4E,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
47,03_corollary2_4_statement_r3/producer/SOURCE_LINES_3429_3431.tex,351,374361D7850F93B348F1CDB311AA4FCF4F1F728D22C5ECC9C6A79A212D36BF11,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
48,04_corollary2_4_proof/independent_review/INDEPENDENT_EVIDENCE.csv,12542,7685A01C97CBAD1C7389A7BD51D94034E435085269E163B15FA16E7E7A65A3B2,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
49,04_corollary2_4_proof/independent_review/INDEPENDENT_EVIDENCE.jsonl,10166,DC03F163E14246AA5E70697A05827D87249A1662D3074475229D38B2982A139F,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
50,04_corollary2_4_proof/independent_review/INDEPENDENT_FINAL_AUDIT_PASS_WITH_MACHINE_CORRECTION.md,7552,59F7761FD09DB88DE40D218B13D4374BEABA575E9EC5F6D0A38DD974A5C8D040,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
51,04_corollary2_4_proof/independent_review/INDEPENDENT_REBUILD_C24_PROOF.pdf,199476,18AEED328ED8F21DC7C122B4FDF6346EC030783F685CB64103E786CC882EBE33,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
52,04_corollary2_4_proof/independent_review/INDEPENDENT_RENDER_150DPI.png,103512,F952BFBC4E525F7BD478CECF42C5C269F55C694C04F8B278B87964FA469B88E2,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
53,04_corollary2_4_proof/independent_review/INDEPENDENT_VALIDATION.json,9402,0AF1904B0B81044B6A2F28E229B749D7BB2A86DA3EA4C64A4DB01C6AF7A17DB1,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
54,04_corollary2_4_proof/producer/MACHINE_EVIDENCE.csv,4610,32401A2C18DDC31445DBCDEA9A82AAD883AA41C1826690F49CBF87ECF28BAF09,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
55,04_corollary2_4_proof/producer/MACHINE_EVIDENCE.jsonl,2971,01CF2F3875CE8D29CF7FE9059A6CCE0B37F33D0494CD390F3EF9526984394FF3,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
56,04_corollary2_4_proof/producer/MACHINE_VALIDATION.json,4760,FA098CF3805AFE96D0D6C0CD20D71ED55B3A25FE2E101F0FAF9E4C023796C2B3,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
57,04_corollary2_4_proof/producer/RENDER_PAGE_001_150DPI.png,103512,F952BFBC4E525F7BD478CECF42C5C269F55C694C04F8B278B87964FA469B88E2,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
58,04_corollary2_4_proof/producer/SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.pdf,199476,963DDF70C59130B99D1C37BC0333AE8B87682A650796A8F43B8EB5992C2AC8EF,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
59,04_corollary2_4_proof/producer/SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex,1696,8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052,editable_english_target,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
60,04_corollary2_4_proof/producer/SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,4165,E2C16EBB28060FC329961AB27163A144973549DD771190D56C91C43C5E4C4AF9,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
61,04_corollary2_4_proof/producer/SOURCE_LINES_3433_3437.tex,300,3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C,bounded_french_authority_slice,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
62,05_corollary2_5_statement/independent_review/INDEPENDENT_EVIDENCE.csv,9719,56957745E82A92BC8DC9444B1E0185FD8665A42CA6396E0ED7D5FB954BABD56E,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
63,05_corollary2_5_statement/independent_review/INDEPENDENT_EVIDENCE.jsonl,10091,CB2CCFDAEECB0E5765476FCE4D53401B26DEB467E417B290804D41C4A215F37D,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
64,05_corollary2_5_statement/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,6243,B03FB069F23EAF752FA4735773EE772A308355E180E6F016FCE21E0DCC318A8B,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
65,05_corollary2_5_statement/independent_review/INDEPENDENT_VALIDATION.json,8024,9C85C0D63DB7876D7ED487A496E0C369E3E08137D339EBDA8F888EC3FE63B31F,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
66,05_corollary2_5_statement/independent_review/INDEPENDENT_VISUAL_QA.md,2755,682ECFEBA9F2FB72B7194486269E4E6F49BC689E60A6112E2188DB3ED6538EE8,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
67,05_corollary2_5_statement/independent_review/REVIEW_RENDER_150DPI.png,107275,345A0FB54EF9FF36FA17849308C2A18DBED6198FA62FABE549287C6748C39F98,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
68,05_corollary2_5_statement/independent_review/SGA2_Expose_X_Corollary_2_5_Statement_English_SourceAligned.pdf,196847,1E3FE4069987467C2A4D46DDEFD8110F0E32B12BB356DB39129091B08D739CF4,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
69,05_corollary2_5_statement/producer/MACHINE_EVIDENCE.csv,5287,E3C45B624DDC723708BEDD43557377A11830A0A85FE44D0A85FFBE9A0BA5153A,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
70,05_corollary2_5_statement/producer/MACHINE_EVIDENCE.jsonl,3548,000624849562976B1642624A309BB0575C0922BB03200C20F5D37BC9C7B663AD,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
71,05_corollary2_5_statement/producer/MACHINE_VALIDATION.json,5241,E628042B70626B69038D3497ACD2F93CC5D17AEF5D385B84D0C68A5AEE3FE09F,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
