sync_id,record_type,lane_or_scope,source_or_artifact,local_or_repo_path,exists,bytes,sha256,last_write_utc,observed_state,governance_interpretation,r9_action_or_blocker,non_claim_boundary,promotion_allowed
R9-GOV-SYNC-20260705-013,cross-lane sufficiency artifact,R3 Arabic/Persianate,R3_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_CURRENT.txt,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_CURRENT.txt,true,1900,343EC4531163CA33CAFE607D82198B3659B46F22528125A644164BDB2A9AE9E8,2026-07-05T14:26:57.333957+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-014,cross-lane sufficiency artifact,R6 Indigenous/Creole/Sign,NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.md,true,1414,8FA8538BC89A0FF83DBABF59F13458E59F3B15E6CB7F5B4D4883C4DB4405ED80,2026-07-05T14:18:49.466077+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-015,cross-lane sufficiency artifact,R7 Malay/SEA/Pacific,NOETHER_R7_POST_SUFFICIENCY_MALAY_INDONESIAN_DRAFT_SCAFFOLD_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\NOETHER_R7_POST_SUFFICIENCY_MALAY_INDONESIAN_DRAFT_SCAFFOLD_20260705.md,true,2127,95EC3B0C222E01B51BB8DB167CE83DC918B98FC5E6EE3071E0A1F56D87F47A53,2026-07-05T14:24:12.283545+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-016,cross-lane sufficiency artifact,Romance,NOETHER_ROMANCE_SUFFICIENCY_TRANSITION_SCOPED_DRAFT_ROWS_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_SUFFICIENCY_TRANSITION_SCOPED_DRAFT_ROWS_20260705.md,true,14422,0B94F25427E4E1DF2CC64A3BE10F3D7FD420D843EF5DBDCF88D171596318F0A4,2026-07-05T14:22:32.972267+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-017,cross-lane sufficiency artifact,Slavic baseline,NOETHER_SLAVIC_DRAFT_TRANSLATION_SUPPORT_COVERED_ROWS_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\NOETHER_SLAVIC_DRAFT_TRANSLATION_SUPPORT_COVERED_ROWS_20260705.md,true,12445,13A021115252E93995A41F55EE85748DF1028572A87CB7E24D71085CE71A1E0D,2026-07-05T14:20:58.264688+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-018,cross-lane sufficiency artifact,OLP relation/function,SESSION_K_SOURCE_CANON_SUFFICIENCY_DRAFT_TRANSITION_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\SESSION_K_SOURCE_CANON_SUFFICIENCY_DRAFT_TRANSITION_20260705.md,true,7620,9433136B65CDC9CC9FCF7582E20D0E6C7EBAE5BFF13AC3F1EBFE57FC69E2CA3D,2026-07-05T14:31:04.880707+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-019,cross-lane sufficiency artifact,Persianate/Tajik,NOETHER_PERSIANATE_TAJIK_SOURCE_SUFFICIENCY_TRANSLATION_TRANSITION_DRAFT_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\NOETHER_PERSIANATE_TAJIK_SOURCE_SUFFICIENCY_TRANSLATION_TRANSITION_DRAFT_20260705.md,true,13287,7ACE325635BCFC544AD6BFD6DD05091E16F897A05DCC8B966F658F6093BC8ACB,2026-07-05T14:18:48.596977+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-020,cross-lane sufficiency artifact,Interlanguage authority,NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSITION_INTERLANGUAGE_INTEGRATION_20260705T133626Z.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSITION_INTERLANGUAGE_INTEGRATION_20260705T133626Z.md,true,6420,B6CB19845ABCCDCFFDB012A9B6F3CCD0F3E7154B94D11DCC3B07EC956861A85C,2026-07-05T14:16:58.488891+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-021,R9 sufficiency artifact,R9 Africa/Horn/West,R9_SOURCE_CANON_SUFFICIENCY_TRANSITION_DRAFT_SCAFFOLDS_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_SOURCE_CANON_SUFFICIENCY_TRANSITION_DRAFT_SCAFFOLDS_20260705.md,true,13777,71A2058B7C260148D9AB92B65DDE47E285C497C6CB154FB28B3A647D9F0DF924,2026-07-05T14:23:35.278091+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",R9 already has transition scaffold artifact; next R9 work should target unresolved source/OCR/license/reviewer gaps.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-022,R9 task/blocker,Amharic,OCR/font-map source-body blocker,,,,,,48 local source-body rows and 3 P0 current-access rows exist; target rendering remains blocked by Unicode/font-map repair.,Covered source context is not enough for target renderings until OCR/font-map/page-render review closes.,Perform font-map/page-render repair or reviewer extraction before Amharic draft target rows.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-023,R9 task/blocker,Hausa,source-package/public-register review blocker,,,,,,"GitHub HausaMath archive and IA Lissafi PDF body captured as candidates, not admitted.","Archive/PDF witnesses are source-return candidates, not translation evidence or license clearance.","Review file bodies/rendered app language, attribution/license body, source-owner/reviewer route.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-024,R9 task/blocker,Igbo,source-acquisition gap,,,,,,Refined resweep produced zero-result/noise/query-error rows and no admitted Igbo math source body.,No draft target rendering is responsible without a source witness.,Find curriculum/publisher/classroom/repository source with URL/body/hash/license/access signal.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-025,R9 task/blocker,Afar/Qafar,transcript/source-body gap,,,,,,Context/report/media provenance only; no target-language mathematical source body.,No formula-neighboring draft rows until transcript/source body exists.,"Acquire target-language math transcript, school text, or reviewer source return.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-026,R9 task/blocker,R9 hard Noether anchors,higher-math source gap,,,,,,"Ring, field, module, ideal, invariant, Noetherian ring and theorem/proof prose remain uncovered across R9.",School-math scaffolds do not transfer to invariant theory.,Find target-language higher-math source witnesses or reviewer strategy before drafting hard anchors.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
