record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,source_lines,locator,source_reading,target_reading,decision,status,authority_sha256,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,review_state
SGA2-X-L3573-PRIVACY@1,privacy_control,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-PRIVACY@2,3573-3574,printed122;physical105;running97,selected-file literal scan claimed zero,whole-tree dewrapped scan finds 79 hits per raw log,preserve false-pass as adverse history,superseded_false_pass,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,predecessor/PRIVACY_SCAN.csv,118,A1477D5CCD7AF7F1A4099335764D43F7562F96A6AC4EBEAA5A334A9418E88AA8,3575,3576,internal_not_for_release,fresh_independent_FAIL_bound
SGA2-X-L3573-PRIVACY@2,privacy_control,SGA2-X-L3573-PURITY-II-PROOF@2,2,SGA2-X-L3573-PRIVACY@1,SGA2-X-L3573-PRIVACY@1,,3573-3574,printed122;physical105;running97,enhanced literal dewrapped compacted normalized scan,zero R2 private-path hits; external raw evidence restricted,replace incomplete privacy gate,producer_R2_privacy_PASS,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,BUILD_PASS1_PUBLIC_SAFE.log,599,6621D9A9F087AE22E51E225483CB94BDAB240731CC524C802D1FF2AF7AA4D102,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
SGA2-X-L3573-BUILDLOG-P1@1,restricted_build_log,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-BUILDLOG-P1@2,3573-3574,printed122;physical105;running97,raw engine output with 79 dewrapped private-path hits,restricted predecessor evidence,do not copy into R2,superseded_restricted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,predecessor/BUILD_PASS1.log,7577,7F2E9262BCFA12C933949079EEDE8298D2F335FEA3539D7049E4BDA89A3F84C8,3575,3576,restricted_internal,fresh_independent_FAIL_bound
SGA2-X-L3573-BUILDLOG-P1@2,public_safe_build_summary,SGA2-X-L3573-PURITY-II-PROOF@2,2,SGA2-X-L3573-BUILDLOG-P1@1,SGA2-X-L3573-BUILDLOG-P1@1,,3573-3574,printed122;physical105;running97,sanitized build facts only,privacy-clean public-safe summary,replace raw log surface,producer_R2_summary_PASS,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,BUILD_PASS1_PUBLIC_SAFE.log,599,6621D9A9F087AE22E51E225483CB94BDAB240731CC524C802D1FF2AF7AA4D102,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
SGA2-X-L3573-BUILDLOG-P2@1,restricted_build_log,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-BUILDLOG-P2@2,3573-3574,printed122;physical105;running97,raw engine output with 79 dewrapped private-path hits,restricted predecessor evidence,do not copy into R2,superseded_restricted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,predecessor/BUILD_PASS2.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,3575,3576,restricted_internal,fresh_independent_FAIL_bound
SGA2-X-L3573-BUILDLOG-P2@2,public_safe_build_summary,SGA2-X-L3573-PURITY-II-PROOF@2,2,SGA2-X-L3573-BUILDLOG-P2@1,SGA2-X-L3573-BUILDLOG-P2@1,,3573-3574,printed122;physical105;running97,sanitized build facts only,privacy-clean public-safe summary,replace raw log surface,producer_R2_summary_PASS,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,BUILD_PASS2_PUBLIC_SAFE.log,572,0E1B690C21141026C117F589E68F53FA6C94C4CD7E14D47BE76FA8DA76FEB6D7,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
SGA2-X-L3573-BUILDLOG-P3@1,restricted_build_log,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-BUILDLOG-P3@2,3573-3574,printed122;physical105;running97,raw engine output with 79 dewrapped private-path hits,restricted predecessor evidence,do not copy into R2,superseded_restricted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,predecessor/BUILD_PASS3.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,3575,3576,restricted_internal,fresh_independent_FAIL_bound
SGA2-X-L3573-BUILDLOG-P3@2,public_safe_build_summary,SGA2-X-L3573-PURITY-II-PROOF@2,2,SGA2-X-L3573-BUILDLOG-P3@1,SGA2-X-L3573-BUILDLOG-P3@1,,3573-3574,printed122;physical105;running97,sanitized build facts only,privacy-clean public-safe summary,replace raw log surface,producer_R2_summary_PASS,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,BUILD_PASS3_PUBLIC_SAFE.log,572,337C13B109BFA3E248233C5BD753478A0103239FF7C4A255FC3391A51403752F,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
SGA2-X-L3573-ENGINELOG@1,restricted_engine_log,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-ENGINELOG@2,3573-3574,printed122;physical105;running97,raw target engine log with 79 dewrapped private-path hits,restricted predecessor evidence,do not copy into R2,superseded_restricted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,predecessor/target-engine.log,24682,34C5847828156904BAE30A3922FE42665C0B97F473F7DC30B19C2092FC8C0C24,3575,3576,restricted_internal,fresh_independent_FAIL_bound
SGA2-X-L3573-ENGINELOG@2,public_safe_engine_summary,SGA2-X-L3573-PURITY-II-PROOF@2,2,SGA2-X-L3573-ENGINELOG@1,SGA2-X-L3573-ENGINELOG@1,,3573-3574,printed122;physical105;running97,sanitized final-engine facts only,privacy-clean public-safe summary,replace raw engine-log surface,producer_R2_summary_PASS,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,ENGINE_LOG_PUBLIC_SAFE.log,544,890294C40BBA2FED498A0345AF2DF33DDFC411E16BC0410071489AAC13262B7D,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
SGA2-X-L3573-R1-CONTAMINATION@1,predecessor_contamination,SGA2-X-L3573-PURITY-II-PROOF@2,1,,,,3573-3574,printed122;physical105;running97,review subdirectory added after R1 validation,separate hash-bound adverse evidence,exclude from R2 without deleting predecessor,contamination_bound,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,PREDECESSOR_CONTAMINATION_MANIFEST.csv,2580,C9EC8A4E176E0C66F425AA6F5307F428B7765ABC6A21E426FF34E4CBE89784F5,3575,3576,restricted_internal,review_ready_pending_fresh_R2_independent_review
IR-SGA2-X-L3573-PRIVACY-001,independent_review_failure,SGA2-X-L3573-PURITY-II-PROOF@2,1,,,,3573-3574,printed122;physical105;running97,fresh reviewer confirms predecessor privacy failure,R2 remediation bound pending fresh R2 review,preserve blocking FAIL,bound_predecessor_FAIL,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,INDEPENDENT_FAIL_BINDING.json,759,F713DCD8201E2C6A1B9E1026E8BE98180F4D11F3FB62CC7C6F19070D42AC0192,3575,3576,restricted_internal,fresh_independent_FAIL_bound
