"target_family","language_access_target","coverage_state","strict_witness_count","explicit_gap_count","candidate_route_count","non_source_guardrail_count","non_strict_route_count","source_archive_gap_count","github_gap_count","url_gap_count","strict_witness_ids","gap_ids","candidate_ids","guardrail_ids","non_strict_route_ids","primary_next_gate","authority_boundary"
"Creole/contact","Nigerian Pidgin","strict_witness_plus_explicit_blockers","1","2","0","0","0","0","0","0","R6-CR-P2-018","R6-GAP-AUTO-010; R6-CR-P2-017","","","","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Resolve Nigerian Pidgin official/OER education source or keep lane at T0/T1. | Use NERDC math as English comparator only and keep Nigerian Pidgin source row open.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-011","","","","Continue locator discovery before any bridge-register construction.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Papiamento/Papiamentu","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-012","","","","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Papiamento/Papiamentu - Aruba","strict_witness_plus_explicit_blockers","2","3","0","0","0","0","0","0","R6-CR-P2-008; R6-CR-P2-009","R6-GAP-AUTO-013; R6-CR-P2-006; R6-CR-P2-007","","","","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","strict_witness_plus_explicit_blockers","2","1","0","0","0","0","0","0","R6-CR-P2-013; R6-CR-P2-014","R6-GAP-AUTO-014","","","","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Sranan/Saramaccan/Ndyuka/Guyanese","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-015","","","","Find language-specific STEM sources; keep each named language separate.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Creole/contact","Tok Pisin","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-016","","","","Search PNG official/OER source shelves for Tok Pisin math/STEM or policy evidence; English is comparator only.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Bislama/Vanuatu","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-GAP-002","","","","Current-gap retry superseded for Matematiks/Saens: exact official PDF captures and hashes are recorded in NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; keep source-authority, reviewer/source-owner, reuse/license, term, excerpt, translation, visual inventory, and pilot gates closed.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Ecuador EIB","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-001","","","","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Guarani/Paraguay","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-003","","","","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Krio/Sierra Leone","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-006","","","","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Mexico CONALITEG Indigenous books","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-008","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Papiamento/Papiamentu - Aruba","route_retry_metadata_blocker","0","1","0","0","0","0","0","0","","R6-GAP-007","","","","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Quechua/Bolivia","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-GAP-004","","","","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source-canon capture provenance only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Current gap retry","Uspanteko/Guatemala","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-GAP-005","","","","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Aymara","strict_witness_plus_explicit_blockers","1","1","0","0","0","0","0","1","R6-QA-SAR-003","R6-URL-GAP-001","","","","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Bolivia Quechua","retry_capture_plus_explicit_blockers","0","2","0","0","0","0","0","0","","R6-GAP-AUTO-017; R6-GAP-AUTO-018","","","","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source-canon capture provenance only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Bolivia Quechua candidate","strict_witness_metadata_only","1","0","0","0","0","0","0","0","R6-IA-P3-003","","","","","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Bolivia Quechua longitudes","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-019","","","","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source-canon capture provenance only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Bolivia Red Minedu repository","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-IA-P3-002","","","","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source-canon capture provenance only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Ecuador EIB","route_retry_metadata_blocker","0","2","0","0","0","0","0","2","","R6-GAP-AUTO-020; R6-GAP-AUTO-021","","","","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Ecuador Ministry EIB pages","route_retry_metadata_blocker","0","2","0","0","0","0","0","1","","R6-IA-P3-004; R6-IA-P3-005","","","","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Guatemala DIGEBI product pages","retry_capture_plus_explicit_blockers","0","1","0","0","0","0","0","0","","R6-IA-P3-006","","","","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Guatemala Uspanteko","retry_capture_plus_explicit_blockers","0","2","0","0","0","0","0","0","","R6-GAP-AUTO-022; R6-GAP-AUTO-023","","","","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Hnahnu/Otomi","route_retry_metadata_blocker","0","2","0","0","0","0","0","2","","R6-IA-P3-D002; R6-IA-P3-D006","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Maya","route_retry_metadata_blocker","0","2","0","0","0","0","0","2","","R6-IA-P3-D003; R6-IA-P3-D007","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Mexico CONALITEG Indigenous primary","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-AUTO-024","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Mexico CONALITEG viewers/catalogue","route_retry_metadata_blocker","0","5","0","0","0","0","0","5","","R6-IA-P3-007; R6-IA-P3-008; R6-IA-P3-009; R6-IA-P3-010; R6-IA-P3-011","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Mexico CONALITEG/Nanahuatzin","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-IA-P3-D004","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Mexico Nahuatl/Hnahnu/Maya/Nanahuatzin","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-AUTO-025","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Nahuatl","route_retry_metadata_blocker","0","2","0","0","0","0","0","2","","R6-IA-P3-D001; R6-IA-P3-D005","","","","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source-canon route-retry blocker only; catalogue HTML is not a book source body; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Nahuatl / Indigenous-language education candidate","candidate_route_only_not_witness","0","0","1","0","0","0","0","0","","","R6-SRC-CAND-GH-001","","","If pursued, inspect repository source-body language and mathematics content under a separate capture policy, record file hashes, license scope, source-owner/reviewer route, and B3 payload boundary before any movement.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Paraguay Guarani","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-AUTO-026","","","","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Paraguay Guarani/Matematica PRODEPA","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-GAP-AUTO-027","","","","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Paraguay MEC CMS","route_retry_metadata_blocker","0","1","0","0","0","0","0","1","","R6-IA-P3-001","","","","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source-canon route-retry blocker only; no source body, source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Peru Quechua/Aymara","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-028","","","","Wait for reviewer/source-owner/reuse returns; no duplication.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Peru Quechua/Aymara existing reader","explicit_blocker_only","0","1","0","0","0","0","0","0","","R6-GAP-AUTO-029","","","","Do not duplicate Peru EIB reader; wait for reviewer/source-owner/reuse returns.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Quechua Central","strict_witness_plus_explicit_blockers","1","1","0","0","0","0","0","1","R6-QA-SAR-001","R6-URL-GAP-002","","","","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Quechua Chanka","strict_witness_plus_explicit_blockers","1","1","0","0","0","0","0","1","R6-QA-SAR-002","R6-URL-GAP-003","","","","no Quechua macrostandard, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","explicit_blocker_only","0","1","0","0","0","1","0","0","","R6-SRCARCH-GAP-001","","","","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Indigenous Americas","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","explicit_blocker_only","0","1","0","0","0","0","1","0","","R6-GITHUB-GAP-001","","","","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Signed language","ASL","strict_witness_metadata_only","3","0","0","0","0","0","0","0","R6-ASL-SAR-001; R6-ASL-SAR-002; R6-ASL-SAR-003","","","","","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Signed language","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","explicit_blocker_only","0","1","0","0","0","0","1","0","","R6-GITHUB-GAP-003","","","","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Signed language","ASL, LSQ, DGS, International Sign, future signed-language rows","explicit_blocker_only","0","1","0","0","0","1","0","0","","R6-SRCARCH-GAP-003","","","","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
"Signed language","DGS","strict_witness_plus_explicit_blockers","29","3","0","0","1","0","0","3","DGS-CAT-001; DGS-CAT-002; DGS-CAT-003; DGS-CAT-004; DGS-CAT-005; DGS-CAT-006; DGS-CAT-007; DGS-CAT-008; DGS-CON-001; DGS-CON-002; DGS-CON-003; DGS-CON-004; DGS-CON-005; DGS-CON-006; DGS-CON-007; DGS-CON-008; DGS-CON-009; DGS-CON-010; DGS-CON-011; DGS-CON-012; DGS-GOE-V-001; DGS-GOE-V-002; DGS-SAR-001; DGS-SAR-002; DGS-SAR-003; DGS-SAR-004; DGS-SAR-005; DGS-SAR-006; DGS-SAR-007","R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","","","DGS-SAR-008","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","source-canon coverage state only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push"
