defect_id,component_id,source_locator,issue,target_disposition,status,confidence,source_defect_ledger_safe_locator,source_defect_ledger_bytes,source_defect_ledger_sha256,supersedes,closed_by,revisit_condition
SGA2-VIII-CUM-C15-DEFECT-STATE@1,SGA2-VIII-CUM-C15,French 2723-2731,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-L24P/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,5639,39A2EFE04E0CC23F7604D20D0BD6B4950F6FF59CEE0621495B0A7F7110FAA130,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C16-DEFECT-STATE@1,SGA2-VIII-CUM-C16,French 2733-2750,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P2-SETUP/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,618,56DD270787C7A739D61E86C779361ABC3F425B508C2941CA7FFC52791C253750,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C17-DEFECT-STATE@1,SGA2-VIII-CUM-C17,French 2751-2794,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-EQ1-L25/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,1914,1C88CDE53A949560D51A6D40348F019F2AAF79611C1C3732198A368D6C657483,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C18-DEFECT-STATE@1,SGA2-VIII-CUM-C18,French 2796-2805,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-D2B/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,2738,C62D1FDC8A1B141BD19B5CA252FB32CED7B4593189C0FF7BACC4530E7619412F,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C19-DEFECT-STATE@1,SGA2-VIII-CUM-C19,French 2807-2819,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-III-IV/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,2265,4E8501896C5112B571A1430BC37E72ECAF38D5A445C113EEEB842C2933157E55,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C20-DEFECT-STATE@1,SGA2-VIII-CUM-C20,French 2820-2826,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-IV-II-N0/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,1931,ED6D0795BF31314059DDA6D7B934578B19FBDEE78342F4B0412B471EB29401CA,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C21-DEFECT-STATE@1,SGA2-VIII-CUM-C21,French 2828-2854,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-IV-II-N1/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,3666,C1855065A5E1C1EE6FAA6BF606FB419F2A347162D04C21A7BF8B07D9F701F795,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C22-DEFECT-STATE@1,SGA2-VIII-CUM-C22,French 2856-2872,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-IV-II-NGT1/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,5613,FE3A2FD651688750BA09E9D3072ADA4793B09CF6E33F54ED36A9CF5E411DC1DA,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C23-DEFECT-STATE@1,SGA2-VIII-CUM-C23,French 2874-2886,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-APP31/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,6544,8335E1545CDCAB8BC31002994637DC1D117817690F1792732D4190DB41F84768,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C24-DEFECT-STATE@1,SGA2-VIII-CUM-C24,French 2888-2899,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32S/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,4315,03CFC6CB5AB482B955EE3882A97E7D4C66705D507DEE0AACDC89EAA3A9FA0DCE,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C25-DEFECT-STATE@1,SGA2-VIII-CUM-C25,French 2901-2907,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32P1/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,3316,2A279712D7CCD8DF9A37594631236417F59B2C8AB3DBE2B953377EC3E148EE3A,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C26-DEFECT-STATE@1,SGA2-VIII-CUM-C26,French 2909,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32P2/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,2781,FC7B9F8D1ED8DE88335C0D3CEA7E09DE683DE649F987B7D15097EFEFAE5BE024,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C27-DEFECT-STATE@1,SGA2-VIII-CUM-C27,French 2911-2914,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32P3/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,3350,1DF9465E9720CEC5D365E9CD8E669887C2B4F3912AE325640EF9DD01D4B6941C,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C28-DEFECT-STATE@1,SGA2-VIII-CUM-C28,French 2915-2917,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32P4/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,2895,DE8EE2F0E779F906FC66194D4B4306A531151D92D03C2E8C11CD638E0B45D724,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C29-DEFECT-STATE@1,SGA2-VIII-CUM-C29,French 2918-2922,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-P32P5/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,2922,9E5E024546D596DD49559EB5965085F724280A8F211B0746CD77DD99CAA0CA59,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C30-DEFECT-STATE@1,SGA2-VIII-CUM-C30,French 2924-2928,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,unit_defect_ledger_referenced,high,bounded_unit_evidence/SGA2-VIII-BIBM/SOURCE_DEFECT_AND_EMENDATION_LEDGER.csv,3438,442999D61FFAFC435D831CB2036DC23465C4C91D3B318A16F77FB202DBC84A33,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-DEFECT-NGT1-2859@1,SGA2-VIII-CUM-C22,French line 2859; printed p.95; physical p.83; running p.75,prose underlines the prime ideal while the displayed dimension prints plain x,retain the reviewed target and disclose the source oddity,open_source_oddity_preserved,high,NGT1 Option-A successor provenance,,,,,French authority ruling
SGA2-VIII-CUM-DEFECT-NGT1-2865@1,SGA2-VIII-CUM-C22,French line 2865; printed-page-96 marker; physical p.84; running p.76,French prints F after F double-prime; referent remains unresolved,do not alter French; preserve the reviewed English unit and keep the ambiguity visible,open_source_reading_unresolved,medium,NGT1 Option-A successor provenance,,,,,French authority ruling or exact independent witness
