comparison_id,component_id,source_tex_lines,control_type,source_feature,cumulative_disposition,unit_evidence_safe_locator,unit_evidence_bytes,unit_evidence_sha256,result,authority_basis,caveat
SGA2-VIII-CUM-C11-FORMULA-INHERIT@1,SGA2-VIII-CUM-C11,2661-2668,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-C22/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,8261,674BBCC7B4FD97473C9FE9E5C1BE88FC8E17B828390318383D325DAB29184C5E,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C12-FORMULA-INHERIT@1,SGA2-VIII-CUM-C12,2670-2681,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-C23/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7376,535E18DF1BAC7475B61919873A0A9D5CBC0031AAB989EE54D46C56C8E44C7B76,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C13-FORMULA-INHERIT@1,SGA2-VIII-CUM-C13,2683-2713,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-C23-POC/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,12125,64CC2C20CDBE3B2166D5F8DD0CE81DCF750B04A71F88516C019D00379F6A04EF,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C14-FORMULA-INHERIT@1,SGA2-VIII-CUM-C14,2715-2721,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-L24/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,9519,96431B30276B0BABCA55435E03A96ADB06B36E970AA597C0480245E6FBA717B5,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C15-FORMULA-INHERIT@1,SGA2-VIII-CUM-C15,2723-2731,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-L24P/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,12532,B89EBAFE47321362F38110B8DFF920ACD92CC512730D8A03B86432292102E2C6,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C16-FORMULA-INHERIT@1,SGA2-VIII-CUM-C16,2733-2750,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P2-SETUP/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4010,047FE2F5B932C6FCEE53F0CC7F6F2463F6361B273A19615BCC8E5C38C7D956EA,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C17-FORMULA-INHERIT@1,SGA2-VIII-CUM-C17,2751-2794,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-EQ1-L25/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,5727,015D1E4AD15241F320A131A15FF1C376F4ED9869BB91CC5835B499C453C04D74,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C18-FORMULA-INHERIT@1,SGA2-VIII-CUM-C18,2796-2805,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-D2B/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4838,80BD6F7A88CC48330E879E38FE9A37BC5EB12B94ABFB1CF6CA32083691692CED,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C19-FORMULA-INHERIT@1,SGA2-VIII-CUM-C19,2807-2819,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-III-IV/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,5880,EBB06C521380F0D58C8AB009537A6D0BA03050A3CAEBDE91497984BD046F5E99,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C20-FORMULA-INHERIT@1,SGA2-VIII-CUM-C20,2820-2826,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-IV-II-N0/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4153,A53DC1E19AE6EF80AC30592CF34D7C5270398D18A2162B256C8AFA5B6D98D7BA,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C21-FORMULA-INHERIT@1,SGA2-VIII-CUM-C21,2828-2854,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-IV-II-N1/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,8919,B98E5A279370B3A94E62F1C57CBB7094F265AC3062C69F411D3E3047ECD49264,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C22-FORMULA-INHERIT@1,SGA2-VIII-CUM-C22,2856-2872,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-IV-II-NGT1/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,10474,1E235DEF089F881832BF7C62F7A0CEBD9088B34559B5C1D4213B327E21260638,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C23-FORMULA-INHERIT@1,SGA2-VIII-CUM-C23,2874-2886,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-APP31/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,13731,07E6FEC247E6D437610C15D4DB2DDCDD738DC4DCA9F0EF7FD093CF55F04CC056,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C24-FORMULA-INHERIT@1,SGA2-VIII-CUM-C24,2888-2899,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32S/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7220,3DA3D6DE35B68B5B9493804EAB352BAF4047983377541DFA94FDDA5DADF07ED1,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C25-FORMULA-INHERIT@1,SGA2-VIII-CUM-C25,2901-2907,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32P1/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,5636,D3BD701EE1C92879C0DACC60ABEA49E95947C1A531659BC748A6139B35A0A8E6,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C26-FORMULA-INHERIT@1,SGA2-VIII-CUM-C26,2909,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32P2/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4334,8E97965BC7682F33C017E74AF8B856D1901FFB16669DAADB7C2D1FB796758B72,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C27-FORMULA-INHERIT@1,SGA2-VIII-CUM-C27,2911-2914,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32P3/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4660,197CE6441D300935C8CF0590ADA63680FB6F613C4D6E7A1B9553AF7781C5EEA1,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C28-FORMULA-INHERIT@1,SGA2-VIII-CUM-C28,2915-2917,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32P4/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,3818,AA9093E00BB7415694E5A1F1FFBC3B7D7BC478CC924BC67FF178D83D52DC1CCA,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C29-FORMULA-INHERIT@1,SGA2-VIII-CUM-C29,2918-2922,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P32P5/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4280,44BF155FDBE346493C50AA5589B5D5F2AF2EB916D77D711B8294CA23D8C7B301,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C30-FORMULA-INHERIT@1,SGA2-VIII-CUM-C30,2924-2928,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-BIBM/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4074,FC0943FE89F0055375538C4E1E0B20265FADEE7E0AED16446377894024C8923A,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-031@1,C02-C09,see component rows,macro_collision,Early cF denotes underlined roman F,Select uF before early components outside body markers,,,,pass_render_semantics_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-032@1,C10-C29,see component rows,macro_collision,Later cF denotes calligraphic F,Switch cF to calF before C10 outside body markers,,,,pass_render_semantics_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-033@1,C11-C12,see component rows,environment_signature,sourcecorollary appears once with a braced note and once without an argument,One g-signature environment accepts both bodies unchanged,,,,pass_both_signatures_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-034@1,C07-C10,see component rows,equation_seam,Section 1 equations and later section-numbered equations require state restoration,Counter/display controls placed outside component markers,,,,pass_equation_sequence_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-035@1,C14,see component rows,counter_seam,Lemma 2.4 unit carried section and lemma counters before its authority box,Restore section=2 and lemma=3 before the unchanged body,,,,pass_lemma_number_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-036@1,C01-C30,2501-2928,label_namespace,Twelve bounded labels are unique inside Exposé VIII; generic label condition remains a future full-volume collision risk,Retain all labels and use hypertexnames=false; record future namespace risk,,,,pass_local_label_uniqueness,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-037@1,C30,see component rows,bibliography_scope,refname is renewed in the bibliography body,Wrap C30 in an outer TeX group outside its markers,,,,pass_bibliography_change_scoped,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
SGA2-VIII-CUM-FORM-038@1,C22,see component rows,source_oddity,French line 2865 prints F after F double-prime in a passage whose referent is unresolved,Retain reviewed English body and disclose unresolved source reading; no silent French emendation,,,,open_source_reading_preserved,"frozen bounded target bodies, corrected French TeX, and recorded source controls",Independent bounded cumulative review passed in R5
