coverage_id,state_class,component_id,scope,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,body_included,status,continuation_cursor,caveat
SGA2-VIII-CUM-C16-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C16,Main-proof strategy and local-duality setup,2733-2750,91-92,80-81,72-73,component marker SGA2-VIII-CUM-C16,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C17-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C17,First equivalence step and Lemma 2.5,2751-2794,92-93,81-82,73-74,component marker SGA2-VIII-CUM-C17,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C18-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C18,Second step: d implies b,2796-2805,93,82,74,component marker SGA2-VIII-CUM-C18,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C19-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C19,Third step: iii equivalent to iv,2807-2819,93-94,82,74,component marker SGA2-VIII-CUM-C19,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C20-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C20,"Fourth step: iv implies ii, induction n=0",2820-2826,94,82,74,component marker SGA2-VIII-CUM-C20,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C21-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C21,"Fourth step: iv implies ii, induction n=1",2828-2854,94-95,83,75,component marker SGA2-VIII-CUM-C21,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C22-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C22,"Fourth step: iv implies ii, induction n>1",2856-2872,95-96,83-84,75-76,component marker SGA2-VIII-CUM-C22,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C23-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C23,Section 3 applications and Theorem 3.1,2874-2886,96-97,84,76,component marker SGA2-VIII-CUM-C23,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C24-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C24,Proposition 3.2 statement,2888-2899,97,84,76,component marker SGA2-VIII-CUM-C24,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C25-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C25,Proposition 3.2 proof opening and condition c,2901-2907,97,84-85,76-77,component marker SGA2-VIII-CUM-C25,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C26-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C26,Proposition 3.2 proof: a implies b,2909,97,85,77,component marker SGA2-VIII-CUM-C26,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C27-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C27,Proposition 3.2 proof: b implies a opening,2911-2914,97,85,77,component marker SGA2-VIII-CUM-C27,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C28-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C28,Proposition 3.2 proof: b implies a case split,2915-2917,98,85,77,component marker SGA2-VIII-CUM-C28,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C29-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C29,Proposition 3.2 proof: regular-local close,2918-2922,98,85,77,component marker SGA2-VIII-CUM-C29,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C30-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C30,Bibliography M and Exposé VIII close,2924-2928,98,85,77,component marker SGA2-VIII-CUM-C30,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-BOUNDARY-OUT@1,non_body_control,OUTBOUND:SGA2-IX-LAYOUT-2930,blank close and next-Exposé layout command,2929-2930,98,85-86,77-78,closing comment after component C30,false,checked_controls_excluded_from_translation_body,French line 2930 chapterspace control; Expose IX begins at French line 2931,Line 2929 is blank; line 2930 is chapterspace{-1}; Exposé IX begins at line 2931
