const	pos	arabic
Leo	10	الثاني الذي في فخذه المؤخرة ايضا
Leo	11	الذي في وسط فخذه المؤخرة ايضا
Leo	12	الصرفة وهو الكوكب الذي على طرف ذنبه
Leo	13	الشمالي من الاثنين اللذين في مؤخر الاسد
Leo	14	الكوكب الجنوبي منهما
Leo	15	الكوكب الذي على ركبة الاسد اليمنى
Leo	16	اولها بلوقامس وهو الكوكب الذي بين ذنب الاسد والسماك الرامح
Sagittarius	1	الكوكب الذي على زج السهم
Sagittarius	2	الذي على مقبض يده اليسرى
Sagittarius	3	الكوكب الذي في الجنوب من القوس
Sagittarius	4	الجنوبي من الاثنين اللذين في الشق الشمالي من القوس
Sagittarius	5	الشمالي منهما وهو الذي في آخر القوس
Sagittarius	6	الكوكب الذي على كتف الرامي
Sagittarius	7	الذي بين يدي هذا وهو في السهم
Sagittarius	8	المضعف السحابي الذي على عين الرامي
Sagittarius	9	الذي على عرقوب الرامي المقدم الأيسر
Sagittarius	10	المتوسط من الثلثة التي في ظهر الرامي وهو على كتفه
Sagittarius	11	التالي الذي تحت إبطه ويلي الأوسط من التي في ظهره
Sagittarius	12	الذي على ركبة الرامي من رجله اليسرى
Sagittarius	13	الذي على عرقوبه من رجله المقدمة
Sagittarius	14	الذي في فخذه اليسرى
Sagittarius	15	الذي على ساق الرامي اليمنى المؤخرة
Sagittarius	16	الشمالي من الاربعة التي في أصل أليته وهو عرقوب الرامي
Sagittarius	17	الذي يتلوه في الخط الشمالي
Capricornus	1	المقدم من الثلثة التي في قرنه المؤخرة
Capricornus	2	المتوسط من هذه الثلثة
Capricornus	3	الجنوبي من هذه الثلثة المذكورة
Capricornus	4	الجنوبي من الثلثة التي في فم الجدي
Capricornus	5	المقدم من الاثنين الباقيين من الثلثة التي في فم الجدي
Capricornus	6	الكوكب الثالث الذي يتلوه في فمه
Capricornus	7	الذي تحت ركبة الجدي اليمنى
Capricornus	8	الذي على ركبته اليسرى
Capricornus	9	المقدم من الاثنين المتقاربين اللذين في بطن الجدي
Capricornus	10	الكوكب التالي لهذا في بطنه
Capricornus	11	المقدم من الاثنين اللذين عند ذنب الجدي
Capricornus	12	المقدم من الاربعة التي في شمال ذنبه
Capricornus	13	المتوسط من هذه الثلثة الباقية
Capricornus	14	الشمالي من التي على طرف ذنبه
Capricornus	15	الكوكب الذي يتلوه
Capricornus	16	المقدم من الذي في ظهر الجدي
Capricornus	17	المقدم من الكوكبين اللذين في ظهره
Capricornus	18	الجنوبي من الاربعة التي في شمال ذنبه
Aquarius	1	الكوكب الذي على رأس الدلو
Aquarius	2	المضيء من الاثنين اللذين على كتف الساق اليمنى
Aquarius	3	الكوكب المظلم الذي تحته
Aquarius	4	الذي في كتف الساق اليسرى
Aquarius	5	الذي يلو الثلثة التي في يده اليسرى
Aquarius	6	المتوسط من هذه الثلثة
Aquarius	7	الكوكب المقدم من هذه الثلثة
Aquarius	8	الذي في فخذ الساق اليمنى
Aquarius	9	الشمالي من الثلثة التي على طرف ذنبه
Aquarius	10	المقدم من الاثنين الجنوبيين الباقيين
Aquarius	11	الكوكب التالي لهذا
Aquarius	12	الجنوبي من الاثنين اللذين في ساقه اليمنى
Aquarius	13	المقدم من الخمسة التي في مصب الماء
Aquarius	14	الذي يتلوه في الجنوب
Aquarius	15	الذي يتلو هذا بعد المقبض
Aquarius	16	الذي يتلوه ايضا
Aquarius	17	الجنوبي من التي في المقبض
Aquarius	18	المؤخر من التي في مصب الماء وهو فم الحوت الجنوبي
Aquarius	19	الشمالي من الاثنين اللذين في الجنوب من التي في المقبض
Aquarius	20	المقدم من الاثنين المتقاربين اللذين في ساق الساق
Aquarius	21	الشمالي من الاثنين اللذين في جهة الجنوب من المقبض
Aquarius	22	الذي على ألية الساق اليمنى
Aquarius	23	المتوسط من الثلثة التي في الانعطاف الأول من المقبض
Aquarius	24	الأول من الثلثة التي في الانعطاف الثاني من المقبض
Aquarius	25	الجنوبي من الاثنين اللذين في أليته اليسرى
Aquarius	26	المتوسط من الثلثة الأخرى التي في الانعطاف الثاني من المقبض
Aquarius	27	الشمالي من الاثنين اللذين في ساقه اليسرى تحت الركبة
Aquarius	28	المقدم من الثلثة التي تتلو مقبض الجرة
Aquarius	29	الشمالي من الاثنين الباقيين
Pisces	1	الذي في فم الحوت المقدم وهو الجنوبي
Pisces	2	الجنوبي من الاثنين اللذين في رأس هذا الحوت
Pisces	3	والشمالي من هذين الكوكبين اللذين في رأسه
Pisces	4	المقدم من الاثنين اللذين في ظهره
Pisces	5	الكوكب الثاني من الاثنين اللذين في ظهره
Pisces	6	المقدم من الاثنين اللذين في بطن الحوت الجنوبي
Pisces	7	الكوكب المؤخر منهما
Pisces	8	الكوكب الذي في ذنب هذا الحوت
Pisces	9	المقدم من التي في ذنبه في الخيط الكتان
Pisces	10	الذي يتلو هذا الكوكب
Pisces	11	المقدم من الثلثة النيرة التي بعد المتقدمة
Pisces	12	المتوسط منها
Pisces	13	الذي يتلو هذا من الثلثة
Pisces	14	الشمالي من الاثنين المتقاربين اللذين في المفصل
Pisces	15	الكوكب الجنوبي منهما
Pisces	16	الأوسط من الثلثة التي بعد المفصل
Pisces	17	الذي على مربط خيطي الكتان
Pisces	18	المقدم الشمالي من مربط الكتان
Pisces	19	المتوسط من الثلثة التي في المربط
Pisces	20	الشمالي من الاثنين اللذين في فم الحوت الشمالي
Pisces	21	الشمالي من الثلثة التي على طرف الذنب
Pisces	22	المقدم من الثلثة التي على شوكة هذا الحوت
Pisces	23	المتوسط منها
Pisces	24	المؤخر من هذه الثلثة
Pisces	25	الشمالي من الاثنين اللذين في بطنه
Pisces	26	الكوكب الجنوبي منهما
Pisces	27	الذي في شوكته المؤخرة عند ذنبه
Pisces	28	الذي تحت المربع وهو ممّا ليس في الصورة
Eridanus	1	الذي على طرف رجل الجبار وهو على رأس النهر
Eridanus	2	النير الكبير وهو آخر كواكب النهر
Eridanus	3	الذي يلو الاربعة التي في القطع
Eridanus	4	الثالث بين يدي الاوسط
Eridanus	5	المقدم من الاربعة
Eridanus	6	المؤخر من الاربعة
Eridanus	7	الكوكب الثالث الذي قبل هذا الرابع
Eridanus	8	الذي في منعطف النهر وهو على آخر صدر قيطس
Eridanus	9	الشمالي الذي في الشق المقدم من الاربعة التي في الجواز
Eridanus	10	المؤخر من هذه الاربعة
Eridanus	11	المؤخر من الاثنين اللذين بعد العطف ويسمى التربه
Eridanus	12	المؤخر من الثلثة التي بعد الاثنين
Eridanus	13	الشمالي من الاثنين المتقابلين
Eridanus	14	الجنوبي منهما
Lepus	1	الشمالي من الاربعة التي في ظهرها في الشق المقدم
Lepus	2	الشمالي من الشق المؤخر منها
Lepus	3	الكوكب الذي في ذقن الأرنب
Lepus	4	الذي بين يدي طرف الرجل المقدمة اليسرى منها
Lepus	5	الذي على وسط جسدها
Lepus	6	الكوكب الذي تحت بطنها
Lepus	7	الشمالي من الاثنين اللذين في الرجلين المؤخرتين
Lepus	8	الكوكب الجنوبي منهما
Lepus	9	الكوكب الذي على ظهرها
Lepus	10	الكوكب الذي على طرف أليتها
Corvus	1	الذي في منقار الغراب عند الشجاع
Corvus	2	الذي في عنقه قريب من رأسه
Corvus	3	الذي في الجناح المقدم الأيمن
Corvus	4	المقدم من الاثنين اللذين في الجناح المؤخر
Corvus	5	الكوكب المؤخر منها
Corvus	6	الذي على طرف رجله عند الشجاع
Centaurus	1	الجنوبي من الاربعة التي في رأس قنطاورس
Centaurus	2	الكوكب الشمالي منها
Centaurus	3	المقدم من الاثنين الأوسطين الباقيين
Centaurus	4	المؤخر من هذين الاثنين وهو الثاني من الاربعة
Centaurus	5	الذي على كتفه المقدمة اليسرى
Centaurus	6	الذي على كتفه المؤخرة اليمنى
Centaurus	7	الذي على رأس الفرس
Centaurus	8	المقدم من الثلثة التي على الشق الأيمن
Centaurus	9	الأوسط منها
Centaurus	10	المؤخر من هذه الثلثة
Centaurus	11	الذي على ذراعه اليمنى
Centaurus	12	الذي على ساعده الأيمن
Centaurus	13	المنير الذي في أصل جنبه الأيسر
Centaurus	14	المؤخر من الكواكب المظلمة الشمالية منه
Centaurus	15	الكوكب المقدم من الكواكب المظلمة الشمالية منه
Centaurus	16	المؤخر من الثلثة التي على خاصرته على بطنه
Centaurus	17	المقدم من الاثنين المتقاربين اللذين في فخذ الفرس اليمنى
Centaurus	18	المقدم من الاثنين اللذين تحت بطن الفرس
Centaurus	19	الكوكب المؤخر منهما
Centaurus	20	الذي في فخذه اليمنى قرب من الرجل
Centaurus	21	الذي في قدمه اليسرى على الحافر
Centaurus	22	النير الذي على طرف رجله اليمنى المقدمة وهو رجل الفرس
Centaurus	23	الكوكب الذي على ركبته اليسرى من الرجل
Centaurus	24	الذي على عرقوبه الأيمن
Centaurus	25	السادس من التي على الرجل المؤخرة اليمنى
Centaurus	26	الذي تحت وسط فخذه اليسرى
Lupus	1	الكوكب الذي على طرف رجل السبع المؤخرة
Lupus	2	الذي على وسط فخذه المؤخرة
Lupus	3	الشمالي من الثلثة التي على طرف ذنبه
Lupus	4	الجنوبي من الاثنين اللذين في رجله المقدمة
Lupus	5	الشمالي من الاثنين اللذين في عنقه
Lupus	6	الشمالي من الاثنين اللذين في رجله المقدمة
Ara	1	الشمالي من الاثنين اللذين في أسفل المجمرة
Ara	2	الذي في وسط رأسها وهو موضع النار
Ara	3	الجنوبي من الاثنين المتقاربين اللذين في لهب النار
Ara	4	الذي على طرف اللهب من لسان النار
CoronaAustralis	1	المقدم من الستة التي في تقويس الإكليل الجنوبي
CoronaAustralis	2	الكوكب الرابع الذي بعد هذه الستة
CoronaAustralis	3	الذي يلوه وهو بين يدي ركبة الرامي
CoronaAustralis	4	المضيء الذي يلو هذا من الشمال
CoronaAustralis	5	الشمالي من هذا المضيء
CoronaAustralis	6	المقدم من الاثنين المظلمين
CoronaAustralis	7	الكوكب الباقي من المظلمين
Ophiuchus	1	الكوكب الذي على رأس الحوّاء وهو يمسك الحية
Ophiuchus	2	المقدم من الاثنين اللذين في كتفه اليمنى
Ophiuchus	3	الأول من الاثنين اللذين على طرف يده اليسرى
Ophiuchus	4	الكوكب الذي يلو هذا في طرف اليد
Ophiuchus	5	الكوكب الذي على ركبته اليمنى
Ophiuchus	6	الكوكب الذي على ساقه اليمنى
Ophiuchus	7	الثاني من الاربعة التي على رجله
Ophiuchus	8	الشمالي الذي في خط الثلثة الشمالية
Serpens	1	الكوكب الذي في صدغ الحية التي يمسكها الحوّاء
Serpens	2	المضاف الذي في منخري الحية
Serpens	3	الذي عند مخرج عنق الحية
Serpens	4	الذي بعد الخرزة المتقدمة التي في عنق الحية
Serpens	5	المتوسط من الثلثة التي بعدها
Serpens	6	الكوكب الجنوبي منها
Serpens	7	الكوكب الجنوبي الذي وراء فخذ الحوّاء
Serpens	8	الذي يلي الأول من الثلثة التي على ذنب الحية
Serpens	9	الذي على طرف ذنب الحية
Equuleus	1	الأول المقدم من اللذين في رأس قطعة الفرس
Equuleus	2	الثاني وهو المؤخر منهما
Equuleus	3	المقدم من الاثنين اللذين في فمه
Equuleus	4	الكوكب المؤخر منهما
Andromeda	1	الذي بين كتفي اندروميدس
Andromeda	2	الجنوبي من الثلثة التي فوق شقّتها
Andromeda	3	المقدم الخارج من الثلثة التي في رأسها
Andromeda	4	الكوكب الذي فوق رجلها اليسرى
Pegasus	1	المتوسط من التي في رأس اندروميدس وهي المرأة التي ليس لها بعل
Pegasus	3	الكوكب الذي على ظهر الفرس وهو في رأس كتفه منكب الفرس
Pegasus	4	الذي بين كتفيه في كتف جناح الفرس
Pegasus	8	الكوكب الذي على حقومه وهو في فمه
Pegasus	10	الكوكب الذي على ركبته اليسرى
Perseus	1	الذي على طرف يد الفارس اليمنى وهو ممسك رأس الغول
Perseus	2	المضيء الذي في شقّه الأيمن
Perseus	3	الذي على كتفه اليمنى
Perseus	4	المؤخر من الثلثة التي في شقّه الأيمن
Perseus	5	الذي على فخذه اليسرى
Perseus	6	المنير من التي في رأس الغول
Perseus	7	الكوكب الذي على عرقوبه الأيسر
Perseus	8	الذي يتلو هذا وهو على قدمه اليسرى
Libra	1	الكوكب المضيء من كواكب الكفّة الجنوبية
Libra	2	المظلم الشمالي من هذا الكوكب
Libra	3	النيّر من الكواكب التي في طرف الكفّة الشمالية
Libra	4	المتوسط من التي في الكفّة الجنوبية
Libra	5	الكوكب التالي لهذا الكوكب
Libra	6	الكوكب المتوسط من الكفّة الشمالية
