const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note,english
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,2,γ,Algenib,353,20,12,30,N,2,,Algenib,The star on the back of the horse and at the apex of its shoulder
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,3,β,Scheat,343,20,31,0,N,2,الكوكب الذي على ظهر الفرس وهو في رأس كتفه منكب الفرس,Scheat,"The shoulder of the horse, on the right shoulder where the leg arises"
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,4,α,Markab,337,50,19,40,N,2,الذي بين كتفيه في كتف جناح الفرس,Markab,The star between two shoulders on the shoulder of the wing
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,5,η,,340,10,35,0,N,3,,-,The northern one of two stars in the right knee
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,6,ζ,,330,0,18,0,N,3,,-,The preceding one of two stars in the neck
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,7,θ,,320,20,16,50,N,3,,-,The northern one of two stars in the head
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,8,ε,Enif,316,30,22,30,N,3,الكوكب الذي على حقومه وهو في فمه,Enif,The star in the throat
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,9,π,,334,50,41,10,N,4,,-,The star in the right ankle
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,10,ι,,328,50,34,15,N,4,الكوكب الذي على ركبته اليسرى,-,The star in the left knee
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,11,κ,,323,30,36,50,N,4,,-,The star in the left ankle
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,1,δ,,6,30,24,30,N,3,الذي بين كتفي اندروميدس,-,The star between the two shoulders of Andromeda
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,2,β,Mirach,15,0,26,20,N,3,الجنوبي من الثلثة التي فوق شقّتها,Mirach,The southern one of three stars above her belt
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,3,ο,,352,50,44,0,N,3,المقدم الخارج من الثلثة التي في رأسها,-,The preceding one outside the three in the right hand
Andromeda,Andromeda,المرأة المسلسلة,al-marah al-musalsalah,仙女座,4,γ,Almach,28,0,28,0,N,3,الكوكب الذي فوق رجلها اليسرى,Almach,The star above the left foot
Triangulum,Triangulum,المثلث,al-muthallath,三角座,1,α,,22,10,16,30,N,3,الكوكب الذي في رأس المثلث,-,The star at the apex of the triangle
Triangulum,Triangulum,المثلث,al-muthallath,三角座,2,β,,27,10,20,40,N,3,المقدم من الثلثة التي في أسفله,-,The preceding one of three stars in the base
Triangulum,Triangulum,المثلث,al-muthallath,三角座,3,γ,,28,0,19,0,N,3,الكوكب الذي في آخر هذه الثلثة,-,The last of these three
Aries,Aries,الحمل,al-hamal,白羊座,1,γ,Mesarthim,17,50,7,20,N,3,,Mesarthim,The preceding one of two stars in the horn
Aries,Aries,الحمل,al-hamal,白羊座,2,β,Sheratan,18,50,8,20,N,3,الكوكب المؤخر منهما,Sheratan,The posterior one of these two
Aries,Aries,الحمل,al-hamal,白羊座,3,η,,22,10,7,40,N,5,الشمالي من الاثنين اللذين في فم الحمل,-,The northern one of two stars in the mouth
Aries,Aries,الحمل,al-hamal,白羊座,4,θ,,22,40,6,0,N,5,الكوكب الجنوبي منهما,-,The southern one of these two
Aries,Aries,الحمل,al-hamal,白羊座,5,ι,,17,40,5,30,N,5,الكوكب الذي على عنق الحمل,-,The star in the neck of the Ram
Aries,Aries,الحمل,al-hamal,白羊座,6,ν,,28,40,6,0,N,6,الذي على ظهر الحمل,-,The star on the back
Aries,Aries,الحمل,al-hamal,白羊座,7,ε,,32,30,4,50,N,5,الذي على مخرج أليته,-,The star where the tail arises
Aries,Aries,الحمل,al-hamal,白羊座,8,δ,,35,0,1,40,N,4,المقدم من الثلثة التي على أليته,-,The preceding one of three stars in the tail
Aries,Aries,الحمل,al-hamal,白羊座,9,ζ,,36,30,2,30,N,4,الكوكب المتوسط منها,-,The middle one of these
Aries,Aries,الحمل,al-hamal,白羊座,10,τ2,,38,10,1,50,N,4,المؤخر من هذه الثلثة,-,The last of these three
Aries,Aries,الحمل,al-hamal,白羊座,11,ρ,,30,50,1,10,N,5,الكوكب الذي خلف فخذ الحمل,-,The star after the thigh
Aries,Aries,الحمل,al-hamal,白羊座,12,σ,,29,10,1,30,S,5,الذي فوق وسط فخذه,-,The star above the middle of the thigh
Aries,Aries,الحمل,al-hamal,白羊座,13,,,28,10,5,15,S,4,الذي على ظهر رجله المؤخرة,-,The star on the back of the hind foot
Aries,Aries,الحمل,al-hamal,白羊座,14,α,Hamal,21,30,10,0,N,3,وهو الذي فوق رأسه,Hamal,The star above the head (not in the figure)
Taurus,Taurus,الثور,ath-thawr,金牛座,1,,,37,30,6,0,S,4,الشمالي من الاربعة التي على قطع الثور,-,
