ledger_row_id,row_type,scope_or_gap,source_use_label,branch_weight_or_witness_note,marginal_intelligibility_note,adverse_evidence_note,do_not_use_or_boundary,next_action,supporting_artifact,promotion_allowed,accepted_translation_evidence
R9-WC-FABLE-0011,adverse_evidence_blocker,AHW-GAP-00003,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0012,adverse_evidence_blocker,AHW-GAP-00004,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0013,adverse_evidence_blocker,AHW-GAP-00005,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0014,adverse_evidence_blocker,AHW-GAP-00006,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0015,adverse_evidence_blocker,AHW-GAP-00007,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0016,adverse_evidence_blocker,AHW-GAP-00008,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0017,adverse_evidence_blocker,AHW-GAP-00009,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0018,adverse_evidence_blocker,AHW-GAP-00010,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0019,adverse_evidence_blocker,AHW-GAP-00011,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,direct endpoint remains invalid/non-admitted: content-type/header route exists but payload is HTML or fetch-blocked; use packaged full-book/context witnesses only for source-canon support and request alternate chapter/source-owner return,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0020,adverse_evidence_blocker,AHW-GAP-00014,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0021,adverse_evidence_blocker,AHW-GAP-00015,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0022,adverse_evidence_blocker,AHW-GAP-00016,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0023,adverse_evidence_blocker,AHW-GAP-00017,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0024,adverse_evidence_blocker,AHW-GAP-00018,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Hausa textbook/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0025,adverse_evidence_blocker,AHW-GAP-00019,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0026,adverse_evidence_blocker,AHW-GAP-00020,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0027,adverse_evidence_blocker,AHW-GAP-00021,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0028,adverse_evidence_blocker,AHW-GAP-00022,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0029,adverse_evidence_blocker,AHW-GAP-00023,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,continue Igbo textbook/lesson/glossary/source-owner/reviewer route; packaged context/public-register bodies remain non-admitted for terminology,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0030,adverse_evidence_blocker,AHW-GAP-00028,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,split Dinka/Nuer/Zande authority routes and request named Dinka/Zande source bodies; keep Nuer/South-Sudan partial package as context only,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,split Dinka/Nuer/Zande authority routes and request named Dinka/Zande source bodies; keep Nuer/South-Sudan partial package as context only,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0031,adverse_evidence_blocker,AHW-GAP-00029,pointer-only,This row is negative or insufficient evidence for source-canon; it receives zero bridge/term witness weight until exact source body gates close.,Not scored; source evidence missing or adverse.,run source-font/transcription closure for Khoekhoegowab/Juhoansi/Omotic bodies before interlanguage promotion,Do not use broken endpoint/title/pointer/OCR cache as accepted translation evidence.,run source-font/transcription closure for Khoekhoegowab/Juhoansi/Omotic bodies before interlanguage promotion,R9_EXACT_BLOCKER_ROWS_ACTIVE_RECOVERY_20260706.csv,false,false
R9-WC-FABLE-0032,sibling_context_boundary,R9-33B23F-001,governance-instruction,Sibling methodology may shape R9 ledgers but cannot add source witness mass to R9 language rows.,No R9 score derived from sibling R3 material.,B3 worktree at 33b23f read after Git promisor hydration failed due low disk space in partial clone.,material choice only,Use local B3 worktree as materialized branch source; record Git disk-space blocker separately; do not push.,R9_BRANCH_33B23F_R3_CYCLE3_HANDOFF_R9_IMPACT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0033,sibling_context_boundary,R9-33B23F-002,sibling-methodology-context-only,Sibling methodology may shape R9 ledgers but cannot add source witness mass to R9 language rows.,No R9 score derived from sibling R3 material.,Read/inventoried 18 R3 standardization files.,sibling methodology only,Reuse ledger categories for R9 source-use/branch-weight/marginal-intelligibility/adverse-evidence/normalization/do-not-use; no R3 term/source promotion.,R9_BRANCH_33B23F_R3_CYCLE3_HANDOFF_R9_IMPACT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0034,sibling_context_boundary,R9-33B23F-003,sibling-package-process-context-only,Sibling methodology may shape R9 ledgers but cannot add source witness mass to R9 language rows.,No R9 score derived from sibling R3 material.,Read/inventoried 10 R3 cycle3 handoff files.,package process only,Use review-only boundary guard/package verification pattern for future R9 B3 handoffs.,R9_BRANCH_33B23F_R3_CYCLE3_HANDOFF_R9_IMPACT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0035,sibling_context_boundary,R9-33B23F-004,r9-whole-corpus-action,Sibling methodology may shape R9 ledgers but cannot add source witness mass to R9 language rows.,No R9 score derived from sibling R3 material.,R9 coverage table now spans 10 assigned/detected scopes with current manifest/gap/scaffold counts.,draft/non-canonical only,Continue exact source recovery for scopes with gap rows and source-gated draft/interlinear support for scopes with baseline bodies.,R9_BRANCH_33B23F_R3_CYCLE3_HANDOFF_R9_IMPACT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0036,source_backed_pretranslation_expansion,Amharic,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0037,source_backed_pretranslation_expansion,Afar,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0038,source_backed_pretranslation_expansion,Somali,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0039,source_backed_pretranslation_expansion,Oromo,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0040,source_backed_pretranslation_expansion,Tigrigna/Tigrinya,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0041,source_backed_pretranslation_expansion,Hausa,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0042,source_backed_pretranslation_expansion,Igbo,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0043,source_backed_pretranslation_expansion,Yoruba/Wolof/Twi/Fulfulde/Mandinka,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0044,source_backed_pretranslation_expansion,AF05 South Sudan,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
R9-WC-FABLE-0045,source_backed_pretranslation_expansion,AF06 Omotic/Southern Non-Bantu,generated-draft,Native source-body candidates support extraction queue only; no term witness weight until exact phrase/page extraction and review gate.,No intelligibility score asserted; this is local-standard/register support with source phrase TBD.,"Where gap/blocker rows exist, keep broken endpoint/pointer evidence at zero promotion weight.",Do not use placeholders as accepted target renderings or canonical terms.,Use R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv to extract exact source phrase/page context per concept and scope.,R9_SOURCE_BACKED_SCOPE_PRETRANSLATION_EXPANSION_20260706.csv,false,false
