"priority","action_bucket","language","local_id","coverage_status","source_canon_action","title_or_local_title","topic_or_category","license_or_access_signal","hash_match_status","evidence_artifacts","steward_next_action","non_claim_boundary"
"P2","steward_review_possible_license_gap","French","2001.10515v4","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Sur la conjecture de Tate entière pour le produit d'une courbe et d'une surface $CH_{0}$-triviale sur un corps fini","math.AG / Hilbert:5; module:52; anneau:1; corps:109; invariant:4","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","2501.13300v2","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Arithmétique des schémas en groupes de Bruhat-Tits sur un anneau de Dedekind semi-local","math.AG / Hilbert:3; module:2; anneau:20; corps:45; ideal:6; invariant:2","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","2504.20230v1","live_arxiv_verified_candidate_not_promoted","candidate_verified_not_promoted","Finitude du groupe de Tate-Shafarevich pour les groupes de type multiplicatif constants sur des corps des fonctions","math.NT / Noether; Hilbert; anneau; module; corps","arXiv API license field blank; access/source URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","2505.05443v1","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_noether_candidate_not_promoted","Dualité étale à la Poitou-Tate pour les tores sur des variétés définies sur un corps fini","math.NT / Noether:4; Hilbert:3; module:13; anneau:13; corps:45; ideal:1; invariant:2","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","2506.03851v1","live_arxiv_verified_candidate_not_promoted","candidate_verified_not_promoted","Algebraic identities to prove that a neat finite free algebra is tracically étale","math.AC / Noether; anneau; id[eé]al; module","arXiv API license field blank; access/source URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","math_0107137v2","live_arxiv_verified_adjacent_candidate_not_promoted","french_invariant_module_candidate_not_promoted","Caracteres sur l'algebre de diagrammes trivalents Lambda","math.GT / invariant; module","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","math_0303168v2","live_arxiv_verified_adjacent_candidate_not_promoted","adjacent_french_math_candidate_not_promoted","Surfaces de del Pezzo sans point rationnel sur un corps de dimension cohomologique un","math.NT / Noether; Hilbert","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","Spanish","1311.1146v1","live_arxiv_screened_adjacent_candidate_not_promoted","adjacent_math_spanish_candidate_not_promoted","Variedades de álgebras topologicas","math.CT / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","Spanish","1312.6798v1","live_arxiv_verified_candidate_not_promoted","candidate_verified_not_promoted","Re-filtración y propiedades de regularidad de anillos multi-filtrados","math.QA / Noether; Hilbert; anillo","arXiv API license field blank; access/source URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","Spanish","2206.09700v1","live_arxiv_screened_adjacent_candidate_not_promoted","adjacent_math_spanish_candidate_not_promoted","Grupos ortogonales sobre cuerpos de característica positiva","math.GR / ","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_SPANISH_SUPPLEMENT_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","0605499v2","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","","corps:4; invariant:4","local source package present; live license not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","0605500v2","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","","corps:3; invariant:11","local source package present; live license not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","0611861v1","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Categories de foncteurs en grassmanniennes et filtration de Krull","Noether:1; module:39; anneau:13; corps:14; invariant:1","local source package present; live license not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","0711.3658v2","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Sur l'ind�pendance de l en cohomologie l -adique sur les corps locaux","module:6; anneau:9; corps:66; invariant:2","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","1001.2849v1","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Morphismes quadratiques entre modules sur un anneau carre","module:183; anneau:78","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","1005.0462v1","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Etude locale des torseurs sous une courbe elliptique","module:39; anneau:7; corps:14; ideal:1; invariant:1","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","1010.0341v3","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Un theoreme de l'application ouverte sur les corps values algebriquement clos","module:2; anneau:2; corps:20","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P3","local_only_live_check_needed","French","1303.5221v2","local_low_signal_tex_french_math_candidate_not_promoted","low_signal_local_tex_french_math_candidate_not_promoted","Le groupe de Brauer non ramifie sur un corps global de caracteristique positive","anneau:5; corps:23; invariant:1","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Only if needed later, perform live arXiv metadata/e-print/license/access verification; local TeX triage alone is insufficient.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","0809.0144v3","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","A differential -module algebra for = 2 at an even root of unity","module:89; ideal:3; invariant:7","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","0812.4685v2","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","THREE CROSSED MODULES","module:80","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","0907.2566v3","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","The fundamental Gray 3-groupoid of a smooth manifold and local 3-dimensional holonomy based on a 2-crossed module","module:158; invariant:8","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1009.2195v1","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","\@nx\@dblarg \@xp\@nx","module:86; ideal:8; invariant:27","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1109.0527v2","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Lagrangian-invariant sheaves and functors for abelian varieties","module:6; invariant:41","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P4","exclude_or_shelf_mismatch_record","French","1110.2366v1","local_low_signal_tex_weak_or_mixed_not_promoted","low_signal_local_tex_weak_or_mixed_not_promoted","Title label1","invariant:26","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","local_hash_matches_prior=True","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","Do not use as target-language witness unless a future reviewer overturns the mismatch/off-topic classification.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
