archive_path,bytes
sources/references/microtype-xetex.def,29496
sources/references/microtype.cfg,28606
sources/references/microtype.sty,106050
sources/references/ragged2e.sty,10406
sources/references/said-al-andalusi-tabaqat-al-umam.tex,45029
sources/references/smith-karpinski-hindu-arabic-numerals-1911.tex,84441
sources/references/titlesec.sty,50473
sources/translations/arabic/chinese/jiuzhang-suanshu-vols1-3_arabic.tex,203825
sources/translations/arabic/chinese/li-ye-ceyuan-haijing-vols1-3_arabic.tex,122629
sources/translations/arabic/chinese/li-ye-ceyuan-haijing-vols10-12_arabic.tex,148043
sources/translations/arabic/chinese/li-ye-ceyuan-haijing-vols4-6_arabic.tex,138579
sources/translations/arabic/chinese/paracol.sty,108284
sources/translations/arabic/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_arabic.tex,131982
sources/translations/arabic/chinese/qin-jiushao-shuxue-jiuzhang-fascicle4_arabic.tex,56810
sources/translations/arabic/chinese/sunzi-suanjing_arabic.tex,48941
sources/translations/arabic/chinese/yang-hui-xiangjie-jiuzhang-part1_arabic.tex,116021
sources/translations/arabic/islamic/al-kashi-miftah-al-hisab_arabic.tex,61148
sources/translations/arabic/islamic/al-khwarizmi-al-jabr_arabic-enhanced.tex,75896
sources/translations/arabic/islamic/framed.sty,22997
sources/translations/arabic/islamic/omar-khayyam-sinaat-al-jabr_arabic.tex,41247
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols1-3_classical-modern_bilingual.tex,73838
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols4-6_classical-modern_bilingual.tex,56834
sources/translations/classical_modern_chinese/chinese/jiuzhang-suanshu-vols7-9_classical-modern_bilingual.tex,181215
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3_classical-modern_bilingual.tex,109649
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5_classical-modern_bilingual.tex,90246
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10_classical-modern_bilingual.tex,173237
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols1-3_classical-modern_bilingual.tex,65093
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols10-12_classical-modern_bilingual.tex,83089
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols4-6_classical-modern_bilingual.tex,158001
sources/translations/classical_modern_chinese/chinese/li-ye-ceyuan-haijing-vols7-9_classical-modern_bilingual.tex,128964
sources/translations/classical_modern_chinese/chinese/paracol.sty,108284
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_classical-modern_bilingual.tex,121698
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2_classical-modern_bilingual.tex,41798
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicle3_classical-modern_bilingual.tex,47728
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicle4_classical-modern_bilingual.tex,47025
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_classical-modern_bilingual.tex,112214
sources/translations/classical_modern_chinese/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_classical-modern_bilingual.tex,57485
sources/translations/classical_modern_chinese/chinese/sunzi-suanjing_classical-modern_bilingual.tex,52229
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part1_classical-modern_bilingual.tex,63751
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part2_classical-modern_bilingual.tex,73042
sources/translations/classical_modern_chinese/chinese/yang-hui-xiangjie-jiuzhang-part3_classical-modern_bilingual.tex,49253
sources/translations/classical_modern_chinese/chinese/zhu-shijie-suanxue-qimeng-part1_classical-modern_bilingual.tex,111399
sources/translations/classical_modern_chinese/chinese/zhu-shijie-suanxue-qimeng-part2_classical-modern_bilingual.tex,34878
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols1-3_bilingual.tex,93581
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols4-6_bilingual.tex,59775
sources/translations/english_bilingual/chinese/jiuzhang-suanshu-vols7-9_bilingual.tex,122863
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3_bilingual.tex,128199
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols1-3_bilingual.tex,69411
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols10-12_bilingual.tex,176035
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols10-12_english.tex,86440
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols4-6_bilingual.tex,160241
sources/translations/english_bilingual/chinese/li-ye-ceyuan-haijing-vols7-9_bilingual.tex,159752
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_bilingual.tex,54917
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2_bilingual.tex,47682
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle4_bilingual.tex,41212
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle5_bilingual.tex,82969
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicle6_bilingual.tex,61740
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4_bilingual.tex,44357
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_bilingual.tex,149398
sources/translations/english_bilingual/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_bilingual.tex,71019
sources/translations/english_bilingual/chinese/sunzi-suanjing_bilingual.tex,62917
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part1_bilingual.tex,83459
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part2_bilingual.tex,60378
sources/translations/english_bilingual/chinese/yang-hui-xiangjie-jiuzhang-part3_bilingual.tex,83706
sources/translations/english_bilingual/chinese/zhu-shijie-suanxue-qimeng-part1_bilingual.tex,111981
sources/translations/english_bilingual/chinese/zhu-shijie-suanxue-qimeng-part2_bilingual.tex,144469
sources/translations/english_bilingual/indian/aryabhata-aryabhatiya_bilingual.tex,59410
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part1_bilingual.tex,71688
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part2_bilingual.tex,60477
sources/translations/english_bilingual/indian/bhaskara-ii-bijaganita-part3_bilingual.tex,41754
sources/translations/english_bilingual/indian/bhaskara-ii-lilavati_bilingual.tex,50543
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1_bilingual.tex,86120
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk2_bilingual.tex,47589
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3_bilingual.tex,41093
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4_bilingual.tex,96619
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5_bilingual.tex,124634
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5_bilingual_fixed.tex,125449
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6_bilingual.tex,69668
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6_bilingual_fixed.tex,70659
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1_bilingual.tex,86019
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1_bilingual_fixed.tex,85977
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk2_bilingual.tex,140264
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3_bilingual.tex,98542
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3_bilingual_fixed.tex,99197
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4_bilingual.tex,35449
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5_bilingual.tex,92763
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6_bilingual.tex,85450
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1_bilingual.tex,54733
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2_bilingual.tex,79995
sources/translations/english_bilingual/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3_bilingual.tex,54964
sources/translations/english_bilingual/indian/paracol.sty,108284
sources/translations/english_bilingual/indian/titlesec.sty,50473
sources/translations/english_bilingual/islamic/al-kashi-miftah-al-hisab_bilingual.tex,73644
sources/translations/english_bilingual/islamic/al-khwarizmi-al-jabr-wa-l-muqabala_bilingual.tex,103799
sources/translations/english_bilingual/islamic/al-khwarizmi-al-jabr_bilingual.tex,92386
sources/translations/english_bilingual/islamic/al-tusi-shakl-al-qatta_bilingual.tex,68666
sources/translations/english_bilingual/islamic/karpinski-robert-of-chester-latin-translation-1915_bilingual.tex,77438
sources/translations/english_bilingual/islamic/omar-khayyam-sinaat-al-jabr_bilingual.tex,39379
sources/translations/english_bilingual/islamic/paracol.sty,108284
sources/translations/english_bilingual/islamic/rosen-algebra-of-mohammed-ben-musa-1831_enhanced.tex,181984
sources/translations/english_bilingual/islamic/ruska-zur-aeltesten-arabischen-algebra_bilingual.tex,349798
sources/translations/english_bilingual/references/al-muqaddasi-ahsan-al-taqasim_bilingual.tex,44074
sources/translations/english_bilingual/references/ibn-al-nadim-kitab-al-fihrist_bilingual.tex,60232
sources/translations/english_bilingual/references/ibn-al-qifti-tarikh-al-hukama_bilingual.tex,53109
sources/translations/english_bilingual/references/said-al-andalusi-tabaqat-al-umam_bilingual.tex,45951
sources/translations/english_bilingual/references/smith-karpinski-hindu-arabic-numerals-1911_enhanced.tex,57888
