physical_page	printed_page	prompt_owner	authority_pdf_sha256	authority_replay_path	authority_replay_sha256	source_record_sha256	english_record_sha256	apparatus_record_sha256	direct_check	object_dispositions	result	action	note
11	282	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-11.png	E307AF9B4724B98627253F47B74BD9C6FD0211416225BC3C7E5D86C3F79EA92D	3172F32620440520F32CBA31D07AF358E896662EF57044BD1AE0147D362151C1	5A596A811883D1FE543EBA30369D1D2AFB513B60A826D187BAAB512EA091D35B	862BF8ECCDF251A335072C034C1CE3274A29DEE1C0FB0B3B89324E777DD92037	Definition of N for n even and ε cases; complete Theorem (2.8) duality chain; invariant/coinvariant formulas; opening j_*ℱ of (2.11).	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
12	283	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-12.png	8D6DD598CDF20C9F489E40ABB04E9B40D8A38B4D7181EA077638C11D247B5804	222B053156B333A136D551A54876EDAEF8123A269CD36FDFAC35E748571621A3	163DD0E2326B9C1A47DD802C3B9731DBCAA86E6E8D9A66D17A6D07E9A8AFC27E	B40B2952327F8C09490E4504BC99612655D2BFFDAA45AFE93C17A6C3FE724A33	Theorem (2.12) uses j_* throughout and ordinary H^2; SGA 4 XVIII (3.2.5), K=j_*ℱ; §3 heading and opening (3.1).	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
13	284	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-13.png	64E829AFA54FCA2D7073DD3EA76AD48CD4E43199BE707D60DB4BB61100F87240	C6F21C67C113703530B25E18F8E692F237F2225047E93DAD43A3BAB5BFA60896	D68E11BAE23C5318C476A0A5AF82B3BB41B05E1A4B3560925980A8087F10D826	1BDE4B2CBE7095E7BC488A3B97AB8558FA3132DD4F346E5E42AEFE5692283A70	Weight definition; Theorem (3.2); tensor power 2k; Lemmas (3.3)-(3.6); positivity, convergence, and infinity symbols.	8	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
14	285	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-14.png	DDE00E9567DA570C5E9C7707FF558B36C33300F2BDEBE72FC8FA45B328D7B2F3	29225DEB716D71A916A9A489DF9E996691B664B26E23A17FB4132AE1923A5C0C	EFE162E857160D20313C9BD90104AA4BA69D8D73E463CF0D07416B5409BCD564	0556C0F99857CED546D8FAF4E99DBCD2AF7B412EB47DC6420DE9996186161614	Symplectic coinvariants; H_c^2 and H_c^0; ordinary H^1 numerator; denominator q^(kβ+1); reciprocal exponent 2k/deg(x); two-sided weight bound.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
15	286	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-15.png	5D0569281FCF5C91EED22ED312A971A92B6CCBEC1FD32C865701364E88CC814F	68562232283F513F4A176B8CD70D2C026F7F1366AE9CEC1B65789A25AE0C7CEF	4192427FC1F7DEE585F77CDA805DA30A44D5C5D964DF60B29D9BA91203319812	895B78C6CE63DFB2D8E74C981CB41323B1B7DA5C107DF47D4543F40C5BB8C495	Corollaries (3.8)-(3.9); upper exponent +1/2; convergence threshold −β/2−1; exact sequence 0→j_!ℱ→j_*ℱ→j_*ℱ/j_!ℱ→0.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
16	287	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-16.png	D6004C2AF6C41A506B07843785D933F0A882A46775ED3AA06321BBB353423566	CDDD41FC068210806408DF53D4B1B53D346C56EB9C26C47C25BC43A6A306FD58	FF21135EC49C7390D2DA797719EBE66E704101969EAE9FB6C2EF0DF1557D3B09	06B67B67AE34F054D084D688BC0867C662355A6A9CB59D83B22A51256BCDE69E	Local Lefschetz exact sequence; map x↦(x,δ); sign table −,−,+,+; self-intersections 2,0,−2,0; Tδ=−δ,δ,−δ,δ.	8	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
17	288	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-17.png	2A40FD3F0F6085B73F2BC595F621B076943EE9F7D34DDF94AFF3996BFEC86AD1	43A05474AF823EEE82F0D702A4EC46648F9BC9EC9A4DD2F16A0B85A5EA9D15B6	04417DA650AB6A5471977D9A351684901B681BD1238BDEC0C24CD4B6C42FA8FA	30AD8BBFF6E238A16F45CE637E55A463B8212C4CF622F2689E4325FD0BEDA330	Algebraic local monodromy; I=Gal(η̄/η); δ∈H^n(X_(η̄),Q_ℓ)(m); x↦Tr(x∪δ); t_ℓ:I→Z_ℓ(1); inertia action.	9	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
18	289	P03	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P03/page-18.png	8DE2AAA65EF91AF918588066B5EDCD0CCF00C0597F7A9FB51C3EE5CEE798AEE4	7587A526D7A2E72167778BC580A891BB3EBAB650A9A59FD9D822DE8A1A9D3D76	FBE33ABC29973C2946D169C8681DB8A42BA8B01191631BB182A649956FC42C2C	7D2ED11CBA25A7EBBD7F97EB1F9433191CC2C39B3F56A65A73DEF45ECE84A2CC	Even case character ε:I→{±1}; ε(σ)=−1 branch; R^n and R^(n+1); dim(P)≥1; editable projection diagram X←_πX̃ and X̃→_fD.	8	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
19	290	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-19.png	54BEBD920B3829D72B8DF303A75945CF6C18EF39265B3AECCD89575E494CED0C	4B9B552CC69FDB1DCA07A9A0FEFB00C528195844CD3A87140A2622F7750FEC27	40181271955312D786B6E64C3562F42D3857FEAEB2B176381C3C6DD26FCC65D2	BCDDD8F12D21C4660FAA434D097687CC96056D5AEAE0F635018C1403D91674E4	Lefschetz-pencil hypotheses; hand-drawn loops figure preserved by raw/presentation asset pair; ordinary Q in H^n(X_u,Q); page transition ends at irré-.	8	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
20	291	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-20.png	0E6B3F3BA7555535D3682CB6415E05F9F890AEF9EC20733C5FEA2E121D617EB2	E01C3F1F3260C6DC608F79D26BEDBD36B5DF3820CEE982565D4203364AC2AC9C	3227692800007B3188ED51A911B8C8D04760F76C529EF17F84EAD4B6E3C8BE2C	E1AED75B11AD1AFF9E70B4C11B8828C43A575A47D281E03476AF560C880B63C8	Incidence diagram X←Y with g:Y→P̌; surjection of π₁; Corollary (5.5) strict noncontainment F⊄(E∩E^⊥)⊗C; dim(P)>1.	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
21	292	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-21.png	68B902086EB93FA4B270D041468ECD489B84F1F3898D2AC80DA5C3AB86658BE1	6AA0F1BDF17FA05E857A766A28904C4D790214A5A7FB0F7A6144E83B95BFAE1A	6C2E7BD95F7356EF47D4701067CFBA816EB585246CEB9F84B9CCF3E4ADBE8BBB	F18C33AD46DC849F8A8149A61A4B728F05E76B85E5A9F2A6AC7E4E121870F188	Veronese notation ι_(r), binom(N+r,N)−1, ι_r=ι_(r)∘ι₁; R^n f_* and R^i g_* distinguished; tame-monodromy statements.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
22	293	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-22.png	7A81A1ABD9B71D2C4BE9C1B766A5FF5FA530A5E2A39C4AD66AECEEF400BFBD88	08FB65A6F138586BF87F45DC7598F4AA7380909B98A6B9637785FCA821C2E5A0	940AFB29377EDC5DC5C66307448F2551CBD6886554B5622B3943E0C9E0E12CFA	6E8478A001DBC80CF6FF0C9F3860730C0937B1F0FBD41CFB303B763257E83EEA	Fraktur Lie algebra 𝔏; N_s:x↦(x,δ_s)δ_s; generator x↦ψ(x,δ)δ without ±; Lemma (5.11) opening.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
23	294	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-23.png	944B02419E133D1262941E6E972333F43AEA9D6CCD0260221A890341FC24206E	B37ACB64D18B668F974E36D0FB6DF9CCBBC2CC7F2AF200A02D2AAD00E41CF082	D0C8F413F0307D5071AD89277524427032BDA4A798D72BD4B14F231C21EDD9D5	5C0D49B37D8A2B705F80D19FDBD449B32DE38631C3CEA11197A187FB2D124E51	Completion of Lemma (5.11): W_α=V and 𝔏 contains all N(δ); H^(2i), c₁(O(1)); denominator ∏_(i=0)^n(1−q^i t); §6 opening.	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
24	295	P04	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P04/page-24.png	05539A0B71D1C40FB0A7744DF3081172AFF4CF6F3DF55C991C54178D24424EFD	8289E00AA1ED67B12E07F28DACE97D8A82E0C1218EFC2E31C4F6A6879F751C5B	755E66D3E93FAFAC6F7984800BAC839A2B2AE811190FDC01433E63904E78D3C1	6ACF9EBD87CE885F430A2090F9F2C71C09C197D91793171C6601B508BFC00B11	Diagram (6.1.1): π_0:X̃_0→X_0 and f_0:X̃_0→D_0; F_q-defined subsystem; perfect alternating pairing; Corollary (6.3) bounds.	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
25	296	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-25.png	D77C3DC8D17B0981807609A42D05BF3CDFEB2C42FB7217452ECB1DC4886E6867	5413FF9C0340B5E8F3EFA1CF0E7B96914B10AB1DEC25C572B7BD36A30904CA65	3DE8C0DE4A08AA848844484DD6A312D516E619FC9B5955455668F8602132F37F	B50420D659A59B910F743001CD5E66B2F412662115E3379C09B452B035F68B4A	Completion of Lemma (6.4); exact Z^f/Z^m factorization; 𝓕_0=𝓔_0/(𝓔_0∩𝓔_0^⊥); determinant placement in the Z formula and (6.6.1).	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
26	297	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-26.png	C69DEAAEA9257C3E3CC8E93B99FDBDE4E6885F86A66C2F575086783B58AF4D49	ECE5CE23B0C3787F1AB5A9FE9A6136BF4D28A212B455AC2231B20F195B0C138A	8C4A1FD97A75F9902C29B2208AB357848BA8C7D15B141D127DD57407E71D9711	0A83F0E09F5438EB47947EC705C68E919A27F1715FCA2077EFB0279356C51CFB	Lemma (6.7); Proposition (6.8) literally prints “unités p-adiques dans Q̄_ℓ”; ppcm characterization; Q-valued field of definition; Ẑ in (6.10).	7	PASS	ENGLISH_AND_APPARATUS_REPLACED_TO_RETAIN_LITERAL_P_ADIC_WORDING; SOURCE_UNCHANGED	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
27	298	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-27.png	A12CC329D9E131D9EFF9C8797228852DCF85B548D6FE0F6DB7CC136850F42356	309C369E683E4751AC124C00D9409713B487FBA69E73628D6F190308D1D12AA6	9521BCD01EC49092C17139F75EC7E6915824DAA1C2E8EF650297C28DB7E6628A	05EEDA9F5985F942E18E319717586D4DC061704630903A79D50034EFF383404D	H⊂Ẑ×CSp(𝓕_u,ψ), q^(−n)=μ(g), q^n∈Q_ℓ^*, n∈Ẑ; Lemmas (6.11)-(6.12); δ_j^deg(x); Lemma (7.1) bounds ±1/2.	7	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
28	299	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-28.png	A548F727163C8F8287D718A1DA712456E5DF73CFA2E2D4CC552D5F1748632F31	C66FD7F9C32FCB931E1611230B66CFF444A554BCEECD285D1905A4C8EA825EB7	3A33DA65A8BF8F8CA93D57966D90CCE57903CD3F626E9BF406192D434A5CB875	4C6694265581E2D4D822BDF2B030CD809DDAF5734F47863EFFEA94CD855175BD	Scalar-extension reduction; assumptions a)-d); blow-up injection and direct-sum decomposition; Leray E_2^(p,q); cases E_2^(2,n−1) and E_2^(0,n+1).	5	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
29	300	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-29.png	9DE872D2AEF03465320506743FE96E28ADBAF9717697EF4A6CA791ED09D229F1	8C20C22A80E869394723A747302346C9F8149C5B4116213AD7897088CCD2176D	68A73203A15D4E7FC29F86057799650EB4B8F9FF85F72639FD9AC7C4D29B584A	3C1EFABE3DE881F91DEE9048E2C9A85D24864335CE9C184C30EEF6B83ED082AD	Case C is E_2^(1,n); filtration by j_*𝓔 and j_*(𝓔∩𝓔^⊥); exact sequences (7.1.2)-(7.1.5) and primed consequences; Lemma (7.2).	5	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
30	301	P05	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P05/page-30.png	F9061C057415E32509BF657A4D8D37A32FA16B1054E8100D08C1EF8349E4AA10	BFD9AE1C714BAC91B52CE6768A616E7C5DEC66A5FE54C26D6458C45BF5BEF05D	9C0890B76089CFC1A1CFB9081F3A1437A3C91B6F0E229C6E5CA27E8CF5B20EF7	B3414ABC3FA738D2B31A5179D73A347495B4352B712DBDEE8E51C762CC36CDA2	Reduction (7.2)⇒(1.7); Künneth bounds ±1/2 and ±1/(2k); §8 heading; Theorem (8.1) and opening primitive-cohomology decomposition.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
