lexeme_id,language,branch,script,source_form,normalized_form,source_document,source_location,witness_category,witness_weight,source_use,notes
PTR-PRF-0007,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched کلیہ/formula; OCR noisy,gap-searched,0,gap,Urdu formula term needs better source.
PTR-PRF-0008,fa_IR,Iranic,Arabic-Persian,رابطه,relation / رابطه,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,"lines 863, 866",OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Proof grammar relation.
PTR-PRF-0008,prs_AF,Iranic,Arabic-Dari,رابطه,relation / رابطه,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 65-75 and 3650-3656,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Replaced stale Pashto-cited row with independent Kabul University Dari/Persian C2 witness. Dari discrete-math relation context.
PTR-PRF-0008,tg_Cyrl_TJ,Iranic,Cyrillic,[gap/tentative робита],[gap],tg_Cyrl_TJ/tg_cyrl_tnu_2017_conference_mater2017.pdftotext.txt,"line 65 is general робита, not term-verified",tentative-non-row-note,0.1,source-discovery-not-promoted,Not enough for term row.
PTR-PRF-0008,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched relation,gap-searched,0,gap,No reliable Urdu row.
PTR-LIN-0009,fa_IR,Iranic,Arabic-Persian,دترمینان,determinant / دترمینان,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,"lines 1302, 1505, 2144",OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Linear algebra support term.
PTR-LIN-0009,prs_AF,Iranic,Arabic-Dari,[gap],[gap],prs_AF source package,searched determinant/دترمینان/تعیین کننده,gap-searched,0,gap,No reliable Dari determinant witness in current package.
PTR-LIN-0009,tg_Cyrl_TJ,Iranic,Cyrillic,муайянкунанда,determinant / муайянкунанда,tg_Cyrl_TJ/tg_cyrl_zarowadk_choriev_olimov_ktm_algebra_number_theory_2017.pdftotext.txt,"lines 206-210, 2774",OCR-located-in-native-PDF,0.6,source-discovery-witness-not-promoted,Tajik source-discovery only.
PTR-LIN-0009,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched determinant,gap-searched,0,gap,No reliable Urdu determinant witness.
PTR-INV-0010,fa_IR,Iranic,Arabic-Persian,ناوردا,invariant / ناوردا,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 1598,OCR-located-in-native-PDF,0.5,thin-source-witness-pdf-with-ocr-locator,"Occurs in dynamical-system invariant-set context, not Noether invariant-theory source."
PTR-INV-0010,prs_AF,Iranic,Arabic-Dari,[gap],[gap],prs_AF source package,searched invariant/ناوردا,gap-searched,0,gap,No Dari witness.
PTR-INV-0010,tg_Cyrl_TJ,Iranic,Cyrillic,инвариант,invariant / инвариант,tg_Cyrl_TJ/tg_cyrl_linear_algebra_wikipedia.raw.txt,line 4,raw-web-text-source-discovery,0.3,source-discovery-not-promoted,Raw wikitext discovery; not promoted Tajik row.
PTR-INV-0010,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched invariant,gap-searched,0,gap,No Urdu invariant witness.
