"control_id","revision","status","role","locator","bytes","sha256","scope","method","disposition"
"N04-S09-CTRL-011","1","active","comparison_slice","inherited English lines 1294-1315","6275","20AB4998B379103BC0F9E255D393DE77ADB0DF7F8FA1741E018EADF2206428BD","22 lines","UTF-8 CRLF bounded slice with trailing CRLF","comparison fingerprint only"
"N04-S09-CTRL-012","3","active","target_tex","Noether_Paper04_Section09_English_R823_SourceAudited.tex","8499","2D035DC4571AA2220920AF814AE16E9126E815E95E260A87B5C067C7DA348518","complete section 9","whole-file SHA-256","editable English target with print labels and twelve-defect disclosure"
"N04-S09-CTRL-013","3","active","target_pdf","Noether_Paper04_Section09_English_R823_SourceAudited.pdf","269106","33DDE37F1F33CD7ADB8D1857C4B0EA05007180B4E47FA58F3C9A9C03561EB4F8","two A4 pages","whole-file SHA-256","locked reader with print labels 1-parenthesis through 3-parenthesis"
"N04-S09-CTRL-014","3","active","target_text","evidence/Noether_Paper04_Section09_English_R823_SourceAudited_extracted.txt","7908","3A649C0A7CB4B822A5DCA364C8270F28B622DB6A2EB71A316B13F43A13B8A018","two-page layout extraction","layout-preserving extraction","search completeness and isolated-build identity control"
"N04-S09-CTRL-015","3","active","build_receipt","evidence/build/BUILD_PASS1_RECEIPT.json","433","7827DC5669487D0BCD69F538BE9CFF52F56FE725BDD8BAF5F32F6A3C99E63A80","isolated packaged target","public receipt for pdfLaTeX pass 1","expected fresh-tree rerun request only; raw log excluded"
"N04-S09-CTRL-016","3","active","build_receipt","evidence/build/BUILD_PASS2_RECEIPT.json","413","386A580621CFE65DD2714749BDD31C15764F2B8A941E83A80ABC5AD1C8A39709","isolated packaged target","public receipt for pdfLaTeX pass 2","warning-free stable build; raw log excluded"
"N04-S09-CTRL-017","3","active","build_receipt","evidence/build/BUILD_PASS3_RECEIPT.json","448","D82E277B29A28DBCF5996DBC88D8C5DD212BF553DDB2FB59106E238974FB8D43","isolated packaged target","public receipt for pdfLaTeX pass 3","warning-free and byte-identical to pass 2; raw log excluded"
"N04-S09-CTRL-018","3","active","target_render","evidence/rendered_pdf/page-1.png","620828","6DC8E111C22AC15F5233983F3A29F724B66E982BFCE043C7C893A46BAE8935D4","target page 1","fresh 200 dpi render","original-resolution visual QA including labels and note call"
"N04-S09-CTRL-019","3","active","target_render","evidence/rendered_pdf/page-2.png","465252","7F49F29DA0853E54E19EF521D1C43A3EE83A8F3381E970152763BF4DDFB8A635","target page 2","fresh 200 dpi render","original-resolution visual QA including note call"
"N04-S09-CTRL-020","3","active","target_render_overview","evidence/rendered_pdf/contact_sheet.png","548973","7B5C8A84DCB77F2ED8F6CF3FC8CD6DD3A88ED075747D3986F3DA95997F09BBDD","two-page target","contact-sheet control","overview visual QA pass"
"N04-S09-CTRL-021","3","active","source_defect_receipt","external_source_defect_receipt:section09_twelve_defects","2992","BEDF1E7C8680A9631FF05C13B2B3B6CF52EC1BF382D6DB7B0F9ACB25681E12CD","R823 lines 4478-4494","hash-and-scope custody receipt; body excluded","source-owning lane notified separately; German authority unchanged"
"N04-S09-CTRL-022","4","active","validator_script","tools/validate_public_checkpoint.py","20874","1A3396A4626D88023D94B788DE6C7E1F8121A818780E689465694A40C50CC320","bounded public exact set","whole-file SHA-256","portable public package validator"
"N04-S09-CTRL-023","3","active","validation_report","machine/MACHINE_VALIDATION_RECEIPT.json","1553","464B69E48DC7B2F3C5BB78DDD6B270500858067BF0DE3BBFF836C091C2CAB0F1","public exact-set gate","whole-file SHA-256","current public machine validation receipt"
"N04-S09-CTRL-024","1","active","independent_review_receipt","external_review_receipt:bounded_post_repair_source_audit","4944","32B6526A93AB9E4CE050E3EEEE554754C688113CCD713480E2CAA153A153FFBC","R823 lines 4477-4498 and final target artifacts","hash-and-scope receipt; body excluded","distinct operational review PASS; not human peer review"
