"witness_id","language","grade","status","topic_cluster","treated_terms_supported","source_title","authors_or_origin","publication_or_repository","local_evidence_type","local_path_or_package","local_sha256","local_bytes","live_url","source_url","license_signal","version_or_date","notes","gaps_or_limits","native_review_status","canonical_approval_status"
"ES-B-001","Spanish","B","repository_source_witness","algebra_number_theory","ring; field; ideal; prime ideal; maximal ideal; finite generation","cimat-tna","Alexey Beshenov","GitHub TeX repository","ZIP source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_cimat-tna_aacf7b6d3d53.zip","9693a241d02233ebd961b121c35fcf031ca59bc823f780c52efedbfc2ef1897a","20456407","https://github.com/alexey-beshenov/cimat-tna","https://github.com/alexey-beshenov/cimat-tna/archive/refs/heads/master.zip","CC BY-SA 4.0 stated in README","2020 course","Strong Spanish TeX repository witness for ideals and algebra register","Number-theory course; not invariant theory","not_native_reviewed","not_approved"
"ES-B-002","Spanish","B","repository_source_witness","commutative_algebra","commutative algebra; localization; maximal ideal; Hilbert basis theorem","notas-san-salvador","Alexey Beshenov","GitHub TeX repository","ZIP source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_notas-san-salvador_1af5935f72a3.zip","cb36231487863bc0af7225259dfb27f0951b583776427743cfc70b380c790629","882100","https://github.com/alexey-beshenov/notas-san-salvador","https://github.com/alexey-beshenov/notas-san-salvador/archive/refs/heads/master.zip","GitHub public TeX repository; GitHub API repo.license null and license endpoint 404 on 2026-07-04; local archive contains README.md but no LICENSE/COPYING match; README has no license grant; no license-clearance claim","2016-2019 notes","Local TeX line found for El teorema de la base de Hilbert in algebra-2018","License gap explicitly verified via GitHub API and local archive scan; use as source witness only, not rights-clear publication proof","not_native_reviewed","not_approved"
"ES-B-003","Spanish","B","repository_source_witness","commutative_algebra","commutative algebra; localization; Hilbert basis theorem; ideal; maximal ideal","apuntes-uam-infomat/apuntes","UAM student notes contributors","GitHub TeX repository","ZIP source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github\apuntes-uam-infomat_apuntes_c67591e4e78a.zip","2c908f3635e6bde6f4e1ff0d245487fabac1992e226dd1dca0f73d8a8bda3755","44749099","https://github.com/apuntes-uam-infomat/apuntes","https://github.com/apuntes-uam-infomat/apuntes/archive/refs/heads/master.zip","CC-BY-NC-SA stated in README","checked 2026-07-04","Spanish TeX repository witness for commutative algebra rows","Student notes; not canonical approval","not_native_reviewed","not_approved"
"ES-A-004","Spanish","A","current_arxiv_source_witness","monoids_tensor","producto tensorial; module; commutative ring; ideal; maximal ideal","La geometria de los monoides","J. Rogelio Perez-Buendia; Ernesto Antonio Reyes-Ramirez","arXiv","current TeX source package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\arxiv_2209.02110v2.source","9b8421c86cbec96648b87d85d259d88977edc6c09f1c0867e1ff8d3455d82f62","50903","https://arxiv.org/abs/2209.02110","https://arxiv.org/e-print/2209.02110v2","Creative Commons license link present on arXiv page","v2 revised 2026-07-01","Current v2 supersedes stale local v1 source; source was downloaded into lane outputs","Target-language tensor witness exists but Noether tensor row remains blocked for missing German anchor","not_native_reviewed","not_approved"
"ES-A-005","Spanish","A","source_witness","d_modules_representation","module; localization; representation; semisimple Lie algebra; producto tensorial","Introduccion a los D-modulos","Juan Camilo Arias; Camilo Rengifo","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\spanish\2307.03598v1.source","9aefde893f1424c61c09711a1dae84ff51a1ef560870a7035a0236daaf79ddcc","26550","https://arxiv.org/abs/2307.03598","https://arxiv.org/e-print/2307.03598v1","Creative Commons license link present on arXiv page","v1 2023-07-07","Spanish TeX witness for module/localization/representation register","Semisimple remains adjacent and review-sensitive","not_native_reviewed","not_approved"
"ES-A-006","Spanish","A","source_witness","representation_categorical","representation theory; categorical algebra","El Teorema de Gelfand Naimark desde una perspectiva Categorica","arXiv authors per page","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\spanish\2409.15681v1.source","ae846b4c02d252a214036d1427daf39daa5409e2b6b80729e46bcbfbb2dbc7de","23843","https://arxiv.org/abs/2409.15681","https://arxiv.org/e-print/2409.15681v1","CC BY 4.0 via live Creative Commons license flow","v1 2024-09-23","Modern Spanish representation/categorical register witness","Adjacent source only","not_native_reviewed","not_approved"
"ES-A-007","Spanish","A","source_witness","hilbert_problem_fields","Hilbert; field; number theory","Superficies elipticas y el decimo problema de Hilbert","Hector Pasten","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\spanish\2207.10005v1.source","7ca8189fb234d8a65cfbc7dd1577bea7098e948cc96a9177e070d8e3d852b452","6435","https://arxiv.org/abs/2207.10005","https://arxiv.org/e-print/2207.10005v1","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2207.10005; arXiv API license field blank; no license-clearance claim","v1 2022-07-20","Spanish Hilbert-register and field/number-theory source","Not Hilbert-basis theorem","not_native_reviewed","not_approved"
"ES-C-008","Spanish","C","pdf_text_witness","invariant_theory","invariant theory; invariant ring; Noether bound; Molien formula; producto tensorial; Hilbert basis","Teoria de invariantes de grupos finitos","Universidad de Valladolid source package","University thesis/course PDF","PDF plus extracted text","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_uva_invariant_groups_finite.pdf","2adfb7881c0296e9802839ef9e53879376be50b324b9767ab2cee08f9af71fd4","549416","https://uvadoc.uva.es/handle/10324/71007","https://uvadoc.uva.es/bitstream/handle/10324/71007/TFG-G6811.pdf?sequence=1&isAllowed=y","UVaDOC metadata: openAccess; CC BY-NC-ND 4.0 rights URI; PDF fallback HTTP 200; no license-clearance claim","2023-2024","Strong Spanish invariant-theory PDF/text witness","PDF/text fallback; URL and access/license signal refreshed; no TeX/source archive verified","not_native_reviewed","not_approved"
"ES-C-009","Spanish","C","pdf_text_witness","geometric_invariant_theory_semisimple","geometric invariant theory; semisimple; completely reducible; representation","Introduccion a la Teoria Geometrica de Invariantes","Javier Nicolas Gargiulo Acea","Universidad de Buenos Aires thesis","PDF plus extracted text","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_uba_gargiulo_geometric_invariant_theory.pdf","349c3c8d132930ba80adebc7ff86a3f2baea75c8ce00ad0352290be226312eeb","1107643","https://web.dm.uba.ar/index.php/509-tesis-de-licenciatura","https://web.dm.uba.ar/files/tesis_lic/2012/gargiulo_javier.pdf","UBA thesis page and direct PDF verified; department page says PDF publication requires completed author authorization form; page footer states Copyright Universidad de Buenos Aires 2026; no license-clearance claim","2012","Spanish GIT semisimple/complete-reducibility bridge witness","PDF/text fallback; semisimple bridge remains review-sensitive; UBA publication authorization/access boundary recorded; no TeX/source archive verified","not_native_reviewed","not_approved"
"ES-C-010","Spanish","C","pdf_witness","invariant_theory_hilbert_gordan","Hilbert; Gordan; invariants","Dialnet Hilbert/Gordan invariant-theory hard-term PDF","Dialnet/local source package","Dialnet/local captured PDF","PDF","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\spanish\es_dialnet_hilbert_gordan_invariants.pdf","a4cc2e9ee6739429a1efcc9562892586d374701d68b1df8ee273645b21d47727","126109","https://dialnet.unirioja.es/descarga/articulo/8832426.pdf","https://dialnet.unirioja.es/descarga/articulo/8832426.pdf","Dialnet article page and direct PDF verified; legal notice states free access and private/research/educational use, prohibits unauthorized commercial use and mass automated download, and reserves IP rights; no license-clearance claim","local capture pre-2026-07-04","Spanish invariant/Hilbert-Gordan register witness","PDF fallback; bibliographic metadata and Dialnet access/legal terms recorded; no TeX/source archive verified","not_native_reviewed","not_approved"
"FR-GAP-001","French","GAP","gap_narrowed","hilbert_basis","base de Hilbert","French exact Hilbert-basis shorthand gap","Romance lane","local search result","not applicable","","","0","","","not applicable","2026-07-04","Mourougane PDF/text supports theorem-level Theoreme de la base de Hilbert","Validated French TeX exact shorthand remains weak; pending review","not_native_reviewed","not_approved"
"FR-GAP-002","French","GAP","corpus_blocker_retained","tensor_product","produit tensoriel","French tensor corpus anchor gap","Romance lane","local and German source search","not applicable","","","0","","","not applicable","2026-07-04","French target-language source witnesses exist in TeX packages","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","not_native_reviewed","not_approved"
"ES-GAP-001","Spanish","GAP","corpus_blocker_retained","tensor_product","producto tensorial","Spanish tensor corpus anchor gap","Romance lane","local and German source search","not applicable","","","0","","","not applicable","2026-07-04","Spanish target-language witnesses exist in current arXiv 2209.02110v2 and UVA PDF","No usable German Noether Tensorprodukt prose anchor; noisy otimes hits insufficient","not_native_reviewed","not_approved"
"ES-GAP-002","Spanish","GAP","manual_review_retained","semisimple","semisimple; completamente reducible","Spanish semisimple bridge manual-review gap","Romance lane","local source comparison","not applicable","","","0","","","not applicable","2026-07-04","Spanish semisimple source witnesses exist in GIT/Lie contexts","Direct Noether prose should keep completamente reducible for vollstandig reduzibel; semisimple remains review-sensitive","not_native_reviewed","not_approved"
"ES-GAP-003","Spanish","GAP","provenance_gap","pdf_sources","UVA; UBA; Dialnet fallback PDFs","Spanish PDF live URL/license gap","Romance lane","local source comparison","not applicable","","","0","","","not applicable","2026-07-04","Superseded by 2026-07-04 access/URL refresh: ES-C-008, ES-C-009, and ES-C-010 now have live/source URLs and explicit access/license signals, but TeX/source and license-clearance gaps remain.","Original live URL/license gap narrowed; residual gaps retained on ES-C-008/009/010 rows","not_native_reviewed","not_approved"
"ES-GAP-004","Spanish","GAP","license_gap","repository_source","notas-san-salvador","Spanish repository license gap","Romance lane","license/provenance check","live GitHub page check","","","0","https://github.com/alexey-beshenov/notas-san-salvador","","GitHub API repo.license null and license endpoint 404 for alexey-beshenov/notas-san-salvador; local archive scan found README.md but no LICENSE/COPYING file; no license-clearance claim","2026-07-04","Repository license gap deepened by GitHub API and local archive scan; keep as explicit gap while ES-B-002 remains source-witness-only.","Repository has public TeX source but no detected explicit license; retain B3/source-canon review gap before any reuse beyond provenance","not_native_reviewed","not_approved"
