"prior","current","status","path","classification","r3_consumption"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_PACKET_SUMMARY_COUNTS.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/README.md","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/SHA256SUMS.txt","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_AUDIT.md","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_COMMIT_PAYLOAD_AUDIT.csv","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_MANIFEST.csv","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_PLACEHOLDER_REVIEW.csv","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_ROOT_SUMMARY.csv","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_SHA256SUMS.txt","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_7108987C_R3_8B525A12_SOURCE_USE_GAP_AUDIT_20260706_VALIDATION.csv","b3_transfer_audit","B3/package context only; not consumed as Arabic/Persianate source authority"
