physical_page	article_page	printed_page	comparator_physical_page	page_class	disposition	prompt_id	anchor
24	23	125	23	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	article continuation, printed 125
25	24	126	24	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	printed 126: Chapter 5, Characters of tori
26	25	127	25	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	article continuation, printed 127
27	26	128	26	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	article continuation, printed 128
28	27	129	27	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	article continuation, printed 129
29	28	130	28	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	article continuation, printed 130
30	29	131	29	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P05	article continuation, printed 131
31	30	132	30	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	article continuation, printed 132
32	31	133	31	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	article continuation, printed 133
33	32	134	32	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	article continuation, printed 134
34	33	135	33	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	printed 135: Chapter 6, Intertwining numbers
35	34	136	34	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	article continuation, printed 136
36	35	137	35	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P06	article continuation, printed 137
37	36	138	36	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	article continuation, printed 138
38	37	139	37	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	article continuation, printed 139
39	38	140	38	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	printed 140: Chapter 7, Computations on semisimple elements
40	39	141	39	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	article continuation, printed 141
41	40	142	40	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	article continuation, printed 142
42	41	143	41	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P07	article continuation, printed 143
43	42	144	42	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	article continuation, printed 144
44	43	145	43	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	article continuation, printed 145
45	44	146	44	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	printed 146: Chapter 8, Induced and cuspidal representations
46	45	147	45	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	printed 147: Chapter 9, A vanishing theorem
47	46	148	46	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	article continuation, printed 148
48	47	149	47	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P08	article continuation, printed 149
49	48	150	48	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	article continuation, printed 150
50	49	151	49	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	article continuation, printed 151
51	50	152	50	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	printed 152: ends mid-Remark 9.15.2; Part 1 bibliography/EOF is false
52	51	153	51	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	printed 153: direct continuation; Theorem 9.16; Lemma 9.17
53	52	154	52	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	printed 154: Proposition 9.18; Corollary 9.19; Lemma 9.20; Chapter 10 opens
54	53	155	53	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P09	article continuation, printed 155
55	54	156	54	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	article continuation, printed 156
56	55	157	55	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	article continuation, printed 157
57	56	158	56	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	article continuation, printed 158
58	57	159	57	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	article continuation, printed 159
59	58	160	58	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	printed 160: Chapter 11, Suzuki and Ree groups
60	59	161	59	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P10	printed 161: Chapter 11 end; Added in Proof; addresses; References [1]-[15]; received date; true EOF
