"apparatus_id","paper","source_page_or_locus","classification","source_reading","controlled_reading","german_diplomatic_ruling","translation_editorial_ruling","status","authority","evidence","reported_by","adjudicated_by","notes"
"N04-S08-SRCDEF-003","P04","printed p150, Section 8 first sequence in the dual construction after equation (69)","substantive R823 mathematical sign/range transcription defect","T^{rho+1},...,T^{rho+lambda-1}","R823 had T^{rho-1},...,T^{rho-lambda+1}","Repair the editable German first dual sequence to the source's ascending exponents; retain the separate following descending sequence unchanged.","Dependent translations must preserve the ascending first sequence and not regularize both sequences into the same direction.","resolved_r823_transcription_defect_body_repaired","Original Crelle p150","Full page SHA256 75D42A82969071ACF412F4B7503936B30251B1B8A8A2E53FA175990744B3BD88; crop SHA256 D9F7BA3723EF31D35BF158B417AE4FDEAD1EF7F657E705891C78D4482ED7DC17; alert SHA256 6BEAE2793DEA5AA477D3E3F74DB108D386C2C9483BE228269A0F83BC9534FD09","English/Germanic manager delegation","LocalCodex 2026-07-19 independent visual check","Mathematical source repair; the opposite direction of the neighboring sequence is source-real."
"N04-S08-SRCDEF-004","P04","printed p148, Section 8 prose before equation (66)","R823 lexical/grammatical case transcription defect","mit den beiden Reihen","R823 had mit der beiden Reihen","Repair the editable German body to the source's dative plural phrase mit den beiden Reihen.","Translations already conveying with the two rows need no wording churn; retain the source-defect record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle p148","Full page SHA256 25F1B9D53323BEF5B7B417DAFA3634ED12F83941A31629010A1DAB0090D91C81; crop SHA256 B225CFD1AE00A3D204A04342FAC314A6546CF553306E430333DAED266807718A; alert SHA256 440FB6092695D0BE79088C7BD18BB76348BD45CD6B45EC8577E8A5F99D2A5B01","English/Germanic manager delegation","LocalCodex 2026-07-19 independent visual check","Exact grammatical repair; no formula change at this locus."
"N04-S08-SRCDEF-005","P04","printed p150, Section 8 vanishing relation after equation (69)","substantive R823 mathematical-index transcription defect","q''_{n-rho-1}","R823-derived body had q''_{n-lambda-1}","Repair the editable German body to q''_{n-rho-1}.","Dependent translations must use the source rho index and retain this source-defect record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle p150","Source page SHA256 9B9FE7BB7CEC674F887EF812CFB8A74461308441498C3BBBBD2C481DD597A773; focused crop SHA256 8FCC3EBBFF86E2142CF4D8C8E14766F03178D334AF9EF7574B0889247A329559; Web correction P04-150-02","Web Pro Paper 4 p144-154 independent source audit","LocalCodex 2026-07-19 independent source/render check","Mathematical source repair. The neighboring q-prime subscript lambda-1 remains source-correct and was not changed."
"SE-20260719-TAIL-KAPFERER-001","tail/Kapferer","collected p767, equation (3)","probable original-print mathematical recurrence-index error","first two rows end x K_1 and x K_2; general row ends x K_(r+1)","recurrence and following prose imply first two rows should end x K_2 and x K_3","Preserve the printed K_1/K_2 in the German body; do not silently emend.","A reader translation may print K_2/K_3 only with an explicit original-print note.","resolved_source_error_candidate_documented_body_preserved","IA-derived collected-volume page 767","tail-57.png; collected_p767_eq3_650dpi_2x.png","LocalCodex independent complete-page audit","LocalCodex 2026-07-19","Existing logbook already noted the literal source reading but had not given it a dedicated source-error apparatus row."
"SE-20260719-TAIL-KAPFERER-002","tail/Kapferer","collected p771, second identity in proof of (5)","probable original-print mathematical subscript omission","(f(0,y):y^(g_i))g_i","indexed recurrence context implies (f_i(0,y):y^(g_i))g_i","Preserve source-literal f(0,y) in the German body; do not silently add i.","A reader translation may restore f_i only with an explicit original-print note.","resolved_source_error_candidate_documented_body_preserved","IA-derived collected-volume page 771","tail-61.png; collected_p771_f_i_identity_650dpi_2x.png","LocalCodex independent complete-page audit","LocalCodex 2026-07-19","The print is unambiguous at enlarged scale; classification remains probable because f could conceivably be local shorthand."
"SE-20260719-TAIL-SCHUR-001","tail/Schur","collected p747, Schur determinant formula","probable original-print mathematical denominator error","alpha_ij^(k)n = delta_ik delta_kj / delta_ik","the determinant equation immediately above structurally controls denominator delta_ij","Preserve source-literal delta_ik in the German body; do not silently emend.","A reader edition may use delta_ij only with an explicit original-print note.","resolved_source_error_candidate_documented_body_preserved","IA-derived collected-volume page 747","02_source/tail_p747_764/dense_crops_1300dpi/p747_determinant_formula_1300dpi.png","LocalCodex independent complete-page audit","LocalCodex 2026-07-19","The source is unambiguous at 1300 dpi; the classification is probable because the surrounding determinant identity determines the expected denominator."
"SE-20260719-TAIL-SCHUR-002","tail/Schur","collected p748, homomorphism chain","probable original-print mathematical superscript omission","second alpha_ij in the chain has no superscript (k)","corresponding first and final alpha occurrences carry superscript (k)","Preserve the source-literal missing superscript in the German body; do not silently emend.","A reader edition may restore superscript (k) only with an explicit original-print note.","resolved_source_error_candidate_documented_body_preserved","IA-derived collected-volume page 748","02_source/tail_p747_764/dense_crops_1300dpi/p748_homomorphy_formula_1300dpi.png","LocalCodex independent complete-page audit","LocalCodex 2026-07-19","The omission is exact in the print and survives the diplomatic body."
"P04F-144-01","P04","printed p144; p144 source strip 2 / formula (54)","R823/current-head mathematical or symbol transcription defect","Restored the source double-line glyph \rho\leqq n.","Formula (54) used \rho\le n.","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p144 source strip 2 / formula (54)","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-144-02","P04","printed p144; p144 source strip 3; exact sentence after (56.)","R823/current-head mathematical or symbol transcription defect","Restored source p_sigma and xi^(1),...,xi^(sigma) for the individual rows being substituted.","Procedure sentence incorrectly kept the terminal p_rho / xi^(rho) family.","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p144 source strip 3; exact sentence after (56.)","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-145-01","P04","printed p145; p145 source strip 1, opening continuation","R823/current-head mathematical or symbol transcription defect","Restored source rho \geqq sigma.","rho >= sigma used a single-line greater-or-equal glyph.","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p145 source strip 1, opening continuation","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-147-01","P04","printed p147; p147 source strip 1 / formula (62.)","R823/current-head mathematical or symbol transcription defect","Restored \sigma_1\geqq\sigma_2 and \tau_1\geqq\tau_2.","Both bounds in (62.) used \ge.","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p147 source strip 1 / formula (62.)","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-148-01","P04","printed p148; p148 source strips 1-2, relation chain after (65.)","R823/current-head omitted prose or punctuation defect","Restored the printed connective “wo” before y~q... .","The first relation jumped directly from the epsilon term to y~q... .","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p148 source strips 1-2, relation chain after (65.)","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-149-01","P04","printed p149; p149 source strips 1-2","R823/current-head omitted prose or punctuation defect","Restored source “wo” before R_lambda~q... .","The first dual relation lacked the printed connective before R_lambda~q... .","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p149 source strips 1-2","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-150-01","P04","printed p150; p150 source strip 3","R823/current-head omitted prose or punctuation defect","Restored source “wo” before R_lambda~q... .","The equivalence display lacked the printed connective before R_lambda~q... .","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p150 source strip 3","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"P04F-152-01","P04","printed p152; p152 source strip 3, item 1)","R823/current-head mathematical or symbol transcription defect","Restored source beta_rho \geqq alpha_rho.","The higher-form definition used beta_rho >= alpha_rho with a single-line glyph.","Repair the editable German body to the original-print reading.","Dependent translations must preserve the corrected distinction and retain this source-defect record for rebases.","resolved_transcription_defect_body_repaired","Original Crelle source pages, 600-dpi full-page images","P04 deep-followup confirmed-fix ledger; p152 source strip 3, item 1)","Web Pro deep-math follow-up","LocalCodex 2026-07-19 independent source/diff/render check","Merged by localized diff; exact bounded extract survives the current head."
"N04-S09-SRCDEF-001","P04","p152 line 4478","R823 print-formatting or note-apparatus transcription defect","emphasis on Formenreihe, invarianten, and in der Anordnung nach hoeheren Formen","emphasis omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-002","P04","p152 line 4480","R823 print-formatting or note-apparatus transcription defect","emphasis on hoehere Form","emphasis omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-003","P04","p152 line 4483","R823 print-formatting or note-apparatus transcription defect","emphasis on weniger","emphasis omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-004","P04","p152 line 4483","R823 print-formatting or note-apparatus transcription defect","Danach wird z. B.:","colon omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-005","P04","p153 line 4490","R823 print-formatting or note-apparatus transcription defect","emphasis on reduzibel and Reduzent","emphasis omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-006","P04","p153 line 4492","R823 print-formatting or note-apparatus transcription defect","complete Satz IX statement emphasized","only Satz IX label emphasized","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-007","P04","p154 note","R823 print-formatting or note-apparatus transcription defect","Study emphasized","emphasis omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-008","P04","p154 note","R823 print-formatting or note-apparatus transcription defect","Study, a. a. O., II.","comma after O. omitted","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-009","P04","p154 note","R823 print-formatting or note-apparatus transcription defect","page-local note identity *)","generic footnote identity","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-010","P04","p152 line 4482","R823 print-formatting or note-apparatus transcription defect","**) note call before semicolon","note call moved after semicolon","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-011","P04","p154 line 4494","R823 print-formatting or note-apparatus transcription defect","*) note call before period","note call moved after period","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
"N04-S09-SRCDEF-012","P04","p152 criteria","R823 print-formatting or note-apparatus transcription defect","criteria labels 1), 2), 3)","uncustomized labels 1., 2., 3.","Restore the original-print formatting/apparatus in the editable German body.","Preserve semantic emphasis and note identity where the target format permits; retain the adverse record for rebases.","resolved_r823_transcription_defect_body_repaired","Original Crelle pp152-154; manager alert BEDF1E7C...; Web deep-followup source pages","20260719_Noether_Paper04_section09_R823_print_formatting_and_note_identity_defects_CODEX_ALERT.md; Web P04 deep-followup page audit and source/output renders","English/Germanic manager; custody accepted by LocalCodex","LocalCodex 2026-07-19 after Web bounded repair, exact-span comparison, source check, and render QA","The immutable intake initially recorded pending custody. This successor record documents later verified incorporation."
