kind,ref,title,expose,tex_line,src_page_est
statement,3.1,3.1,III,2311,86
diagram,D027,tikzcd,III,2322,86
equation,3.1.1,,III,2345,87
equation,3.1.2,,III,2356,87
equation,3.1.3,,III,2369,87
statement,3.2,3.2,III,2373,87
equation,3.2.1,,III,2388,88
equation,3.2.2,,III,2395,88
equation,3.2.3,,III,2401,88
equation,3.2.4,,III,2412,88
equation,3.2.5,,III,2419,89
equation,3.2.6,,III,2432,89
statement,3.3,3.3,III,2452,90
diagram,D028,tikzcd,III,2467,90
equation,3.3.0,,III,2471,90
equation,3.3.1,,III,2478,90
diagram,D029,tikzcd,III,2482,90
equation,3.3.2,,III,2506,91
equation,3.3.3,,III,2513,91
statement,3.4,Proposition 3.4,III,2517,91
diagram,D030,tikzcd,III,2520,91
equation,3.4.1,,III,2527,92
diagram,D031,tikzcd,III,2531,92
diagram,D032,tikzcd,III,2544,92
diagram,D033,tikzcd,III,2557,92
diagram,D034,tikzcd,III,2570,93
statement,3.5,Corollaire 3.5,III,2585,93
statement,3.6,3.6,III,2610,94
equation,3.6.1,,III,2626,94
equation,3.6.2,,III,2635,95
equation,3.6.3,,III,2644,95
equation,3.6.4,,III,2653,95
statement,3.6.5,3.6.5,III,2661,95
statement,3.7,3.7,III,2680,96
diagram,D035,tikzcd,III,2683,96
equation,3.7.1,,III,2687,96
diagram,D036,tikzpicture,III,2691,96
equation,3.7.2,,III,2705,97
equation,3.7.3,,III,2710,97
equation,3.7.4,,III,2725,97
equation,3.7.5,,III,2732,97
equation,3.7.6,,III,2739,98
section,,Accouplements de correspondances. Formule de Lefschetz,III,2743,98
statement,4.1,4.1,III,2745,98
equation,4.1.1,,III,2750,98
equation,4.1.2,,III,2756,98
equation,4.1.3,,III,2762,98
equation,4.1.4,,III,2768,98
equation,4.1.5,,III,2779,99
statement,4.2,4.2,III,2782,99
equation,4.2.1,,III,2787,99
equation,4.2.2,,III,2800,99
equation,4.2.3,,III,2811,100
equation,4.2.4,,III,2818,100
equation,4.2.4',,III,2824,100
equation,4.2.5,,III,2830,100
diagram,D037,tikzcd,III,2834,100
equation,4.2.6,,III,2844,100
diagram,D038,tag 4.2.6,III,2845,100
equation,4.2.7,,III,2864,101
statement,4.3,Exemple 4.3,III,2873,101
statement,4.4,Théorème 4.4,III,2894,102
equation,4.4.0,,III,2902,102
diagram,D039,tikzpicture,III,2903,102
equation,4.4.1,,III,2934,103
diagram,D040,tag 4.4.1,III,2935,103
equation,4.4.2,,III,2963,104
diagram,D041,tag 4.4.2,III,2965,104
equation,4.4.3,,III,2994,105
diagram,D042,tag 4.4.3,III,2995,105
equation,4.4.4,,III,3017,105
diagram,D043,tag 4.4.4,III,3018,105
equation,4.4.5,,III,3039,106
diagram,D044,tag 4.4.5,III,3040,106
diagram,D045,tikzcd,III,3051,106
diagram,D046,tikzcd,III,3071,107
diagram,D047,tikzcd,III,3097,107
diagram,D048,tikzcd,III,3104,108
diagram,D049,tikzcd,III,3109,108
diagram,D050,tikzcd,III,3116,108
diagram,D051,tikzcd,III,3122,108
diagram,D052,tikzcd,III,3129,108
diagram,D053,tikzcd,III,3134,108
diagram,D054,tikzcd,III,3141,109
diagram,D055,tikzcd,III,3148,109
diagram,D056,tikzcd,III,3157,109
diagram,D057,tikzcd,III,3178,110
diagram,D058,tikzcd,III,3183,110
equation,4.4.6,,III,3190,110
diagram,D059,tag 4.4.6,III,3192,110
equation,4.4.7,,III,3209,111
diagram,D060,tag 4.4.7,III,3210,111
diagram,D061,tikzcd,III,3262,112
diagram,D062,tikzcd,III,3269,112
statement,4.5,Corollaire 4.5,III,3283,113
diagram,D063,tikzcd,III,3286,113
equation,4.5.1,,III,3308,113
equation,4.6,,III,3315,114
statement,4.7,Corollaire 4.7 -- Formule de Lefschetz--Verdier,III,3323,114
equation,4.7.1,,III,3331,114
statement,4.8,Corollaire 4.8,III,3348,114
statement,4.9,Corollaire 4.9,III,3358,115
statement,4.10,Corollaire 4.10,III,3387,116
statement,4.11,4.11,III,3396,116
equation,4.11.1,,III,3399,116
equation,4.11.2,,III,3406,116
equation,4.11.3,,III,3417,116
statement,4.12,4.12,III,3425,117
equation,4.12.1,,III,3440,117
statement,4.13,4.13,III,3446,117
equation,4.13.1,,III,3454,117
section,,5. Compléments,III,3462,118
statement,5.1,5.1. Duale d'une correspondance,III,3464,118
equation,5.1.1,,III,3468,118
equation,5.1.2,,III,3473,118
equation,5.1.3,,III,3478,118
diagram,D064,tag 5.1.3,III,3479,118
equation,5.1.4,,III,3488,118
diagram,D065,tag 5.1.4,III,3489,118
equation,5.1.5,,III,3498,119
equation,5.1.6,,III,3505,119
equation,5.1.7,,III,3512,119
diagram,D066,tag 5.1.7,III,3513,119
equation,5.1.8,,III,3522,119
statement,5.2,5.2. Composition de correspondances,III,3526,119
equation,5.2.1,,III,3535,120
equation,5.2.2,,III,3540,120
equation,5.2.3,,III,3545,120
equation,5.2.4,,III,3560,120
equation,5.2.5,,III,3566,120
diagram,D067,tikzcd,III,3573,121
diagram,D068,tikzcd,III,3578,121
equation,5.2.6,,III,3585,121
diagram,D069,tag 5.2.6,III,3586,121
equation,5.2.7,,III,3597,121
equation,5.2.8,,III,3604,122
equation,5.2.9,,III,3609,122
equation,5.2.10,,III,3614,122
statement,5.3,5.3. Produit tensoriel externe de correspondances,III,3619,122
equation,5.3.1,,III,3627,122
equation,5.3.2,,III,3633,122
equation,5.3.3,,III,3639,123
equation,5.3.4,,III,3655,123
equation,5.3.5,,III,3661,123
diagram,D070,tikzcd,III,3668,123
diagram,D071,tikzcd,III,3673,123
equation,5.3.6,,III,3680,124
diagram,D072,tag 5.3.6,III,3681,124
equation,5.3.7,,III,3692,124
equation,5.3.8,,III,3697,124
section,,6. Appendice. Formule de Lefschetz pour les faisceaux cohérents,III,3702,124
statement,6.1,6.1,III,3706,124
equation,6.1.1,,III,3713,125
equation,6.1.2,,III,3718,125
equation,6.1.3,,III,3723,125
statement,6.2,6.2,III,3728,125
equation,6.2.1,,III,3739,125
statement,6.3,6.3,III,3762,126
statement,6.4,6.4,III,3774,126
equation,6.4.1,,III,3777,126
equation,6.4.2,,III,3782,126
equation,6.4.3,,III,3789,127
equation,6.4.4,,III,3795,127
statement,6.5,6.5,III,3804,127
equation,6.5.1,,III,3807,127
equation,6.5.2,,III,3812,127
equation,6.5.3,,III,3819,128
equation,6.5.4,,III,3824,128
equation,6.5.5,,III,3828,128
statement,6.6,6.6,III,3833,128
equation,6.6.1,,III,3842,128
equation,6.6.2,,III,3848,128
equation,6.6.3,,III,3853,128
statement,6.7,Théorème 6.7,III,3861,129
equation,6.7.1,,III,3864,129
diagram,D073,tag 6.7.1,III,3865,129
equation,6.7.2,,III,3885,129
equation,6.7.3,,III,3890,130
statement,6.8,6.8,III,3903,130
equation,6.8.1,,III,3906,130
equation,6.8.2,,III,3911,130
equation,6.8.3,,III,3920,130
equation,6.8.4,,III,3940,131
equation,6.8.5,,III,3945,131
equation,6.8.6,,III,3950,131
equation,6.8.7,,III,3955,131
statement,6.9,6.9,III,3961,131
equation,6.9.0,,III,3971,132
equation,6.9.1,,III,3980,132
equation,6.9.2,,III,3985,132
equation,6.9.3,,III,3990,132
equation,6.9.4,,III,3999,133
equation,6.9.5,,III,4008,133
statement,6.10,Théorème 6.10,III,4014,133
equation,6.10.1,,III,4017,133
statement,6.11,Remarques 6.11,III,4022,133
equation,6.11.1,,III,4034,134
statement,6.12,Corollaire 6.12,III,4043,134
equation,*,,III,4062,134
statement,6.12.1,Remarque 6.12.1,III,4081,135
statement,6.13,6.13,III,4092,135
equation,6.13.1,,III,4095,135
equation,6.13.2,,III,4101,135
statement,6.13.3,Théorème 6.13.3 (Deligne),III,4107,136
statement,6.14,6.14,III,4119,136
statement,6.15,6.15,III,4123,136
section,,Bibliographie,III,4128,136
section,,Exposé III BCalculs de termes locaux,IIIB,4161,138
section,,Introduction,IIIB,4166,138
section,,Sommaire,IIIB,4172,138
section,,I. Correspondances en position générale entre courbes,IIIB,4184,139
statement,1,1. Énoncé du théorème et corollaires,IIIB,4188,139
equation,1.1.1,,IIIB,4210,139
equation,*,,IIIB,4232,140
equation,**,,IIIB,4236,140
equation,1.1.2,,IIIB,4254,140
statement,1.2,Théorème 1.2,IIIB,4274,141
equation,1.2.1,,IIIB,4276,141
statement,1.3,Corollaire 1.3,IIIB,4283,141
statement,1.3.1,Corollaire 1.3.1,IIIB,4293,141
equation,1.4.1,,IIIB,4312,142
statement,1.5,Corollaire 1.5,IIIB,4318,142
equation,1.5.1,,IIIB,4326,142
equation,1.7.1,,IIIB,4336,143
section,,Exposé III B: Calculs de termes locaux,IIIB,4342,143
statement,2,2. Réduction à un théorème d'annulation,IIIB,4344,143
diagram,D074,tikzcd,IIIB,4353,143
diagram,D075,tikzcd,IIIB,4358,143
statement,2.2,Lemme 2.2,IIIB,4365,143
statement,2.3,Lemme 2.3,IIIB,4436,145
statement,2.4,Lemme 2.4,IIIB,4498,147
equation,2.4.1,,IIIB,4503,147
statement,2.5,Proposition 2.5,IIIB,4543,148
equation,2.6.1,,IIIB,4583,149
equation,2.6.2,,IIIB,4588,149
equation,2.6.3,,IIIB,4614,150
equation,2.6.4,,IIIB,4620,150
statement,3,3. Réduction au cas modéré,IIIB,4628,150
diagram,D076,tikzcd,IIIB,4647,151
statement,3.3,Lemme 3.3,IIIB,4666,151
statement,3.4,Lemme 3.4,IIIB,4672,151
statement,3.5,Lemme 3.5,IIIB,4688,152
diagram,D077,tikzcd,IIIB,4691,152
equation,*,,IIIB,4729,153
diagram,D078,tag *,IIIB,4730,153
equation,1,,IIIB,4747,153
equation,2,,IIIB,4754,154
diagram,D079,tikzcd,IIIB,4758,154
diagram,D080,tikzcd,IIIB,4763,154
statement,4,4. Fin de la démonstration de 1.2,IIIB,4775,154
statement,4.2,Proposition 4.2,IIIB,4788,154
statement,4.3,Lemme 4.3,IIIB,4800,155
diagram,D081,tikzcd,IIIB,4803,155
equation,4.3.1,,IIIB,4823,155
equation,4.3.2,,IIIB,4831,156
diagram,D082,tikzcd,IIIB,4884,157
diagram,D083,tikzcd,IIIB,4891,157
diagram,D084,tikzcd,IIIB,4898,157
equation,*,,IIIB,4920,158
section,,II. Correspondances équivariantes,IIIB,4930,158
statement,5,5. Traces non commutatives,IIIB,4932,158
equation,5.0.1,,IIIB,4939,158
equation,5.0.2,,IIIB,4943,158
equation,5.0.3,,IIIB,4947,159
equation,5.0.4,,IIIB,4952,159
equation,5.0.5,,IIIB,4953,159
equation,5.0.6,,IIIB,4957,159
equation,5.0.7,,IIIB,4958,159
equation,5.0.8,,IIIB,4961,159
equation,5.0.9,,IIIB,4972,159
equation,5.0.10,,IIIB,4976,159
equation,5.0.11,,IIIB,4980,159
equation,5.2.1,,IIIB,4998,160
equation,5.2.2,,IIIB,5003,160
equation,5.2.3,,IIIB,5011,160
equation,5.3.1,,IIIB,5018,160
equation,5.3.2,,IIIB,5023,161
equation,5.3.3,,IIIB,5028,161
equation,5.3.4,,IIIB,5034,161
equation,5.3.5,,IIIB,5038,161
equation,5.3.6,,IIIB,5042,161
equation,5.4.1,,IIIB,5050,161
equation,5.4.2,,IIIB,5059,162
equation,5.6.1,,IIIB,5077,162
equation,5.6.2,,IIIB,5081,162
equation,5.6.3,,IIIB,5086,162
equation,5.6.4,,IIIB,5087,162
equation,5.6.5,,IIIB,5092,162
equation,5.6.6,,IIIB,5096,163
equation,5.7.1,,IIIB,5116,163
equation,5.7.2,,IIIB,5124,163
equation,5.7.3,,IIIB,5128,163
equation,5.7.4,,IIIB,5132,163
equation,5.7.5,,IIIB,5136,164
equation,5.8.1,,IIIB,5144,164
equation,5.8.2,,IIIB,5148,164
equation,5.8.3,,IIIB,5160,164
equation,5.8.4,,IIIB,5165,164
diagram,D085,tag 5.8.4,IIIB,5166,164
equation,5.8.5,,IIIB,5177,165
equation,5.9.1,,IIIB,5185,165
diagram,D086,tag 5.9.1,IIIB,5186,165
equation,5.9.2,,IIIB,5192,165
diagram,D087,tag 5.9.2,IIIB,5193,165
equation,5.9.3,,IIIB,5199,165
diagram,D088,tag 5.9.3,IIIB,5200,165
equation,5.9.4,,IIIB,5206,165
diagram,D089,tag 5.9.4,IIIB,5207,165
equation,5.10.1,,IIIB,5225,166
equation,5.10.2,,IIIB,5229,166
diagram,D090,tag 5.10.2,IIIB,5230,166
equation,5.10.3,,IIIB,5236,166
equation,5.10.4,,IIIB,5241,166
equation,5.10.5,,IIIB,5247,166
diagram,D091,tikzcd,IIIB,5252,167
statement,5.10.6,Proposition 5.10.6,IIIB,5265,167
equation,5.10.7,,IIIB,5267,167
diagram,D092,tag 5.10.7,IIIB,5268,167
diagram,D093,tikzcd,IIIB,5278,167
diagram,D094,tikzcd,IIIB,5285,167
equation,5.10.8,,IIIB,5297,168
statement,5.10.9,Proposition 5.10.9,IIIB,5301,168
equation,5.10.10,,IIIB,5303,168
diagram,D095,tag 5.10.10,IIIB,5304,168
diagram,D096,tikzcd,IIIB,5322,168
statement,5.10.11,Corollaire 5.10.11,IIIB,5336,169
equation,5.10.12,,IIIB,5338,169
diagram,D097,tag 5.10.12,IIIB,5339,169
statement,5.11.1,Proposition 5.11.1,IIIB,5356,169
equation,*,,IIIB,5358,169
equation,5.11.2,,IIIB,5364,170
statement,5.11.3,Proposition 5.11.3,IIIB,5372,170
equation,5.11.4,,IIIB,5380,170
diagram,D098,tag 5.11.4,IIIB,5381,170
diagram,D099,tikzcd,IIIB,5392,170
equation,*,,IIIB,5409,171
statement,5.11.5,Corollaire 5.11.5,IIIB,5426,171
equation,5.11.5,,IIIB,5428,171
equation,5.12.1,,IIIB,5436,171
diagram,D100,tag 5.12.1,IIIB,5437,171
equation,5.12.2,,IIIB,5443,172
equation,5.12.3,,IIIB,5447,172
diagram,D101,tag 5.12.3,IIIB,5449,172
equation,5.12.4,,IIIB,5466,172
diagram,D102,tag 5.12.4,IIIB,5467,172
equation,5.12.5,,IIIB,5473,172
equation,5.13.1,,IIIB,5493,173
equation,5.13.2,,IIIB,5497,173
equation,5.13.3,,IIIB,5501,173
equation,5.13.4,,IIIB,5511,173
diagram,D103,tag 5.13.4,IIIB,5512,173
equation,5.13.5,,IIIB,5520,174
section,,6. Correspondances équivariantes et divisibilité de termes locaux,IIIB,5525,174
statement,6.1,6.1. Notations,IIIB,5527,174
statement,6.2,6.2,IIIB,5533,174
equation,6.2.1,,IIIB,5555,175
equation,6.2.2,,IIIB,5571,175
equation,6.2.3,,IIIB,5584,175
equation,6.2.4,,IIIB,5609,176
statement,6.3,6.3,IIIB,5612,176
equation,6.3.1,,IIIB,5616,176
equation,6.3.2,,IIIB,5621,176
statement,6.4,6.4,IIIB,5633,177
equation,6.4.1,,IIIB,5649,177
equation,6.4.2,,IIIB,5658,177
equation,6.4.3,,IIIB,5665,177
statement,6.5,6.5,IIIB,5671,178
diagram,D104,tikzcd,IIIB,5678,178
equation,6.5.1,,IIIB,5682,178
equation,6.5.2,,IIIB,5689,178
equation,6.5.3,,IIIB,5696,178
equation,6.5.4,,IIIB,5703,178
equation,6.5.5,,IIIB,5708,179
equation,6.5.6,,IIIB,5713,179
equation,6.5.7,,IIIB,5724,179
equation,6.5.8,,IIIB,5736,179
equation,6.5.9,,IIIB,5743,179
equation,6.5.10,,IIIB,5752,180
statement,6.6,6.6,IIIB,5760,180
equation,6.6.1,,IIIB,5768,180
equation,6.6.2,,IIIB,5804,181
equation,6.6.3,,IIIB,5813,181
equation,6.6.4,,IIIB,5823,182
equation,6.6.5,,IIIB,5828,182
statement,6.7,6.7,IIIB,5839,182
diagram,D105,tikzcd,IIIB,5852,182
equation,6.7.1,,IIIB,5858,182
equation,6.7.2,,IIIB,5867,183
equation,6.7.3,,IIIB,5878,183
diagram,D106,tikzcd,IIIB,5882,183
equation,6.7.4,,IIIB,5888,183
equation,6.7.5,,IIIB,5893,183
statement,6.8,6.8,IIIB,5896,183
equation,6.8.1,,IIIB,5910,184
equation,6.8.2,,IIIB,5919,184
equation,6.8.3,,IIIB,5927,184
statement,6.9,6.9,IIIB,5935,184
statement,6.10,6.10,IIIB,5977,186
equation,6.10.1,,IIIB,5987,186
equation,6.10.2,,IIIB,6001,186
equation,6.10.3,,IIIB,6012,187
equation,6.10.4,,IIIB,6017,187
equation,6.10.5,,IIIB,6022,187
statement,6.11,6.11,IIIB,6025,187
diagram,D107,tikzcd,IIIB,6028,187
equation,6.11.1,,IIIB,6032,187
equation,6.11.2,,IIIB,6037,187
equation,6.11.3,,IIIB,6050,188
equation,6.11.4,,IIIB,6055,188
equation,6.11.5,,IIIB,6064,188
statement,6.12,Proposition 6.12,IIIB,6067,188
equation,6.12.1,,IIIB,6077,188
statement,6.13,6.13,IIIB,6095,189
equation,6.13.1,,IIIB,6158,190
statement,6.14,6.14,IIIB,6161,190
diagram,D108,tikzpicture,IIIB,6172,191
equation,6.14.1,,IIIB,6197,191
equation,6.14.2,,IIIB,6206,192
equation,6.14.3,,IIIB,6222,192
equation,6.14.4,,IIIB,6232,192
equation,6.14.5,,IIIB,6246,193
equation,6.14.6,,IIIB,6255,193
equation,6.14.7,,IIIB,6262,193
statement,6.15,6.15,IIIB,6274,193
statement,6.16,Proposition 6.16,IIIB,6289,194
equation,6.16.1,,IIIB,6296,194
statement,6.17,Corollaire 6.17,IIIB,6310,194
equation,6.17.1,,IIIB,6317,195
statement,6.18,6.18,IIIB,6330,195
equation,6.18.1,,IIIB,6334,195
equation,6.18.2,,IIIB,6341,195
statement,6.18.3,Lemme 6.18.3,IIIB,6345,195
statement,6.19,Proposition 6.19,IIIB,6351,195
diagram,D109,tikzcd,IIIB,6358,196
equation,6.19.1,,IIIB,6371,196
statement,6.20,6.20,IIIB,6389,196
equation,6.20.1,,IIIB,6401,197
equation,6.20.2,,IIIB,6410,197
statement,6.21,Proposition 6.21,IIIB,6413,197
diagram,D110,tikzcd,IIIB,6416,197
diagram,D111,tikzcd,IIIB,6437,198
diagram,D112,tikzcd,IIIB,6447,198
statement,6.22,Corollaire 6.22,IIIB,6464,198
equation,6.22.1,,IIIB,6481,199
statement,6.23,Proposition 6.23,IIIB,6485,199
equation,6.23.1,,IIIB,6516,200
equation,6.23.2,,IIIB,6551,201
statement,6.23.3,Lemme 6.23.3,IIIB,6555,201
equation,*,,IIIB,6558,201
diagram,D113,tag *,IIIB,6559,201
equation,**,,IIIB,6593,202
diagram,D114,tag **,IIIB,6594,202
statement,6.24,6.24,IIIB,6608,202
section,,Bibliographie,IIIB,6617,202
section,,Exposé V. Systèmes projectifs $J$-adiques,V,6642,204
statement,1,1. Généralités sur les $A$-catégories abéliennes,V,6647,204
statement,1.1,Définition 1.1,V,6649,204
diagram,D115,tikzcd,V,6671,205
statement,1.2.1,Proposition 1.2.1,V,6700,206
statement,1.2.2,Proposition 1.2.2 (Critères de représentabilité),V,6705,206
statement,1.2.3,Lemme 1.2.3,V,6717,206
statement,2,2. Condition de Mittag-Leffler-Artin-Rees,V,6732,207
statement,2.1.1,Définition 2.1.1,V,6757,207
statement,2.1.2,Proposition 2.1.2,V,6765,208
statement,2.2.1,Définition 2.2.1,V,6778,208
statement,2.2.2,Proposition 2.2.2,V,6783,208
statement,2.3.1,Définition 2.3.1,V,6805,209
diagram,D116,tikzcd,V,6812,209
diagram,D117,tikzcd,V,6817,209
diagram,D118,tikzcd,V,6824,209
diagram,D119,tikzcd,V,6830,210
statement,2.3.2,Définition 2.3.2,V,6840,210
diagram,D120,tikzcd,V,6847,210
diagram,D121,tikzcd,V,6852,210
diagram,D122,tikzcd,V,6860,211
statement,2.4.1,Proposition 2.4.1,V,6891,211
diagram,D123,tikzcd,V,6900,212
diagram,D124,tikzcd,V,6907,212
diagram,D125,tikzcd,V,6914,212
diagram,D126,tikzcd,V,6920,212
diagram,D127,tikzcd,V,6926,212
diagram,D128,tikzcd,V,6944,213
diagram,D129,tikzcd,V,6955,213
diagram,D130,tikzcd,V,6963,214
diagram,D131,tikzcd,V,6969,214
statement,2.4.2,Définition 2.4.2,V,6980,214
statement,2.4.3,Proposition 2.4.3,V,7014,215
diagram,D132,tikzcd,V,7025,215
diagram,D133,tikzcd,V,7032,216
statement,2.4.4,Proposition 2.4.4,V,7039,216
statement,2.4.5,Corollaire 2.4.5,V,7052,216
statement,2.4.6,Définition 2.4.6,V,7061,216
statement,2.5.1,Proposition 2.5.1,V,7066,217
statement,2.5.2,Corollaire 2.5.2,V,7090,217
statement,3,3. Systèmes projectifs $J$-adiques et AR-$J$-adiques,V,7094,217
statement,3.1.1,Définition 3.1.1,V,7098,218
statement,3.1.3,Proposition 3.1.3 (Stabilités par suites exactes),V,7114,218
diagram,D134,tikzcd,V,7130,219
statement,3.2.1,Proposition 3.2.1,V,7139,219
statement,3.2.2,Définition 3.2.2,V,7151,219
statement,3.2.3,Proposition 3.2.3,V,7159,219
statement,3.2.4,Proposition 3.2.4 (Stabilités par suites exactes),V,7185,220
diagram,D135,tikzcd,V,7205,221
diagram,D136,tikzcd,V,7220,221
diagram,D137,tikzcd,V,7227,221
statement,4,4. Filtrations et graduations,V,7235,222
diagram,D138,tikzcd,V,7263,223
statement,4.1.2,Définition 4.1.2,V,7274,223
statement,4.1.3,Proposition 4.1.3 (Propriété (MLAR) et gradués),V,7282,223
statement,4.2,4.2. Systèmes projectifs adaptés à (J) et lemme d'Artin-Rees,V,7346,225
statement,4.2.1,Définition 4.2.1,V,7350,225
statement,4.2.2,Lemme 4.2.2,V,7357,225
statement,4.2.4,Lemme 4.2.4,V,7436,228
