"priority","lane","primary_table","row_index","target_language_or_access_target","source_title","source_url","missing_fields","recommended_action","non_claim_boundary"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","27","zh-Hans","CJK-SRC-GAP-001","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","28","zh-Hans","CJK-SRC-GAP-002","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","29","ja","CJK-SRC-GAP-003","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","30","CJK","CJK-SRC-GAP-004","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","31","CJK","CJK-SRC-GAP-005","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","32","CJK","CJK-SRC-GAP-006","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","33","ko","CJK-SRC-GAP-007","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","34","CJK","CJK-SRC-GAP-008","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","35","CJK native/source support","CJK-CORPUS-BLOCK-001","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","36","CJK native/source support","CJK-CORPUS-BLOCK-002","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","37","CJK native/source support","CJK-CORPUS-BLOCK-003","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","38","CJK native/source support","CJK-CORPUS-BLOCK-004","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","39","CJK native/source support","CJK-CORPUS-BLOCK-005","","source_url; license_or_access_signal","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","1","zh-Hans","代数学方法 第一卷","https://github.com/wenweili/AlJabr-1","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","2","zh-Hans","代数学方法 第二卷","https://github.com/wenweili/AlJabr-2","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","3","ja","松村英之『可換環論』ノート","https://github.com/Seasawher/matsumura","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","4","ja","Tetsuya Ando 代数学 lecture notes","https://www.math.s.chiba-u.ac.jp/~ando/LectureNote.html","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","5","ja","古典不変式論ハンドブック","https://www.mathsoc.jp/section/algebra/algsymp_past/algsymp12_files/nagai.pdf","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","6","ja","可換環論","https://ryoya9826.github.io/files/note/ring.pdf","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","7","ja","Akira Masuoka lecture notes page","https://sites.google.com/site/akira298math/home/lecture-notes","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","8","ko","한국어 대수학 source-package search audit","generated:github_api_search_audit","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","9","ko","현대대수학1 KOCW course page","https://kocw.net/home/cview.do?ar=relateCourse&kemId=1165165&mty=p","evidence_tier; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","1","","K-SCW-001","https://github.com/OpenLogicProject/OpenLogic/ ; https://openlogicproject.org/download/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","2","","K-SCW-002","https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","3","","K-SCW-003","https://github.com/oscarlevin/discrete-book/ ; https://discrete.openmathbooks.org/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","4","","K-SCW-004","https://github.com/oscarlevin/discrete-book/tree/edition/source","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","5","","K-SCW-005","https://github.com/OpenIntroStat/ims ; https://www.openintro.org/license/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","6","","K-SCW-006","https://github.com/OpenIntroStat/openintro-statistics ; https://www.openintro.org/license/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","7","","K-SCW-007","https://github.com/rbeezer/fcla ; https://linear.pugetsound.edu/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","8","","K-SCW-008","https://github.com/twjudson/aata ; https://judsonbooks.org/abstract-algebra-theory-and-applications/","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","9","","K-SCW-009","https://github.com/stacks/stacks-project ; https://stacks.math.columbia.edu/contribute","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","10","","K-SCW-010","https://github.com/openstax/osbooks-college-algebra-bundle ; https://openstax.org/books/algebra-and-trigonometry-2e/pages/preface","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","11","","K-SCW-011","parent output: OPEN_TRANSLATION_REVIEW_ONLY_SOURCE_COORDINATE_SCAN_ROUTER_20260703T081500Z","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","12","","K-SCW-012","parent output: OPEN_TRANSLATION_PROOF_LITERACY_SOURCE_COORDINATE_POLICY_SHEET_20260703T084500Z","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","13","","K-SCW-013","parent output: SEMI_CONSTRUCTED_RELATION_FUNCTION_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260703T071500Z","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","14","","K-SCW-014","parent output: CONTEXT_NOTE_CONFIRMATION_RETURN_LEDGER_TEMPLATE_FRENCH_JAPANESE_20260703","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","15","","K-SCW-015","parent output: NOETHER_NON_SLAVIC_INTERLANGUAGE_FRONTIER_AUDIT_20260703","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","16","","K-SCW-016","parent output: MALAY_INDONESIAN_OPERATOR_SLOT_FUNCTION_DOMAIN_RETURN_LEDGER_TEMPLATE_V2_20260701T091500Z","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","17","","K-SCW-017","SESSION_K_REVIEWER_RETURN_INTAKE_TEMPLATE_20260704","target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; gap_or_blocker_note; non_claim_boundary","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","5","Persian/Farsi (Iran)","Persian Noether-topic TeX/arXiv source package","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","8","Dari/Persian (Afghanistan)","Dari TeX/arXiv/invariant-theory source packages","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_provenance_field_gap","noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","12","Tajik Cyrillic","Tajik abstract algebra / TeX source package","","source_url; sha256_or_other_hash","populate missing fields or explicitly mark as unavailable/gap in a required-shape source-canon witness sidecar; do not infer approval/license/review from population","row-population gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
