edge_id,subject_id,predicate,object_id,object_type,provenance,status
JA-P21-E016,JA-P21-EV-NARA-HIROSHIMA,supports,JA-P21-DEC-TRANSFORM,decision_record,independent Japanese 反傾 evidence,sense-checked
JA-P21-E017,JA-P21-EV-SHO5TOMA,supports,JA-P21-DEC-COVDERIV,decision_record,independent Japanese 共変微分 evidence,sense-checked
JA-P21-E018,JA-P21-EV-SHO5TOMA,supports,JA-P21-DEC-PARALLEL,decision_record,connection-defined 平行移動 with explicit Euclidean adverse homonym,sense-checked
JA-P21-E019,JA-P21-EV-SHO5TOMA,supports_base_sense_only,JA-P21-DEC-NOETHER,decision_record,base 発散 evidence does not independently standardize the full Noether theorem cluster,held
JA-P21-E020,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-FORMAL,decision_record,DE 12583-12593,source-defined
JA-P21-E021,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-LAGRANGE,decision_record,DE 12603-12611,source-defined
JA-P21-E022,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-TRANSFORM,decision_record,DE 12606 12617 12629 12634 and 12640,source-defined
JA-P21-E023,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-COVDERIV,decision_record,DE 12640-12644,source-defined
JA-P21-E024,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-CURVATURE,decision_record,DE 12646-12660 and displays 144-146,source-defined
JA-P21-E025,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-PARALLEL,decision_record,DE 12664,source-defined
JA-P21-E026,NOETHER-P21-DE-SEALEDP31,defines_source_sense_for,JA-P21-DEC-NOETHER,decision_record,DE 12666,source-defined
JA-P21-E027,JA-P21-DEC-FORMAL,resolves,JA-P21-C-FORMAL,concept,decision JSON with explicit sense window and qualitative CJK dominance debt,held
JA-P21-E028,JA-P21-DEC-FORMAL,resolves,JA-P21-C-DIFFINV,concept,decision JSON with expression-versus-quantity guard,held
JA-P21-E029,JA-P21-DEC-LAGRANGE,resolves,JA-P21-C-LAGRANGE-EXPR,concept,decision JSON and first-use one-half normalization gloss,held
JA-P21-E030,JA-P21-DEC-LAGRANGE,resolves,JA-P21-C-CENTRAL,concept,decision JSON with historical integral-free identity sense,held
JA-P21-E031,JA-P21-DEC-TRANSFORM,resolves,JA-P21-C-CONTRAGREDIENT,concept,independent Japanese representation evidence,verified
JA-P21-E032,JA-P21-DEC-TRANSFORM,resolves,JA-P21-C-COGREDIENT,concept,explicit same-transformation-law paraphrase with lexical absence recorded,verified-paraphrase
JA-P21-E033,JA-P21-DEC-COVDERIV,resolves,JA-P21-C-COVDERIV,concept,independent Japanese geometry evidence,verified
JA-P21-E034,JA-P21-DEC-CURVATURE,resolves,JA-P21-C-CURVATURE,concept,source equations 144-146 define historical object,held
JA-P21-E035,JA-P21-DEC-CURVATURE,resolves,JA-P21-C-SECONDVAR,concept,source equation 144 defines historical normal form,held
JA-P21-E036,JA-P21-DEC-PARALLEL,resolves,JA-P21-C-PARALLEL,concept,independent Japanese geometry evidence and explicit adverse homonym,verified
JA-P21-E037,JA-P21-DEC-NOETHER,resolves,JA-P21-C-INVAR-VAR,concept,source-defined variational-problem scope,held
JA-P21-E038,JA-P21-DEC-NOETHER,resolves,JA-P21-C-TOTAL-DIV,concept,source-defined boundary-term role with base Japanese evidence,held
JA-P21-E039,JA-P21-DEC-NOETHER,resolves,JA-P21-C-IDENTITY-DEP,concept,source-defined identity-like dependence role,held
JA-P21-E040,NOETHER-P21-JA,implements,JA-P21-C-FORMAL,concept,target title subsection and opening,held-source-tethered
JA-P21-E041,NOETHER-P21-JA,implements,JA-P21-C-DIFFINV,concept,target title opening and reduction discussion,held-controlled-continuity
JA-P21-E042,NOETHER-P21-JA,implements,JA-P21-C-LAGRANGE-EXPR,concept,target first-use normalization gloss and final theorem paragraph,held-with-first-use-gloss
JA-P21-E043,NOETHER-P21-JA,implements,JA-P21-C-CENTRAL,concept,target central identity around display D04,held-source-defined
JA-P21-E044,NOETHER-P21-JA,implements,JA-P21-C-CONTRAGREDIENT,concept,target U01-U02,verified
JA-P21-E045,NOETHER-P21-JA,implements,JA-P21-C-COGREDIENT,concept,target U02 explicit transformation-law paraphrases,verified-paraphrase
JA-P21-E046,NOETHER-P21-JA,implements,JA-P21-C-COVDERIV,concept,target U02-U04,verified
JA-P21-E047,NOETHER-P21-JA,implements,JA-P21-C-CURVATURE,concept,target U03-U04,held-source-defined
JA-P21-E048,NOETHER-P21-JA,implements,JA-P21-C-SECONDVAR,concept,target equation 144 introduction,held-source-defined
JA-P21-E049,NOETHER-P21-JA,implements,JA-P21-C-PARALLEL,concept,target U04 with explicit connection-dependent gloss,verified
JA-P21-E050,NOETHER-P21-JA,implements,JA-P21-C-INVAR-VAR,concept,target U05,held-source-defined
JA-P21-E051,NOETHER-P21-JA,implements,JA-P21-C-TOTAL-DIV,concept,target U05 with boundary-term gloss,held-source-defined
JA-P21-E052,NOETHER-P21-JA,implements,JA-P21-C-IDENTITY-DEP,concept,target U05,held-source-defined
JA-P21-E053,JA-P21-C-LAGRANGE-EXPR,is_defined_by,JA-P21-C-CENTRAL,concept,sealed P31 12606-12611,source-defined
JA-P21-E054,JA-P21-C-LAGRANGE-EXPR,follows_transformation_law,JA-P21-C-CONTRAGREDIENT,concept,sealed P31 12606 and 12629,source-defined
JA-P21-E055,JA-P21-C-COGREDIENT,supplies,JA-P21-C-COVDERIV,concept,p-sigma vector leads directly to covariant derivative in DE 12640,source-defined
JA-P21-E056,JA-P21-C-SECONDVAR,yields_after_elimination,JA-P21-C-CURVATURE,concept,equations 144 through 146,source-defined
JA-P21-E057,JA-P21-C-PARALLEL,interprets_zero_setting_of,JA-P21-C-COGREDIENT,concept,Levi-Civita interpretation of p(d delta)=0 in DE 12664,source-defined
JA-P21-E058,JA-P21-C-INVAR-VAR,entails_for_finite_group,JA-P21-C-TOTAL-DIV,concept,first half of Noether consequence in DE 12666,source-defined
JA-P21-E059,JA-P21-C-INVAR-VAR,entails_for_infinite_group,JA-P21-C-IDENTITY-DEP,concept,second half of Noether consequence in DE 12666,source-defined
