node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
JA-P21-EV-N35,evidence_source,Inherited Japanese Noether cumulative P13 continuity,ja,N35_cum_JA.tex Paper 13 lines 7199-7208 and 7253-7255,witness-only,Earlier Japanese wording for Lagrange expressions divergence and identity relations,current source authority; independent Japanese standardization
JA-P21-EV-NARA-HIROSHIMA,evidence_source,Independent Japanese contragredient evidence,ja,Nara Women's University Umeda invariant-theory paper and Hiroshima University representation thesis,sense-checked,反傾 in dual or inverse-transpose representation theory,tensor 反変; Mandarin or inherited-gloss authority
JA-P21-EV-SHO5TOMA,evidence_source,Japanese differential-geometry evidence,ja,Sho5Toma chapter1 lines 361 and 367 for 共変微分; lines 527-531 for connection-defined 平行移動; line 181 adverse Euclidean homonym; lines 1773-1815 base 発散,sense-checked,Connection-dependent covariant derivative parallel displacement and base divergence senses,Euclidean translation; analytic divergence; source-defined theorem compounds without qualification
JA-P21-DEC-FORMAL,decision_record,Formal variation and differential-invariant decision,ja,decisions/NOE-P21-FORMAL-VARIATION-DIFFERENTIAL-INVARIANTS.ja.json; SHA-256 1B67B82287CD62A246324C6B7543C51F055B4DE0FE918402921080A2940A4C16,held,Historical formal variational method and invariant-expression terminology,generic numerical variation; arbitrary invariant quantity
JA-P21-DEC-LAGRANGE,decision_record,Lagrange expression and central-equation decision,ja,decisions/NOE-P21-LAGRANGE-EXPRESSION-CENTRAL-EQUATION.ja.json; SHA-256 CFF86AE4308DEA4BF1AA18F4214340EC37D0B7ADAB3B547657C5855F0B63AFC3,held,Source normalization of psi and historical integral-free central identity,full equation collapsed into expression; modern standardized theorem name
JA-P21-DEC-TRANSFORM,decision_record,Transformation-law decision,ja,decisions/NOE-P21-TRANSFORMATION-LAWS.ja.json; SHA-256 7FEBFA41D296D10C750A632917BFD1519702BA2637F2EBDB885C7B433AE33D68,internally_reviewed_for_use,反傾 for kontragredient and explicit same-law paraphrase for kogredient,tensor variance; equivariance; manufactured lexical symmetry
JA-P21-DEC-COVDERIV,decision_record,Covariant-derivative decision,ja,decisions/NOE-P21-COVARIANT-DERIVATIVE.ja.json; SHA-256 EB4260F2269F727FD856AE98CFED08937FD245159F40C31F34DADB565A825F23,internally_reviewed_for_use,Connection-dependent h^(1) with second differentials canceled,ordinary derivative or bare index covariance
JA-P21-DEC-CURVATURE,decision_record,Curvature and second-variation decision,ja,decisions/NOE-P21-CURVATURE-SECOND-VARIATION.ja.json; SHA-256 B21D6049DED7E45DC24E1E01009ED2BFFAEECA2DCE5883263B98289AE4D4397D,held,Historical Omega and K constructions in equations 144 through 146,generic curvature tensor; modern curvature two-form; Morse Hessian normal form
JA-P21-DEC-PARALLEL,decision_record,Parallel-displacement decision,ja,decisions/NOE-P21-PARALLEL-DISPLACEMENT.ja.json; SHA-256 2A09149B17A6139FFF291EC96BB5A03BD79D6643F5C7F4474559E9EB60F77658,internally_reviewed_for_use,Connection-defined vector transport from setting p(d delta) to zero,Euclidean translation of a vector or space
JA-P21-DEC-NOETHER,decision_record,Invariant-variation and Noether identity decision,ja,decisions/NOE-P21-NOETHER-IDENTITY-CLUSTER.ja.json; SHA-256 D947622BDE3E715077E571FCE0FB7930005DDAAFB6BABDFDC92876CC48DF6ABC,held,Finite and infinite continuous-group consequences for divergences and identity dependencies,generic invariant optimization; analytic divergence; statistical dependence
JA-P21-C-FORMAL,concept,形式的変分法,ja,sealed P31 12583 and 12591-12593; terminology record JA-P21-T001,held-source-tethered,Formal symbolic methods of the calculus of variations used here to generate differential invariants,ordinary numerical variational calculation; modern functional-analysis formalism detached from this source
JA-P21-C-DIFFINV,concept,微分不変式,ja,sealed P31 12583 12591 and 12662; terminology record JA-P21-T002,held-controlled-continuity,Differential expression invariant under the stated transformation group,arbitrary invariant quantity; conserved scalar detached from the expression
JA-P21-C-LAGRANGE-EXPR,concept,ラグランジュ式,ja,sealed P31 12603-12606; terminology record JA-P21-T003,held-with-first-use-gloss,One half of the Euler-Lagrange left side under this source normalization because 2 psi_i equals that side,the full equation psi_i=0; a Lagrangian; interpolation formula
JA-P21-C-CENTRAL,concept,ラグランジュの中心方程式,ja,sealed P31 12606-12611; terminology record JA-P21-T004,held-source-defined,Integral-free formal identity corresponding to integration by parts and defining the Lagrange expressions,central Euler-Lagrange equation; matrix central equation; modern standardized theorem name
JA-P21-C-CONTRAGREDIENT,concept,反傾,ja,sealed P31 12606 and 12629; Nara-Hiroshima evidence; terminology record JA-P21-T005,internally-accepted,Dual or inverse-transpose transformation law followed by the psi vectors,tensor contravariance; arbitrary opposite transformation
JA-P21-C-COGREDIENT,concept,d または dx と同じ変換則に従う,ja,sealed P31 12617 12634 and 12640; terminology record JA-P21-T006,held-explicit-paraphrase,The operator or vector follows exactly the same transformation law as d or dx at its locus,covariant tensor indices; equivariant mappings; unattested 共傾 lexical symmetry
JA-P21-C-COVDERIV,concept,共変微分,ja,sealed P31 12640-12644; Sho5Toma evidence; terminology record JA-P21-T007,internally-accepted,Connection-dependent h^(1) formed so that second differentials cancel,ordinary directional derivative; a covariant-index derivative without connection
JA-P21-C-CURVATURE,concept,曲率形式,ja,sealed P31 12646-12660; terminology record JA-P21-T008,held-source-defined,Historical Riemann-Lipschitz invariant K obtained after the specified eliminations,generic Riemann curvature tensor; modern connection curvature two-form; Gaussian scalar curvature
JA-P21-C-SECONDVAR,concept,第二変分の正規形,ja,sealed P31 12646-12650; terminology record JA-P21-T009,held-source-defined,Exact Omega combination in equation 144 before elimination of second differentials,Hessian quadratic form at a critical point; Morse normal form; matrix canonical form
JA-P21-C-PARALLEL,concept,ベクトルの平行移動,ja,sealed P31 12664; Sho5Toma evidence; terminology record JA-P21-T010,internally-accepted,Connection-defined transport of a vector along a curve as interpretation of p(d delta)=0,Euclidean translation; translation group; moving a diagram without connection data
JA-P21-C-INVAR-VAR,concept,不変変分問題,ja,sealed P31 12666; terminology record JA-P21-T011,held-source-defined,Variational problem whose single or multiple integral J is invariant under a group in Lie's sense,problem merely containing an invariant; conserved-quantity problem
JA-P21-C-TOTAL-DIV,concept,全発散式,ja,sealed P31 12666; N35 and Sho5Toma base evidence; terminology record JA-P21-T012,held-source-defined,Total-divergence expression contributing a boundary term in the variational identity,analytic divergence or blow-up; divergent series; vector divergence without the boundary-term role
JA-P21-C-IDENTITY-DEP,concept,恒等的従属関係,ja,sealed P31 12666; N35 continuity; terminology record JA-P21-T013,held-source-defined,One of varrho identically valid dependence relations among the Lagrange expressions and derivatives through order sigma,causal or statistical dependence; numerical equation; unqualified functional dependence
