record,filename,class_hint,pages,text_pages,median_body_size,p10_body_size,p90_body_size,page_median_min,page_median_max,page_median_range,page_size_set,likely_scan_or_reference,warnings,bytes
main,10 Reader PDF - Kummer - Selected Papers.pdf,reader,225,224,11.96,10.91,11.96,10.91,11.96,1.05,595x842,False,,1459026
main,10 Reader PDF - Landau - Algebraic Numbers and Ideals.pdf,reader,160,159,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1464673
main,10 Reader PDF - Landau - Analytic and Geometric Number Theory.pdf,reader,116,116,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1094594
main,10 Reader PDF - Landau - Distribution of Prime Numbers Volume I.pdf,reader,288,284,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1705697
main,10 Reader PDF - Landau - Distribution of Prime Numbers Volume II Chapter 5.pdf,reader,41,41,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,190081
main,10 Reader PDF - Landau - Distribution of Prime Numbers Volume II Part 7.pdf,reader,38,38,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,185128
main,10 Reader PDF - Landau - Distribution of Prime Numbers Volume II.pdf,reader,156,152,11.96,11.96,11.96,11.96,14.35,2.39,595x842,False,inconsistent-page-font-size,964421
main,10 Reader PDF - Landau - Lectures on Number Theory Volume I.pdf,reader,264,264,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1417381
main,10 Reader PDF - Landau - Lectures on Number Theory Volume II.pdf,reader,88,88,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,653395
main,10 Reader PDF - Landau - Lectures on Number Theory Volume III.pdf,reader,109,105,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,591865
main,10 Reader PDF - Li Ye - Ceyuan Haijing and Fenlei Shishu.pdf,reader,84,80,10.91,10.91,11.96,10.91,11.96,1.05,595x842,False,,511534
main,10 Reader PDF - Li Ye - Ceyuan Haijing.pdf,reader,56,46,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,538551
main,10 Reader PDF - Lie - Theory of Transformation Groups Volume I.pdf,reader,40,40,10.91,10.91,10.91,10.84,10.94,0.1,595x842,False,,401695
main,10 Reader PDF - Macaulay - Algebraic Theory of Modular Systems.pdf,reader,58,52,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,290597
main,10 Reader PDF - Minkowski - Diophantine Approximations.pdf,reader,225,224,11.96,11.96,11.96,9.96,14.35,4.39,595x842,False,inconsistent-page-font-size,1614368
main,10 Reader PDF - Minkowski - Geometry of Numbers.pdf,reader,280,279,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1946598
main,10 Reader PDF - Nine Chapters on the Mathematical Art.pdf,reader,45,39,10.91,10.91,10.91,10.91,11.45,0.54,595x842,False,,576733
main,10 Reader PDF - Omar Khayyam - Sinaat al-Jabr.pdf,reader,13,13,10.5,10.5,10.5,9.0,11.0,2.0,595x842,False,inconsistent-page-font-size,236858
main,10 Reader PDF - Picard - Traite d analyse.pdf,reader,657,604,11.96,11.96,11.96,11.96,17.22,5.26,459x697; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,2123122
main,10 Reader PDF - Qin Jiushao - Shushu Jiuzhang.pdf,reader,72,48,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,754436
main,10 Reader PDF - Riemann - Gesammelte Werke Complete Draft.pdf,reader,512,505,11.96,9.96,11.96,7.97,11.96,3.99,446x677; 468x666; 468x684; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,2929141
main,10 Reader PDF - Riemann - Selected Papers.pdf,reader,228,226,11.96,10.91,11.96,10.91,11.96,1.05,595x842,False,,1389110
main,10 Reader PDF - Rosen - Algebra of Mohammed ben Musa 1831.pdf,reader,20,15,8.97,8.97,9.86,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,65227
main,10 Reader PDF - Ruska - Zur aeltesten arabischen Algebra 1917.pdf,reader,9,6,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,114046
main,10 Reader PDF - SGA 1 - Revetements etales et groupe fondamental Modern French.pdf,reader,343,335,9.96,9.96,9.96,7.97,10.91,2.94,612x792,False,inconsistent-page-font-size,2566756
main,10 Reader PDF - SGA 2 - Cohomologie locale Modern French.pdf,reader,216,208,9.96,9.96,9.96,7.97,10.91,2.94,612x792,False,inconsistent-page-font-size,1576954
main,10 Reader PDF - SGA 3 - Schemas en groupes Modern French.pdf,reader,1366,1355,9.96,9.96,9.96,7.97,9.96,1.99,595x842; 612x792,False,inconsistent-page-font-size;mixed-page-sizes,14162018
main,10 Reader PDF - SGA 4 - Theorie des topos et cohomologie etale Modern French.pdf,reader,874,840,11.96,11.96,11.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,4851249
main,10 Reader PDF - Sunzi - Suanjing.pdf,reader,18,14,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,130015
main,10 Reader PDF - Yang Hui - Xiangjie Jiuzhang.pdf,reader,64,59,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,567377
main,10 Reader PDF - Zhu Shijie - Suanxue Qimeng.pdf,reader,25,25,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,2117148
sga,00 SGA 5 - High-Fidelity Source-Checked Edition through Expose VII Opening - French Reconstruction.pdf,reader,187,187,10.91,10.91,10.91,10.85,10.95,0.1,612x792,False,,1181274
sga,01 SGA 5 - High-Fidelity Source-Checked Edition through Expose VII Opening - English Translation.pdf,reader,184,184,10.91,10.91,10.91,10.86,11.02,0.16,612x792,False,,1164112
sga,02 SGA 3 - Existing English Translation Clean Rebuild.pdf,reader,1389,1389,8.27,8.27,8.27,6.62,8.27,1.65,612x792,False,body-font-small;inconsistent-page-font-size,5333189
sga,10 SGA 1 - Existing English Translation Snapshot.pdf,reader,321,321,9.93,9.93,9.93,9.93,9.93,0.0,612x792,False,,1258496
sga,11 SGA 2 - Existing English Translation Snapshot.pdf,reader,211,211,9.93,9.93,9.93,8.27,9.93,1.66,612x792,False,inconsistent-page-font-size,833670
sga,13 SGA 4 - English Translation Working Draft.pdf,reader,484,483,10.91,10.91,10.91,10.83,11.02,0.19,612x792,False,,2173339
sga,30 SGA 5 - Current English Working Draft from Available Segments.pdf,reader,133,132,10.91,10.91,10.91,10.85,10.97,0.12,612x792,False,,837675
sga,31 SGA 6 - Current English Working Draft.pdf,reader,231,229,10.91,10.91,10.91,10.88,11.02,0.14,612x792,False,,1167076
sga,32 SGA 7-I - Current English Working Draft through Expose IX Section 6.6.pdf,reader,106,105,10.91,10.91,10.91,10.8,10.94,0.14,612x792,False,,735687
sga,33 SGA 7-I - Expose VII Section 2.3 to Expose IX Section 6.6 Continuation.pdf,reader,50,50,10.91,10.91,10.91,10.8,10.94,0.14,612x792,False,,444040
sga,40 SGA 1 - French Reference PDF.pdf,reference,343,335,9.96,9.96,9.96,7.97,10.91,2.94,612x792,True,,2566756
sga,41 SGA 2 - French Reference PDF.pdf,reference,216,208,9.96,9.96,9.96,7.97,10.91,2.94,612x792,True,,1576954
sga,42 SGA 3 Part 1 - French Reference PDF.pdf,reference,614,607,9.96,9.96,9.96,7.97,9.96,1.99,595x842; 612x792,True,mixed-page-sizes,5728484
sga,43 SGA 3 Part 2 - French Reference PDF.pdf,reference,414,409,9.96,9.96,9.96,7.97,9.96,1.99,595x842; 612x792,True,mixed-page-sizes,4017907
sga,44 SGA 3 Part 3 - French Reference PDF.pdf,reference,337,331,9.96,9.96,9.96,7.97,9.96,1.99,595x842; 612x792,True,mixed-page-sizes,3109071
sga,45 SGA 4 Part 1 - French Reference PDF.pdf,reference,334,328,9.96,9.96,9.96,8.97,9.96,0.99,595x842,True,,2527056
sga,46 SGA 4 Part 2 - French Reference PDF.pdf,reference,290,282,9.96,9.96,9.96,8.97,9.96,0.99,595x842,True,,2387921
sga,47 SGA 4 Part 3 - French Reference PDF.pdf,reference,423,416,9.96,9.96,9.96,8.97,9.96,0.99,595x842,True,,3455559
sga,48 SGA 4.5 - French Reference PDF.pdf,reference,189,189,9.96,9.96,9.96,9.86,10.01,0.15,612x792,True,,1979274
sga,49 SGA 5 - French Reference PDF.pdf,reference,496,0,,,,,,,369x643; 381x646; 383x643; 383x646; 383x649; 386x643; 386x649; 389x649; 392x641; 392x649; 395x641; 395x643; 395x649; 398x643; 398x649; 398x658; 400x643; 400x646; 400x649; 400x658; 403x643; 403x646; 403x649; 403x655; 403x658; 403x660; 403x663; 403x666; 403x669; 406x643; 406x649; 406x658; 406x663; 406x666; 406x669; 409x643; 409x646; 409x649; 409x658; 409x663; 409x666; 409x669; 412x643; 412x649; 412x652; 412x655; 412x658; 412x660; 412x663; 412x666; 412x669; 415x643; 415x649; 415x652; 415x655; 415x658; 415x660; 415x663; 415x666; 415x669; 417x643; 417x646; 417x649; 417x652; 417x655; 417x658; 417x660; 417x663; 417x666; 417x669; 420x643; 420x649; 420x652; 420x655; 420x658; 420x660; 420x663; 420x666; 420x669; 423x649; 423x652; 423x655; 423x658; 423x660; 423x663; 423x666; 423x669; 426x649; 426x652; 426x655; 426x658; 426x660; 426x663; 426x666; 429x652; 429x655; 429x658; 429x660; 429x663; 432x663; 434x669,True,mixed-page-sizes,59033040
sga,50 SGA 6 - French Reference PDF.pdf,reference,702,0,,,,,,,612x792,True,,54325694
sga,51 SGA 7 Tome 1 - French Reference PDF.pdf,reference,528,0,,,,,,,612x792,True,,37362787
sga,52 SGA 7 Tome 2 - French Reference PDF.pdf,reference,444,0,,,,,,,612x792,True,,27494742
ega,00 EGA - English Translation Working Draft.pdf,reader,753,752,9.96,9.96,10.0,7.97,10.06,2.09,612x792,False,inconsistent-page-font-size,7500298
ega,01 EGA IV - English Translation Working Draft (Sections 1-21).pdf,reader,514,514,9.96,9.96,10.0,9.95,10.06,0.11,612x792,False,,5297864
ega,"10 EGA I - French Original (NUMDAM PMIHES 4, 1960).pdf",reference,227,224,10.84,10.66,10.96,8.14,17.37,9.23,518x700; 525x731; 531x729; 533x735; 536x718; 536x727; 538x725; 538x734; 541x732; 543x727; 559x741; 567x740; 569x738; 572x743; 593x842; 595x748; 600x752; 601x752; 601x753; 601x842; 602x753; 602x754; 603x754; 603x755; 604x755; 605x755; 605x756; 606x756; 606x757; 607x757; 607x758; 608x758; 609x759; 610x759; 611x761; 612x761; 614x762; 616x764; 618x766; 625x771,True,mixed-page-sizes,31680717
ega,"11 EGA II - French Original (NUMDAM PMIHES 8, 1961).pdf",reference,219,215,10.81,10.52,10.92,8.32,11.14,2.82,593x842; 595x748; 600x752; 601x753; 601x842; 602x753; 602x754; 603x754; 603x755; 604x755; 604x756; 605x756; 606x757; 607x758; 610x759; 610x760,True,mixed-page-sizes,27414108
ega,"12 EGA III Part 1 - French Original (NUMDAM PMIHES 11, 1961).pdf",reference,164,162,10.85,10.69,11.03,8.34,11.31,2.97,593x842; 595x841; 600x845; 601x842; 601x846; 602x846; 603x847; 603x848; 604x848; 605x848; 605x849; 606x849; 607x850; 608x850; 608x851; 609x851; 610x852; 611x853; 625x863,True,mixed-page-sizes,19942549
ega,"13 EGA III Part 2 - French Original (NUMDAM PMIHES 17, 1963).pdf",reference,90,89,10.81,10.66,10.93,8.32,13.71,5.39,593x842; 595x841; 601x842; 601x846; 602x846; 602x847; 603x847; 603x848; 604x848; 605x848; 605x849; 607x850; 610x852; 611x853; 646x877,True,mixed-page-sizes,10856434
ega,"14 EGA IV Part 1 - French Original (NUMDAM PMIHES 20, 1964).pdf",reference,258,258,10.79,10.08,10.92,7.94,13.64,5.7,595x841; 600x845; 601x842; 601x846; 602x846; 602x847; 603x847; 603x848; 604x848; 605x848; 605x849; 606x849; 606x850; 607x850; 608x850; 609x851; 610x852; 612x853; 612x854,True,mixed-page-sizes,31990654
ega,"15 EGA IV Part 2 - French Original (NUMDAM PMIHES 24, 1965).pdf",reference,228,228,10.8,8.98,10.9,8.21,11.36,3.15,595x841; 600x845; 601x842; 601x846; 602x846; 602x847; 603x847; 604x848; 605x848; 605x849; 606x849; 606x850; 607x850; 608x850; 608x851; 609x851; 609x852; 610x852; 611x853; 612x853; 612x854; 613x854; 614x855; 615x855; 616x856; 617x857,True,mixed-page-sizes,31819022
ega,"16 EGA IV Part 3 - French Original (NUMDAM PMIHES 28, 1966).pdf",reference,254,253,10.96,10.2,11.33,8.35,13.02,4.67,595x841; 595x842; 596x842; 596x843; 597x843; 598x843; 598x844; 599x844; 599x845; 600x845; 601x842; 601x846; 602x846; 603x847; 603x848; 604x848; 605x848; 605x849; 606x849; 607x850; 608x850; 608x851; 609x851; 609x852; 610x852; 611x852; 611x853; 612x853; 612x854; 613x854; 614x854; 614x855; 615x855; 615x856; 616x856; 617x857; 618x857; 618x858; 619x858; 620x859; 621x859; 621x860; 622x860,True,mixed-page-sizes,34399720
ega,"17 EGA IV Part 4 - French Original (NUMDAM PMIHES 32, 1967).pdf",reference,360,358,10.81,10.12,10.93,8.36,13.53,5.17,593x842; 595x841; 600x845; 601x842; 601x846; 602x846; 602x847; 603x847; 603x848; 604x848; 605x848; 605x849; 606x849; 606x850; 607x850; 608x850; 609x851; 609x852; 610x852; 611x853; 612x854; 613x854; 619x858,True,mixed-page-sizes,49852990
weber,"00 Heinrich Weber - Lehrbuch der Algebra, Volume II Tail and Volume III Sections 1-45 - German Source.pdf",reader,210,210,10.91,10.9,10.91,9.96,10.94,0.98,595x842,False,,1255292
weber,"01 Heinrich Weber - Lehrbuch der Algebra, Volume II Tail and Volume III Sections 1-45 - English Translation.pdf",reader,206,206,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,1221757
weber,"20 Weber - Lehrbuch der Algebra, Volume I - Modern LaTeX Draft.pdf",reader,635,627,11.96,11.96,11.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,4183386
weber,"21 Weber - Lehrbuch der Algebra, Volume III - Modern LaTeX Draft.pdf",reader,484,474,11.96,10.91,11.96,9.96,12.02,2.06,595x842,False,inconsistent-page-font-size,3407501
weber,"22 Weber - Lehrbuch der Algebra, Volume II - English Translation Draft.pdf",reader,321,295,10.91,10.91,10.91,10.8,11.02,0.22,595x842,False,,1312530
weber,"23 Weber - Lehrbuch der Algebra, Volume I - English Translation Draft.pdf",reader,15,15,10.91,10.91,10.91,10.9,10.91,0.01,595x842,False,,319809
noether,00 Emmy Noether - Papers 1-10 - Original German Modern LaTeX.pdf,reader,116,116,10.91,10.87,10.91,3.46,10.95,7.49,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,989170
noether,01 Emmy Noether - Papers 1-10 - English Translation.pdf,reader,115,115,10.91,10.85,10.91,3.46,10.91,7.45,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,967069
noether,02 Noether - Paper 01 - Original German Editable LaTeX.pdf,reader,3,3,10.91,10.88,10.91,10.88,10.91,0.03,595x842,False,,244264
noether,03 Noether - Paper 01 - English High-Fidelity Translation.pdf,reader,3,3,10.8,10.8,10.91,10.8,10.91,0.11,595x842,False,,273673
noether,04 Noether - Paper 02 Complete - Original German Editable LaTeX.pdf,reader,40,40,10.91,10.8,10.91,3.44,10.91,7.47,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,658775
noether,05 Noether - Paper 02 Complete - English High-Fidelity Translation.pdf,reader,40,40,10.91,10.81,10.91,3.44,10.94,7.5,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,644774
noether,06 Emmy Noether - Paper 10 - The Functional Equations of the Isomorphic Mapping - Original German Modern LaTeX.pdf,reader,6,6,10.91,10.84,10.91,10.84,10.91,0.07,595x842,False,,279747
noether,07 Emmy Noether - Paper 10 - The Functional Equations of the Isomorphic Mapping - English Translation.pdf,reader,6,6,10.91,10.9,10.94,10.8,10.94,0.14,595x842,False,,269063
noether,40 Noether - Selected Mathematical Papers - Modern LaTeX Draft.pdf,reader,531,526,11.96,9.96,11.96,7.97,11.96,3.99,420x595; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,6859364
noether,41 Noether - English Translation Drafts.pdf,reader,261,261,10.91,10.9,10.93,10.8,11.02,0.22,612x792,False,,1283149
riemann,10 Reader PDF - Riemann - Gesammelte Werke Complete Draft.pdf,reader,511,505,11.96,9.96,11.96,7.97,11.96,3.99,446x677; 468x666; 468x684; 595x842,False,inconsistent-page-font-size;mixed-page-sizes,2983207
riemann,10 Reader PDF - Riemann - Selected Papers.pdf,reader,228,226,11.96,10.91,11.96,10.91,11.96,1.05,595x842,False,,1389110
non_eu,00 Project Guide - Non-European Mathematics Manuscripts.pdf,reader,2,2,9.1,9.1,9.1,9.1,9.1,0.0,595x842,False,,17031
non_eu,"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",reader,68,65,8.97,8.97,10.91,8.97,10.91,1.94,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,668370
non_eu,"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,144,143,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,1252215
non_eu,"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,101,100,10.91,8.97,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,1096138
non_eu,10-04 English Translation - Sunzi Suanjing.pdf,reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,293131
non_eu,"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",reader,67,65,9.96,8.97,9.96,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,871556
non_eu,"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,68,68,8.97,8.97,9.96,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,612232
non_eu,10-07 English Translation - Aryabhata - Aryabhatiya.pdf,reader,18,18,9.96,9.96,9.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,138597
non_eu,"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,59,59,10.91,10.91,12.55,10.31,13.75,3.44,595x842,False,inconsistent-page-font-size,403477
non_eu,10-09 English Translation - Bhaskara II - Lilavati.pdf,reader,23,22,9.96,9.96,10.91,9.96,10.91,0.95,595x842,False,,150995
non_eu,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,220,216,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,1219065
non_eu,10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,reader,30,30,10.91,10.91,10.91,10.91,11.78,0.87,595x842,False,,209117
non_eu,10-12 English Translation - al-Khwarizmi - Algebra.pdf,reader,34,34,10.91,10.91,10.91,9.96,11.78,1.82,595x842,False,inconsistent-page-font-size,210158
non_eu,10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,reader,22,22,10.91,10.91,11.45,10.46,11.45,0.99,595x842,False,,216804
non_eu,10-14 English Translation - Robert of Chester and Karpinski.pdf,reader,28,27,10.91,10.91,10.91,9.96,14.35,4.39,595x842,False,inconsistent-page-font-size,158674
non_eu,10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,reader,15,15,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,125405
non_eu,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,reader,42,42,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,305968
non_eu,10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,reader,50,50,9.96,9.96,9.96,9.96,9.96,0.0,595x842,False,,394504
non_eu,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,15,15,10.91,9.96,10.96,9.86,14.35,4.49,595x842,False,inconsistent-page-font-size,128368
non_eu,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,19,19,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,171538
non_eu,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,12,12,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,128103
non_eu,10-21 English Translation - Smith-Karpinski - Numerals.pdf,reader,16,16,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,126974
non_eu,"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",reader,37,36,9.96,8.97,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,597717
non_eu,"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,86,83,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,1015749
non_eu,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,109,106,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,736160
non_eu,"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",reader,71,66,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,827291
non_eu,20-05 Modern Chinese - Sunzi Suanjing.pdf,reader,16,16,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,215480
non_eu,"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",reader,80,79,9.96,9.96,17.22,9.96,17.22,7.26,595x842,False,inconsistent-page-font-size;wide-font-size-spread,889193
non_eu,"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,38,37,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,533577
non_eu,"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",reader,83,83,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,798856
non_eu,"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",reader,26,26,8.97,8.97,9.96,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,659157
non_eu,"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",reader,27,27,11.46,11.46,12.55,11.46,12.55,1.09,595x842,False,,348402
non_eu,30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,reader,29,29,11.78,10.91,11.78,10.91,11.78,0.87,595x842,False,,178540
non_eu,30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,reader,43,42,9.96,9.96,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,166389
non_eu,30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,reader,14,14,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,104480
non_eu,"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",reader,79,75,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,777900
non_eu,"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,93,92,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,802071
non_eu,40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,115,108,10.91,10.91,11.96,10.91,11.96,1.05,595x842,False,,660695
non_eu,40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,reader,6,6,11.96,11.96,11.96,11.96,11.96,0.0,595x842,False,,1307949
non_eu,"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,103,99,10.91,10.91,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,1080169
non_eu,40-06 Chinese Original - Sunzi Suanjing.pdf,reader,32,32,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,262001
non_eu,"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",reader,88,87,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,832959
non_eu,"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,49,49,10.91,10.91,10.91,10.91,11.96,1.05,595x842,False,,3190438
non_eu,50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,reader,18,18,9.96,9.96,9.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,142119
non_eu,"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,59,59,10.91,10.91,12.55,10.31,13.75,3.44,595x842,False,inconsistent-page-font-size,403477
non_eu,50-03 Indian Original - Bhaskara II - Lilavati.pdf,reader,16,16,9.96,9.96,9.96,8.97,9.96,0.99,595x842,False,,143495
non_eu,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,279,257,10.91,10.91,12.55,9.96,13.75,3.79,595x842,False,inconsistent-page-font-size,1624656
