filename,bytes,severity,reasons,pages,text_chars,blank_or_near_blank_text_pages,blank_or_near_blank_count,garbage_chars_total,garbage_chars_by_char,garbage_by_page,process_hits
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",1122234,review,process_hits=2,104,203430,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 数书九章 Mathematical Treatise in Nine Sections Fascicle I – The Dayan Ca'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-04 English Translation - Sunzi Suanjing.pdf,329237,review,process_hits=2,25,32743,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Classical Chinese Mathematics 孫子算經 Sunzi Suanjing Master Sun’s Mathem'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",907720,review,process_hits=2,68,94667,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Detailed Analysis of the Mathematical Methods in the Nine Chapters 詳解'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",678446,review,process_hits=2,77,152327,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Bilingual Edition 新編算學啓蒙・Suanxue Qimeng Introduction to Mathematical'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,157472,review,process_hits=2,21,25185,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 आयर्भटीयम् Aryabhatiya of Aryabhata BILINGUAL SANSKRIT–ENGLISH EDITIO'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",413165,review,process_hits=2,63,67606,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 BILINGUAL EDITION Sanskrit – English / Saṃskṛta – Aṇgla बीजगिणतमध्यगि'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-09 English Translation - Bhaskara II - Lilavati.pdf,187197,review,process_hits=2,24,28035,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 ॥श्रीः॥ लीलावती श्रीभास्कराचायर्िवरिचता Līlāvatī of Bhāskarācārya Bil'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,2008244,review,process_hits=2,284,473020,[165],1,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 columnsep color श्रीब्रह्मगुप्ताचायर्-िवरिचत Brāhma-sphuṭa-siddhānta'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,217171,review,process_hits=2,35,42244,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 ﺑﺴﻢﺍﻪﻠﻟﺍﻟﺮﺣﻤﻦﺍﻟﺮﺣﻴﻢ Miftāh al-Ḥisāb The Key to Arithmetic Bilingual E'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-12 English Translation - al-Khwarizmi - Algebra.pdf,229780,review,process_hits=2,48,51476,"[7, 35]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 KITĀB AL-MUKHTAṢAR FĪ ḤISĀB AL-JABR WA-L-MUQĀBALA \uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff\uffff'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,208792,review,process_hits=2,23,38796,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Kitab ShaKl al-Qatta’ TReatise on the Q\ue065adRilateRal ∗∗∗∗∗ Bilingual E'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-14 English Translation - Robert of Chester and Karpinski.pdf,210652,review,process_hits=2,45,63913,"[9, 20, 21, 25, 37, 42, 43]",7,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 1 Al-Khwarizmi’s Algebra — Bilingual Edition oemtitleo> 1 columnrule'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,165082,review,process_hits=2,19,21020,"[2, 3]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 1 tcb@breakable 2 ʿUmar al-Khayyām (1048–1131 CE / 430–517 AH) ﺭﺳﺎﻟ'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,370401,review,process_hits=2,53,155021,[5],1,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 oemtitleo> 1 -termt>1 [2\uffff ENHANCED BILINGUAL EDITION Original Arabic'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,473682,review,process_hits=2,66,297459,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Sitzungsberichte der Heidelberger Akademie der Wissenschaften Stiftun'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,89741,review,process_hits=2; many_blank_text_pages=6,16,8102,"[2, 4, 8, 9, 14, 15]",6,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 ُﻛِﺘَﺎﺏ ﺃ ﺍ ﻑ ﺍ ﻝ ُﻭَﻛَﺮَﻣِﻪِﺑِﻤَﻨِّﻪِﻋَﻨْﻪُﻭَﻋَﻔَﺎﺗَﻌَﺎﻟَﻰﺍﻪﻠﻟَّ ُﻭ'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,176006,review,process_hits=2,20,34435,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 20pt ﻛﺘﺎﺏﺍﻟﻔﻬﺮﺳﺖ Kitāb al-Fihrist — The Book Catalogue A Bilingual AR'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,155870,review,process_hits=2,13,25103,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Tabaqat al-Umam (CategoRies of Nations) ِﻛِﺘَﺎﺏُﻃَﺒَﻘَﺎﺕِﺍﻟْﺄُﻣَﻢ Bil'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
10-21 English Translation - Smith-Karpinski - Numerals.pdf,166423,review,process_hits=2,18,35009,[],0,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 Enhanced Edition with ORiginal SouRce Languages RestoRed Arabic • Dev'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'lish Translation Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - English Translation. \x88 The visible PDF is the front-facing translation reader; source TeX and support m'}]"
"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",649396,review,process_hits=2,44,47670,"[18, 36]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 九章算術 文言文与白话文对照版 Bilingual Edition: Classical & Modern Chinese 卷一至卷三 卷'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '9 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",1062309,review,garbage_chars=371; process_hits=2,90,111233,[48],1,371,"{'■': 2, '□': 369}","[{'page': 49, 'garbage_chars': 2}, {'page': 50, 'garbage_chars': 10}, {'page': 51, 'garbage_chars': 21}, {'page': 52, 'garbage_chars': 12}, {'page': 53, 'garbage_chars': 21}, {'page': 54, 'garbage_chars': 20}, {'page': 55, 'garbage_chars': 10}, {'page': 56, 'garbage_chars': 14}, {'page': 57, 'garbage_chars': 18}, {'page': 58, 'garbage_chars': 20}, {'page': 59, 'garbage_chars': 24}, {'page': 60, 'garbage_chars': 27}, {'page': 61, 'garbage_chars': 15}, {'page': 62, 'garbage_chars': 18}, {'page': 63, 'garbage_chars': 27}, {'page': 64, 'garbage_chars': 14}, {'page': 65, 'garbage_chars': 14}, {'page': 66, 'garbage_chars': 22}, {'page': 67, 'garbage_chars': 24}, {'page': 68, 'garbage_chars': 29}, {'page': 69, 'garbage_chars': 9}]","[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 測圓海鏡 文言文←→白話文對照 Classical Chinese ←→Modern Chinese Vernacular 卷一—卷三 V'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '2 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,766682,review,process_hits=2,115,92711,"[4, 44]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 测圆海镜分类释术 文言文↔白话文对照版 Volumes I–III (卷一至卷三) 原著：（元）李冶撰 分类释术：（明）顾应祥 白话翻译：'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '0 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",880015,review,process_hits=2,75,75395,"[31, 58]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 文言文 秦九韶《数书九章・大衍类》 1 [Path=/mnt/agents/fonts/noto-sc-extracted/]NotoSa'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '9 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
20-05 Modern Chinese - Sunzi Suanjing.pdf,250035,review,process_hits=2,19,11235,"[2, 4]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 孙子算经・文言文白话文对照版 中国古典数学典籍 孙子算经 文言文白话文对照版 原题：孙子（约公元—世纪） 白话译文：现代汉语翻译 《算经'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': 'e Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",936390,review,process_hits=2,83,52476,"[23, 25]",2,0,{},[],"[{'pattern': '\\bsource\\s+TeX\\b', 'match': 'source TeX', 'context': 'ype - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support material are in the ZIP artifacts. 1 詳解九章算法 楊輝 著 南宋（約1238–1298 年） 文白對照版 Classical Chinese – Modern Chinese'}, {'pattern': '\\babout\\s+this\\s+reader\\b', 'match': 'About this reader', 'context': '3 Modern Chinese Modern LaTeX Editions of Public-Domain Mathematics Manuscripts About this reader \x88 Reader type - Modern Chinese. \x88 The visible PDF is the front-facing translation reader; source TeX and support materi'}]"
