physical_page	printed_page	source_record_sha256	english_record_sha256	apparatus_record_sha256	source_pdf_token_recall	english_pdf_token_recall	apparatus_pdf_token_recall	source_to_english_math_signature_recall	source_math_surfaces	english_math_surfaces	language_operation	programmatic_status	visual_status
44	123	B68B4F18A1EC1F7D52098B74C36A253F9B7C4CA5B28F58A0310EAEA7FB69FE95	E1569D844C1DA879D7F8E7202C983FB770C06DFCC105FB1ACCC778D2152095E3	4E7319FB3040E02CAC8C563AC73495E238B2A24DAC35EF223FE167CA9789D833	0.96571429	0.96648045	0.97435897	1.00000000	64	64	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
45	124	12255BA6D4A40955184EF830857272727CC243FC07260C98160956E9EC910388	C8CDADD101BC4454F45F20D78E9B318F0E6E8DB3EB44B8D547F291F85572F2BC	8ED100A59721801E7F78EEC9B7991F8190F3A01F283D0A59C44BE2F04C0EEB1B	0.94736842	0.94943820	0.95454545	1.00000000	76	75	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
46	125	D1B7591B6E5DF8CADB981E7079D60318BE6C9C0E31E062BE0860D17D17ECCB27	4FF6589D5F6EFF640F6A55695FD86E2FD17C51908763A27AE1C79ADE653682E5	77C5C57748156DB0C8503B7FB2AB0AEB41A2A038C839CE61B7B1CA4643089249	0.94915254	0.95783133	0.98333333	0.99570815	70	71	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
47	126	43811DD4DEF84A605EDA4FB7EC61BAC5C86DB57D20AC028D28CE7D5E29DB6FD6	80ED3B9E0702E877F856584D6FCC3865DFCAA26B0A461C53DFAA7D063D32BC6F	4138EAD6B390A3860A26DAE4D54CBD0EAD9F8F8A967505EFBC31FCCE3F5CAA75	0.99118943	0.99115044	1.00000000	1.00000000	37	37	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
48	127	A352FC60D42A84B6FA0FA428986C6CA737FA0AA461BD445B11DE0561C8F1BF8A	A034E92DE1783777F4C09B8058C3DE50E587285F384CB1E3CDECEA2D3D837548	AF916C04DA36C44C99176FD1EE66916ABFF550A633938EE0EF29C8EAEE97BDF6	1.00000000	1.00000000	1.00000000	1.00000000	5	5	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
49	128	4CA73A5F63ED08BEEFE32A24C805AD15939AC30E7D2B1F31466E45A9DDE0887A	F7947CD9A019A409E4266F59FA7608F79E44DD99C19BACB82ABC7E462E92781C	26C0758A7A22A6DEDB0D54B98FDE6DB51B663F30526B187CB71605236EC065A0	1.00000000	1.00000000	0.98461538	1.00000000	41	41	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
50	129	E7BE2F65147F998C2E51DC7A6989589586721204ECA20E74317706FC8DFE9BE6	1DB769B7E75E699B1C8D5254E6E98DF98935B5109A9A8EB07EEFE95F38B18199	E9C3AA324D92AAD161623BE36E1E842FF76908E8CD987F08F4A41EA25E0F2A9A	1.00000000	1.00000000	1.00000000	1.00000000	52	52	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
51	130	B65D07BA41E158520C6B09CAD4146A5B2BEB8045236D136CE8414ACC6DF6D0C9	AA4C9E5770A17BEB763376CA2026754283A532BDBA02042CD71D3BE546028971	B3C76B041C18C81FCDDF1B53FF138A96F38239FB7A2CF721678536DC866F19CF	0.98373984	0.98373984	1.00000000	1.00000000	40	40	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
52	131	1F2A7FF7E5E74397512C5313B8B051061746324A4F9CAC69F2346D03595BA521	DE558904310248E1669B85DDDA661A96745C9B016065214483D61F40FB5C702D	808795C2F8D84C3CA4CB51D4F243835BA897119BDA48C75E4D30D30CE4907867	0.98305085	0.98305085	1.00000000	1.00000000	68	68	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
53	132	B07A2F59157F274A31C465462C3368F67C119926DA2B2A9FB0AA5DE75818A6CA	0EB058A59AB25D322E2EBE9A99733332347F129138ADD1C44AA591501450A15A	0A585ADD8807836314744E202EA7A7F4330F80818939EC5F1921EEAA0AB949C6	0.99152542	0.99152542	1.00000000	1.00000000	33	33	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
54	133	77CA1A539DAB294EDA484C6E4E77DB365F0F4E1462D7CA231ABABF9638A554A8	DB0D06078782856CD59F337F8A345402DF0B975693B1F50934AF47F670953E64	FFF244A395AC6EAA03BD56D1010F41551C7224983430DBC6B8C4788A5F7AA838	0.97087379	0.97087379	1.00000000	1.00000000	19	19	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
55	134	4F46B125D1B2340E666DA66A7CA800CEACCBBFB37707DFF7A8D316EE3FBFC6C0	2ED7B1579E31DC952BA398321EF571937A48E82A3932EDC66338B709DB8C6221	06FD293FE7FCDA5275062D08A0ADF9A8504201C9F0CA5FB357392B5EDA946A91	0.98701299	0.98701299	1.00000000	1.00000000	28	28	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
56	135	46F440A327EE4527D38C99449A1A6B57D543A007BD7BEA7866A9DBEC4A1C035E	247C33393A0709CAF6A1E9D1E52122431896BD6DE48E77E8862CE0AC154E84C6	A2FEC4E669503FFF15093151E527B072B50B5639780BC1D1DD6B7208A70C118E	0.98895028	0.98895028	0.96666667	1.00000000	54	54	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
57	136	9D619E6421CECF87F9BB384CB6EC51458F9E43FD44D72D4B73E1D233E2E2BC4E	554E575E747A8C4CF6532E1A808A7C07C6E1A05B1A24105EA9F400533558FFEF	9097A49DE46990DFC49840D6A14A1909721537634576300224DEC8D85D382EF8	0.98561151	0.98561151	1.00000000	1.00000000	24	24	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
58	137	EDC1BD6AA12751578689AD0B3E6874FD66F73D16A02F1EA5E2FF65D075F8C1A2	3FC7960227FE81D12D87D302F81E8D447090D92BFE7103EB2EE6221015DCAABC	DA3626AAF9C0045625143E9AEBBDB0B3A487029EBB49B02DFA9F022CB369ECFE	1.00000000	1.00000000	1.00000000	1.00000000	6	6	SOURCE_ALREADY_ENGLISH_REPLAY	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
