english	hi_deva_in	status	register_or_domain	authority	rationale_or_rejected_choice
continuum	सातत्य	provisional controlled	analysis/set theory	CSTT academic usage; transparent Sanskritic formation	Retain continuum in the English sidecar; the parenthetical Hindi label is reader-facing.
alphabet	वर्णमाला	controlled	formal languages	CSTT/native Hindi computing usage	Preserves the formal-language sense; not a translation of the identifier A.
finite string	परिमित वर्ण-शृंखला	controlled	formal languages	transparent Hindi pedagogical register; CSTT indexes string as रज्जु माला	Prefer a reader-comprehensible native compound; retain string and CSTT रज्जु माला as indexed alternatives, reject bare स्ट्रिंग in main prose.
empty string	रिक्त वर्ण-शृंखला	controlled	formal languages	compositional with controlled रिक्त and वर्ण-शृंखला	Preserve the formal symbol Lambda and translate only the reader-facing name.
string length	वर्ण-शृंखला की लंबाई	controlled	formal languages	transparent Hindi pedagogical register	Preserve the formal command and value in len(x)=n.
infinite sequence	अनंत अनुक्रम	controlled	set theory/formal languages	CSTT/native Hindi mathematics usage	Reject infinite sequence hybrid; sequence remains अनुक्रम.
union	सम्मिलन	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use the native textbook term; reject यूनियन and bare English union in main prose.
intersection	सर्वनिष्ठ	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use the NCERT term for the operation denoted by intersection; reject इंटरसेक्शन.
common element	उभयनिष्ठ अवयव	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Makes the shared-membership sense explicit and supports the intersection definition.
disjoint sets	असंयुक्त समुच्चय	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Preserve the empty-intersection criterion; reject disjoint सेट.
set difference	समुच्चय-अंतर	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Use अंतर in the caption and hyphenated समुच्चय-अंतर at first formal definition; reject difference transliteration.
operation	संक्रिया	controlled	mathematics	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Standard mathematical operation term; reject ऑपरेशन in main prose.
index	सूचकांक	controlled	indexed families	CSTT/native Hindi mathematics usage	Preserve the formal index set I and subscripts; reject इंडेक्स in main prose.
dual operation	द्वैत संक्रिया	controlled	logic/mathematics	CSTT/native academic Hindi usage	Quoted as in source on first use; preserve the conceptual duality without English substitution.
ordered pair	क्रमित युग्म	controlled	set theory	CSTT Fundamental/Learners Glossary of Mathematics; NCERT Hindi Class XI via IIT Kanpur SATHEE	Exact official headword and native textbook term; reject ordered पेयर and अनुरूपित युग्म.
unordered pair	अक्रमित युग्म	controlled	set theory	compositional contrast with CSTT क्रमित युग्म; IIT Kanpur SATHEE set-theory usage	Preserve the source contrast with ordered pairs; reject unordered पेयर.
triple	त्रिक	controlled	set theory/relations	NCERT Hindi Class XI via IIT Kanpur SATHEE	Use the native textbook term for a three-component ordered group; reject ट्रिपल.
quadruple	चतुष्टय	provisional controlled	set theory/relations	transparent native mathematical formation paired with the displayed four-component object	Reject क्वाड्रपल; the displayed nesting makes the intended arity explicit.
ordered n-tuple	क्रमित n-अवयवी समूह	reader-facing controlled gloss	set theory/relations	transparent Hindi pedagogical formation; NCERT controls क्रमित, अवयव, युग्म and त्रिक	Avoid the opaque transliteration n-टपल; preserve n and the displayed tuple command as formal notation.
Cartesian product	कार्तीय गुणनफल	controlled	set theory/relations	NCERT Hindi Class XI Relations and Functions via IIT Kanpur SATHEE	Native textbook term for A × B; कार्तीय गुणन retained as indexed variant, reject Cartesian product transliteration.
recursive definition	पुनरावर्ती परिभाषा	controlled	logic/mathematics	CSTT/native Hindi computing and mathematics usage	Preserve the recurrence equations literally; reject recursive definition hybrid.
induction	आगमन	controlled	logic/mathematics	CSTT/native Hindi mathematics usage	Use k पर आगमन for induction on k; reject इंडक्शन.
grid	जालिका	controlled	mathematics/visualization	CSTT/native academic Hindi usage	Describes the displayed rectangular arrangement without altering its array syntax.
word over an alphabet	वर्णमाला पर बना शब्द	controlled	formal languages	transparent Hindi formal-language register, consistent with controlled वर्णमाला and वर्ण-शृंखला	Use A पर बना शब्द in context; preserve formal A* and reject bare वर्ड.
Russell's paradox	रसेल का विरोधाभास	controlled	set theory/logic	CSTT controls paradox as विरोधाभास; native Hindi mathematical naming	Preserve Russell as the proper name रसेल; reject English Paradox and विरोधोक्ति as the main edition term.
set-builder form / comprehension	समुच्चय-निर्माण	controlled	set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Native textbook term for describing a set by the common property of exactly its elements; reject सेट-बिल्डर and opaque comprehension transliteration.
property	गुणधर्म	controlled	logic/set theory	NCERT Hindi Class XI Sets via IIT Kanpur SATHEE	Distinguish a defining property from a mere informal description; reject प्रॉपर्टी.
contradiction	विरोधाभास	controlled	logic	CSTT fundamental glossaries; native Hindi logic usage	Use the same controlled family for paradox and contradiction where context disambiguates; reject कॉन्ट्राडिक्शन.
non-self-membered	स्वयं का अवयव न होने वाला	reader-facing controlled gloss	set theory	transparent composition with controlled अवयव	Prefer the explicit relation over an opaque coined noun or self-membered transliteration.
axiom	अभिगृहीत	controlled	mathematics/logic	NCERT Hindi mathematics via IIT Kanpur SATHEE; CSTT academic usage	Official/native mathematical term; reject एक्सिओम and do not conflate with theorem.
inconsistent	असंगत	controlled	logic	CSTT/native Hindi academic usage	Preserve the logical sense of jointly untenable claims; reject इनकंसिस्टेंट.
naive set theory	अनौपचारिक समुच्चय सिद्धान्त	reader-facing controlled gloss	set theory	pedagogical semantic gloss paired with explicit absence of precise existence axioms	Avoid naïve/नैव transliteration; English remains only in the terminology sidecar.
relation	संबंध	controlled	set theory/logic	NCERT Hindi mathematics via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Use the established reader term throughout; reject रिलेशन and रिश्ता in mathematical prose.
binary relation	द्वयी संबंध	controlled	set theory/logic	CSTT Fundamental Glossary of Computer Science; CSTT Gyan Garima terminology record	Official headword; reject बाइनरी संबंध, while द्विचर संबंध remains an indexed cross-domain variant.
order relation	क्रम-संबंध	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics; native Hindi university syllabus usage	Use the hyphenated compound at first mention and क्रम thereafter where unambiguous.
identity relation	तत्समक संबंध	controlled	set theory/logic	CSTT Fundamental Glossary of Mathematics; IIT Kanpur SATHEE Hindi mathematics	Official/native term for the diagonal relation; reject आइडेंटिटी संबंध.
less-than relation	‘से छोटा है’ संबंध	reader-facing controlled gloss	set theory/order theory	NCERT Hindi relational phrasing via IIT Kanpur SATHEE	The quoted predicate is immediately tied to the preserved symbol <; reject an opaque coined noun.
greater-than relation	‘से बड़ा है’ संबंध	reader-facing controlled gloss	set theory/order theory	NCERT Hindi relational phrasing via IIT Kanpur SATHEE	The quoted predicate is immediately tied to the preserved symbol >; reject English greater-than.
less-than-or-equal relation	‘से छोटा या बराबर है’ संबंध	reader-facing controlled gloss	set theory/order theory	transparent Hindi mathematical phrasing paired with preserved symbol ≤	Preserve the source relation and use the displayed inequality to disambiguate.
greater-than-or-equal relation	‘से बड़ा या बराबर है’ संबंध	reader-facing controlled gloss	set theory/order theory	transparent Hindi mathematical phrasing paired with preserved symbol ≥	Preserve the source relation and use the displayed inequality to disambiguate.
order	क्रम	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics; native Hindi university syllabus usage	Use for the technical relation class, not for arbitrary textual sequence.
irreflexive	अस्वतुल्य	controlled	set theory/logic	IGNOU eGyanKosh Hindi mathematics; CSTT cross-domain relation terminology	The accompanying definition makes the no-self-pair condition explicit; reject untranslated irreflexive.
strict order	प्रबल क्रम	controlled	set theory/order theory	CSTT terminology record for strong (strict) order	Use only when the relation is both an order and irreflexive; reject स्ट्रिक्ट ऑर्डर.
empty relation	रिक्त संबंध	controlled	set theory/logic	IIT Kanpur SATHEE Hindi mathematics	Preserve the empty-set symbol and reject empty रिलेशन.
universal relation	सार्वत्रिक संबंध	controlled	set theory/logic	IIT Kanpur SATHEE Hindi mathematics	Preserve A^2 as the formal universal relation on A; reject यूनिवर्सल संबंध.
diagonal	विकर्ण	controlled	set theory/linear algebra	CSTT/native Hindi mathematics usage	Use for the displayed matrix diagonal; do not confuse with Cartesian-product geometry.
domain	प्रांत	controlled	set theory/functions	NCERT Hindi Class XI/XII via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Use the native textbook term for the underlying set on which a relation is considered; reject डोमेन in main prose.
reflexivity	स्वतुल्यता	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; IGNOU eGyanKosh Hindi mathematics	Nominal form paired with the definition heading; do not confuse with equivalence.
reflexive	स्वतुल्य	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; CSTT computer-science glossary	Native textbook and official glossary term; reject रिफ्लेक्सिव and the misleading स्वतः.
transitivity	संक्रामकता	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Nominal form used in the definition heading and derived transparently from controlled संक्रामक.
transitive	संक्रामक	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Native textbook term; reject ट्रांज़िटिव and संचारी in this edition.
symmetry	सममिति	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Nominal form used for the relation property; distinguish from geometric symmetry only by context.
symmetric	सममित	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Native textbook term; reject सिमेट्रिक.
anti-symmetry	प्रति-सममिति	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics	Keep the प्रति- contrast explicit; never collapse this property into mere non-symmetry or असममिति.
anti-symmetric	प्रति-सममित	controlled	set theory/order theory	IGNOU eGyanKosh Hindi mathematics	Definition requires both directions to imply equality; reject एंटी-सिमेट्रिक and distinguish from असममित.
connectivity	संबद्धता	provisional controlled	set theory/order theory	transparent native mathematical formation with the source definition	The definition immediately gives comparability of every distinct pair; retain connected in the English index and reject कनेक्टिविटी.
connected	संबद्ध	provisional controlled	set theory/order theory	transparent native mathematical formation with the source definition	Use only for the explicitly defined relation property; do not infer graph connectedness.
equivalence relation	तुल्यता संबंध	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	The established three-property relation; reject equivalence रिलेशन and distinguish from तत्समक संबंध.
irreflexivity	अस्वतुल्यता	controlled	set theory/logic	IGNOU eGyanKosh Hindi mathematics; CSTT cross-domain relation terminology	Nominal form paired with controlled अस्वतुल्य; distinguish from merely not reflexive.
asymmetry	असममिति	controlled	set theory/logic	transparent Hindi mathematical formation; native Hindi examination usage	The definition excludes both directions for every pair; distinguish sharply from प्रति-सममिति.
asymmetric	असममित	controlled	set theory/logic	transparent Hindi mathematical formation; native Hindi examination usage	Reject asymmetric transliteration; definition makes the no-mutual-pair condition explicit.
equivalence class	तुल्यता वर्ग	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE; CSTT Fundamental Glossary of Mathematics	Established official/native term for the class of all elements equivalent to a fixed representative; reject equivalence क्लास.
R-equivalent	R-तुल्य	controlled	set theory/logic	NCERT/CSTT equivalence terminology plus preserved formal relation symbol	Keep the formal symbol R invariant and attach the controlled adjective तुल्य; reject R-equivalent in Hindi reader prose.
partition	विभाजन	controlled	set theory/logic	NCERT Hindi Class XII via IIT Kanpur SATHEE	Use for the mutually disjoint subsets induced by an equivalence relation; individual parts are खंड, not separate partitions.
quotient set	विभाग समुच्चय	controlled	set theory/logic	CSTT Fundamental Glossary of Mathematics	Official headword for the set of equivalence classes; reject bare भागफल where it could suggest numerical division.
modular arithmetic	मापांक अंकगणित	provisional controlled	number theory	transparent native formation paired with the preserved congruence notation and full remainder definition	No direct official headword was located in the bounded check; reject unadapted मॉड्यूलर अरिथमेटिक and retain English in the index.
remainder	शेषफल	controlled	arithmetic/number theory	NCERT Hindi Class X via IIT Kanpur SATHEE	Established school-mathematics term for the remainder after division; reject रिमेंडर.
