record_id,sequence,observed_at,time_precision,state,classification,tranche_ids,unit_ids,source_locators,target_paths,symptom,cause_evidence,resolution_or_hold,residual_risk,related_structural_ids,related_decision_ids,previous_record_id,transferable_lesson
CJK-KO-P06-HARD-011,11,2026-08-04T11:33:34+02:00,second,resolved,computation,T01,,Methodology-lessons append operation after the first T01 evidence PASS,,The first methodology apply_patch request was rejected with invalid hunk because only the heading line had a plus prefix and the remaining addendum lines did not.,A multi-line addendum string was interpolated directly into an update hunk instead of prefixing every inserted line with the apply_patch add marker.,Resolved by constructing the update hunk line-by-line; the rejected request remains append-only evidence.,Any dynamically assembled multi-line update can be malformed if inserted lines are not individually marked.,,,CJK-KO-P06-HARD-010,Build dynamic apply_patch additions line-by-line and assert that every inserted hunk line is explicitly prefixed before submission.
CJK-KO-P06-HARD-012,12,2026-08-04,day,held,model_preference,T02,U08|U13,ED0001 line 4620: Ganze rationale Funktionen (Polynome)|ED0001 line 4684: ganzen rationalen Funktionen,targets/Noether_P06_Korean_T02_U08_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U13_UNCHECKED.tex,T02 preserves two Korean producer attractors for the historical expression: 정(整) 유리함수 in U08 and 정칙 유리함수 in U13.,The two units were produced independently and TRANSLATION_CHOICES_T02_SECTION1.md explicitly exposes the divergence instead of harmonizing it.,Held for independent Korean evidence on the historical polynomial/integral-rational-function sense.,정칙 may attract analytic regularity while 정(整) may be opaque or neighboring-language driven.,NOE-P06-KO-T02-U08-PROSE-001|NOE-P06-KO-T02-U13-QUOTATION-001,CJK-KO-P06-004,CJK-KO-P06-HARD-011,Retain competing producer forms as adverse evidence until an independent Korean checker supplies local-language usage evidence.
CJK-KO-P06-HARD-013,13,2026-08-04,day,held,model_preference,T02,U11|U12,ED0001 lines 4655--4678: algebraischer Rang and its double-index use,targets/Noether_P06_Korean_T02_U11_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U12_UNCHECKED.tex,The provisional Hangul form 계수 is disambiguated with Hanja 階數 but can still attract the unrelated coefficient sense.,The producer metadata records 대수적 계수(階數) as provisional and names 대수적 랭크 as an unchecked alternative; no ko-KP evidence exists.,Held for independent ko-KR evidence; ko-KP remains unverified_do_not_claim.,Readers may parse 계수 as coefficient; Hanja may conceal rather than solve a Korean register problem.,NOE-P06-KO-T02-U11-DEFINITION-001|NOE-P06-KO-T02-U12-STATEMENT-001,CJK-KO-P06-004,CJK-KO-P06-HARD-012,"A Hanja gloss is a provisional disambiguator, not Korean standardization evidence or regional authorization."
CJK-KO-P06-HARD-014,14,2026-08-04,day,held,editorial_inference,T02,U09|U10|U11|U12,ED0001 lines 4626--4678: Definitions I--II and indexed system/field notation,targets/Noether_P06_Korean_T02_U09_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U10_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U11_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U12_UNCHECKED.tex,"Definitions, inclusion directions, quantifiers, closure operations, displays, and inequality remain structurally indexed but semantically unchecked.","The translation-only role permits custody and topology but forbids source, Korean, formula, or mathematical self-review.",Held for independent clause and formula checking.,"A structurally complete index can still contain a reversed inclusion, quantifier, exception, or dependence direction.",NOE-P06-KO-T02-U09-DEFINITION-001|NOE-P06-KO-T02-U10-DEFINITION-002|NOE-P06-KO-T02-U11-DEFINITION-001|NOE-P06-KO-T02-U12-EQUATION-003,CJK-KO-P06-004,CJK-KO-P06-HARD-013,"Use structural completeness to route review, never as a substitute for independent semantic and formula verification."
CJK-KO-P06-HARD-015,15,2026-08-04,day,held,editorial_inference,T02,U09|U11|U13|U14,"ED0001 source footnotes at lines 4629, 4641, 4657--4665, and 4688|ED0001 quoted/example structures lines 4648--4650 and 4682--4690",targets/Noether_P06_Korean_T02_U09_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U11_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U13_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U14_UNCHECKED.tex,"Long footnotes, quotations, and historical examples combine prose, notation, and scope boundaries that remain unchecked.","The producer handoff explicitly reserves source-footnote wording, quote scope, invariant terminology, and example conclusions for an independent checker.",Held for independent Korean/source/formula review.,Scope can be wrong even when delimiters and hashes are preserved.,NOE-P06-KO-T02-U09-FOOTNOTE-002|NOE-P06-KO-T02-U11-FOOTNOTE-001|NOE-P06-KO-T02-U13-EXAMPLE-001|NOE-P06-KO-T02-U14-FOOTNOTE-001,CJK-KO-P06-004,CJK-KO-P06-HARD-014,Index note and quotation topology separately from their surrounding prose and retain their semantic state as unchecked.
CJK-KO-P06-HARD-016,16,2026-08-04,day,active_control,editorial_inference,T02,U07|U08|U09|U10|U11|U12|U13|U14,P06 T02 Korean terminology and evidence shelf,targets/Noether_P06_Korean_T02_U07_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U08_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U09_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U10_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U11_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U12_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U13_UNCHECKED.tex|targets/Noether_P06_Korean_T02_U14_UNCHECKED.tex,Historical Sino-xenic-looking forms can be over-selected from Mandarin-Simplified-dominant retrieval while local Korean register and ko-KP evidence are missing.,TRANSLATION_CHOICES_T02_SECTION1.md classifies lexical-attractor basins qualitatively and explicitly denies cross-language authorization.,Active control for future checker evidence; never convert dominance debt into a confidence or readiness score.,Familiar characters or calques can appear authoritative while lacking Korean attestation.,NOE-P06-KO-T02-001,CJK-KO-P06-004,CJK-KO-P06-HARD-015,"Keep dominance risk qualitative and language-specific; use it to broaden evidence retrieval, never to authorize a term."
CJK-KO-P06-HARD-017,17,2026-08-04,day,resolved,computation,T02-EVIDENCE-VERIFY,,First read-only T02 prefix-verification one-liner after the T02 freeze,,The verifier threw SyntaxError: Unexpected non-whitespace character after JSON at position 1280 (line 2 column 1) while parsing the structural JSONL.,"The JavaScript one-liner used an over-escaped split regex matching literal backslash sequences rather than CR/LF, so JSON.parse received the complete multi-record JSONL as one value. The failure occurred in a read-only command and wrote nothing.",Resolved by using the literal CR/LF regex; the failed attempt remains append-only evidence.,Layered shell/JavaScript escaping can silently change a regex before execution.,NOE-P06-KO-T02-001,,CJK-KO-P06-HARD-016,"When a regex crosses shell and JavaScript quoting layers, inspect the executed literal or use a durable script; preserve read-only parser failures and their no-write effect."
CJK-KO-P06-HARD-018,18,2026-08-04,day,resolved,computation,T03-METADATA,,Read-only T03 metadata verification before evidence extension,,The T03 metadata worker reported an empty-pipeline PowerShell parser failure. Exact command text and exact error text are unavailable.,The worker return identifies only the empty-pipeline parse class and states that parsing failed before execution. No more specific token sequence is asserted.,Operationally resolved by the corrected read-only verification; the limited-evidence incident remains append-only.,"Without an exact transcript, recurrence can be recognized only at the parser-class level.",NOE-P06-KO-T03-001,CJK-KO-P06-006,CJK-KO-P06-HARD-017,Log only the failure facts actually retained; never reconstruct an exact command or error message from a coarse worker summary.
CJK-KO-P06-HARD-019,19,2026-08-04,day,held,model_preference,T03,U15,ED0001 lines 4692--4694: Unbestimmte and unbestimmt in the section introduction,targets/Noether_P06_Korean_T03_U15_UNCHECKED.tex,The producer distinguishes algebraic indeterminates 미정원 from an indeterminate value or quotient 부정형; the shared German stem invites collapse.,TRANSLATION_CHOICES_T03_SECTION2.md supplies an explicit two-sense window and keeps both Korean choices provisional.,Held for independent Korean evidence and clause-level checking.,미정원 may attract equation-unknown usage; 부정형 may over-narrow the historical predicate to calculus terminology.,NOE-P06-KO-T03-U15-PROSE-001,CJK-KO-P06-006,CJK-KO-P06-HARD-018,"For trap-prone cognate forms, preserve an explicit sense split instead of harmonizing by spelling."
CJK-KO-P06-HARD-020,20,2026-08-04,day,held,model_preference,T03,U16|U20|U21,ED0001 lines 4702--4710 and 4764--4793: algebraischer Rang and Rang der Funktionalmatrix,targets/Noether_P06_Korean_T03_U16_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U20_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U21_UNCHECKED.tex,The provisional forms 대수적 계수(階數) and 함수행렬의 계수(階數) risk confusion with coefficient and may impose an unclear matrix register.,Producer metadata retains 랭크 and 야코비 행렬 alternatives and explicitly denies Hanja or regional certification.,Held for independent ko-KR terminology evidence; ko-KP remains unverified_do_not_claim.,A modern loan may alter register; the Sino-Korean homograph may alter meaning.,NOE-P06-KO-T03-U16-PROSE-002|NOE-P06-KO-T03-LEMMA-001,CJK-KO-P06-006,CJK-KO-P06-HARD-019,"Keep mathematical register, homograph risk, and regional standardization as separate evidence questions."
CJK-KO-P06-HARD-021,21,2026-08-04,day,held,editorial_inference,T03,U16|U17|U18|U19|U20|U21|U22,"ED0001 equations (1)--(6), lines 4697--4743|ED0001 lemma displays, lines 4765--4797",targets/Noether_P06_Korean_T03_U16_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U17_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U18_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U19_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U20_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U21_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U22_UNCHECKED.tex,"Derivative, exponent, index, divisibility, quotient, specialization, and equation-label topology is indexed but no formula has been checked.",The role boundary forbids formula review and compilation; the handoff marks every formula token as independent-checker debt.,Held for independent formula/source checking and later build/render tasks.,"A single exponent, index, derivative, delimiter, or quotient error can survive every metadata hash check.",NOE-P06-KO-T03-U16-EQUATION-001|NOE-P06-KO-T03-U18-EQUATION-003|NOE-P06-KO-T03-U21-EQUATION-003|NOE-P06-KO-T03-U22-EQUATION-001,CJK-KO-P06-006,CJK-KO-P06-HARD-020,"Equation inventories are routing evidence only; formula checking, compilation, and rendered inspection remain independent gates."
CJK-KO-P06-HARD-022,22,2026-08-04,day,held,editorial_inference,T03,U16|U17|U18|U19|U20|U21|U22,ED0001 lines 4696--4762: argument leading to lemma|ED0001 lines 4764--4797: lemma statement,targets/Noether_P06_Korean_T03_U16_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U17_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U18_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U19_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U20_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U21_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U22_UNCHECKED.tex,"The long argument and lemma contain conditional, independence, nonvanishing, iteration, and conclusion scopes that remain semantically unchecked.",The structural records classify one proof-like argument as editorial_inference and the explicitly marked Hilfssatz as source_fact without claiming mathematical validation.,Held for independent source/Korean/mathematical review.,A scope reversal or omitted condition can remain invisible to structural coverage.,NOE-P06-KO-T03-PROOF-001|NOE-P06-KO-T03-LEMMA-001,CJK-KO-P06-006,CJK-KO-P06-HARD-021,"Index proof and theorem scope explicitly, but label inferred hierarchy and reserve validity for an independent checker."
CJK-KO-P06-HARD-023,23,2026-08-04,day,held,editorial_inference,T03,U19,ED0001 lines 4755--4760: source footnote with simultaneous substitutions and 0/0 example,targets/Noether_P06_Korean_T03_U19_UNCHECKED.tex,U19 contains a long inline source footnote with an embedded display and a conclusion whose scope crosses back into the host sentence.,"The source and target preserve the srcfn macro, display, and continuation, but no clause, delimiter, or mathematical review occurred.","Held for independent footnote, formula, and clause-scope review.",The displayed example or post-footnote conclusion may be mistranscribed or scoped incorrectly.,NOE-P06-KO-T03-U19-FOOTNOTE-001|NOE-P06-KO-T03-U19-EQUATION-003,CJK-KO-P06-006,CJK-KO-P06-HARD-022,Represent inline notes with embedded displays as nested structures and keep the resumed host sentence visible.
CJK-KO-P06-HARD-024,24,2026-08-04,day,held,source_fact,T03,U21|U22,ED0001 line 4793 opens srcfn|ED0001 lines 4794--4797 continue and close srcfn|ED0001 line 4798 is an excluded blank,targets/Noether_P06_Korean_T03_U21_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U22_UNCHECKED.tex,U21 opens a source footnote that U22 continues and closes; neither file is an independently closed TeX fragment.,SOURCE_CUSTODY_T03_SECTION2.md and both target headers state mandatory U21 then U22 adjacency. Mechanical inspection locates the opening at U21 line 27 and closure at U22 line 12.,Held for checker/build tasks that concatenate U21 immediately followed by U22; blank whole-source line 4798 remains excluded.,"Sorting, packaging, or building units independently can break the footnote or insert text inside it.",NOE-P06-KO-T03-U21-FOOTNOTE-OPEN-001|NOE-P06-KO-T03-U22-FOOTNOTE-CLOSE-001|NOE-P06-KO-T03-U22-EQUATION-001,CJK-KO-P06-006,CJK-KO-P06-HARD-023,"When a closed source structure crosses editable units, preserve bytes and encode ordered continuation explicitly rather than pretending each unit is closed."
CJK-KO-P06-HARD-025,25,2026-08-04,day,active_control,editorial_inference,T03,U15|U16|U17|U18|U19|U20|U21|U22,P06 T03 Korean terminology and evidence shelf,targets/Noether_P06_Korean_T03_U15_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U16_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U17_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U18_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U19_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U20_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U21_UNCHECKED.tex|targets/Noether_P06_Korean_T03_U22_UNCHECKED.tex,"Specialization/substitution, divisibility, rank, matrix, reduced-form, and homogeneous-form choices remain vulnerable to modern-register and Sino-xenic attractors.",TRANSLATION_CHOICES_T03_SECTION2.md separates sense windows and lexical-attractor basins while recording Mandarin-Simplified dominance only qualitatively.,Active control pending independent Korean evidence; no ko-KP claim.,Historically plausible calques can conceal anachronistic or non-Korean register.,NOE-P06-KO-T03-001,CJK-KO-P06-006,CJK-KO-P06-HARD-024,"Treat lexical-attractor classes as qualitative evidence routing, not correctness scores, and keep Korean evidence independent."
CJK-KO-P06-HARD-026,26,2026-08-04,day,resolved,computation,T08,U91|U92|U93|U94|U95|U96|U97|U98|U99|U100|U101|U102|U103|U104|U105|U106,P06 T08 U91--U106 delegated production attempt,T08_META.md,The bounded translation worker remained pending and returned no usable files while the root session could continue directly.,Live ownership checks showed no worker return; the root produced U91--U106 only after collision checks and cancellation messages.,Resolved by manual root production; user later made manual-only production controlling.,A late worker write could have collided; current inventory shows exactly one file per U01--U228.,NOE-P06-KO-T08-001,CJK-KO-P06-032|CJK-KO-OPS-002,CJK-KO-P06-HARD-025,"If delegation is slower than direct translation or lacks a prompt return, cancel it, prove no collision, and keep one manual owner."
CJK-KO-P06-HARD-027,27,2026-08-04,day,resolved,computation,T09,U107|U122,T09 routing and target-inventory PowerShell commands,T09_ROUTE.md|T09_META.md,Two read-only PowerShell commands used compressed foreach grammar and failed before producing inventories.,Missing whitespace made -in merge with the variable token; later compressed -gt forms produced the same class of parser/binder error.,Resolved with spaced grammar; preserve as a repeated tooling failure.,Compressed PowerShell tokens can silently recur in future automation.,NOE-P06-KO-T09-001,CJK-KO-P06-028|CJK-KO-P06-029,CJK-KO-P06-HARD-026,Keep PowerShell grammar visibly spaced and rerun read-only inventories after every parser failure.
CJK-KO-P06-HARD-028,28,2026-08-04,day,resolved,computation,T11,U153,ED0001/ED0002 lines5417--5422,T11_ROUTE.md|T11_META.md|targets/T11_U153.tex,The provisional U153 range stopped at line5421 and omitted the three-byte closing display delimiter on line5422.,Exact section reconstruction left three unexplained bytes; extending U153 through line5422 closed the display and reconstruction.,Resolved before target write; no defective target existed.,Display closers on isolated lines can be lost by range tables.,NOE-P06-KO-T11-U153-EQUATION-001,CJK-KO-P06-033|CJK-KO-P06-034,CJK-KO-P06-HARD-027,Require whole-section byte reconstruction before any translation target is written.
CJK-KO-P06-HARD-029,29,2026-08-04,day,resolved,computation,T13,U185,ED0001/ED0002 lines5596--5601,T13_ROUTE.md|T13_META.md|targets/T13_U185.tex,"The first unsealed 30-range T13 segmentation omitted line5601, another three-byte closing display delimiter, and split prose/display carriers before closure.",Exact interval reconstruction exposed the gap; closed-unit review then reduced the route to19 coherent units.,Resolved before target creation; failed route identity was not hashed and remains explicit evidence debt.,A reconstruction check alone can find missing bytes but not guarantee grammatically closed units.,NOE-P06-KO-T13-U185-EQUATION-001,CJK-KO-P06-037|CJK-KO-P06-038,CJK-KO-P06-HARD-028,Apply both byte reconstruction and grammatical/structural closure tests to every route.
CJK-KO-P06-HARD-030,30,2026-08-04,day,held,source_fact,T12,U170,ED0001/ED0002 line5502 literal A_tau(G_i(x)) amid starred notation,targets/T12_U170.tex|T12_META.md,One A_tau argument is unstarred amid starred neighboring notation.,The literal source reading is preserved exactly; translation production cannot classify it as defect or intention.,Held for independent checker; only a confirmed finding may go to canon.,The target may preserve a source typo or may correctly preserve intentional notation.,NOE-P06-KO-T12-U170-EQUATION-001,CJK-KO-P06-035|CJK-KO-P06-036,CJK-KO-P06-HARD-029,"Preserve anomalous source notation literally and route it as checker debt, never as a translator defect claim."
CJK-KO-P06-HARD-031,31,2026-08-04,day,held,editorial_inference,T15,U212,ED0002 line5760 final sentence subject/scope,targets/T15_U212.tex|T15_META.md,The grammatical subject of the final line5760 clause is difficult to bind after K_i polynomials and quotient functions are both introduced.,The source syntax permits an attractor toward assigning quotient status to the immediately preceding K_i polynomials.,Held for independent source/Korean review.,A subject shift can change whether numerator polynomials or represented functions belong to the domain.,NOE-P06-KO-T15-U212-PROSE-001,CJK-KO-P06-042,CJK-KO-P06-HARD-030,Expose grammatical subject ambiguity where it affects mathematical membership; do not hide it with fluent Korean.
CJK-KO-P06-HARD-032,32,2026-08-04,day,held,source_fact,T16,U218,ED0002 line5784 Definition V-prime: deren übrige Polynome,targets/T16_U218.tex|T16_META.md,Definition V-prime literally says the remaining polynomials rather than the mathematically expected remaining coefficients.,The translation authority reading is explicit; no checker-confirmed German correction exists.,"Held for independent checker and, only if confirmed, canon packet.",Literal Korean may sound mathematically wrong; silent correction would erase evidence.,NOE-P06-KO-T16-U218-DEFINITION-001,CJK-KO-P06-044,CJK-KO-P06-HARD-031,"In translation-only production, preserve suspicious authority words and separate readability debt from canon adjudication."
CJK-KO-P06-HARD-033,33,2026-08-04,day,active_control,computation,T01|T02|T03|T04|T05|T06|T07|T08|T09|T10|T11|T12|T13|T14|T15|T16,,P06 complete producer span ED0002 lines4576--5828,,"All228 Korean units exist, but no independent full-work linguistic/formula review, assembly, compilation, extraction, rendering, or every-page visual QA has occurred.","The producer role is translation-only; hashes and structure prove custody, not correctness or buildability.",Active control pending persistent independent Korean checker and build/render owners.,"Any unit may contain linguistic, formula, TeX integration, citation, or layout defects despite complete coverage.",NOE-P06-KO-WORK-002,CJK-KO-P06-044,CJK-KO-P06-HARD-032,"Never collapse producer coverage, source checking, linguistic approval, compilation, rendering, and visual QA into one status."
CJK-KO-P06-HARD-034,34,2026-08-04,day,resolved,computation,T01,U01,evidence/extend.mjs initial complete-P06 parseTarget execution,evidence/extend.mjs,The first complete-evidence run stopped at U01 with Cannot parse unit header before any evidence or manifest write.,The parser assumed every header placed T/U and source lines in one Unit field; T01 instead stores T/U in the Work line and the locator in a separate Unit source field.,Resolved without writes on the failed run; current generator accepts legacy and compact headers separately.,Future target headers may add another dialect; filename and locator parsing must remain separate.,NOE-P06-KO-T01-U01,CJK-KO-P06-044,CJK-KO-P06-HARD-033,"When metadata syntax evolves across a long production run, parse stable identity and source coordinates independently rather than forcing one historical header grammar."
