"source_term","target_term","sense","status","evidence_class","source_label","file_name","line","sha256","local_file_exists","local_hash_matches","line_in_range"
"existiert","existe","existential assertion","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","182","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"für alle","para todo","universal quantification","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","221","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"beziehungsweise","respectivamente","paired correspondence","source-supported","independent-native-tex-accepted","1311.1146v1","doc.tex","536","C65AA3634C25CE8F7D3C71826C0953C469912E2D334A2F1524DBBB7CC18046DE","True","True","True"
"Bereich","dominio","ring-theoretic domain","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","243","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Koeffizientenbereich","dominio de coeficientes","coefficient domain","reviewed","target-only-excluded","R823_ES","cum_es.tex","4307","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Restklasse","clase residual","residue class","reviewed","target-only-excluded","R823_ES","cum_es.tex","8124","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Elementarteiler","divisor elemental","elementary divisor","reviewed","target-only-excluded","R823_ES","cum_es.tex","11808","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"zweiseitig","bilateral","two-sided ideal or ring simplicity","source-supported","independent-native-tex-accepted","github_alexey-beshenov_notas-san-salvador","11-anillos-ejercicios.tex","422","8A7E3E7564D19D1A08ADD4D99C545047600D129F05D2B4BB70C7BCD37D027650","True","True","True"
"einseitig","unilateral","one-sided ideal","reviewed","target-only-excluded","R823_ES","cum_es.tex","9319","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"rechts","derecho","right-sided algebraic object","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","79","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"links","izquierdo","left-sided algebraic object","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","78","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"Nullteiler","divisor de cero","zero divisor","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","1_AnillosI.tex","139","48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21","True","True","True"
"Einheit / Identität","unidad / identidad","unit element versus identity map","source-supported","independent-native-tex-accepted","github_alexey-beshenov_notas-san-salvador","11-anillos.tex","1474","0B78196FB162C9231C89BA34216CCB03E6F42AB09D977734B6612F7612F64737","True","True","True"
"Differente","diferente","different ideal in algebraic number theory","reviewed","target-only-excluded","R823_ES","cum_es.tex","17101","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Differenzenideal","ideal de diferencias","Noether difference ideal","reviewed","target-only-excluded","R823_ES","paper43_es_intro_s2.tex","18","14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389","True","True","True"
"Differenzenquotient","cociente de diferencias","Noether difference quotient","reviewed","target-only-excluded","R823_ES","paper43_es_intro_s2.tex","16","14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389","True","True","True"
"Differentialquotient","cociente diferencial","derivative or differential quotient","reviewed","target-only-excluded","R823_ES","cum_es.tex","7779","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Komplementärmodul","módulo complementario","complementary module defining the different","reviewed","target-only-excluded","R823_ES","cum_es.tex","8157","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Hauptordnung","orden principal","historical maximal order; glossed once as anillo de enteros / orden maximal","source-supported","independent-native-tex-accepted","2207.10005v1","2207.10005v1.tex","193","874C851E9FC4CBFB0326713C29C735F1BD0339A43780EA8A54F2766E13FA5611","True","True","True"
"Ordnung","orden","order in a number field or algebra","source-supported","independent-native-tex-accepted","1312.6798v1","uqc.tex","182","0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B","True","True","True"
"ganz-abgeschlossen","íntegramente cerrado","integrally closed","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","AlgebraConmutativa_Ejs.tex","2164","2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968","True","True","True"
"direktes Produkt","producto directo","Noether direct product / scalar-extension construction","source-supported","independent-native-tex-accepted","github_alexey-beshenov_cimat-tna","6-zeta.tex","1645","9B98B4CC0348BC55A79839974576CA35F06297E210566A82F473CE474A6E2256","True","True","True"
"direkte Summe","suma directa","direct-sum decomposition","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","235","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Faktorensystem","sistema de factores","factor system / cocycle data","reviewed","target-only-excluded","R823_ES","cum_es.tex","17351","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"verschränktes Produkt","producto cruzado","crossed product algebra","reviewed","target-only-excluded","R823_ES","cum_es.tex","17508","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Modulbasis","base como módulo","basis of an object as a module; avoid the calque base modular","reviewed","target-only-excluded","R823_ES","cum_es.tex","9532","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Polynombereich","anillo de polinomios","polynomial ring; not dominio polinómico","source-supported","independent-native-tex-accepted","2307.03598v1","Paper_D-modulos_CNMXXII.tex","180","7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20","True","True","True"
"Primfunktion","polinomio irreducible","irreducible polynomial; not the calque función prima","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","1_AnillosI.tex","1344","48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21","True","True","True"
"Primärfunktion","potencia de un polinomio irreducible","primary polynomial in Noether's historical terminology","reviewed","target-only-excluded","R823_ES","cum_es.tex","12840","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Basiselement","generador","generator of a principal ideal","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","224","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Basispolynom","polinomio generador","generator polynomial of a principal ideal","reviewed","target-only-excluded","R823_ES","paper43_es_intro_s2.tex","118","14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389","True","True","True"
"Quotientenring","anillo de cocientes","localization or quotient ring of fractions in the P43 context","reviewed","target-only-excluded","R823_ES","cum_es.tex","13464","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Restklassenring","anillo de clases residuales","factor/residue-class ring; kept distinct from localization","reviewed","target-only-excluded","R823_ES","cum_es.tex","12770","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Primfunktion mod p","polinomio irreducible módulo p","irreducible polynomial modulo p","source-supported","independent-native-tex-accepted","github_alexey-beshenov_cimat-tna","2-ideales.tex","2409","136E2ECBE520D381E8FBB362EEB3012CEC54A730FC3BB312B209A99BF147A405","True","True","True"
"Erweiterung eines Ideals","extensión de un ideal","extension of an ideal","reviewed","target-only-excluded","R823_ES","paper43_es_s6_s7.tex","51","B955DC033DEF3C5F4D0F20F514997D9A7702B8A2992B47AE7285B49F86BD61A4","True","True","True"
"Verengung eines Ideals","contracción de un ideal","contraction of an ideal","reviewed","target-only-excluded","R823_ES","cum_es.tex","15591","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Darstellungsmodul","módulo de representación","representation module","reviewed","target-only-excluded","R823_ES","cum_es.tex","14936","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"reziproke Darstellung","representación recíproca","historical opposite-order representation","reviewed","target-only-excluded","R823_ES","cum_es.tex","17624","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"hyperkomplexes System","sistema hipercomplejo","historical finite-dimensional algebraic system","reviewed","target-only-excluded","R823_ES","cum_es.tex","14778","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"nichtkommutativer Körper","cuerpo no conmutativo","historical division-ring wording","source-supported","independent-native-tex-accepted","github_jltabara_Apuntes-Teoria-Galois","TeoriaGalois.tex","193","71FFF4C14297F4BAF59FB06743BFACE3B3A609A8C9F15965E48489AA9857472D","True","True","True"
"galoisscher Erweiterungsring","anillo de extensión galoisiano","Noether Galois extension ring","reviewed","target-only-excluded","R823_ES","paper43_es_intro_s2.tex","30","14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389","True","True","True"
"Hauptgeschlecht","género principal","principal genus","reviewed","target-only-excluded","R823_ES","cum_es.tex","17503","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"definierendes Ideal","ideal definidor","defining ideal","reviewed","target-only-excluded","R823_ES","paper43_es_intro_s2.tex","16","14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389","True","True","True"
"Fundamentalgleichung","ecuación fundamental","fundamental or defining equation","reviewed","target-only-excluded","R823_ES","cum_es.tex","12997","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Spur","traza","field or algebra trace","source-supported","independent-native-tex-accepted","2307.03598v1","Paper_D-modulos_CNMXXII.tex","434","7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20","True","True","True"
"Norm","norma","field norm","source-supported","independent-native-tex-accepted","2206.09700v1","Grupos_ortogonales.tex","277","FD93063C54C5C3581359C768273EA31904538E5A973AEDAC674580D0E85A4518","True","True","True"
"Verzweigung","ramificación","ramification","source-supported","independent-native-tex-accepted","2209.02110v1","monoides.tex","678","DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D","True","True","True"
"Zerfällungskörper","cuerpo de descomposición","splitting field","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","AlgebraConmutativa_Ejs.tex","102","2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968","True","True","True"
"Gruppenring","anillo de grupo","group ring","reviewed","target-only-excluded","R823_ES","cum_es.tex","13358","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Idealquotient","cociente de ideales","ideal quotient","reviewed","target-only-excluded","R823_ES","cum_es.tex","8264","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Hauptideal","ideal principal","principal ideal","source-supported","independent-native-tex-accepted","github_NunoSempere_Apuntes","1_AnillosI.tex","534","48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21","True","True","True"
"ganzer Abschluß","clausura integral","integral closure","reviewed","target-only-excluded","R823_ES","cum_es.tex","14744","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"algebraischer Funktionenkörper","cuerpo de funciones algebraicas","algebraic function field","reviewed","target-only-excluded","R823_ES","cum_es.tex","8124","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
"Koeffizientenkörper","cuerpo de coeficientes","coefficient field","reviewed","target-only-excluded","R823_ES","cum_es.tex","4317","7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861","True","True","True"
