extracted_source_body_count,frontier,generated_utc,labels_seen,next_action,payload_group,routing_status
15,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary,route to lane owner/B3 with source-use and gap labels intact,olp_761_0b6a_heartbeat_source_use_adverse_upload,source-linked authority evidence; non-canonical/no approval
14,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;b3_handoff;olp_review_boundary;source_use;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;normalization_marker;b3_handoff;olp_review_boundary,route to lane owner/B3 with source-use and gap labels intact,olp_761_interlinear_terminology_source_use_upload,source-linked authority evidence; non-canonical/no approval
34,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r3_arabic_persianate_route;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;blocker_recovery_gap;branch_weighting;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manife,route to lane owner/B3 with source-use and gap labels intact,persianate_tajik_761_b3_frontier_recovery_upload,source-linked authority evidence; non-canonical/no approval
27,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,blocker_recovery_gap;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;,route to lane owner/B3 with source-use and gap labels intact,r2_pan_turkic_761_frontier_recovery_upload,source-linked authority evidence; non-canonical/no approval
13,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,blocker_recovery_gap;b3_handoff;blocker_recovery_gap;b3_handoff;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;b3_handoff;r6_ethics_authority;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route,route to lane owner/B3 with source-use and gap labels intact,r7_761_r9_route_context_boundary_upload,source-linked authority evidence; non-canonical/no approval
11,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,blocker_recovery_gap;normalization_marker;b3_handoff;r3_arabic_persianate_route;blocker_recovery_gap;normalization_marker;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;source_use;blocker_recovery_gap;normalization_marker;b3_handoff,route to lane owner/B3 with source-use and gap labels intact,r7_761_same_frontier_dedup_reverify_upload,source-linked authority evidence; non-canonical/no approval
12,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route,route to lane owner/B3 with source-use and gap labels intact,r9_761_arabic_inbound_wake_recovery_upload,source-linked authority evidence; non-canonical/no approval
18,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;normalization_marker;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff,route to lane owner/B3 with source-use and gap labels intact,r9_761_current_frontier_route_recovery_upload,source-linked authority evidence; non-canonical/no approval
20,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_,route to lane owner/B3 with source-use and gap labels intact,slavic_18b_live_frontier_delta_watcher_upload,source-linked authority evidence; non-canonical/no approval
19,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;blocker_recovery_gap;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r3_arab,route to lane owner/B3 with source-use and gap labels intact,slavic_1fa_live_frontier_delta_watcher_upload,source-linked authority evidence; non-canonical/no approval
18,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;interslavic_boundary;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;r6_ethics_authority;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_reco,route to lane owner/B3 with source-use and gap labels intact,slavic_761_placeholder_repair_frontier_audit_upload,source-linked authority evidence; non-canonical/no approval
19,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;source_use;bloc,route to lane owner/B3 with source-use and gap labels intact,slavic_a55_live_frontier_delta_watcher_upload,source-linked authority evidence; non-canonical/no approval
19,6034c6b4126af7268d61e39ddb2e84d4842202f0,2026-07-07T07:56:13Z,b3_handoff;interslavic_boundary;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;interslavic_boundary;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;manifest_hash_validation;b3_handoff;interslavic_boundary;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_val,route to lane owner/B3 with source-use and gap labels intact,slavic_ac6_live_frontier_delta_watcher_upload,source-linked authority evidence; non-canonical/no approval
