"scope_coordinate_type","current_rescribe_idx_or_scope","printed_volume_page_or_scope","source_pdf_page_or_scope","highres_pdf_page_or_scope","source_term_or_notation","accepted_english_or_tex","rejected_choice","rationale","location_or_indices","authority_status","coordinate_note","source_ledger"
"current_rescribe_idx","550","537","544","551","composante neutre","neutral component","identity component","Closer to source and established SGA phrasing","550","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","550","537","544","551","algebriquement equivalent a zero","algebraically equivalent to zero","algebraically trivial","Preserves the defined relation literally","550","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","550","537","544","551","tau-equivalent a zero","tau-equivalent to zero","numerically equivalent to zero","Distinct defined equivalence relation","550","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","551","538","545","552","gradues associes","associated graded groups","associated graduations","Standard algebraic terminology","551","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"global","global","","","","schema noetherien","noetherian scheme","Noetherian scheme in running prose","SGA 1--4 lane style uses lowercase noetherian","global","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Global terminology choice; no single page coordinate.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","552","539","546","553","module gradue","graded module","graduated module","Standard algebraic English","552","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","552","539","546","553","morphisme projectif d'intersection complete","projective complete-intersection morphism","projective complete intersection map","Matches the inherited SGA6 glossary's complete-intersection (morphism) and preserves morphism","552","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","553","540","547","554","morphisme de Tor-dimension finie","morphism of finite Tor-dimension","finite-Tor map","Established SGA English terminology","553","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","553","540","547","554","modules concentres sur","modules supported on","modules concentrated on","Support is the precise sheaf-theoretic property","553","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","554","541","548","555","categorie derivee","derived category","derivative category","Standard homological-algebra terminology","554","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","554","541","548","555","nombres d'intersection","intersection numbers","intersection numerals","Established term in the inherited SGA6 glossary","554","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","555","542","549","556","nombre de Chern","Chern number","Chern characteristic","Established term in the inherited SGA6 glossary","555","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","555","542","549","556","module / classe K / classe graduee","mathcal L_i / L_i / c_i(L_i), and mathcal F / F / |F|","one symbol for all three levels","Preserves the source's type distinctions while using readable English notation","555","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","556","543","550","557","entiers positifs","nonnegative integers","strictly positive integers","The proof and binomial sum include zero indices; older French mathematical usage can include zero here","556","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","557","544","551","558","longueur sur O_{X,x}","length over O_{X,x}","dimension over O_{X,x}","Length is the source invariant","557","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","558","545","552","559","fibre generique","generic fiber","general fiber","Precise scheme-theoretic term; US spelling follows SGA 1--4 controls","558","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","559","546","553","560","equivalence numerique","numerical equivalence","numeric equivalence","Established intersection-theoretic term","559","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","560","547","554","561","topos annele","ringed topos","ringed topology","Standard topos-theoretic term","560","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","560","547","554","561","groupe multiplicatif des elements inversibles","multiplicative group of units","group of invertible elements","Idiomatic ring-theoretic English while preserving the group law","560","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","560","547","554","561","foncteur determinant","determinant functor","determinantal functor","Established construction on locally free modules","560","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","560","547","554","561","localement scindee","locally split","locally decomposed","Exact-sequence terminology","560","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","561","548","555","562","diviseur de Cartier effectif","effective Cartier divisor","positive Cartier divisor","Established scheme-theoretic term","561","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","561","548","555","562","premiere classe de Chern","first Chern class","Chern class of degree one","Established terminology","561","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","562","549","556","563","section bornee","bounded section","limited section","Standard sheaf-theoretic English","562","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","562","549","556","563","objet final","final object","terminal sheaf","The source concerns the categorical object of the topos, not merely a sheaf","562","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","565","552","559","566","multifoncteur a r variables","r-variable multifunctor","multivariate functor","Preserves the source's categorical construction","565","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","565","552","559","566","categorie fibree sur X","category fibered over X","fiber category on X","Standard Grothendieck terminology; US spelling follows lane controls","565","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","565","552","559","566","representation","representation","action map","The homomorphism G -> Aut_O(M) is a representation","565","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","566","553","560","567","torseur a droite","right G-torsor","principal homogeneous space","Torsor is the established descent term","566","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","566","553","560","567","produit contracte","contracted product","wedge product","The notation P wedge^G M denotes torsor contraction, not exterior multiplication","566","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","566","553","560","567","recollement","gluing","pasting","Standard descent terminology","566","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","566","553","560","567","topologie etale","etale topology","etale site topology","The topology is the exact source term; the site is stated separately","566","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","567","554","561","568","faisceau des commutateurs","sheaf of commutators","derived sheaf","Avoids confusion with derived categories and names the group-theoretic construction","567","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","567","554","561","568","caractere de G","character of G","one-dimensional representation","Character is the concise established term for G -> G_m","567","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","568","555","562","569","se factorise par","factors through","is divided by","Categorical factorization through the quotient","568","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","569","556","563","570","voisinage etale","etale neighborhood","etale vicinity","Established scheme-theoretic term; US spelling follows lane controls","569","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","569","556","563","570","matrice elementaire","elementary matrix","basic matrix","Standard linear-algebra term for I+lambda E_hk","569","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","569-571","556--558","563--565","570--572","produit de commutateurs","product of commutators","commutator product element","Standard group-theoretic phrasing","569-571","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","571","558","565","572","groupe des commutateurs","commutator subgroup","group of commutators","Established name for the derived subgroup","571","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","571","558","565","572","corps residuel","residue field","residual field","Standard algebraic-geometric English","571","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","572","559","566","573","topos localement annele","locally ringed topos","local ringed topos","Established topos-theoretic term","572","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","572","559","566","573","representation algebrique","algebraic representation","algebraical representation","Standard mathematical English","572","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","573","560","567","574","immersion fermee reguliere","regular closed immersion","regular embedding","Preserves the source's morphism type","573","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","573","560","567","574","faisceau conormal","conormal sheaf","normal dual sheaf","Established term","573","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","573","560","567","574","homomorphisme image directe","direct-image homomorphism","pushforward map","Preserves the source's named construction and lane preference for homomorphism","573","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","574","561","568","575","trait","trait","discrete valuation base","Established EGA/SGA term, immediately glossed by the source","574","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","574","561","568","575","homomorphisme de specialisation","specialization homomorphism","specialization map","Preserves the source's algebraic structure","574","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","575","562","569","576","adherence schematique","schematic closure","scheme-theoretic adherence","Established scheme-theoretic term","575","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","575","562","569","576","catennaire","catenary","chain-like","Established dimension-theoretic term","575","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","575","562","569","576","filtration par la dimension des supports","filtration by the dimension of supports","support-dimension grading","The source defines a filtration, not already a grading","575","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","576","563","570","577","conservation du nombre","conservation of number; conservation-of-number theorem","preservation of the number","Retains the established mathematical title while making the compound modifier idiomatic","576","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","577","564","571","578","lambda-anneau","lambda-ring","lambda-annulus","Standard K-theoretic English","577","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","577","564","571","578","schema divisoriel","divisorial scheme","divisor scheme","Established EGA terminology","577","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","577-579","564--566","571--573","578--580","K naif","naive K-theory notation","elementary K-theory","The source contrasts the naive locally-free construction with the derived formalism","577-579","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","578","565","572","579","algebres augmentees sur H^0","augmented-algebra structures over H^0","augmented structures on H^0","Preserves the base-ring relation and correct typing","578","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","579","566","573","580","faisceau inversible","invertible sheaf","line bundle module","SGA 1--4 control and lane terminology digest","579","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","579-580","566--567","573--574","580--581","equivalence numerique","numerical equivalence","numeric equivalence","Standard intersection-theoretic term","579-580","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","580","567","574","581","epimorphisme mod. torsion","surjective modulo torsion","epimorphism mod torsion","Idiomatic English in the sentence while preserving the algebraic condition","580","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","580-583","567--570","574--577","581--584","gradues associes","associated graded groups","associated gradeds","SGA 1--4 control and standard formal English","580-583","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","581-583","568--570","575--577","582--584","images directes et images inverses","direct and inverse images","pushforwards and pullbacks","Preserves the source's named functorial constructions and lane terminology digest","581-583","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","581-583","568--570","575--577","582--584","fibre speciale; fibre generale","special fiber; generic fiber","closed fiber; general fiber","SGA 1 control and standard trait terminology; US spelling","581-583","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","582","569","576","583","tor-dimension finie","finite Tor-dimension","bounded torsion dimension","Standard derived-algebraic term","582","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","582","569","576","583","tor-independants","Tor-independent","torsion-independent","Standard base-change hypothesis","582","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","581-583","568--570","575--577","582--584","carres anterieurs du prisme","two front faces of the prism","anterior squares of the prism","Geometrically precise idiomatic English","581-583","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","583","570","577","584","morphismes d'intersection complete","complete-intersection morphisms","full-intersection maps","Established intersection-theoretic term","583","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
"current_rescribe_idx","584-588","571--575","578--582","585--589","algebriquement equivalent a zero","algebraically equivalent to zero; algebraically trivial where syntactically compact","algebraically null","Established equivalence-relation terminology in the recovered SGA controls","584-588","FRENCH_CONTROL_CERTIFIED_FOR_SCOPE","Expanded from current-rescribe scope; exact row-by-row coordinates remain in PAGE_INDEX_LEDGER.csv.","sealed_idx532_646/TERMINOLOGY_AND_REJECTED_CHOICES.csv"
