id,citation_form,current_lemma,entry_class,action,confidence,dict_status,w_facing,s_facing,e_facing,allowed_surfaces,candidate_normalizations,warning,branch_evidence,current_lexicon_variants,source_use,permitted_use_weight,status
reg-obći,obći / obće (adv),obći,discourse_adverb,prepare_candidate_rewrites_after_review,high,dict 'obći'=common,"obecný (cs — same root!), ogólny (pl), všeobecný","opći/opšti (same root), splošen (sl)",obščij,obći; obće; obćego; najobćejši,voobče/vobče (E-flavored) -> obće; obšč* (E-orthography) -> obć* in prose,"root is pan (ob-ьt-j-); scatter is orthography+flavoring, not lexeme choice; sl splošen = only true competitor, gloss it",obecn W86; splošn sl82; opći S33,najobcejs; najobče; najobčejš; najobčejša; najobčejšej; najobčejših; najobčejšim; najobščejše; najobščejših; obcego; obcu; obća; obće; obćego; obćejše; obćem; obći; obću; občego; obču; občy; obščih; vobce; vobče; voobce; voobće; voobče,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
series-sequence-red,ręd (with mandatory 4-branch gloss block),ręd,technical_general,human_review_before_any_apply,medium,dict 'ręd'=row/queue/order/sequence,"řada (cs), szereg (pl)","niz (hr/sr), zaporedje (sl)",rjad (ręd cognate),ręd; ręda; rędov; rędami,red/rěd -> ręd (nasal) orthography,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off,řada W31; szereg pl; niz S172; zaporedje sl47; ISV ręd leans E,red; redu; redy; ręd; ręda; rędam; rędami; rędom; rędov; rěda; rědom; rědov; rědu,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
remain-ostati,ostati / ostavati,ostati,proof_predicate,prepare_candidate_rewrites_after_review,high,dict 'ostati'=stay/remain,"zůstat (cs), pozostawać (pl)",ostati (native),ostati (native),ostaje; ostane; ostalo; ostaju,"obstava -> context-check (obstajati=exist family, not remain)",keep nastal/nastalo OUT (nastati=arise — fixed in v2.4),zůst W; pozosta pl; ostaj S+E,obstava; ostaje; ostaju; ostalo; ostane; ostajut; ostati; ostatok,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
follows-from,slědovati (slěduje iz),slěduje,proof_grammar,prepare_candidate_rewrites_after_review,high,dict slědovati family standard,"vyplývá (cs), wynika (pl) — F12b poster row",slijedi/sledi (same root),sliduje/sleduet (same root),slěduje; slědujuče,slijedi/sledi -> slěduje orthography; vyplyva (W-leak) -> slěduje with W-gloss in register doc,,sled S+E pan; vyplýv/wynika W-only,sledi; sleduj; slijedi; slěduj; vyplyva,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
length,dȯlgosť (co-sanctioned: dȯlžina),dlugost,math_general,prepare_candidate_rewrites_after_review,high,dict has BOTH dȯlgosť=length AND dȯlžina=length/longitude,"délka (cs), dĺžka (sk), długość (pl — dȯlgosť cognate)",dolžina/duljina (dȯlžina cognate),dovžina/dlina,dolgost (normalize corpus dlugost here); dolžina (co-citation),dlugost -> dolgost orthography,two sanctioned forms; corpus dlugost = pl-flavored spelling of dolgost,dług pl; délka cs; dolžin/duljin S,dlugost; dlugosti; dlžiny; dolzin; dolžin; dolžina; dolžiny; duljin,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
take-vzeti,vzęti,vzęti,proof_operation,prepare_candidate_rewrites_after_review,high,dict 'vzęti'=take,"vzít (cs), wziąć (pl — same lexeme)",uzeti (v-less form),vzjati,vzęti; vzęto; vzęv; vozmemo,vzeti/vzeto -> vzęti/vzęto (nasal); uzet* kept as S-alias,,vzít/wziąć W; uzeti S; vzeti sl,uzimanjem; vozmemo; vzame; vzeti; vzeto; vzęti; vzęto; vzęv,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
type,tip,tip,math_general,prepare_candidate_rewrites_after_review,high,dict 'tip'=type,typ (W orthography of same lexeme),tip (native),tip (native),tip; tipa; tipov; tipy,typ -> tip in prose (zero W-cost: same word),,typ W81; tip S23+E,tipa; tipov; tipu; tipy,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
however,jednako (with homograph usage-note),však,proof_connective,human_review_before_any_apply,medium,dict 'jednako'=however/yet; však/ipak/odnako NOT headwords,"však/totiž (cs), jednak(że) (pl — cognate!)","ipak, međutim",odnako,jednako (citation); ipak (S-alias documented); však (W-alias documented),corpus však/odnako occurrences -> reviewer choice: normalize to jednako OR keep as documented flavoring,"HOMOGRAPH WARNING: hr/sr jednak(o)=equal(ly) — in math prose where 'equally' is frequent, prefer sentence positions that disambiguate, or use ipak for contrast; this row NEEDS the reviewer",však W-only; ipak/vendar/međutim S; pl jednak=however but hr jednak=equal (F12c catch),ipak; odnako; vsak_however; však,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
reg-odnovrěmenno,jednočasno,odnovrěmenno,discourse_adverb,prepare_candidate_rewrites_after_review,high,dict 'jednočasno'=simultaneously — čas-root form is THE standard; odnovremenno NOT headword,"současně (cs), jednocześnie (pl) — same structure jedno+čas",istočasno/istovremeno (čas-root cognate),odnočasno/odnovremenno,jednočasno,odnovrěmenno/odnovremenno (E-flavored) -> jednočasno; istočasno -> jednočasno with S-alias note; odnovočasno hybrid -> jednočasno,HIGH-VALUE SWITCH: corpus-dominant odnovrěmenno is the E-outlier; dict jednočasno buys W+S simultaneously (both branches use čas-root) — cleanest win in the whole R1 set,odnovremen E-only; istočas/istovrem S33; současně/jednocześnie W60,istocasno; istočasno; odnovocasno; odnovočasno; odnovrěmenno; odnovremenno,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
case-instance,slučaj,slučaj,proof_grammar,human_review_before_any_apply,high,dict 'slučaj'=case/instance,"případ (cs), przypadek (pl)",slučaj (native),slučaj/vypadok,slučaj; slučaju; slučaje,slućaj -> slučaj orthography; pripad/padě (W-leak) -> slučaj with W-gloss,hr pripada=belongs homograph noted (F12c),slučaj S97+E; případ/przypad W200,padě; pripad; slucaj; slućaj; slučaj; slućaju,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
reg-imenno,imenno,imenno,discourse_adverb,prepare_candidate_rewrites_after_review,high,dict 'imenno'=namely,"totiž (cs), mianowicie (pl) — MANDATORY glosses (imenno invisible in W)","naime (hr/sr), namreč (sl) — MANDATORY glosses",imenno (native),imenno,"namreč/naime -> imenno in prose with S-gloss; totiž (W-leak, live F12b) -> imenno with W-gloss",F12b poster child: imenno has ZERO W/S presence — the register documentation MUST carry totiž/mianowicie/naime or W+S readers lose the connective,imenno E-only(be2); namreč/naime S189; totiž W9,imenno; imenně; imeno; imenom; imenovane; naime; namrec; namreč; totiž,generated_internal_consistency,0.35,draft_apply_plan_no_text_edit
power-exponent,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
work-paper,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
pair,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
becomes,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
weight-of-form,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
reg-dopuščati,,,,deferred_no_apply,,,,,,,,deferred,,,,,deferred_no_text_edit
