recommended_action_band,operational_term_weight_0_100,term_id,concept,source_term,chosen_form_latin,f10_flag,ws_support_score,ws_adverse_competitor_score,writeback_status,required_fix,writeback_note,source_pointer
A_review_adverse_or_competitor,7.5,ISV-folgerungen--poslědki,corollary,Folgerungen,poslědki,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_paper02_section23_terms.json;logbook:2026-06-10: Paper 02 §8 Interslavic Decisions;logbook:2026-06-10: Paper 02 §17 Interslavic Decisions
A_review_adverse_or_competitor,7.5,ISV-gemeinsame_nullstelle--občna_nuleva_točka,corollary,,občna nuleva točka,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_post45_source_fidelity_terms.json
A_review_adverse_or_competitor,7.5,ISV-gemeinsame_nullstellen--obče_nule,corollary,,obče nule,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_paper18_terms.json
A_review_adverse_or_competitor,5.7,ISV-homomorphiesatz_für_ringe--teorem_o_homomorfizm,ring,Homomorphiesatz für Ringe,teorem o homomorfizmu za kolca,F10-1,0.0,1.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section08_terms.json
A_review_adverse_or_competitor,5.7,ISV-zweiseitig_einfach--dvustranno_prosty,ring,zweiseitig einfach,dvustranno prosty,F10-1,0.0,1.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper34_section13_terms.json
A_review_adverse_or_competitor,4.7,ISV-quotientenbildung--tvorjenje_kvocientov,quotient field,Quotientenbildung,tvorjenje kvocientov,F10-0,0.0,1.0,,add W/S witness forms or explicit gap note from the 20-source shelf,,noether_paper25_terms.json
A_review_adverse_or_competitor,1.7,ISV-integritätsbereich_ring_ohne_nullteiler--integritetna_oblast_,,,integritetna oblast / kolco bez nulovyh děliteljev,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper35_source_fidelity_terms.json
A_review_adverse_or_competitor,1.7,ISV-polynombereich--polinomialno_kolco,,,polinomialno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section22_source_fidelity_terms.json
A_review_adverse_or_competitor,1.7,ISV-unnamed--kolcova_adjunkcija,,,kolcova adjunkcija,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section01_entries01_02_terms.json
A_review_adverse_or_competitor,0,ISV-echter_unterring--vlastno_podkolco,ring,echter Unterring,vlastno podkolco,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section12_terms.json
A_review_adverse_or_competitor,0,ISV-erweiterungsring_erweiterungsmodul--kolco_razširenja_mod,ring,Erweiterungsring; Erweiterungsmodul,kolco razširenja; modul razširenja,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper40_source_fidelity_terms.json
A_review_adverse_or_competitor,0,ISV-gruppenring--grupno_kolco,ring,Gruppenring,grupno kolco,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section06_terms.json
A_review_adverse_or_competitor,0,ISV-gruppenring--grupovo_kolco,ring,Gruppenring,grupovo kolco,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section20_source_fidelity_terms.json;noether_paper34_section22_source_fidelity_terms.json;noether_paper34_section26_source_fidelity_terms.json
A_review_adverse_or_competitor,0,ISV-halbeinfacher_ring--poluprosto_kolco,ring,Halbeinfacher Ring,poluprosto kolco,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section12_terms.json
A_review_adverse_or_competitor,0,ISV-nicht-kommutativer_ringbereich_nicht-kom--nekomutativna_kolcev,,,nekomutativna kolceva oblast / nekomutativno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper19_terms.json
A_review_adverse_or_competitor,0,ISV-produktenring--kolco_produkta,ring,Produktenring,kolco produkta,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper40_source_fidelity_terms.json
A_review_adverse_or_competitor,0,ISV-quotientenring--kolco_kvocientov,quotient field,Quotientenring,kolco kvocientov,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper30_section01_terms.json
A_review_adverse_or_competitor,0,ISV-restklassenbereich_restklassenring--oblastkolco_klasov_o,ring,Restklassenbereich / Restklassenring,oblast/kolco klasov ostatkov,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section08_terms.json
A_review_adverse_or_competitor,0,ISV-restklassenring_nach_dem_radikal--kolco_klasov_ostatko,ring,Restklassenring nach dem Radikal,kolco klasov ostatkov po radikalu,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section12_terms.json
A_review_adverse_or_competitor,0,ISV-restklassenring_ohne_nullteiler_nullteil--kolco_klasov_ostatko,ring,Restklassenring ohne Nullteiler / Nullteiler,kolco klasov ostatkov bez děliteljev nuly / dělitelj nuly,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper30_section05_terms.json
A_review_adverse_or_competitor,0,ISV-restklassensystem_ring_ohne_nullteiler--sistem_ostatkovyh_kl,ring,Restklassensystem / Ring ohne Nullteiler,sistem ostatkovyh klasov / kolco bez nulovyh děliteljev,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper24_section02_terms.json
A_review_adverse_or_competitor,0,ISV-restsystem_restklassenring_restklassen--sistem_ostatkov_kolc,,,sistem ostatkov / kolco ostatkovyh klasov / ostatkove klasy,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_post45_source_fidelity_terms.json
A_review_adverse_or_competitor,0,ISV-ring_ohne_radikal--kolco_bez_radikala,ring,Ring ohne Radikal,kolco bez radikala,F10-3,0.0,1.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section12_terms.json;noether_paper34_section26_source_fidelity_terms.json
A_review_adverse_or_competitor,0,ISV-ringbereich--kolceva_oblast,ring,,kolceva oblast,F10-1,0.0,1.0,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,"competitor_only_review_packet; adverse-channel row, not support writeback",noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
A_review_adverse_or_competitor,0,ISV-ringe_mit_einheitselement_ring_mit_einhe--kolca_s_jediničnym_e,element,Ringe mit Einheitselement / Ring mit Einheit,kolca s jediničnym elementom / kolco s jedinico,F10-3,0.531,0.469,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section17_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--algebraično_zamknjen,,,algebraično zamknjeno podkolco P,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section06_entry02_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--definirano_kako_v_1_,,,"definirano, kako v §1, 2, kako kolco togo samogo ranga",F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section05_entry03_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--homomorfno_matrično_,,,homomorfno matrično kolco ... stvorjeno idealom,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section04_entry04_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolco_bez_děliteljev,,,kolco bez děliteljev nula i s jediničnym elementom,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section08_entry01_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolco_glavnyh_idealo,,,kolco glavnyh idealov / izhodno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section08_entry06_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolco_glavnyh_idealo,,,kolco glavnyh idealov / izhodno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section08_entry01_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolco_ideal_p-modul_,,,kolco / ideal / P-modul izvedeny iz S v T,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section01_entries01_02_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolco_kvocientov,,,kolco kvocientov,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_introduction_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--kolcove_operacije_iz,,,kolcove operacije iz elementov kolca,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section07_entry04_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--medžukolco,,,medžukolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section03_entry03_terms.json;noether_paper31_section03_entry05_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--multiplikacijsko_kol,,,multiplikacijsko kolco / regularne multiplikacijske kolca,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section08_entry01_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--primarno_kolco,,,primarno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section02_entry01_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--razširjeno_kolco,,,razširjeno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section01_entries01_02_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--razširjeno_kolco_od_,,,razširjeno kolco od Z bez nulovyh děliteljev,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section05_entry03_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--razširjeno_kolco_ove,,,razširjeno kolco \overline{\mathfrak R}=\mathfrak R[\overline P],F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section06_entry05_terms.json
A_review_adverse_or_competitor,0,ISV-unnamed--te_same_razmysljenja,,,te same razmysljenja važe za multiplikacijsko kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section08_entry06_terms.json
A_review_adverse_or_competitor,0,ISV-zweiseitig_unzerlegbare_ringe--dvustranno_nerazloži,ring,zweiseitig unzerlegbare Ringe,dvustranno nerazložime kolca,F10-1,0.0,1.0,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,"competitor_only_review_packet; adverse-channel row, not support writeback",noether_paper34_section17_terms.json
A_review_adverse_or_competitor,0,ISV-LB-sollen_nicht_mehr_erwähnt_werden,ring,sollen nicht mehr erwähnt werden,dalej ne budut spominjane,F10-1,0.0,1.0,candidate_component_witness_writeback_W_and_S,merge into glossary schema during backfill,"concept-shelf W and S support available; still component-level, not full compound attestation",logbook:2026-06-10: Paper 02 Section 25 Interslavic Decisions / 
B_candidate_witness_writeback,92.2,ISV-absolutes_primideal--absolutny_prosty_ide,ideal,,absolutny prosty ideal,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper35_source_fidelity_terms.json
B_candidate_witness_writeback,92.2,ISV-algebraische_basis_rationale_basis--algebraična_baza_rac,basis,,algebraična baza / racionalna baza,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper09_introduction_terms.json
B_candidate_witness_writeback,92.2,ISV-ausgezeichnete_basis--vyznačena_baza,basis,ausgezeichnete Basis,vyznačena baza,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper30_section06_terms.json
B_candidate_witness_writeback,92.2,ISV-einfache_gruppe--prosta_grupa,group,einfache Gruppe,prosta grupa,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper34_section05_terms.json
B_candidate_witness_writeback,92.2,ISV-endliches_ideal_idealbasis--konečny_ideal_idealn,basis,,konečny ideal / idealny bazis,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-größte_primäre_ideale--najveće_primarne_ide,ideal,,najveće primarne idealy,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-größte_primäre_komponenten_ideale--najveće_primarne_kom,ideal,,najveće primarne komponenty / idealy,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-ideal_aus_polynomen--ideal_iz_polinomov,ideal,,ideal iz polinomov,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper22_terms.json
B_candidate_witness_writeback,92.2,ISV-ideal_modul_formenmodul--ideal_modul_modul_fo,ideal,,ideal / modul / modul form,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-irreduzibles_ideal--nerazložimy_ideal,ideal,irreduzibles Ideal,nerazložimy ideal,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper30_section06_terms.json
B_candidate_witness_writeback,92.2,ISV-isolierte_größte_primäre_ideale--izolovane_najveće_pr,ideal,,izolovane najveće primarne idealy,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-isolierte_ideale--izolovane_idealy,ideal,,izolovane idealy,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-modul_aus_linearformen--modul_iz_linearnyh_f,module,,modul iz linearnyh form,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper22_section01_terms.json;noether_paper22_terms.json
B_candidate_witness_writeback,92.2,ISV-nächsthöherer_modul--najbližši_vyši_modul,module,nächsthöherer Modul,najbližši vyši modul,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper02_section07_terms.json;logbook:2026-06-10: Paper 02 §7 Interslavic Decisions
B_candidate_witness_writeback,92.2,ISV-primideal--prost_ideal,ideal,Primideal,prost ideal,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper24_section01_terms.json
B_candidate_witness_writeback,92.2,ISV-primideal--prosty_ideal,ideal,,prosty ideal,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper20_terms.json;noether_paper35_source_fidelity_terms.json
B_candidate_witness_writeback,92.2,ISV-primideal_primideale--prosty_ideal_proste_,ideal,,prosty ideal / proste idealy,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
B_candidate_witness_writeback,92.2,ISV-r_brauersche_gruppe--brauerova_grupa,group,R. Brauersche Gruppe,Brauerova grupa,F10-1,1.0,0.0,v11_strict_Q1_candidate,backfill witness vector from 20-source shelf or mark explicit gap,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,noether_paper38_source_fidelity_terms.json
