id,lemma_current,citation_or_review_headword,en,class,variant_count,variants,provenance,source_use,permitted_use_weight,status,r1_decision_ids,normalization_policy_v6,warnings,r1_decision_json,term_kind,current_support_weight,review_priority_weight,recommended_action,boundary
generates-generovati,generovati,generovati,generates (internationalism doublet of porođati),construction_predicate,1,generuje,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
generates,porođati,porođati,generates; gives rise to,construction_predicate,15,porada | porađa | porađaje | porađajut | porađajuči | poraždžaje | porodza | porođaje | porođajut | porođajučim | porođeno | porođenogo | porođeny | porođenyh | poroža,chatgpt_v4_longtail_attach | fable_pass10 | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
encompass-obejmati,obejmati,obejmati,encompasses; comprises,containment_predicate,1,obejmajuče,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
encompasses,obhvaćati,obhvaćati,encompasses; comprises,containment_predicate,6,obhvac | obhvač | obuhvat | obhvačajuče | obhvata | obhvatati,fable_pass8 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-sadržati,sadržati,sadržati,contains,containment_predicate,9,obsahuje | sadržati | sadrže | sadrži | obsahujut | sadržaje | sadržuje | sadržet | sadržane,chatgpt_v1 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
conductor-ctx,provodnik,provodnik,conductor/guide (CONTEXT REVIEW),context_review,3,provodnik | provodnika | provodnikami,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
matter-sprava,sprava,sprava,matter / on-the-right (CONTEXT REVIEW),context_review,1,sprava,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reduction-svod,svod,svod,reduction/compendium (CONTEXT REVIEW),context_review,1,svod,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
embed-vloziti,vložiti,vložiti,insert; embed (CONTEXT REVIEW: embedding?),context_review,4,vloženja | vloženju | vloženo | vložimy,chatgpt_v4_longtail | fable_pass27_kwic | fable_pass28_kwic | fable_pass29_kwic | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
closed-zakryto,zakryty,zakryty,closed (CONTEXT REVIEW: closed set?),context_review,1,zakryto,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
associative-var,asociativny,asociativny,associative,curriculum_algebra,4,asociativ | associativ | asociativno | asocijovane,fable_pass10 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
integral-whole,cěly,cěly,integral / whole (entire),curriculum_algebra,7,cel | cela | celo | cěl | cěla | cělo | cělu,fable_pass28_kwic | fable_pass29_kwic | fable_v1,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
distributive,distributivny,distributivny,distributive,curriculum_algebra,1,distributiv,fable_pass21,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
divisor,divizor,divizor,divisor,curriculum_algebra,1,divizorov,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
twosided-dvustranny,dvustranny,dvustranny,two-sided (two-sided ideal),curriculum_algebra,3,dvostronno | dvustranne | dvustranno,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
acts-dejstvovati,dějstvovati,dějstvovati,acts (a group acts),curriculum_algebra,1,dějstvuje,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
divisible,dělimy,dělimy,divisible,curriculum_algebra,5,delim | dělim | děliv | dělivna | děljiva,fable_pass28_kwic | fable_pass29_kwic | fable_v1,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
division-op,děljenje,děljenje,division (operation),curriculum_algebra,1,děljenje,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
denominator-v4,imenitelj,imenitelj,denominator,curriculum_algebra,1,imenitelj,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
congruence,kongruencija,kongruencija,congruence,curriculum_algebra,2,kongruencija | kongruencije,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
roots-eq,korenj,korenj,root(s) (of an equation),curriculum_algebra,2,koreneve | korenov,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
quaternion,kvaternion,kvaternion,quaternion,curriculum_algebra,4,kvaternion | kvaternionnogo | kvaternionnoj | kvaternionov,fable_pass27_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
left-levy,lěvy,lěvy,left (left ideal!),curriculum_algebra,7,lěvogo | lěvoj | lěvom | lěvomu | lěvu | lěvy | lěvym,fable_pass27_kwic | fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
overfield-nadpolje,nadpolje,nadpolje,overfield; extension field,curriculum_algebra,2,nadpolja | nadpolje,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
nonintegral-necely,necěly,necěly,non-integral (own group — polarity rule),curriculum_algebra,2,necěle | necěly,fable_pass27_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
irreducible-nerazlozimy,nerazložimy,nerazložimy,irreducible; indecomposable (NEVER attach to razložimy — polarity),curriculum_algebra,6,nerazlozime | nerazlozimosti | nerazlozimyh | nerazložim | nerazložimy | nezvodime,fable_pass27_kwic | fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
improper-nevlastny,nevlastny,nevlastny,improper (improper divisor; polarity partner of vlastny),curriculum_algebra,2,nevlastne | nevlastny,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
image-obraz,obraz,obraz,image (of a map),curriculum_algebra,4,obraz | obraza | obrazov | obrazy,fable_pass16,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
permutation,permutacija,permutacija,permutation,curriculum_algebra,3,permutacij | permutacija | permutacije,fable_pass27_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
subfield,podtělo,podtělo,subfield / sub-body,curriculum_algebra,4,podpolj | podtel | podtěl | podtělu,fable_pass4 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
power-exponent,potęga,potęga,power (exponentiation),curriculum_algebra,10,poteg | potenca | potęg | potęga | potęgah | stepen | stepenj | stupenj | stupnja | stupnje,fable_pass28_kwic | fable_v1 | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
mapping-preslikanje,preslikanje,preslikanje,mapping (hr-flavored preslikavanje),curriculum_algebra,1,preslikanje,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
adjoin-prisojediniti,prisojediniti,prisojediniti,adjoin (adjunction of elements!),curriculum_algebra,1,prisojediniti,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
prime-number-prvocislo,prvočislo,prvočislo,prime number (W-flavored cs prvočíslo),curriculum_algebra,2,prvočisla | prvočislo,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
variable-premenna,prěmenna,prěmenna,variable (E-flavored prěmennaja),curriculum_algebra,1,prěmennoj,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
intersection-presek,prěsěk,prěsěk,intersection; cross-section,curriculum_algebra,1,prěseka,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
separable,separabilny,separabilny,separable,curriculum_algebra,4,separabilne | separabilno | separabilnogo | separabilnym,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
perfect-sovrseno,sovršeny,sovršeny,perfect (perfect field!),curriculum_algebra,4,sovršeno | sovršenogo | sovršenom | sovršeny,fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
transitive,tranzitivny,tranzitivny,transitive,curriculum_algebra,2,tranzitivnom | tranzitivny,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
body-telo-infl,tělo (algebra: body/division ring),tělo (algebra: body/division ring),body (division ring) — inflections,curriculum_algebra,7,telesa | telom | telu | tělesa | tělese | tělom | tělu,fable_pass6,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
ordered-uredzeny,urędženy,urędženy,ordered (ordered set/chain!),curriculum_algebra,3,uporędžene | uredžene | urędžene,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
variable-varijabla,varijabla,varijabla,variable (doublet of prěmenna),curriculum_algebra,2,varijabl | varijablov,fable_pass27_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-razuměti,razuměti,razuměti,to understand; to mean,definition/interpretation_marker,9,razuměje | razumějemo | razuměti | razuměju | razuměnje | razuměny | razumějem | razuměli | razuměnju,chatgpt_v1 | chatgpt_v4_longtail_attach,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-opreděljenje,opreděljenje,opreděljenje,definition,definition_marker,1,opreděljenje,chatgpt_v1,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
unconditionally,bezuslovno,bezuslovno,unconditionally,discourse_adverb,1,bezuslovno,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
in-fact-dejstvitelnost,dějstvitelnost,dějstvitelnost,in reality (v dějstvitelnosti),discourse_adverb,3,dejstvitelno | dějstvitelnost | dějstvitelnosti,fable_pass27_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
extremely,ekstremno,ekstremno,extremely,discourse_adverb,1,ekstremno,chatgpt_v4_longtail | fable_v4_review,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-imenno,imenno,imenno,namely; exactly,discourse_adverb,9,imenno | imenně | imeno | imenom | imenovane | naime | namrec | namreč | totiž,chatgpt_v1 | chatgpt_v4_longtail_attach | fable_pass28_kwic | fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
clear-jasny,jasny,jasny,clear (becomes clear),discourse_adverb,3,jasna | jasne | jasny,fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
reg-ješče,ješče,ješče,still; yet; additionally,discourse_adverb,4,ešte | ješče | josce | jošče,chatgpt_v1 | fable_pass28_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
shorter-kratse,kratše,kratše,shorter; more briefly,discourse_adverb,1,kratše,fable_pass29_kwic,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
of-course,naravno,naravno,of course; naturally,discourse_adverb,2,naravno | razumlivo,fable_pass7,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
recently,nedavno,nedavno,recently,discourse_adverb,1,nedavno,fable_pass19,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,,keep_as_attested_internal_register,,,proof_register,0.35,0.65,keep_as_attested_internal_register,proof/register internal consistency; not native witness; no production patch unless separately authorized
