concept,term_rows,avg_weight,min_weight,max_weight,f10_distribution,action_distribution,ws_support_hits,ws_competitor_hits,writeback_candidate_rows,review_or_adverse_rows,priority,example_forms
automorphism,2,47.5,9.7,85.2,F10-0:1; F10-3:1,A_review_adverse_or_competitor:1; G_currently_acceptable_or_low_priority:1,157,0,0,1,A_review_or_adverse,tělo avtomorfizmov K_ν | kolco avtomorfizmov
proof,1,23.9,23.9,23.9,F10-1:1,C_context_candidate_writeback:1,618,734,1,0,A_review_or_adverse,vhodet retained beside vhodi
ideal,70,63.0,42.7,92.2,F10-0:2; F10-1:67; F10-4:1,B_candidate_witness_writeback:36; C_context_candidate_writeback:31; D_authority_or_specialist_needed:1; G_currently_acceptable_or_low_priority:2,1296,0,67,0,B_writeback_candidate,absolutny prosty ideal | obča teorija idealov | izključene prvočisla / izključene proste idealy | direktno razloženje na prave idealy | dělimy črez ideal / f ≡ 0 (M)
coefficient,48,20.6,11.0,32.7,F10-1:48,C_context_candidate_writeback:48,0,0,48,0,B_writeback_candidate,funkcije odobraženja | ostale formy | teorema jednoznačnosti i uporjadženja | odgovarjajuče formy | svijanje s s formami 7. poręda
basis,36,53.5,42.7,92.2,F10-1:36,B_candidate_witness_writeback:15; C_context_candidate_writeback:21,411,0,36,0,B_writeback_candidate,algebraična baza / racionalna baza | algebraično razširenje | vyznačena baza | pojmy bazy | pitanja o bazah
module,24,56.7,26.0,92.2,F10-1:24,B_candidate_witness_writeback:7; C_context_candidate_writeback:17,448,0,24,0,B_writeback_candidate,moduly predstavjenja | normna teorema Hasse | glavny modul | pravy K-modul | kompozicijna serija modula predstavjenja
determinant,15,20.7,5.1,67.3,F10-0:1; F10-1:14,C_context_candidate_writeback:14; G_currently_acceptable_or_low_priority:1,34,19,14,0,B_writeback_candidate,determinantny dělitelj | Uvrstjenje hiperkompleksnyh sistemov v teoriju | funkcionalny determinant | funkcionalny determinant / funkcionalna matrica | funkcionalne determinanty
group,11,67.9,26.0,92.2,F10-1:11,B_candidate_witness_writeback:4; C_context_candidate_writeback:7,3677,0,11,0,B_writeback_candidate,vzaimno jednoznačno odobraženje | jednoznačnost | jednoznačno produktno predstavjenje črez nerazložime polinomy oblasti | prosta grupa | klasy podobnyh algeber; grupa klasov
equation,9,18.7,7.0,28.7,F10-1:9,C_context_candidate_writeback:9,0,0,9,0,B_writeback_candidate,"jednačenja ""bez afekta"" | nerazložime dvustranne klasy | linearne sistemy jednačenj | nižšego stepena | nuljeva točka"
algebra,8,47.6,23.7,85.2,F10-0:2; F10-1:5; F10-2:1,C_context_candidate_writeback:4; E_overclaim_backfill_needed:1; F_missing_witness_backfill:1; G_currently_acceptable_or_low_priority:2,1206,0,4,0,B_writeback_candidate,algebraično obrazovanje | algebraičny rang / polje ostatkovyh klasov | algebraično čislovo polje | dělitvena algebra; prirěđena dělitvena algebra | normalna dělitvena algebra
set,8,17.9,8.2,29.9,F10-0:1; F10-1:7,C_context_candidate_writeback:7; G_currently_acceptable_or_low_priority:1,1261,734,7,0,B_writeback_candidate,po dualistično protivopoložnom razmatrjenju | něktore neopreděljene zaměniti čislami | zakon neograničenogo i jednoznačnogo odčitanja | skladanje | složene polary
lemma,6,29.8,0.0,68.8,F10-1:6,C_context_candidate_writeback:1; F_missing_witness_backfill:5,541,183,1,0,B_writeback_candidate,glavna teorema | glavny teorem / pomočny teorem / dodatok / zamětka | obrat (1) po (1') | obrat lemy I | zahvaljujem Hentzeltu za ... zaměčenja
decomposition,5,25.9,7.0,51.2,F10-1:5,C_context_candidate_writeback:5,0,0,5,0,B_writeback_candidate,eksplicitno razloženje | Peirceovo razloženje | sukcesivno razloženje | poslědovateljno jednorazovo svijanje | eksplicitno predstavjenje
relation,4,14.3,0.0,26.7,F10-0:1; F10-1:2; F10-4:1,C_context_candidate_writeback:2; D_authority_or_specialist_needed:1; G_currently_acceptable_or_low_priority:1,0,0,2,0,B_writeback_candidate,relacije ortogonalnosti | relacije | relacije za razložime formy | kvadratične relacije
prime ideal,3,29.4,27.7,32.7,F10-1:3,C_context_candidate_writeback:3,667,80,3,0,B_writeback_candidate,vlastna teorija eliminacije | s izključenjem | stepenna suma
isomorphism,3,40.0,38.7,42.7,F10-1:3,C_context_candidate_writeback:3,728,0,3,0,B_writeback_candidate,jedno-jednoznačno i izomorfno odobraziti | operatorny izomorfizm | prirędženje
definition,3,52.3,26.0,88.2,F10-1:3,C_context_candidate_writeback:3,971,0,3,0,B_writeback_candidate,cepi prostyh idealov / cepova definicija | produkt idealov | Razkladanje ili reducibilnost ostalyh form
matrix product,3,11.0,11.0,11.0,F10-1:3,C_context_candidate_writeback:3,0,0,3,0,B_writeback_candidate,matrične produkty | matričny produkt | matričny produkt
associated prime ideal,2,27.7,27.7,27.7,F10-1:2,C_context_candidate_writeback:2,0,0,2,0,B_writeback_candidate,matematične proměnne i rimske označenja ostavajut zaštićene | neparno prosto čislo
matrix,2,16.8,7.3,26.3,F10-1:1; F10-4:1,C_context_candidate_writeback:1; D_authority_or_specialist_needed:1,590,56,1,0,B_writeback_candidate,jedinična matrica | cěločiselne matrice
homomorphism,2,38.7,38.7,38.7,F10-1:2,C_context_candidate_writeback:2,705,0,2,0,B_writeback_candidate,homomorfizmy iz centra v Omega | operatorny homomorfizm
trace,1,24.2,24.2,24.2,F10-1:1,C_context_candidate_writeback:1,16,16,1,0,B_writeback_candidate,konjugaty imenovatelja
norm,1,88.2,88.2,88.2,F10-1:1,C_context_candidate_writeback:1,387,0,1,0,B_writeback_candidate,norma / obrazovanje normy
ring without radical,1,27.7,27.7,27.7,F10-1:1,C_context_candidate_writeback:1,0,0,1,0,B_writeback_candidate,radikal
functional determinant,1,13.0,13.0,13.0,F10-1:1,C_context_candidate_writeback:1,0,0,1,0,B_writeback_candidate,transvekcija
invariant,1,66.2,66.2,66.2,F10-1:1,C_context_candidate_writeback:1,19,0,1,0,B_writeback_candidate,invariantne tvorjenja
form,24,8.3,0.0,16.7,F10-1:24,F_missing_witness_backfill:24,0,0,0,0,C_backfill_needed,početna forma | sut izpušćene | jednoformny slučaj | ręd form / rędy form | cěly ręd form
folding,21,7.3,0.0,16.7,F10-1:21,F_missing_witness_backfill:21,0,0,0,0,C_backfill_needed,jedno- i dvojnokratna svijanja | jednokratno svijanje | jednorazovo svijanje | svijanje $s$ s $\nu; H; L; H^2$ | proces svijanja / svijanje
covariant,18,13.3,0.0,21.7,F10-1:18,F_missing_witness_backfill:18,0,0,0,0,C_backfill_needed,razmatrivana kako kovariant | kako produkty sistemov I i II ostavaju | prinaležny sistem veličin | hiperkompleksny sistem | relativno polny sistem
irreducible,12,17.1,16.7,21.7,F10-1:12,F_missing_witness_backfill:12,0,0,0,0,C_backfill_needed,vzaimno relativno proste | nerazložimy / nerazložimo | poparno vzaimno proste | relativno-prosto-nerazložimy | relativno-prosto-nerazložimy
reduk,10,12.9,0.0,62.2,F10-1:10,F_missing_witness_backfill:10,0,0,0,0,C_backfill_needed,redukcija abo razklad | redukcije slědujut neposrědno ... črez jednokratno svijanje | redukovano v odnosu k komplementu / k R | redukovano predstavjenje | redukovany stepenj / eksponenta
extension of the first kind,8,25.9,16.7,62.2,F10-1:8,F_missing_witness_backfill:8,0,0,0,0,C_backfill_needed,"oblast / čislova oblast | dvojna oblast (Σ,T) | razširenje osnovnogo těla | razširenje prvogo roda | razširjenje prvogo roda / vtorogo roda"
direct factor,8,14.6,0.0,16.7,F10-1:8,F_missing_witness_backfill:8,0,0,0,0,C_backfill_needed,direktno nerazložimy | direktno nerazložimy / razložimy | direktno nerazložime faktory | direktny faktor | kompozicijne faktory
sistem,7,12.6,0.0,21.7,F10-1:7,F_missing_witness_backfill:7,0,0,0,0,C_backfill_needed,odobražajuči sistem | faktorna sistema | sistema form | sistem ostatkovyh klasov | polny sistem invariantov
linear,7,16.7,16.7,16.7,F10-1:7,F_missing_witness_backfill:7,0,0,0,0,C_backfill_needed,konečno mnogo ostatkovyh klasov linearno nezavisnyh | linearno-drobna zavisnost | linearno nezavisne medžu soboju i od ... | linearna transformacija | linearne kombinacije
unit,6,16.7,16.7,16.7,F10-1:6,F_missing_witness_backfill:6,0,0,0,0,C_backfill_needed,jedinica iz [Omega] | lěva jedinica | lěva jedinica / prava jedinica | matrične jedinice | $n$-e korenje iz jedinice
adjunction,5,13.4,0.0,16.7,F10-1:5,F_missing_witness_backfill:5,0,0,0,0,C_backfill_needed,prisojedinjenje u_{\mu\nu} | prisojedinjenje neopreděljenyh u_{mu nu} | prvogo roda | možno prisojedinjenje neopreděljenyh | pridavati
ansatz / setup,4,4.2,0.0,16.7,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,shema | po slědujućej shemě | po slědujućej shemě | po slědujućej shemě
crossed representation,4,23.9,0.0,62.2,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,predstavjenje kako najmenše obče mnogokratno | predstavjenje s stalym imenovateljem | skrěženo predstavjenje
one-to-one,4,16.7,16.7,16.7,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,vzaimno-jednoznačno | jedno-jednoznačno / jedno-jednoznačno pridružiti | tablica množenja | operacije / vrsty spojivanja: složenje i množenje
grup,4,16.7,16.7,16.7,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,prosta grupa | grupno razděljenje po nevzaimnoj prostosti | podgrupy | grupa razloženja; razvětvjene města; nerazvětvjeny
least common multiple,4,12.5,0.0,16.7,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,največši obči dělitelj | najmenše obče mnogokratno stavaje jednako produktu | najmenše obče mnogokratno / največši obči dělitelj | pri jednovrěmennom razsmotrenju
identity (relation),4,0.0,0.0,0.0,F10-1:4,F_missing_witness_backfill:4,0,0,0,0,C_backfill_needed,identičnosti ne nastavajut | izčrpane | simbolične identičnosti | vyčerpana jest cělost nerazložimyh identičnostij
modul,3,21.0,2.0,44.2,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,dvojny modul odnosno bimodul | modulo | adjungovany modul
proper divisor,3,18.4,16.7,21.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,vlastny dělitelj | vlastny dělitelj / čislo členov | stepenovy produkt
teorem,3,16.7,16.7,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,teorem o konečnosti | teorem o glavnom rodu | teorema produkta za matrice
funkci,3,16.7,16.7,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,funkcionalna oblast | prosta funkcija | primarna funkcija
integral,3,33.5,16.7,62.2,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,integralno zamknjeny / integralna zamknjenost | integralnost predstavjenja | integralne oblasti
remark,3,11.1,0.0,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,Dodatna primětka | primětka | Dodatna zamětka
normal,3,16.7,16.7,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,normalna forma | normalny dělitelj | normalny podgrup
discriminant,3,11.1,0.0,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,prave odnosno lěve klasy | lučne klasy
crossed product,3,6.2,0.0,16.7,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,skrěženy produkt | produkt
decomposition identity,3,0.0,0.0,0.0,F10-1:3,F_missing_witness_backfill:3,0,0,0,0,C_backfill_needed,razkladna identičnost | razkladna identičnost | dualistična razkladna identičnost
multiplier domain,2,16.7,16.7,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,absolutna oblast množiteljev | oblast množiteljev
residue class,2,16.7,16.7,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,konečnost v užšem smyslu | ostatkova klasa
variable,2,8.3,0.0,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,pomoćne prěměnne | rędy prěměnnyh/rędy simbolov
maksimal,2,16.7,16.7,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,uslovje maksimalnosti | maksimalna oblast
resultant,2,16.7,16.7,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,rezultantno značenje | mnogokratnost prěseka / rezultanta-mnogokratnost
substitution,2,16.7,16.7,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,substitucija (35) | prěhodno prěobraženje
splitting form,2,8.3,0.0,16.7,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,razkladaje se / razkladanje | razkladaje se/razkladanje
direct sum,2,0.0,0.0,0.0,F10-1:2,F_missing_witness_backfill:2,0,0,0,0,C_backfill_needed,neposrědno svijanje s reducentami | neposrědnje svijanje
chain condition,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,postulat izbora
degree,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,ograničeny po x_i / ne dosega stepena k
character,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,karakter
characteristic series,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,karakterističny rjad
diagonal entry,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,diagonalny člen
identity operator,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,jediničny operator
eksponent,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,eksponent = indeks
factor system,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,
racional,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,cělo-racionalny
regular,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,celočisleno-regularny
principal genus theorem,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,
integral domain,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,oblast cělosti
kongruen,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,Kongruenzkomposition
minimal,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,uslovje minimalnosti
reducent,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,reducenty
completely reducible,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,razložimy / nerazložimy
transform,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,transformacijne veličiny
transformation quantities,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,
princip,1,16.7,16.7,16.7,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,princip prěnosa
kvadrat,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,ternarna bikvadratična forma
special,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,specialno dvojnorazovo svijanje
division algebra,1,0.0,0.0,0.0,F10-1:1,F_missing_witness_backfill:1,0,0,0,0,C_backfill_needed,prirędžene rędy
