term_id,source_term,chosen_form_latin,chosen_form_cyrillic,concept,concept_source,concept_link_original,concept_key,reason_class,status,reviewer_need,source_pointer,f10_flag,safe_to_show_external,f10_reason,required_fix,tail_route,tail_route_key,tail_shelf_langs,c2_priority,witness_E,witness_W,witness_S,witness_I,witness_X,branch_present_E,branch_present_W,branch_present_S,family_witness_mass,branch_share_E,branch_share_W,branch_share_S,effective_branch_count_D1,branch_breadth_weight,branch_balance_weight,source_strength_weight,east_dominance_penalty,ws_isv_choice,ws_support_hits,ws_competitor_hits,ws_support_branches,ws_competitor_branches,ws_support_langs,ws_competitor_langs,ws_support_score,ws_adverse_competitor_score,weighted_score_action_class,weighted_score_sensitivity,weighted_current_equal_branch,weighted_current_dependence_pd,weighted_top_equal_branch,best_noncurrent_mean_MAG,writeback_status,writeback_candidate_weight,writeback_note,operational_term_weight_0_100,operational_weight_band,recommended_action_band,weight_boundary
ISV-abstrakte_idealtheorie--abstraktna_teorija_i,,abstraktna teorija idealov,абстрактна теорија идеалов,,,,,international;source_fidelity,unstated,False,noether_paper18_terms.json,F10-0,yes,Interslavic-authority or international rationale present (no W/S witness),add W/S witness forms or explicit gap note from the 20-source shelf,,,,,2.0,0.0,0.0,0.0,1.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.48,0.6667,,,,,,,,,,,,,,,,,0.0,,26.7,D_underwitnessed,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-adjunktion--adjunkcija,,adjunkcija,адјункција,,,,,pan_slavic_native;international,unstated,False,noether_paper06_section01_terms.json;noether_paper06_section04_terms.json;noether_paper09_introduction_terms.json,F10-0,yes,Interslavic-authority or international rationale present (no W/S witness),add W/S witness forms or explicit gap note from the 20-source shelf,,,,,3.0,0.0,0.0,0.0,1.0,1,0,0,3.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.68,0.6667,,,,,,,,,,,,,,,,,0.0,,31.7,D_underwitnessed,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-adjunktion_der_u_munu--prisojedinjenje_u_mu,Adjunktion der u_{\mu\nu},prisojedinjenje u_{\mu\nu},присојединјенье u_{\mu\nu},adjunction,tail_route_key,adjunction,adjunction,pan_slavic_native,unstated,True,noether_paper24_section02_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,C_concept_linked_shelf_plausible,adjunction,,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,no_context_evidence_available,0.0,no precomputed evidence row available for route key,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-adjunktion_der_unbestimmten_u_mu_nu--prisojedinjenje_neop,,prisojedinjenje neopreděljenyh u_{mu nu},присојединјенье неопредельеных u_{mu nu},adjunction,tail_route_key,adjunction,adjunction,unstated,unstated,True,noether_paper22_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,C_concept_linked_shelf_plausible,adjunction,,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,no_context_evidence_available,0.0,no precomputed evidence row available for route key,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-affektlose_gleichungen--jednačenja_bez_afekt,,"jednačenja ""bez afekta""","једначеньа ""без афекта""",equation,v10_queue,equation,equation,source_fidelity,unstated,True,noether_paper05_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,equation,ar;bg;cs;es;fa;fr;hr;pl;sk;sl,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,Q3_ACCEPT_generic_equation_component_support,0.35,equation term appears in math/algorithm context; generic but valid component evidence,23.7,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraic_gebilde--algebraično_obrazova,,algebraično obrazovanje,алгебраично образованье,algebra,v10_queue,algebr,algebr,unstated,unstated,True,noether_paper22_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,B_intl_stem_probeable,algebr,all_shelves,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,algebra,1206,0,south|west,,bg|cs|hr|pl|sk|sl|sr,,1.0,0.0,confirm_current,stable,1.0,1.0,algebra,-999,Q3_ACCEPT_component_support_context_ok,0.35,algebra appears in mathematical context,38.7,C_partial_or_review_needed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch-abgeschlossener_algebraische--algebraično_zatvorje,,algebraično zatvorjeno polje / algebraično razširiteljno polje,алгебраично затворјено полье / алгебраично разширительно полье,,,,,unstated,unstated,False,noether_paper22_terms.json,F10-0,yes,"polje = commutative field, hr + shelf backed",record witness forms in the term row (currently prose/shelf only),,,,,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,,,,,,,,,,,,,,,,,0.0,,70.2,B_usable_candidate_or_balanced,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch-ganz_rational-ganz--algebraično-cěly_rac,,algebraično-cěly / racionalno-cěly,алгебраично-целы / рационално-целы,field,tail_route_key,field,field,unstated,unstated,True,noether_paper09_introduction_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch-ganz_und_ganzzahlig_in_bezug--algebraično_cěla_i_c,,algebraično cěla i celočislena vzhodno k,алгебраично цела и целочислена взходно к,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section15_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch-ganze_abgeschlossenheit--algebraično-cěla_zat,,algebraično-cěla zatvorenost,алгебраично-цела затвореност,field,tail_route_key,field,field,unstated,unstated,True,noether_paper09_introduction_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch-ganzzahlige_polynome--algebraično-celočisl,,algebraično-celočislene polinomy,алгебраично-целочислене полиномы,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section15_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",69.7,B_usable_candidate_or_balanced,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch_abgeschlossener_körper--algebraično_zamknjen,,algebraično zamknjeno polje,алгебраично замкньено полье,,,,,pan_slavic_native,unstated,False,noether_paper20_terms.json,F10-0,yes,"polje = commutative field, hr + shelf backed",record witness forms in the term row (currently prose/shelf only),,,,,3.0,1.0,1.0,0.0,0.0,1,1,1,5.0,0.6,0.2,0.2,2.586,1.0,0.8621,1,0.2667,,,,,,,,,,,,,,,,,0.0,,67.6,B_usable_candidate_or_balanced,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch_unabhängig--algebraično_nezavisn,,algebraično nezavisne,алгебраично независне,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section06_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch_unabhängig_abhängig--algebraično_nezavisn,,algebraično nezavisne / zavisne,алгебраично независне / зависне,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section01_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraisch_unabhängige_funktionen--algebraično_nezavisn,,algebraično nezavisne funkcije,алгебраично независне функције,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section04_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraische_basis_rationale_basis--algebraična_baza_rac,,algebraična baza / racionalna baza,алгебраична база / рационална база,basis,v10_queue,basis,basis,unstated,unstated,True,noether_paper09_introduction_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,basis,ar;be;bg;cs;fa;hr;mk;pl;sl;sr,True,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,baza,411,0,south|west,,bg|cs|hr|pl|sk|sl,,1.0,0.0,confirm_current,stable,1.0,1.0,baza,-999,v11_strict_Q1_candidate,0.75,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,92.2,A_high_support_or_apply_ready,B_candidate_witness_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraische_erweiterung--algebraično_razširen,,algebraično razširenje,алгебраично разширенье,basis,tail_route_key,basis,basis,unstated,unstated,True,noether_paper06_section06_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,basis,ar;be;bg;cs;fa;hr;mk;pl;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,baza,411,0,south|west,,bg|cs|hr|pl|sk|sl,,1.0,0.0,confirm_current,stable,1.0,1.0,baza,-999,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",42.7,C_partial_or_review_needed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraischer_rang--algebraičny_rang,,algebraičny rang,алгебраичны ранг,field,tail_route_key,field,field,unstated,unstated,True,noether_paper06_section01_terms.json;noether_paper06_section04_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraischer_rang_restklassenkörper--algebraičny_rang_pol,algebraischer Rang / Restklassenkörper,algebraičny rang / polje ostatkovyh klasov,алгебраичны ранг / полье остатковых класов,algebra,concept_link,algebra,algebra,unstated,unstated,False,noether_paper24_section04_terms.json,F10-0,yes,"polje = commutative field, hr + shelf backed",record witness forms in the term row (currently prose/shelf only),,,,,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,algebra,1206,0,south|west,,bg|cs|hr|pl|sk|sl|sr,,1.0,0.0,confirm_current,stable,1.0,1.0,algebra,-999,,0.0,,85.2,A_high_support_or_apply_ready,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-algebraischer_zahlkörper--algebraično_čislovo_,algebraischer Zahlkörper,algebraično čislovo polje,алгебраично числово полье,algebra,concept_link,algebra,algebra,source_fidelity,unstated,False,noether_paper24_section04_terms.json,F10-0,yes,"polje = commutative field, hr + shelf backed",record witness forms in the term row (currently prose/shelf only),,,,,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,algebra,1206,0,south|west,,bg|cs|hr|pl|sk|sl|sr,,1.0,0.0,confirm_current,stable,1.0,1.0,algebra,-999,,0.0,,85.2,A_high_support_or_apply_ready,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-alle_geraden_ganzen_rationalen_zahlen--vse_parne_cěle_racio,,vse parne cěle racionalne čisla,все парне целе рационалне числа,polynomial,tail_route_key,polynomial,polynomial,unstated,unstated,True,noether_paper19_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,polynomial,be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polinom,1581,446,south|west,west,cs|hr|sk|sl|sr,pl,0.5469,0.4531,variant_or_doublet_note,stable,1.0,0.8181818181818182,polinom,-0.5986422551427004,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",25.9,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-allgemeine_idealtheorie--obča_teorija_idealov,allgemeine Idealtheorie,obča teorija idealov,обча теорија идеалов,ideal,v10_queue,ideal,ideal,unstated,unstated,True,noether_paper24_section01_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,ideal,be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,ideal,1296,0,south|west,,bg|cs|hr|pl|sk|sl|sr,,1.0,0.0,confirm_current,stable,1.0,1.0,ideal,-999,v11_strict_Q1_candidate,0.75,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,46.7,C_partial_or_review_needed,B_candidate_witness_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-als_kovariante_betrachtet--razmatrivana_kako_ko,als Kovariante betrachtet,razmatrivana kako kovariant,разматривана како ковариант,covariant,tail_route_key,covariant,covariant,pan_slavic_native,stable_provisional,True,noether_paper02_section19_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,covariant,es;fr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,blocked_P0_sense_or_specialist,0.0,trap/specialist row: KWIC specialist review required before any evidence can count,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-als_moduln_adjungiert--adjungujut_se_kako_m,als Moduln adjungiert,adjungujut se kako moduly,адјунгујут се како модулы,,,,als moduln adjungiert,international,review_needed,False,noether_paper02_section07_terms.json;logbook:2026-06-10: Paper 02 §7 Interslavic Decisions,F10-0,yes,Interslavic-authority or international rationale present (no W/S witness),add W/S witness forms or explicit gap note from the 20-source shelf,,,,,3.0,0.0,0.0,0.0,1.0,1,0,0,3.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.68,0.6667,,,,,,,,,,,,,,,,,0.0,,31.7,D_underwitnessed,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
