"adverse_id","unit","pressure_category","risk","selected_response","evidence_channel","status"
"A-028","I.3 Corollaries I.3.6(iv)","fiber-product normalization pressure","adds an unstated common relative base","use Cartesian product and reserve fiber product for explicit relative products","French lines 764-772 plus independent source-syntax review","source_precision_closed_independent_pass"
"A-029","I.4 printed p.5","French TeX and candidate marker pressure","places p.5 before the original printed boundary","place the marker before the I.4.6 proof","French lines 830-873 and original printed pp.4-5","source_pagination_closed_independent_pass"
"A-030","I.4 printed p.6","French TeX and candidate marker pressure","splits the closing remark across a false boundary","place the marker before the complete plain unnumbered Remark","French lines 942-951 and original printed p.6","source_pagination_closed_independent_pass"
"A-031","I.4 Proposition I.4.10","source-original trace-target defect","an A-bilinear form cannot induce the printed B-to-B target","use B-to-B-dual with an immediate source-defect note","French lines 918-940 original print and bilinear-form typing","source_defect_disclosed_independent_pass"
"A-032","I.4 Definition I.4.9","literal composition wording pressure","suggests a field tower instead of a finite separable algebra","use finite product of finite separable field extensions","French lines 910-916 and internal cross-check 2064-2069","terminology_closed_independent_pass"
"A-033","I.4 Proposition I.4.6 proof","candidate Latinization or external note","replaces a deliberate nonce word or imports unsupported history","retain italic multiplodoque without the external note","French line 877","selected_independent_pass"
"A-034","I.4 section title","title conjunction pressure","changes deliberate two-clause punctuation","retain Étale morphisms. Étale coverings","French line 800","selected_independent_pass"
"A-035","I.4 source index","bounded-reader omission pressure","loses four cumulative index entries","record four restoration debts","French lines 812 and 900-902","controlled_deferred"
"A-036","I.4 Proposition I.4.6(iii)","elliptical fragment pressure","leaves the mathematical assertion unstated","state that a base change of an étale morphism is étale","French lines 863-875","selected_independent_pass"
"A-037","I.4 Proposition I.4.10","unmarked modernization pressure","suppresses the source register and its parenthetical complaint","retain flat covering of degree n and the parenthetical comment","French lines 918-923","selected_independent_pass"
"A-038","I.4 opening first-pass draft","post-period note placement","changes source note attachment","move the Exposé IV footnote before the final period","French lines 802-804 and independent audit","failed_draft_corrected_independent_pass"
"A-039","I.4 closing first-pass draft","environment-name literalism","prints a star absent from the original source page","use a plain unnumbered Remark heading","French style definition and original printed p.6","failed_draft_corrected_independent_pass"
"A-040","I.5 Theorem I.5.1","jmoellermath partial candidate","changes the technical term and mathematical meaning","select radicial and retain its residue-field and universal-base-change definition","French lines 955-970; established SGA terminology","rejected"
"A-041","I.5 Theorem I.5.1 proof 1","original branches and literal-copy pressure","imports three source-marked defects into the English proof","follow the active corrected on f and fermé branches and translate the homeomorphism as onto Y","French lines 968-985; corrected-source conditionals","closed_selected"
"A-042","I.5 Theorem I.5.1 proof 2","inherited jcreinhold TeX conversion","corrupts a completion symbol in a central formula","use widehat A at every occurrence and retain B tensor_A widehat A","French lines 998-1000; TeX formula check","rejected"
"A-043","I.5 Theorem I.5.5","Thosgood candidate","reverses source and target arguments and changes the theorem","retain Hom_S(Y,X) to Hom_{S0}(Y0,X0)","French lines 1055-1064; variance check","rejected"
"A-044","I.5 Scholium","Thosgood candidate","deletes the categorical content of the Scholium","translate the entire source Scholium as an unnumbered paragraph","French lines 1071-1083","rejected"
"A-045","I.5 Corollary I.5.6","inherited jcreinhold TeX conversion","destroys the four-arrow diagram and triangle condition","render a two-by-two TeX diagram with both horizontal arrows left and both vertical arrows down","French lines 1098-1108; rendered visual review","rejected"
"A-046","I.5 Corollary I.5.6 title","Thosgood candidate","weakens the source theorem-title register","select Extension theorem for liftings","French lines 1092-1096","rejected"
"A-047","I.5 Proposition I.5.7","literal typo pressure","reproduces the source grammar defect type finis","use preschemes of finite type without changing the mathematical hypothesis","French line 1124; grammatical adjudication","closed_selected"
"A-048","I.5 Corollaries I.5.3 I.5.8","candidate and historical terminology pressure","obscures the established English term after the synonym has already been declared","use unramified in running prose while retaining net in the terminology and index ledgers","French lines 1023 and 1146; normalization N-016 and N-024","closed_selected"
"A-049","I.5 Corollary I.5.8","modern editorial cleanup pressure","silently removes source editorial evidence","retain the parenthetical exactly in translated form","French lines 1141-1147","rejected"
"A-050","I.5 Corollary I.5.8 proof","notation drift","creates inconsistent residue-field notation in one proof","render the source field as kappa(g(x)) consistently","French lines 1150-1151; SGA1 notation baseline","closed_selected"
"A-051","I.5 Corollary I.5.3","French TeX original print and all observed complete candidates","omits the étale hypothesis required by I.5.1 and is false for a nilpotent closed immersion","use surjective étale and radicial in the body with an immediate source-defect footnote and explicit counterexample","French lines 1023-1029; Wstein physical 24 printed p.7; Theorem I.5.1; Spec(k) to Spec(k[epsilon]/epsilon^2)","closed_source_defect_corrected_disclosed_independent_pass"
"A-052","I.6 editorial opening","Thosgood target-language control","modernizes the source unit term and loses the explicit economic idiom à meilleur compte","retain This number and here one can get by more cheaply","French lines 1171-1177; original physical 26 printed p.9; independent source review","rejected_independent_pass"
"A-053","I.6 editorial opening","jcreinhold target-language control","Latinizes and changes Grothendieck's coined source form","retain italic multiplodoque","French lines 1171-1177; SGA1 source register; independent review","rejected_independent_pass"
"A-054","I.6 first internal draft","initial TeX drafting error","renders mathematical variables as prose punctuation and silently corrupts notation despite compilation","restore TeX math delimiters around every algebra ring field functor and quotient symbol before integration","French lines 1179-1215; direct TeX review; clean rebuilt PDF","closed_failed_draft_corrected_independent_pass"
"A-055","I.6 Corollary I.6.2 justification","Thosgood structural control","adds a heading and implied closure not present in the French hierarchy","retain the reduction as an unheaded paragraph with no QED","French lines 1204-1206; original physical 26; independent hierarchy review","rejected_independent_pass"
"A-056","I.6 final construction","stale jcreinhold-derived conversion","carries conversion markup into mathematical body and weakens formula control","use mathematical TeX for F in k[t] F_1 in A[t] and B=A[t]/F_1A[t]","French lines 1208-1215; formula comparison; original print","rejected_independent_pass"
"A-057","I.6 theorem and justification","capitalization pressure from one target control","regresses the SGA-wide lowercase English convention without source need","use lowercase noetherian and artinian","French lines 1181 and 1204; shared normalization baseline; independent review","rejected_independent_pass"
"A-058","I.6 resumed theorem proof","explanatory expansion pressure","adds source-external proof content and may falsely suggest a source defect","record both as standard valid source compression in the ledger without expanding the translated body","French lines 1208-1215; independent mathematical source review","closed_selected_noncorrective_independent_pass"
