"active_row_id","target_family","language_access_target","acquisition_class","current_coverage_state","known_witness_ids","known_source_urls","known_local_paths","known_sha256s","license_access_signals","language_topic_evidence","gap_ids","required_next_source_canon_step","blocker_gap_note","blocked_outputs"
"R6-ACTIVE-014","Creole/contact","Papiamento/Papiamentu - Aruba","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_plus_explicit_blockers","R6-CR-P2-008; R6-CR-P2-009","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Pa-un-Ensenansa-Bilingual-na-Aruba-beleidsnota-1988.pdf || https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Integraal-Taalbeleid-Bijlage-mei-2023.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_papiamento_bilingual_education_policy_1988.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_integraal_taalbeleid_bijlage_2023.pdf","237faf3704d9b106379c4bfe22286710438beb442a5dc0f100e54d4016b16cb8 || d51701b0f50029b5a756f03b77b3770976b294125c08f807dfa20bf62785a3b2","license/reuse pending; source-owner/reviewer return required","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento-in-education policy witness; source-canon || Papiamento/Papiamentu - Aruba; creole/contact; Papiamento/eigen onderwijs policy context; source-canon","R6-GAP-AUTO-013; R6-CR-P2-006; R6-CR-P2-007","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-015","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_plus_explicit_blockers","R6-CR-P2-013; R6-CR-P2-014","https://gov.sr/wp-content/uploads/2023/10/VOORUIT-MET-TAAL-Leerjr-8-Bronnenboek-Meertaligheid.pdf || https://gov.sr/suriname/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_vooruit_met_taal_leerjr8_bronnenboek_meertaligheid.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_gov_language_context.html","f6e0652b2c9ddf835e3c374fc67f1ed5f6c6c547b49ecb9119f6d799da0f6514 || 9b50c123f707021acdfa32480c553cb32cfb7f9716000c647202bd2f07d6c058","license/reuse pending; source-owner/reviewer return required","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official multilingual/Sranan/Okanisi school-language witness; source-canon || Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official language context page mentioning Sranantongo and education language context; source-canon","R6-GAP-AUTO-014","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-016","Creole/contact","Sranan/Saramaccan/Ndyuka/Guyanese","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-015","Find language-specific STEM sources; keep each named language separate.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-017","Creole/contact","Tok Pisin","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-016","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-019","Current gap retry","Ecuador EIB","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-GAP-001","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-020","Current gap retry","Guarani/Paraguay","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-GAP-003","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-021","Current gap retry","Krio/Sierra Leone","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-006","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-022","Current gap retry","Mexico CONALITEG Indigenous books","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-GAP-008","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-023","Current gap retry","Papiamento/Papiamentu - Aruba","exact_named_language_math_source_capture_required","route_retry_metadata_blocker","","","","","","","R6-GAP-007","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-024","Current gap retry","Quechua/Bolivia","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-GAP-004","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-025","Current gap retry","Uspanteko/Guatemala","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-GAP-005","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-026","Indigenous Americas","Aymara","url_access_repair_or_exact_route_capture_required","strict_witness_plus_explicit_blockers","R6-QA-SAR-003","https://repositorio.minedu.gob.pe/handle/20.500.12799/11963","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\downloaded_evidence\indigenous_american\minedu_aymara_jakhukipawinaka_matematicas_1primaria.pdf","702b3f1dcf4d949f653c696b58c22b5d060f1274ef9bd51f13a42516c9b5ea90","openAccess CC-BY-4.0 per DSpace metadata; attribution sidecar still required before reuse","Aymara; EIB; school mathematics; numeracy; PDF; text extract; Peru Minedu","R6-URL-GAP-001","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-027","Indigenous Americas","Bolivia Quechua","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-GAP-AUTO-017; R6-GAP-AUTO-018","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-028","Indigenous Americas","Bolivia Quechua candidate","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_metadata_only","R6-IA-P3-003","https://www.minedu.gob.bo/files/publicaciones/upiip/cr-indigenaquechua.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T211500Z_r6_indigenous_americas_exact_download_resolver_pass3\captures\Curriculo_base_y_curriculo_regionalizado_de_la_nacion_quechua_Curriculo_base_y_curriculo_r.pdf","6ae6ed54d160805ca355600efdfea857ab1029f371dc808b968c56e291f04d9b","license/reuse pending; source-owner/reviewer return required","Bolivia Quechua; curriculum; candidate exact source; PDF; local knowledge; math-access context","","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-029","Indigenous Americas","Bolivia Quechua longitudes","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-GAP-AUTO-019","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-030","Indigenous Americas","Bolivia Red Minedu repository","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-IA-P3-002","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-031","Indigenous Americas","Ecuador EIB","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-GAP-AUTO-020; R6-GAP-AUTO-021","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-032","Indigenous Americas","Ecuador Ministry EIB pages","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-IA-P3-004; R6-IA-P3-005","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-033","Indigenous Americas","Guatemala DIGEBI product pages","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-IA-P3-006","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-034","Indigenous Americas","Guatemala Uspanteko","exact_named_language_math_source_capture_required","retry_capture_plus_explicit_blockers","","","","","","","R6-GAP-AUTO-022; R6-GAP-AUTO-023","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-035","Indigenous Americas","Hnahnu/Otomi","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-IA-P3-D002; R6-IA-P3-D006","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-036","Indigenous Americas","Maya","url_access_repair_or_exact_route_capture_required","route_retry_metadata_blocker","","","","","","","R6-IA-P3-D003; R6-IA-P3-D007","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
